skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

Technology,Level,Question,Category,Tags,Keywords,Answer,Documentation,General Video,Video Hindi,Video Kannada,Video Tamil,Video Telugu
Ruby,Basic,What is Ruby?,Introduction,Fundamentals,Programming Language,Ruby is a dynamic, open source programming language with a focus on simplicity and productivity. It has an elegant syntax that is natural to read and easy to write.,https://www.ruby-lang.org/en/,https://youtube.com/results?search_query=what+is+ruby+programming,https://youtube.com/results?search_query=ruby+ky+hai,https://youtube.com/results?search_query=ruby+ennu,https://youtube.com/results?search_query=ruby+en,https://youtube.com/results?search_query=ruby+enti
Ruby,Basic,Who created Ruby?,Introduction,History,Yukihiro Matsumoto,Yukihiro "Matz" Matsumoto created Ruby in Japan in the mid-1990s.,https://www.ruby-lang.org/en/about/,https://youtube.com/results?search_query=who+created+ruby,https://youtube.com/results?search_query=ruby+kaun+banaya,https://youtube.com/results?search_query=ruby+yaru+srishtisidaru,https://youtube.com/results?search_query=ruby+yaar+create+paninar,https://youtube.com/results?search_query=ruby+yevaru+create+chesaru
Ruby,Basic,What is the Ruby philosophy?,Introduction,Fundamentals,Principle of Least Surprise,Ruby's philosophy emphasizes human happiness over computer optimization, following the "Principle of Least Surprise" (POLS).,https://www.ruby-lang.org/en/about/,https://youtube.com/results?search_query=ruby+philosophy,https://youtube.com/results?search_query=ruby+ka+siddhant,https://youtube.com/results?search_query=ruby+tattvagalu,https://youtube.com/results?search_query=ruby+tattvangal,https://youtube.com/results?search_query=ruby+tattvalu
Ruby,Basic,How do you print "Hello, World!" in Ruby?,Syntax,Output,puts,Use `puts "Hello, World!"` or `print "Hello, World!"`.,https://ruby-doc.org/core-3.1.2/Kernel.html#method-i-puts,https://youtube.com/results?search_query=ruby+hello+world,https://youtube.com/results?search_query=ruby+me+hello+world+kaise+likhe,https://youtube.com/results?search_query=ruby+hello+world+hege,https://youtube.com/results?search_query=ruby+hello+world+epadi,https://youtube.com/results?search_query=ruby+hello+world+ela
Ruby,Basic,What is the difference between `puts` and `print`?,Syntax,Output,Newline,`puts` adds a newline at the end of the output, while `print` does not.,https://ruby-doc.org/core-3.1.2/Kernel.html#method-i-puts,https://youtube.com/results?search_query=ruby+puts+vs+print,https://youtube.com/results?search_query=ruby+puts+aur+print+me+antar,https://youtube.com/results?search_query=ruby+puts+vs+print,https://youtube.com/results?search_query=ruby+puts+vs+print,https://youtube.com/results?search_query=ruby+puts+vs+print
Ruby,Basic,What is `p` in Ruby?,Syntax,Output,Debugging,`p` prints the value with its inspected representation (like `inspect` method) and returns the value.,https://ruby-doc.org/core-3.1.2/Kernel.html#method-i-p,https://youtube.com/results?search_query=ruby+p+method,https://youtube.com/results?search_query=ruby+me+p+kaise+use+kare,https://youtube.com/results?search_query=ruby+p+hege+use,https://youtube.com/results?search_query=ruby+p+epadi+use+panalam,https://youtube.com/results?search_query=ruby+p+ela+use+cheyyali
Ruby,Basic,How do you write comments in Ruby?,Syntax,Comments,Single-line, multi-line,Use `#` for single-line comments and `=begin` and `=end` for multi-line comments.,https://ruby-doc.org/core-3.1.2/doc/syntax/comments_rdoc.html,https://youtube.com/results?search_query=ruby+comments,https://youtube.com/results?search_query=ruby+me+comments+kaise+likhe,https://youtube.com/results?search_query=ruby+comments+hege,https://youtube.com/results?search_query=ruby+comments+epadi,https://youtube.com/results?search_query=ruby+comments+ela
Ruby,Basic,How do you declare a variable in Ruby?,Syntax,Variables,Assignment,Simply assign a value: `variable_name = value`. No keyword needed.,https://ruby-doc.org/core-3.1.2/doc/syntax/assignment_rdoc.html,https://youtube.com/results?search_query=ruby+variables,https://youtube.com/results?search_query=ruby+me+variable+kaise+banaye,https://youtube.com/results?search_query=ruby+variables+hege,https://youtube.com/results?search_query=ruby+variables+epadi,https://youtube.com/results?search_query=ruby+variables+ela
Ruby,Basic,What are the naming conventions for variables in Ruby?,Syntax,Variables,Snake case,Use snake_case (lowercase with underscores) for variables and methods.,https://ruby-doc.org/core-3.1.2/doc/syntax/assignment_rdoc.html,https://youtube.com/results?search_query=ruby+naming+conventions,https://youtube.com/results?search_query=ruby+variable+names+kaise+rakhe,https://youtube.com/results?search_query=ruby+naming+conventions+hege,https://youtube.com/results?search_query=ruby+naming+conventions+epadi,https://youtube.com/results?search_query=ruby+naming+conventions+ela
Ruby,Basic,What is a constant in Ruby?,Syntax,Constants,Uppercase,A constant is a variable whose name begins with an uppercase letter. By convention, use all uppercase with underscores.,https://ruby-doc.org/core-3.1.2/doc/syntax/constants_rdoc.html,https://youtube.com/results?search_query=ruby+constants,https://youtube.com/results?search_query=ruby+me+constant+kaise+banaye,https://youtube.com/results?search_query=ruby+constants+hege,https://youtube.com/results?search_query=ruby+constants+epadi,https://youtube.com/results?search_query=ruby+constants+ela
