skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
PHP,Advanced,What is the PHP execution model and how does Zend Engine work?,Zend Engine,OPcache,Execution model,A,"Zend Engine compiles PHP to opcodes, executes in VM; OPcache stores precompiled bytecode",Core Architecture,https://www.php.net/manual/en/internals2.ze1.php,https://youtube.com/results?search_query=php+zend+engine,https://youtube.com/results?search_query=php+zend+engine+hindi,https://youtube.com/results?search_query=php+zend+engine+kannada,https://youtube.com/results?search_query=php+zend+engine+tamil,https://youtube.com/results?search_query=php+zend+engine+telugu
PHP,Advanced,Why should you use strict_types declaration in PHP 7+ and what problem does it solve?,Strict types,Type declarations,Type coercion,A,"Prevents automatic type coercion, ensures parameter/return types are exactly matched",Type System,https://www.php.net/manual/en/functions.arguments.php#functions.arguments.type-declaration.strict,https://youtube.com/results?search_query=php+strict_types,https://youtube.com/results?search_query=php+strict_types+hindi,https://youtube.com/results?search_query=php+strict_types+kannada,https://youtube.com/results?search_query=php+strict_types+tamil,https://youtube.com/results?search_query=php+strict_types+telugu
PHP,Advanced,How does PHP implement generator functions with yield and what are their memory benefits?,Generators,Yield,Memory optimization,A,"Generators implement Iterator, yield pauses execution; memory efficient for large datasets",Generators,https://www.php.net/manual/en/language.generators.overview.php,https://youtube.com/results?search_query=php+generators+yield,https://youtube.com/results?search_query=php+generators+yield+hindi,https://youtube.com/results?search_query=php+generators+yield+kannada,https://youtube.com/results?search_query=php+generators+yield+tamil,https://youtube.com/results?search_query=php+generators+yield+telugu
PHP,Advanced,How does PHP implement anonymous classes and when are they preferable over regular classes?,Anonymous classes,One-time use,Closures,A,"Anonymous classes are defined without name, instantiated once; useful for one-time implementations",Object-Oriented,https://www.php.net/manual/en/language.oop5.anonymous.php,https://youtube.com/results?search_query=php+anonymous+classes,https://youtube.com/results?search_query=php+anonymous+classes+hindi,https://youtube.com/results?search_query=php+anonymous+classes+kannada,https://youtube.com/results?search_query=php+anonymous+classes+tamil,https://youtube.com/results?search_query=php+anonymous+classes+telugu
PHP,Advanced,Why does PHP have both traits and interfaces, and how do they solve different inheritance problems?,Traits,Interfaces,Multiple inheritance,A,"Interfaces define contracts; traits provide method implementations; traits solve horizontal code reuse",Object-Oriented,https://www.php.net/manual/en/language.oop5.traits.php,https://youtube.com/results?search_query=php+traits+vs+interfaces,https://youtube.com/results?search_query=php+traits+vs+interfaces+hindi,https://youtube.com/results?search_query=php+traits+vs+interfaces+kannada,https://youtube.com/results?search_query=php+traits+vs+interfaces+tamil,https://youtube.com/results?search_query=php+traits+vs+interfaces+telugu
PHP,Advanced,What kind of optimization does OPcache provide and how does it improve PHP performance?,OPcache,Bytecode cache,Performance,A,"Stores precompiled script bytecode, eliminates need for recompilation on each request",Performance,https://www.php.net/manual/en/book.opcache.php,https://youtube.com/results?search_query=php+opcache+optimization,https://youtube.com/results?search_query=php+opcache+optimization+hindi,https://youtube.com/results?search_query=php+opcache+optimization+kannada,https://youtube.com/results?search_query=php+opcache+optimization+tamil,https://youtube.com/results?search_query=php+opcache+optimization+telugu
PHP,Advanced,How does PHP's type system handle covariance and contravariance in method signatures?,Covariance,Contravariance,Type system,A,"Return types are covariant (can be more specific), parameter types are contravariant (can be more general)",Type System,https://www.php.net/manual/en/language.oop5.variance.php,https://youtube.com/results?search_query=php+covariance+contravariance,https://youtube.com/results?search_query=php+covariance+contravariance+hindi,https://youtube.com/results?search_query=php+covariance+contravariance+kannada,https://youtube.com/results?search_query=php+covariance+contravariance+tamil,https://youtube.com/results?search_query=php+covariance+contravariance+telugu
PHP,Advanced,Why should you avoid using extract() function in PHP and what security risks does it introduce?,Extract function,Security risks,Variable variables,A,"Can overwrite existing variables, leads to security vulnerabilities and unpredictable behavior",Security,https://www.php.net/manual/en/function.extract.php,https://youtube.com/results?search_query=php+extract+security,https://youtube.com/results?search_query=php+extract+security+hindi,https://youtube.com/results?search_query=php+extract+security+kannada,https://youtube.com/results?search_query=php+extract+security+tamil,https://youtube.com/results?search_query=php+extract+security+telugu
PHP,Advanced,Why does PHP have both array() and [] syntax, and what are the performance differences?,Arrays,Syntax,Performance,A,""[] is short array syntax (since PHP 5.4); no performance difference, only syntactic"",Arrays,https://www.php.net/manual/en/language.types.array.php,https://youtube.com/results?search_query=php+array+vs+bracket+syntax,https://youtube.com/results?search_query=php+array+vs+bracket+syntax+hindi,https://youtube.com/results?search_query=php+array+vs+bracket+syntax+kannada,https://youtube.com/results?search_query=php+array+vs+bracket+syntax+tamil,https://youtube.com/results?search_query=php+array+vs+bracket+syntax+telugu
PHP,Advanced,Where are superglobals like $_GET, $_POST stored and how does PHP manage their scope?,Superglobals,Scope,HTTP variables,A,"Superglobals are automatically global in all scopes; populated from HTTP request or environment",Variables,https://www.php.net/manual/en/language.variables.superglobals.php,https://youtube.com/results?search_query=php+superglobals+scope,https://youtube.com/results?search_query=php+superglobals+scope+hindi,https://youtube.com/results?search_query=php+superglobals+scope+kannada,https://youtube.com/results?search_query=php+superglobals+scope+tamil,https://youtube.com/results?search_query=php+superglobals+scope+telugu
PHP,Advanced,Why does PHP have both mysqli and PDO extensions, and when should you choose one over the other?,MySQLi,PDO,Database,A,"MySQLi is MySQL-specific with procedural/OOP; PDO supports multiple databases with same API",Database,https://www.php.net/manual/en/mysqli.overview.php,https://youtube.com/results?search_query=php+mysqli+vs+pdo,https://youtube.com/results?search_query=php+mysqli+vs+pdo+hindi,https://youtube.com/results?search_query=php+mysqli+vs+pdo+kannada,https://youtube.com/results?search_query=php+mysqli+vs+pdo+tamil,https://youtube.com/results?search_query=php+mysqli+vs+pdo+telugu
PHP,Advanced,Why should you avoid using the global keyword in PHP and what are better alternatives?,Global keyword,Scope,Pollution,A,"Causes tight coupling, makes testing difficult; use dependency injection or pass parameters instead",Best Practices,https://www.php.net/manual/en/language.variables.scope.php,https://youtube.com/results?search_query=php+global+keyword+issues,https://youtube.com/results?search_query=php+global+keyword+issues+hindi,https://youtube.com/results?search_query=php+global+keyword+issues+kannada,https://youtube.com/results?search_query=php+global+keyword+issues+tamil,https://youtube.com/results?search_query=php+global+keyword+issues+telugu
PHP,Advanced,How does PHP's array sorting algorithm work and what is its time complexity?,Arrays,Sorting,Algorithm,A,"Uses quicksort implementation; average O(n log n), worst O(n^2) for already sorted arrays",Algorithms,https://www.php.net/manual/en/array.sorting.php,https://youtube.com/results?search_query=php+array+sorting+algorithm,https://youtube.com/results?search_query=php+array+sorting+algorithm+hindi,https://youtube.com/results?search_query=php+array+sorting+algorithm+kannada,https://youtube.com/results?search_query=php+array+sorting+algorithm+tamil,https://youtube.com/results?search_query=php+array+sorting+algorithm+telugu
PHP,Advanced,Why does PHP have both include and require statements, and what's the difference?,Include,Require,File inclusion,A,"include produces warning and continues; require produces fatal error and stops execution",File Handling,https://www.php.net/manual/en/function.include.php,https://youtube.com/results?search_query=php+include+vs+require,https://youtube.com/results?search_query=php+include+vs+require+hindi,https://youtube.com/results?search_query=php+include+vs+require+kannada,https://youtube.com/results?search_query=php+include+vs+require+tamil,https://youtube.com/results?search_query=php+include+vs+require+telugu
PHP,Advanced,How does PHP implement the match expression (PHP 8) and how is it different from switch?,Match expression,PHP 8,Switch,A,"Match returns value," strict comparison, exhaustive checking; switch uses loose comparison, fall-through"",PHP 8 Features,https://www.php.net/manual/en/control-structures.match.php,https://youtube.com/results?search_query=php+match+vs+switch,https://youtube.com/results?search_query=php+match+vs+switch+hindi,https://youtube.com/results?search_query=php+match+vs+switch+kannada,https://youtube.com/results?search_query=php+match+vs+switch+tamil,https://youtube.com/results?search_query=php+match+vs+switch+telugu
PHP,Advanced,Why does PHP have both abstract classes and interfaces, and when would you choose each?,Abstract classes,Interfaces,Design,A,"Abstract classes can have implementation; interfaces define contracts only; use abstract for shared code",Object-Oriented,https://www.php.net/manual/en/language.oop5.abstract.php,https://youtube.com/results?search_query=php+abstract+classes+vs+interfaces,https://youtube.com/results?search_query=php+abstract+classes+vs+interfaces+hindi,https://youtube.com/results?search_query=php+abstract+classes+vs+interfaces+kannada,https://youtube.com/results?search_query=php+abstract+classes+vs+interfaces+tamil,https://youtube.com/results?search_query=php+abstract+classes+vs+interfaces+telugu
