skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Opengl,Intermediate,What is the difference between vertex shader and fragment shader?,Shaders,Stages,Processing,A,Vertex shader: processes vertices (position,"normals); Fragment shader: processes pixels (color, depth, stencil).",Shaders,https://www.khronos.org/opengl/wiki/Shader,https://youtube.com/results?search_query=opengl+vertex+vs+fragment+shader,https://youtube.com/results?search_query=opengl+vertex+vs+fragment+shader+hindi,https://youtube.com/results?search_query=opengl+vertex+vs+fragment+shader+kannada,https://youtube.com/results?search_query=opengl+vertex+vs+fragment+shader+tamil,https://youtube.com/results?search_query=opengl+vertex+vs+fragment+shader+telugu
Opengl,Intermediate,What is the difference between uniform and attribute variables?,Shaders,Variables,Data Flow,A,Attribute: per-vertex data (position,"normal); Uniform: constant across draw call (transform matrices, light positions).",Shaders,https://www.khronos.org/opengl/wiki/Type_Qualifier_(GLSL),https://youtube.com/results?search_query=opengl+uniform+vs+attribute,https://youtube.com/results?search_query=opengl+uniform+vs+attribute+hindi,https://youtube.com/results?search_query=opengl+uniform+vs+attribute+kannada,https://youtube.com/results?search_query=opengl+uniform+vs+attribute+tamil,https://youtube.com/results?search_query=opengl+uniform+vs+attribute+telugu
Opengl,Intermediate,What is the difference between framebuffer and renderbuffer?,Framebuffers,Rendering,Storage,A,Framebuffer: collection of buffers (color,"depth, stencil); Renderbuffer: single buffer optimized for off-screen rendering.",Framebuffers,https://www.khronos.org/opengl/wiki/Framebuffer_Object,https://youtube.com/results?search_query=opengl+framebuffer+vs+renderbuffer,https://youtube.com/results?search_query=opengl+framebuffer+vs+renderbuffer+hindi,https://youtube.com/results?search_query=opengl+framebuffer+vs+renderbuffer+kannada,https://youtube.com/results?search_query=opengl+framebuffer+vs+renderbuffer+tamil,https://youtube.com/results?search_query=opengl+framebuffer+vs+renderbuffer+telugu
Opengl,Intermediate,What is the difference between perspective and orthographic projection?,Transformations,Projection,Matrices,A,Perspective: realistic depth (foreshortening); Orthographic: parallel projection (no perspective,for 2D/UI).,Transformations,https://www.khronos.org/opengl/wiki/Viewing_and_Transformations,https://youtube.com/results?search_query=opengl+perspective+vs+orthographic,https://youtube.com/results?search_query=opengl+perspective+vs+orthographic+hindi,https://youtube.com/results?search_query=opengl+perspective+vs+orthographic+kannada,https://youtube.com/results?search_query=opengl+perspective+vs+orthographic+tamil,https://youtube.com/results?search_query=opengl+perspective+vs+orthographic+telugu
Opengl,Intermediate,What is the difference between model,view,and projection matrices?,Transformations,Matrices,Spaces,"A,Model: object to world space; View: world to camera space; Projection: camera to clip space.",Transformations,https://www.khronos.org/opengl/wiki/Viewing_and_Transformations,https://youtube.com/results?search_query=opengl+model+view+projection+matrices,https://youtube.com/results?search_query=opengl+model+view+projection+matrices+hindi,https://youtube.com/results?search_query=opengl+model+view+projection+matrices+kannada,https://youtube.com/results?search_query=opengl+model+view+projection+matrices+tamil,https://youtube.com/results?search_query=opengl+model+view+projection+matrices+telugu
Opengl,Intermediate,What is the difference between GL_RGB and GL_RGBA texture formats?,Textures,Formats,Channels,A,GL_RGB: 3 channels (red,"green, blue); GL_RGBA: 4 channels (adds alpha for transparency).",Textures,https://www.khronos.org/opengl/wiki/Texture#Texture_image_formats,https://youtube.com/results?search_query=opengl+rgb+vs+rgba+format,https://youtube.com/results?search_query=opengl+rgb+vs+rgba+format+hindi,https://youtube.com/results?search_query=opengl+rgb+vs+rgba+format+kannada,https://youtube.com/results?search_query=opengl+rgb+vs+rgba+format+tamil,https://youtube.com/results?search_query=opengl+rgb+vs+rgba+format+telugu
Opengl,Intermediate,What is the difference between GLSL versions: 330,400,450?,Shaders,GLSL,Versions,"A,330: OpenGL 3.3; 400: OpenGL 4.0; 450: OpenGL 4.5; each adds new features and syntax.",Shaders,https://www.khronos.org/opengl/wiki/GLSL_Versions,https://youtube.com/results?search_query=opengl+glsl+versions+comparison,https://youtube.com/results?search_query=opengl+glsl+versions+comparison+hindi,https://youtube.com/results?search_query=opengl+glsl+versions+comparison+kannada,https://youtube.com/results?search_query=opengl+glsl+versions+comparison+tamil,https://youtube.com/results?search_query=opengl+glsl+versions+comparison+telugu
Opengl,Intermediate,What is the difference between uniform buffer objects and shader storage buffer objects?,Buffers,Uniform,Storage,A,UBO: read-only,"smaller, better performance; SSBO: read/write, larger, more flexible.",Buffers,https://www.khronos.org/opengl/wiki/Shader_Storage_Buffer_Object,https://youtube.com/results?search_query=opengl+ubo+vs+ssbo,https://youtube.com/results?search_query=opengl+ubo+vs+ssbo+hindi,https://youtube.com/results?search_query=opengl+ubo+vs+ssbo+kannada,https://youtube.com/results?search_query=opengl+ubo+vs+ssbo+tamil,https://youtube.com/results?search_query=opengl+ubo+vs+ssbo+telugu
Opengl,Intermediate,What is the difference between GL_RGBA8 and GL_RGBA32F texture internal formats?,Textures,Formats,Precision,A,GL_RGBA8: 8-bit per channel (normalized); GL_RGBA32F: 32-bit float per channel (HDR,high precision).,Textures,https://www.khronos.org/opengl/wiki/Texture#Texture_image_formats,https://youtube.com/results?search_query=opengl+rgba8+vs+rgba32f,https://youtube.com/results?search_query=opengl+rgba8+vs+rgba32f+hindi,https://youtube.com/results?search_query=opengl+rgba8+vs+rgba32f+kannada,https://youtube.com/results?search_query=opengl+rgba8+vs+rgba32f+tamil,https://youtube.com/results?search_query=opengl+rgba8+vs+rgba32f+telugu
Opengl,Intermediate,What is the difference between GL_FLOAT and GL_HALF_FLOAT vertex attributes?,Vertex,Attributes,Precision,A,GL_FLOAT: 32-bit float; GL_HALF_FLOAT: 16-bit float (less precision,less memory).,Vertex Specification,https://www.khronos.org/opengl/wiki/Vertex_Specification,https://youtube.com/results?search_query=opengl+float+vs+half_float+attributes,https://youtube.com/results?search_query=opengl+float+vs+half_float+attributes+hindi,https://youtube.com/results?search_query=opengl+float+vs+half_float+attributes+kannada,https://youtube.com/results?search_query=opengl+float+vs+half_float+attributes+tamil,https://youtube.com/results?search_query=opengl+float+vs+half_float+attributes+telugu
Opengl,Intermediate,What is the difference between glGetString and glGetStringi?,Queries,String,Indexed,A,glGetString: gets single string (e.g.,"GL_VERSION); glGetStringi: gets indexed string (e.g., extensions).",Queries,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glGetString.xhtml,https://youtube.com/results?search_query=opengl+glGetString+vs+glGetStringi,https://youtube.com/results?search_query=opengl+glGetString+vs+glGetStringi+hindi,https://youtube.com/results?search_query=opengl+glGetString+vs+glGetStringi+kannada,https://youtube.com/results?search_query=opengl+glGetString+vs+glGetStringi+tamil,https://youtube.com/results?search_query=opengl+glGetString+vs+glGetStringi+telugu
Opengl,Intermediate,What is the difference between GLU and modern helper libraries?,Libraries,GLU,Modern,A,GLU: OpenGL Utility Library (deprecated features); modern: GLM,Eigen for mathematics.,Libraries,https://www.khronos.org/opengl/wiki/GLU,https://youtube.com/results?search_query=opengl+glu+vs+modern+libraries,https://youtube.com/results?search_query=opengl+glu+vs+modern+libraries+hindi,https://youtube.com/results?search_query=opengl+glu+vs+modern+libraries+kannada,https://youtube.com/results?search_query=opengl+glu+vs+modern+libraries+tamil,https://youtube.com/results?search_query=opengl+glu+vs+modern+libraries+telugu
