skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Go,Basic,What is the basic structure of a Go program?,Program structure,Main package,Go program,A,package main," import statements, func main() { }.",Program Structure,https://golang.org/doc/effective_go,https://youtube.com/results?search_query=go+program+structure,https://youtube.com/results?search_query=go+program+structure+hindi,https://youtube.com/results?search_query=go+program+structure+kannada,https://youtube.com/results?search_query=go+program+structure+tamil,https://youtube.com/results?search_query=go+program+structure+telugu
Go,Basic,How do you write Hello World in Go?,Hello World,First program,Basic program,A,package main; import "fmt"; func main() { fmt.Println("Hello, World!") },Hello World,https://golang.org/doc/tutorial/getting-started,https://youtube.com/results?search_query=go+hello+world,https://youtube.com/results?search_query=go+hello+world+hindi,https://youtube.com/results?search_query=go+hello+world+kannada,https://youtube.com/results?search_query=go+hello+world+tamil,https://youtube.com/results?search_query=go+hello+world+telugu
Go,Basic,What is the difference between Print, Println, and Printf?,Print functions,Output methods,Formatting,"A,Print() prints without newline, Println() adds newline, Printf() formats output.",Print Functions,https://pkg.go.dev/fmt,https://youtube.com/results?search_query=go+print+println+printf,https://youtube.com/results?search_query=go+print+println+printf+hindi,https://youtube.com/results?search_query=go+print+println+printf+kannada,https://youtube.com/results?search_query=go+print+println+printf+tamil,https://youtube.com/results?search_query=go+print+println+printf+telugu
Go,Basic,What are Go's basic data types?,Data types,Primitive types,Type system,A,int," float64, string, bool, etc.",Data Types,https://golang.org/ref/spec#Types,https://youtube.com/results?search_query=go+data+types,https://youtube.com/results?search_query=go+data+types+hindi,https://youtube.com/results?search_query=go+data+types+kannada,https://youtube.com/results?search_query=go+data+types+tamil,https://youtube.com/results?search_query=go+data+types+telugu
Go,Basic,How do you write comments in Go?,Comments,Code documentation,Notes,A,Single-line: // comment, Multi-line: /* comment */,Comments,https://golang.org/doc/effective_go#commentary,https://youtube.com/results?search_query=go+comments,https://youtube.com/results?search_query=go+comments+hindi,https://youtube.com/results?search_query=go+comments+kannada,https://youtube.com/results?search_query=go+comments+tamil,https://youtube.com/results?search_query=go+comments+telugu
Go,Basic,What are operators in Go?,Operators,Math operations,Comparison,A,Arithmetic: + - * / %," Comparison: == != < > <= >=, Logical: && || !",Operators,https://golang.org/ref/spec#Operators,https://youtube.com/results?search_query=go+operators,https://youtube.com/results?search_query=go+operators+hindi,https://youtube.com/results?search_query=go+operators+kannada,https://youtube.com/results?search_query=go+operators+tamil,https://youtube.com/results?search_query=go+operators+telugu
Go,Basic,How do you write switch statement in Go?,Switch,Multiple conditions,Case selection,A,switch expression { case value1:," case value2:, default: }",Switch Statement,https://golang.org/ref/spec#Switch_statements,https://youtube.com/results?search_query=go+switch+statement,https://youtube.com/results?search_query=go+switch+statement+hindi,https://youtube.com/results?search_query=go+switch+statement+kannada,https://youtube.com/results?search_query=go+switch+statement+tamil,https://youtube.com/results?search_query=go+switch+statement+telugu
Go,Basic,How do you return values from functions?,Return values,Function output,Results,A,return value or return value1, value2 (multiple returns).,Return Values,https://golang.org/ref/spec#Return_statements,https://youtube.com/results?search_query=go+return+values,https://youtube.com/results?search_query=go+return+values+hindi,https://youtube.com/results?search_query=go+return+values+kannada,https://youtube.com/results?search_query=go+return+values+tamil,https://youtube.com/results?search_query=go+return+values+telugu
Go,Basic,What are multiple return values in Go?,Multiple returns,Multiple values,Tuple returns,A,Functions can return multiple values: func f() (int," string) { return 1, "hello" }",Multiple Returns,https://golang.org/doc/effective_go#multiple-returns,https://youtube.com/results?search_query=go+multiple+returns,https://youtube.com/results?search_query=go+multiple+returns+hindi,https://youtube.com/results?search_query=go+multiple+returns+kannada,https://youtube.com/results?search_query=go+multiple+returns+tamil,https://youtube.com/results?search_query=go+multiple+returns+telugu
Go,Basic,How do you handle errors in Go?,Error handling,Error checking,Panic,A,Functions return error as last value, check if err != nil.,Error Handling,https://golang.org/doc/effective_go#errors,https://youtube.com/results?search_query=go+error+handling,https://youtube.com/results?search_query=go+error+handling+hindi,https://youtube.com/results?search_query=go+error+handling+kannada,https://youtube.com/results?search_query=go+error+handling+tamil,https://youtube.com/results?search_query=go+error+handling+telugu
Go,Basic,What are slices in Go?,Slices,Dynamic arrays,Resizable,A,Dynamic," flexible view into arrays: []int{1, 2, 3} or make([]int, 5).",Slices,https://golang.org/ref/spec#Slice_types,https://youtube.com/results?search_query=go+slices,https://youtube.com/results?search_query=go+slices+hindi,https://youtube.com/results?search_query=go+slices+kannada,https://youtube.com/results?search_query=go+slices+tamil,https://youtube.com/results?search_query=go+slices+telugu
Go,Basic,What is the difference between array and slice?,Array vs slice,Fixed vs dynamic,Size comparison,A,Arrays have fixed size, slices are dynamic and reference arrays.,Array vs Slice,https://golang.org/doc/effective_go#arrays,https://youtube.com/results?search_query=go+array+vs+slice,https://youtube.com/results?search_query=go+array+vs+slice+hindi,https://youtube.com/results?search_query=go+array+vs+slice+kannada,https://youtube.com/results?search_query=go+array+vs+slice+tamil,https://youtube.com/results?search_query=go+array+vs+slice+telugu
Go,Basic,What are maps in Go?,Maps,Dictionaries,Hash tables,A,Key-value pairs: map[string]int{"a": 1, "b": 2}.,Maps,https://golang.org/ref/spec#Map_types,https://youtube.com/results?search_query=go+maps,https://youtube.com/results?search_query=go+maps+hindi,https://youtube.com/results?search_query=go+maps+kannada,https://youtube.com/results?search_query=go+maps+tamil,https://youtube.com/results?search_query=go+maps+telugu
Go,Basic,How do you iterate over arrays/slices/maps?,Iteration,Range loop,For range,A,for index," value := range slice { } or for key, value := range map { }.",Range Loop,https://golang.org/ref/spec#For_range,https://youtube.com/results?search_query=go+range+loop,https://youtube.com/results?search_query=go+range+loop+hindi,https://youtube.com/results?search_query=go+range+loop+kannada,https://youtube.com/results?search_query=go+range+loop+tamil,https://youtube.com/results?search_query=go+range+loop+telugu
Go,Basic,How do you create instances of structs?,Struct instances,Object creation,New struct,A,person := Person{Name: "John", Age: 30} or var person Person then set fields.,Struct Instances,https://golang.org/ref/spec#Struct_types,https://youtube.com/results?search_query=go+struct+instances,https://youtube.com/results?search_query=go+struct+instances+hindi,https://youtube.com/results?search_query=go+struct+instances+kannada,https://youtube.com/results?search_query=go+struct+instances+tamil,https://youtube.com/results?search_query=go+struct+instances+telugu
Go,Basic,What is new() function in Go?,New function,Pointer allocation,Memory allocation,A,new(Type) allocates memory," zeroes it, returns *Type.",new Function,https://golang.org/pkg/builtin/#new,https://youtube.com/results?search_query=go+new+function,https://youtube.com/results?search_query=go+new+function+hindi,https://youtube.com/results?search_query=go+new+function+kannada,https://youtube.com/results?search_query=go+new+function+tamil,https://youtube.com/results?search_query=go+new+function+telugu
Go,Basic,What is make() function in Go?,Make function,Slice map channel,Initialization,A,make(Type," size) creates slices, maps, channels (not for arrays/structs).",make Function,https://golang.org/pkg/builtin/#make,https://youtube.com/results?search_query=go+make+function,https://youtube.com/results?search_query=go+make+function+hindi,https://youtube.com/results?search_query=go+make+function+kannada,https://youtube.com/results?search_query=go+make+function+tamil,https://youtube.com/results?search_query=go+make+function+telugu
Go,Basic,What is type switch in Go?,Type switch,Type checking,Switch on type,A,switch v := i.(type) { case int:," case string:, default: }.",Type Switch,https://golang.org/ref/spec#Type_switches,https://youtube.com/results?search_query=go+type+switch,https://youtube.com/results?search_query=go+type+switch+hindi,https://youtube.com/results?search_query=go+type+switch+kannada,https://youtube.com/results?search_query=go+type+switch+tamil,https://youtube.com/results?search_query=go+type+switch+telugu
Go,Basic,How do you send and receive on channels?,Channel operations,Send receive,Communication,A,Send: ch <- value, Receive: value := <-ch.,Channel Operations,https://golang.org/ref/spec#Send_statements,https://youtube.com/results?search_query=go+channel+operations,https://youtube.com/results?search_query=go+channel+operations+hindi,https://youtube.com/results?search_query=go+channel+operations+kannada,https://youtube.com/results?search_query=go+channel+operations+tamil,https://youtube.com/results?search_query=go+channel+operations+telugu
Go,Basic,What is select statement in Go?,Select statement,Multiple channels,Channel selection,A,Waits on multiple channel operations: select { case <-ch1:, case ch2 <- value: }.,Select Statement,https://golang.org/ref/spec#Select_statements,https://youtube.com/results?search_query=go+select+statement,https://youtube.com/results?search_query=go+select+statement+hindi,https://youtube.com/results?search_query=go+select+statement+kannada,https://youtube.com/results?search_query=go+select+statement+tamil,https://youtube.com/results?search_query=go+select+statement+telugu
Go,Basic,How do you build a Go program?,Build program,Compilation,Executable,A,'go build' compiles package and dependencies, produces executable.,Build Program,https://golang.org/cmd/go/#hdr-Compile_packages_and_dependencies,https://youtube.com/results?search_query=go+build+program,https://youtube.com/results?search_query=go+build+program+hindi,https://youtube.com/results?search_query=go+build+program+kannada,https://youtube.com/results?search_query=go+build+program+tamil,https://youtube.com/results?search_query=go+build+program+telugu
Go,Basic,What is panic in Go?,Panic,Runtime error,Program crash,A,panic("message") stops normal execution, begins panicking.,Panic,https://golang.org/pkg/builtin/#panic,https://youtube.com/results?search_query=go+panic,https://youtube.com/results?search_query=go+panic+hindi,https://youtube.com/results?search_query=go+panic+kannada,https://youtube.com/results?search_query=go+panic+tamil,https://youtube.com/results?search_query=go+panic+telugu
Go,Basic,What is value vs pointer receiver?,Value pointer receiver,Method types,Receiver types,A,Value receiver works on copy, pointer receiver works on original.,Value vs Pointer Receiver,https://golang.org/doc/effective_go#methods,https://youtube.com/results?search_query=go+value+pointer+receiver,https://youtube.com/results?search_query=go+value+pointer+receiver+hindi,https://youtube.com/results?search_query=go+value+pointer+receiver+kannada,https://youtube.com/results?search_query=go+value+pointer+receiver+tamil,https://youtube.com/results?search_query=go+value+pointer+receiver+telugu
Go,Basic,What is blank identifier in Go?,Blank identifier,Ignore values,Underscore,A,_ used to ignore values: _, err := functionReturningValueAndError().,Blank Identifier,https://golang.org/doc/effective_go#blank,https://youtube.com/results?search_query=go+blank+identifier,https://youtube.com/results?search_query=go+blank+identifier+hindi,https://youtube.com/results?search_query=go+blank+identifier+kannada,https://youtube.com/results?search_query=go+blank+identifier+tamil,https://youtube.com/results?search_query=go+blank+identifier+telugu
Go,Basic,What is iota in Go?,Iota,Enumeration,Constant generator,A,iota generates successive integer constants: const ( A = iota," B, C ).",Iota,https://golang.org/ref/spec#Iota,https://youtube.com/results?search_query=go+iota,https://youtube.com/results?search_query=go+iota+hindi,https://youtube.com/results?search_query=go+iota+kannada,https://youtube.com/results?search_query=go+iota+tamil,https://youtube.com/results?search_query=go+iota+telugu
Go,Basic,What is type alias in Go?,Type alias,Type definition,New name,A,type MyInt = int creates alias, type MyInt int creates new type.,Type Alias,https://golang.org/ref/spec#Type_declarations,https://youtube.com/results?search_query=go+type+alias,https://youtube.com/results?search_query=go+type+alias+hindi,https://youtube.com/results?search_query=go+type+alias+kannada,https://youtube.com/results?search_query=go+type+alias+tamil,https://youtube.com/results?search_query=go+type+alias+telugu
Go,Basic,What are string literals in Go?,String literals,Quoted strings,Text values,A,"double quotes" for interpreted strings, `backticks` for raw strings.,String Literals,https://golang.org/ref/spec#String_literals,https://youtube.com/results?search_query=go+string+literals,https://youtube.com/results?search_query=go+string+literals+hindi,https://youtube.com/results?search_query=go+string+literals+kannada,https://youtube.com/results?search_query=go+string+literals+tamil,https://youtube.com/results?search_query=go+string+literals+telugu
