skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

ReactJS,Beginner,What is the main purpose of React?,To build user interfaces,To handle backend logic,To manage databases,To create mobile apps,A,React is a JavaScript library for building fast, interactive user interfaces (mostly for web).,Introduction,https://react.dev/learn,https://youtube.com/results?search_query=what+is+react+Beginner,https://youtube.com/results?search_query=react+introduction+hindi,https://youtube.com/results?search_query=react+introduction+kannada,https://youtube.com/results?search_query=react+introduction+tamil,https://youtube.com/results?search_query=react+introduction+telugu
ReactJS,Beginner,Why is React called a library and not a framework?,It only provides UI layer,It includes routing & state management,It forces a specific project structure,It has no opinionated way,A,React focuses only on the view layer; routing, state, etc. are added separately.,Introduction,https://react.dev/learn/start-a-new-react-project#frameworks-vs-libraries,https://youtube.com/results?search_query=react+library+vs+framework,https://youtube.com/results?search_query=react+library+vs+framework+hindi,https://youtube.com/results?search_query=react+library+vs+framework+kannada,https://youtube.com/results?search_query=react+library+vs+framework+tamil,https://youtube.com/results?search_query=react+library+vs+framework+telugu
ReactJS,Beginner,When was React first released by Facebook?,2013,2015,2010,2018,A,React was open-sourced in May 2013.,History,https://react.dev/learn,https://youtube.com/results?search_query=when+was+react+released,https://youtube.com/results?search_query=react+history+hindi,https://youtube.com/results?search_query=react+history+kannada,https://youtube.com/results?search_query=react+history+tamil,https://youtube.com/results?search_query=react+history+telugu
ReactJS,Beginner,What is JSX?,JavaScript XML syntax extension,Syntax for writing HTML in JS,Compiled to JavaScript,All of the above,D,JSX is a syntax extension that looks like HTML but compiles to React.createElement calls.,JSX,https://react.dev/learn/writing-markup-with-jsx,https://youtube.com/results?search_query=what+is+jsx+react,https://youtube.com/results?search_query=jsx+react+hindi,https://youtube.com/results?search_query=jsx+react+kannada,https://youtube.com/results?search_query=jsx+react+tamil,https://youtube.com/results?search_query=jsx+react+telugu
ReactJS,Beginner,Why do we need to import React in files that use JSX (before React 17)?,To use JSX syntax,To access React.createElement,To enable hooks,To use React.Component,B,JSX transpiles to React.createElement — so React must be in scope.,JSX,https://react.dev/blog/2020/09/22/introducing-the-new-jsx-transform,https://youtube.com/results?search_query=why+import+react+jsx,https://youtube.com/results?search_query=import+react+jsx+hindi,https://youtube.com/results?search_query=import+react+jsx+kannada,https://youtube.com/results?search_query=import+react+jsx+tamil,https://youtube.com/results?search_query=import+react+jsx+telugu
ReactJS,Beginner,In which case can you skip import React from 'react' in modern React projects?,React 17+ with new JSX transform,When using TypeScript only,When using Create React App v5+,When using Vite,A,New JSX transform (React 17+) automatically injects the necessary imports.,JSX,https://react.dev/blog/2020/09/22/introducing-the-new-jsx-transform,https://youtube.com/results?search_query=new+jsx+transform+react,https://youtube.com/results?search_query=new+jsx+transform+hindi,https://youtube.com/results?search_query=new+jsx+transform+kannada,https://youtube.com/results?search_query=new+jsx+transform+tamil,https://youtube.com/results?search_query=new+jsx+transform+telugu
ReactJS,Beginner,What is the Virtual DOM in React?,A real browser DOM copy in memory,An abstract representation of UI,Used to compute minimal DOM updates,All of the above,D,Virtual DOM is a lightweight copy that enables efficient diffing & minimal real DOM updates.,Core Concepts,https://react.dev/learn/render-and-commit,https://youtube.com/results?search_query=react+virtual+dom+explained,https://youtube.com/results?search_query=virtual+dom+hindi,https://youtube.com/results?search_query=virtual+dom+kannada,https://youtube.com/results?search_query=virtual+dom+tamil,https://youtube.com/results?search_query=virtual+dom+telugu
ReactJS,Beginner,Why is Virtual DOM faster than direct DOM manipulation?,It batches updates,It avoids unnecessary reflows,It uses diffing algorithm,All of the above,D,React computes minimal changes via reconciliation → fewer expensive DOM operations.,Core Concepts,https://react.dev/learn/render-and-commit,https://youtube.com/results?search_query=why+virtual+dom+faster,https://youtube.com/results?search_query=virtual+dom+fast+hindi,https://youtube.com/results?search_query=virtual+dom+fast+kannada,https://youtube.com/results?search_query=virtual+dom+fast+tamil,https://youtube.com/results?search_query=virtual+dom+fast+telugu
ReactJS,Beginner,What is reconciliation in React?,Matching old & new Virtual DOM,Rendering components to browser,Updating state,Handling events,A,Reconciliation (diffing) finds the minimal set of DOM changes needed.,Core Concepts,https://react.dev/learn/preserving-and-resetting-state#different-components-at-the-same-position,https://youtube.com/results?search_query=react+reconciliation,https://youtube.com/results?search_query=react+reconciliation+hindi,https://youtube.com/results?search_query=react+reconciliation+kannada,https://youtube.com/results?search_query=react+reconciliation+tamil,https://youtube.com/results?search_query=react+reconciliation+telugu
