skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Terraform,Basic,What are the main benefits of using Terraform?,Introduction,Benefits,Advantages,The main benefits include: 1) Infrastructure as Code, 2) Execution Plans (terraform plan)," 3) Resource Graph (visualizes dependencies), 4) Change Automation", 5) Multi-Cloud and Provider Ecosystem.,https://www.terraform.io/intro#benefits,https://youtube.com/results?search_query=terraform+benefits,https://youtube.com/results?search_query=terraform+benefits+hindi,https://youtube.com/results?search_query=terraform+benefits+kannada,https://youtube.com/results?search_query=terraform+benefits+tamil,https://youtube.com/results?search_query=terraform+benefits+telugu
Terraform,Basic,What is a Terraform provider?,Core Concepts,Provider,Plugin,Integration,A provider is a plugin that Terraform uses to interact with an API (e.g.," AWS, Azure, Google Cloud", Kubernetes). Providers are responsible for understanding API interactions and exposing resources.,https://www.terraform.io/language/providers,https://youtube.com/results?search_query=terraform+provider,https://youtube.com/results?search_query=terraform+provider+hindi,https://youtube.com/results?search_query=terraform+provider+kannada,https://youtube.com/results?search_query=terraform+provider+tamil,https://youtube.com/results?search_query=terraform+provider+telugu
Terraform,Basic,What is a Terraform resource?,Core Concepts,Resource,Component,Infrastructure,A resource is the most important element in Terraform. Each resource block describes one or more infrastructure objects (e.g., an EC2 instance, a virtual network) that you want to manage.,https://www.terraform.io/language/resources,https://youtube.com/results?search_query=terraform+resource,https://youtube.com/results?search_query=terraform+resource+hindi,https://youtube.com/results?search_query=terraform+resource+kannada,https://youtube.com/results?search_query=terraform+resource+tamil,https://youtube.com/results?search_query=terraform+resource+telugu
Terraform,Basic,What is the basic structure of a Terraform configuration file?,Syntax,File Structure,Configuration,The basic structure includes: 1) Provider block (configures the provider), 2) Resource blocks (define infrastructure)," 3) Data source blocks (optional), 4) Variable blocks (optional)", 5) Output blocks (optional). Files have a .tf extension.,https://www.terraform.io/language/syntax/configuration,https://youtube.com/results?search_query=terraform+configuration+file+structure,https://youtube.com/results?search_query=terraform+configuration+file+structure+hindi,https://youtube.com/results?search_query=terraform+configuration+file+structure+kannada,https://youtube.com/results?search_query=terraform+configuration+file+structure+tamil,https://youtube.com/results?search_query=terraform+configuration+file+structure+telugu
Terraform,Basic,Why is the state file important?,Core Concepts,State,Importance,Dependencies,The state file is crucial because: 1) It tracks resource IDs and attributes," 2) It maps real resources to your configuration, 3) It stores metadata, 4) It helps Terraform determine what changes need to be applied", 5) It manages dependencies.,https://www.terraform.io/language/state#purpose-of-terraform-state,https://youtube.com/results?search_query=terraform+state+importance,https://youtube.com/results?search_query=terraform+state+importance+hindi,https://youtube.com/results?search_query=terraform+state+importance+kannada,https://youtube.com/results?search_query=terraform+state+importance+tamil,https://youtube.com/results?search_query=terraform+state+importance+telugu
Terraform,Basic,What is a Terraform backend?,Core Concepts,Backend,State Storage,Remote,Backends determine where Terraform stores its state file. The default backend is `local` (stores state on disk). Remote backends (e.g.," S3, Azure Storage", Terraform Cloud) allow team collaboration and state locking.,https://www.terraform.io/language/settings/backends,https://youtube.com/results?search_query=terraform+backend,https://youtube.com/results?search_query=terraform+backend+hindi,https://youtube.com/results?search_query=terraform+backend+kannada,https://youtube.com/results?search_query=terraform+backend+tamil,https://youtube.com/results?search_query=terraform+backend+telugu
Terraform,Basic,What are Terraform variables?,Core Concepts,Variables,Input,Parameter,Variables allow you to parameterize your Terraform configurations. They are defined in `variable` blocks and can be assigned values via command line, environment variables, or variable files.,https://www.terraform.io/language/values/variables,https://youtube.com/results?search_query=terraform+variables,https://youtube.com/results?search_query=terraform+variables+hindi,https://youtube.com/results?search_query=terraform+variables+kannada,https://youtube.com/results?search_query=terraform+variables+tamil,https://youtube.com/results?search_query=terraform+variables+telugu
Terraform,Basic,What are Terraform outputs?,Core Concepts,Outputs,Export,Information,Outputs are like return values for a Terraform module. They expose information about the infrastructure (e.g., IP addresses, resource IDs) to users or other Terraform configurations.,https://www.terraform.io/language/values/outputs,https://youtube.com/results?search_query=terraform+outputs,https://youtube.com/results?search_query=terraform+outputs+hindi,https://youtube.com/results?search_query=terraform+outputs+kannada,https://youtube.com/results?search_query=terraform+outputs+tamil,https://youtube.com/results?search_query=terraform+outputs+telugu
Terraform,Basic,What is the purpose of the `terraform workspace` command?,Commands,terraform workspace,Environment,Isolation,`terraform workspace` manages workspaces," which are separate instances of state data for the same configuration. Workspaces allow you to manage multiple distinct environments (e.g., dev, staging", prod) with the same code.,https://www.terraform.io/cli/commands/workspace,https://youtube.com/results?search_query=terraform+workspace,https://youtube.com/results?search_query=terraform+workspace+hindi,https://youtube.com/results?search_query=terraform+workspace+kannada,https://youtube.com/results?search_query=terraform+workspace+tamil,https://youtube.com/results?search_query=terraform+workspace+telugu
Terraform,Basic,What is the difference between a variable and a local value?,Core Concepts,Variable,Locals,Input vs Internal,Variables are inputs to the module (configurable from outside). Local values are internal to the module, used to simplify expressions and avoid repetition. Variables are declared with `variable`, locals with `locals`.,https://www.terraform.io/language/values/locals,https://youtube.com/results?search_query=variable+vs+locals+terraform,https://youtube.com/results?search_query=variable+vs+locals+terraform+hindi,https://youtube.com/results?search_query=variable+vs+locals+terraform+kannada,https://youtube.com/results?search_query=variable+vs+locals+terraform+tamil,https://youtube.com/results?search_query=variable+vs+locals+terraform+telugu
