skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Swift,Advanced,Explain Swift's ARC (Automatic Reference Counting) and memory management,Memory Management,ARC,Strong references, weak references, unowned references,"ARC automatically manages memory by counting references. Strong references increase retain count, weak references don't, unowned references assume always valid. Use weak for optional", unowned for non-optional relationships.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/automaticreferencecounting/,https://youtube.com/results?search_query=swift+arc+memory+management,https://youtube.com/results?search_query=swift+arc+memory+management+hindi,https://youtube.com/results?search_query=swift+arc+memory+management+kannada,https://youtube.com/results?search_query=swift+arc+memory+management+tamil,https://youtube.com/results?search_query=swift+arc+memory+management+telugu
Swift,Advanced,What are Swift's copy-on-write (COW) semantics and how to implement them?,Memory Management,Copy-on-Write,Value semantics, reference semantics, COW optimization,"Copy-on-write delays copying until mutation. Implement with isKnownUniquelyReferenced to check if unique reference. Used by Array, Dictionary", Set for performance.,https://github.com/apple/swift/blob/main/docs/CopyOnWrite.rst,https://youtube.com/results?search_query=swift+copy+on+write,https://youtube.com/results?search_query=swift+copy+on+write+hindi,https://youtube.com/results?search_query=swift+copy+on+write+kannada,https://youtube.com/results?search_query=swift+copy+on+write+tamil,https://youtube.com/results?search_query=swift+copy+on+write+telugu
Swift,Advanced,Explain Swift's memory layout: size, stride, alignment,Memory Management,Memory Layout,Size," stride, alignment, MemoryLayout<T>,MemoryLayout provides size (bytes needed), stride (bytes between instances)", alignment (byte alignment). Use for low-level memory operations and optimization.,https://developer.apple.com/documentation/swift/memorylayout,https://youtube.com/results?search_query=swift+memory+layout,https://youtube.com/results?search_query=swift+memory+layout+hindi,https://youtube.com/results?search_query=swift+memory+layout+kannada,https://youtube.com/results?search_query=swift+memory+layout+tamil,https://youtube.com/results?search_query=swift+memory+layout+telugu
Swift,Advanced,What are Swift's existential types and type erasure?,Generics,Type System,Existential types, type erasure, any Protocol,Existential types: any Protocol (runtime type). Type erasure: hides concrete type behind protocol. Use AnyCollection, AnyPublisher for generic constraints.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/opaqueandboxtedtypes/,https://youtube.com/results?search_query=swift+type+erasure,https://youtube.com/results?search_query=swift+type+erasure+hindi,https://youtube.com/results?search_query=swift+type+erasure+kannada,https://youtube.com/results?search_query=swift+type+erasure+tamil,https://youtube.com/results?search_query=swift+type+erasure+telugu
Swift,Advanced,What are Swift's associated types in protocols and generic constraints?,Protocols,Generics,Associated types, where clauses, Self requirements,Associated types make protocols generic. Constraints with where clauses. Self for type identity. Used in Collection, IteratorProtocol.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/generics/,https://youtube.com/results?search_query=swift+associated+types,https://youtube.com/results?search_query=swift+associated+types+hindi,https://youtube.com/results?search_query=swift+associated+types+kannada,https://youtube.com/results?search_query=swift+associated+types+tamil,https://youtube.com/results?search_query=swift+associated+types+telugu
Swift,Advanced,What is Swift's dynamic dispatch vs static dispatch?,Performance,Dispatch,Dynamic dispatch, static dispatch, virtual table," witness table,Dynamic dispatch: runtime method resolution (class inheritance, protocols). Static dispatch: compile-time resolution (structs, final classes, @inline). Virtual tables for classes", witness tables for protocols.,https://developer.apple.com/swift/blog/?id=27,https://youtube.com/results?search_query=swift+dynamic+dispatch,https://youtube.com/results?search_query=swift+dynamic+dispatch+hindi,https://youtube.com/results?search_query=swift+dynamic+dispatch+kannada,https://youtube.com/results?search_query=swift+dynamic+dispatch+tamil,https://youtube.com/results?search_query=swift+dynamic+dispatch+telugu
Swift,Advanced,Explain Swift's @objc and dynamic for Objective-C interoperability,Interoperability,Objective-C,@objc, dynamic, message forwarding," runtime,@objc exposes Swift to Objective-C runtime. dynamic enables dynamic dispatch (KVO, method swizzling). Required for Core Data, KVO", selectors.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/imported_c_and_objective-c_apis/,https://youtube.com/results?search_query=swift+objc+dynamic,https://youtube.com/results?search_query=swift+objc+dynamic+hindi,https://youtube.com/results?search_query=swift+objc+dynamic+kannada,https://youtube.com/results?search_query=swift+objc+dynamic+tamil,https://youtube.com/results?search_query=swift+objc+dynamic+telugu
Swift,Advanced,Explain Swift's result builders and DSL creation,Language Features,Result Builders,Result builders, @resultBuilder, DSL, domain-specific languages,Result builders transform sequence of expressions into single value. Used by SwiftUI (@ViewBuilder). Create DSLs with @resultBuilder.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/advancedoperators/,https://youtube.com/results?search_query=swift+result+builders,https://youtube.com/results?search_query=swift+result+builders+hindi,https://youtube.com/results?search_query=swift+result+builders+kannada,https://youtube.com/results?search_query=swift+result+builders+tamil,https://youtube.com/results?search_query=swift+result+builders+telugu
Swift,Advanced,What is Swift's actor model and concurrency isolation?,Concurrency,Actors,Actor model, isolation, sendable, async/await,Actors protect mutable state via isolation. Only async access from outside. Sendable types safe to share. Prevents data races at compile time.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/concurrency/,https://youtube.com/results?search_query=swift+actors,https://youtube.com/results?search_query=swift+actors+hindi,https://youtube.com/results?search_query=swift+actors+kannada,https://youtube.com/results?search_query=swift+actors+tamil,https://youtube.com/results?search_query=swift+actors+telugu
Swift,Advanced,Explain Swift's async/await and structured concurrency,Concurrency,Async/Await,Async/await, Task, structured concurrency, continuations,Async/await for asynchronous code. Task for concurrent work. Structured concurrency manages task lifetimes. Continuations bridge callback APIs.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/concurrency/,https://youtube.com/results?search_query=swift+async+await,https://youtube.com/results?search_query=swift+async+await+hindi,https://youtube.com/results?search_query=swift+async+await+kannada,https://youtube.com/results?search_query=swift+async+await+tamil,https://youtube.com/results?search_query=swift+async+await+telugu
