skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Cpp,Advanced,When should you implement move constructors instead of copy constructors?,Performance optimization,Resource transfer,rvalue usage,Move semantics,A,Implement move constructors when objects manage expensive resources that can be transferred instead of copied.,Core Concepts,https://en.cppreference.com/w/cpp/language/move_constructor,https://youtube.com/results?search_query=cpp+move+vs+copy,https://youtube.com/results?search_query=cpp+move+vs+copy+hindi,https://youtube.com/results?search_query=cpp+move+vs+copy+kannada,https://youtube.com/results?search_query=cpp+move+vs+copy+tamil,https://youtube.com/results?search_query=cpp+move+vs+copy+telugu
Cpp,Advanced,How does perfect forwarding eliminate unnecessary copies in template functions?,Universal references,Argument forwarding,Performance,Template optimization,A,"Perfect forwarding preserves value categories, allowing rvalues to be moved instead of copied.",Templates,https://en.cppreference.com/w/cpp/utility/forward,https://youtube.com/results?search_query=cpp+perfect+forwarding+optimization,https://youtube.com/results?search_query=cpp+perfect+forwarding+optimization+hindi,https://youtube.com/results?search_query=cpp+perfect+forwarding+optimization+kannada,https://youtube.com/results?search_query=cpp+perfect+forwarding+optimization+tamil,https://youtube.com/results?search_query=cpp+perfect+forwarding+optimization+telugu
Cpp,Advanced,Can SFINAE detect if a class has a specific member function at compile time?,Template metaprogramming,Type checking,Member detection,Compile-time reflection,A,"Yes, SFINAE can be used to create traits that check for member function existence.",Templates,https://en.cppreference.com/w/cpp/language/sfinae,https://youtube.com/results?search_query=cpp+sfinae+member+detection,https://youtube.com/results?search_query=cpp+sfinae+member+detection+hindi,https://youtube.com/results?search_query=cpp+sfinae+member+detection+kannada,https://youtube.com/results?search_query=cpp+sfinae+member+detection+tamil,https://youtube.com/results?search_query=cpp+sfinae+member+detection+telugu
Cpp,Advanced,How does CRTP achieve static polymorphism without virtual function overhead?,Template inheritance,Compile-time dispatch,Performance optimization,Design patterns,A,"CRTP uses compile-time method resolution through templates, avoiding runtime vtable lookups.",Design Patterns,https://en.cppreference.com/w/cpp/language/crtp,https://youtube.com/results?search_query=cpp+crtp+performance,https://youtube.com/results?search_query=cpp+crtp+performance+hindi,https://youtube.com/results?search_query=cpp+crtp+performance+kannada,https://youtube.com/results?search_query=cpp+crtp+performance+tamil,https://youtube.com/results?search_query=cpp+crtp+performance+telugu
Cpp,Advanced,What are the performance implications of using std::any for type erasure?,Runtime polymorphism,Dynamic allocation,Type safety,Performance costs,A,"std::any involves heap allocation and type checking overhead, making it slower than template-based solutions.",Design Patterns,https://en.cppreference.com/w/cpp/utility/any,https://youtube.com/results?search_query=cpp+std+any+performance,https://youtube.com/results?search_query=cpp+std+any+performance+hindi,https://youtube.com/results?search_query=cpp+std+any+performance+kannada,https://youtube.com/results?search_query=cpp+std+any+performance+tamil,https://youtube.com/results?search_query=cpp+std+any+performance+telugu
Cpp,Advanced,How can expression templates optimize matrix operations at compile time?,Template metaprogramming,Lazy evaluation,Matrix math,Compile-time optimization,A,"Expression templates create temporary expression objects that compute results in single loops, avoiding intermediate copies.",Templates,https://en.cppreference.com/w/cpp/language/expression_templates,https://youtube.com/results?search_query=cpp+expression+templates+matrix,https://youtube.com/results?search_query=cpp+expression+templates+matrix+hindi,https://youtube.com/results?search_query=cpp+expression+templates+matrix+kannada,https://youtube.com/results?search_query=cpp+expression+templates+matrix+tamil,https://youtube.com/results?search_query=cpp+expression+templates+matrix+telugu
Cpp,Advanced,Why does std::launder exist and when must you use it?,Pointer optimization,Memory model,Object lifetime,Compiler barriers,A,std::launder informs the compiler about object reuse in memory to prevent incorrect optimizations.,Memory Management,https://en.cppreference.com/w/cpp/utility/launder,https://youtube.com/results?search_query=cpp+std+launder,https://youtube.com/results?search_query=cpp+std+launder+hindi,https://youtube.com/results?search_query=cpp+std+launder+kannada,https://youtube.com/results?search_query=cpp+std+launder+tamil,https://youtube.com/results?search_query=cpp+std+launder+telugu
Cpp,Advanced,How does std::variant achieve type-safe union with visitor pattern?,Sum types,Pattern matching,Type-safe unions,std::visit,A,std::variant stores one of multiple types and uses visitation for type-safe access with compile-time checking.,STL,https://en.cppreference.com/w/cpp/utility/variant,https://youtube.com/results?search_query=cpp+variant+visitor,https://youtube.com/results?search_query=cpp+variant+visitor+hindi,https://youtube.com/results?search_query=cpp+variant+visitor+kannada,https://youtube.com/results?search_query=cpp+variant+visitor+tamil,https://youtube.com/results?search_query=cpp+variant+visitor+telugu
Cpp,Advanced,When would you use placement new instead of regular new?,Memory pools,Custom allocation,Object construction,Performance optimization,A,"Placement new constructs objects in pre-allocated memory, useful for custom allocators and memory pools.",Memory Management,https://en.cppreference.com/w/cpp/language/new,https://youtube.com/results?search_query=cpp+placement+new,https://youtube.com/results?search_query=cpp+placement+new+hindi,https://youtube.com/results?search_query=cpp+placement+new+kannada,https://youtube.com/results?search_query=cpp+placement+new+tamil,https://youtube.com/results?search_query=cpp+placement+new+telugu
Cpp,Advanced,How does constexpr enable compile-time computation in modern C++?,Compile-time evaluation,Constant expressions,Template metaprogramming,Performance optimization,A,"constexpr allows functions and variables to be evaluated at compile time, reducing runtime overhead.",Core Concepts,https://en.cppreference.com/w/cpp/language/constexpr,https://youtube.com/results?search_query=cpp+constexpr+compile+time,https://youtube.com/results?search_query=cpp+constexpr+compile+time+hindi,https://youtube.com/results?search_query=cpp+constexpr+compile+time+kannada,https://youtube.com/results?search_query=cpp+constexpr+compile+time+tamil,https://youtube.com/results?search_query=cpp+constexpr+compile+time+telugu
