skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
C++,Basic,What is the dereference operator?,*,&,->,.,A,* is used to access the value at the address stored in a pointer.,Pointers,https://en.cppreference.com/w/cpp/language/operator_member_access,https://youtube.com/results?search_query=c+++dereference+operator,https://youtube.com/results?search_query=c+++dereference+operator+hindi,https://youtube.com/results?search_query=c+++dereference+operator+kannada,https://youtube.com/results?search_query=c+++dereference+operator+tamil,https://youtube.com/results?search_query=c+++dereference+operator+telugu
C++,Basic,What is the address-of operator?,&,*,->,.,A,& returns the memory address of a variable.,Pointers,https://en.cppreference.com/w/cpp/language/operator_member_access,https://youtube.com/results?search_query=c+++address+operator,https://youtube.com/results?search_query=c+++address+operator+hindi,https://youtube.com/results?search_query=c+++address+operator+kannada,https://youtube.com/results?search_query=c+++address+operator+tamil,https://youtube.com/results?search_query=c+++address+operator+telugu
C++,Basic,What is a reference in C++?,Alias for a variable,Pointer,New variable,Function,A,Reference is an alias (another name) for an existing variable.,References,https://en.cppreference.com/w/cpp/language/reference,https://youtube.com/results?search_query=c+++references,https://youtube.com/results?search_query=c+++references+hindi,https://youtube.com/results?search_query=c+++references+kannada,https://youtube.com/results?search_query=c+++references+tamil,https://youtube.com/results?search_query=c+++references+telugu
C++,Basic,How to declare a reference?,int &ref = x;,int ref = &x;,ref int &x;,&ref int = x;,A,int &ref = x; creates a reference ref to variable x.,References,https://en.cppreference.com/w/cpp/language/reference,https://youtube.com/results?search_query=c+++reference+declaration,https://youtube.com/results?search_query=c+++reference+declaration+hindi,https://youtube.com/results?search_query=c+++reference+declaration+kannada,https://youtube.com/results?search_query=c+++reference+declaration+tamil,https://youtube.com/results?search_query=c+++reference+declaration+telugu
C++,Basic,What is a class in C++?,Blueprint for objects,Function,Variable,Data type,A,Class is a user-defined data type that serves as a blueprint for objects.,Classes,https://en.cppreference.com/w/cpp/language/class,https://youtube.com/results?search_query=c+++classes,https://youtube.com/results?search_query=c+++classes+hindi,https://youtube.com/results?search_query=c+++classes+kannada,https://youtube.com/results?search_query=c+++classes+tamil,https://youtube.com/results?search_query=c+++classes+telugu
C++,Basic,What is an object?,Instance of a class,Blueprint,Function,Variable,A,Object is an instance of a class.,Classes,https://en.cppreference.com/w/cpp/language/object,https://youtube.com/results?search_query=c+++objects,https://youtube.com/results?search_query=c+++objects+hindi,https://youtube.com/results?search_query=c+++objects+kannada,https://youtube.com/results?search_query=c+++objects+tamil,https://youtube.com/results?search_query=c+++objects+telugu
C++,Basic,What is encapsulation?,Bundling data and methods,Inheritance,Polymorphism,Abstraction,A,Encapsulation is bundling data and methods that operate on that data within a class.,OOP,https://en.cppreference.com/w/cpp/language/classes,https://youtube.com/results?search_query=c+++encapsulation,https://youtube.com/results?search_query=c+++encapsulation+hindi,https://youtube.com/results?search_query=c+++encapsulation+kannada,https://youtube.com/results?search_query=c+++encapsulation+tamil,https://youtube.com/results?search_query=c+++encapsulation+telugu
C++,Basic,What is inheritance?,Deriving new class from existing class,Bundling data,Method overriding,Data hiding,A,Inheritance allows a new class to acquire properties of an existing class.,OOP,https://en.cppreference.com/w/cpp/language/inheritance,https://youtube.com/results?search_query=c+++inheritance,https://youtube.com/results?search_query=c+++inheritance+hindi,https://youtube.com/results?search_query=c+++inheritance+kannada,https://youtube.com/results?search_query=c+++inheritance+tamil,https://youtube.com/results?search_query=c+++inheritance+telugu
C++,Basic,What is polymorphism?,One interface,multiple forms,Inheritance,Encapsulation,Abstraction,"A,Polymorphism allows objects of different types to be treated as objects of a common type.",OOP,https://en.cppreference.com/w/cpp/language/virtual,https://youtube.com/results?search_query=c+++polymorphism,https://youtube.com/results?search_query=c+++polymorphism+hindi,https://youtube.com/results?search_query=c+++polymorphism+kannada,https://youtube.com/results?search_query=c+++polymorphism+tamil,https://youtube.com/results?search_query=c+++polymorphism+telugu
C++,Basic,What is abstraction?,Hiding implementation details,Inheritance,Polymorphism,Encapsulation,A,Abstraction shows only essential features and hides implementation details.,OOP,https://en.cppreference.com/w/cpp/language/classes,https://youtube.com/results?search_query=c+++abstraction,https://youtube.com/results?search_query=c+++abstraction+hindi,https://youtube.com/results?search_query=c+++abstraction+kannada,https://youtube.com/results?search_query=c+++abstraction+tamil,https://youtube.com/results?search_query=c+++abstraction+telugu
