skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Advanced,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Opengl,Advanced,What is the primary difference between immediate mode (glBegin/glEnd) and modern vertex specification?,Vertex Specification,Immediate Mode,VAO,VBO,A,"Immediate mode submits vertices one by one; modern uses VBO/VAO for batched, GPU-side storage with better performance.",Core Concepts,https://www.khronos.org/opengl/wiki/Vertex_Specification,https://youtube.com/results?search_query=opengl+immediate+mode+vs+vbo+vao,https://youtube.com/results?search_query=opengl+immediate+mode+vs+vbo+vao+hindi,https://youtube.com/results?search_query=opengl+immediate+mode+vs+vbo+vao+kannada,https://youtube.com/results?search_query=opengl+immediate+mode+vs+vbo+vao+tamil,https://youtube.com/results?search_query=opengl+immediate+mode+vs+vbo+vao+telugu
Opengl,Advanced,How does a Vertex Array Object (VAO) encapsulate vertex array state?,VAO,State Management,Vertex Specification,OpenGL Objects,A,"VAO stores bindings between VBOs and vertex attribute formats, reducing API calls and enabling efficient state switching.",Core Concepts,https://www.khronos.org/opengl/wiki/Vertex_Specification#Vertex_Array_Object,https://youtube.com/results?search_query=opengl+vao+vertex+array+object,https://youtube.com/results?search_query=opengl+vao+vertex+array+object+hindi,https://youtube.com/results?search_query=opengl+vao+vertex+array+object+kannada,https://youtube.com/results?search_query=opengl+vao+vertex+array+object+tamil,https://youtube.com/results?search_query=opengl+vao+vertex+array+object+telugu
Opengl,Advanced,What is the purpose of glDrawElementsIndirect and how does it differ from glDrawElements?,Indirect Rendering,Multi Draw,GPU Driven,Performance,A,"glDrawElementsIndirect reads draw parameters from GPU buffer, enabling GPU-driven rendering without CPU intervention per draw.",Advanced Rendering,https://www.khronos.org/opengl/wiki/Indirect_Drawing,https://youtube.com/results?search_query=opengl+glDrawElementsIndirect+indirect+rendering,https://youtube.com/results?search_query=opengl+glDrawElementsIndirect+indirect+rendering+hindi,https://youtube.com/results?search_query=opengl+glDrawElementsIndirect+indirect+rendering+kannada,https://youtube.com/results?search_query=opengl+glDrawElementsIndirect+indirect+rendering+tamil,https://youtube.com/results?search_query=opengl+glDrawElementsIndirect+indirect+rendering+telugu
Opengl,Advanced,What is Transform Feedback and what are its typical use cases?,Transform Feedback,GPU Compute,Particle Systems,Geometry Processing,A,"Transform Feedback captures vertex shader outputs to buffer, used for particle systems, physics, animation without CPU readback.",Advanced Features,https://www.khronos.org/opengl/wiki/Transform_Feedback,https://youtube.com/results?search_query=opengl+transform+feedback+tutorial,https://youtube.com/results?search_query=opengl+transform+feedback+tutorial+hindi,https://youtube.com/results?search_query=opengl+transform+feedback+tutorial+kannada,https://youtube.com/results?search_query=opengl+transform+feedback+tutorial+tamil,https://youtube.com/results?search_query=opengl+transform+feedback+tutorial+telugu
Opengl,Advanced,How does Geometry Shader differ from Tessellation Shaders in the rendering pipeline?,Geometry Shader,Tessellation,Pipeline,Shader Stages,A,Geometry shader creates new primitives from existing ones; Tessellation subdivides patches dynamically with TC/TE stages.,Shader Programming,https://www.khronos.org/opengl/wiki/Geometry_Shader,https://youtube.com/results?search_query=opengl+geometry+shader+vs+tessellation,https://youtube.com/results?search_query=opengl+geometry+shader+vs+tessellation+hindi,https://youtube.com/results?search_query=opengl+geometry+shader+vs+tessellation+kannada,https://youtube.com/results?search_query=opengl+geometry+shader+vs+tessellation+tamil,https://youtube.com/results?search_query=opengl+geometry+shader+vs+tessellation+telugu
Opengl,Advanced,What are the advantages of using Uniform Buffer Objects (UBO) over individual uniform calls?,UBO,Performance,Shader Uniforms,Data Sharing,A,"UBOs allow sharing uniform data across shaders, reduce API overhead, and support larger uniform data blocks.",Shader Programming,https://www.khronos.org/opengl/wiki/Uniform_Buffer_Object,https://youtube.com/results?search_query=opengl+uniform+buffer+object+ubo,https://youtube.com/results?search_query=opengl+uniform+buffer+object+ubo+hindi,https://youtube.com/results?search_query=opengl+uniform+buffer+object+ubo+kannada,https://youtube.com/results?search_query=opengl+uniform+buffer+object+ubo+tamil,https://youtube.com/results?search_query=opengl+uniform+buffer+object+ubo+telugu
Opengl,Advanced,How do Shader Storage Buffer Objects (SSBO) differ from Uniform Buffer Objects?,SSBO,Compute Shaders,GPU Memory,Atomic Operations,A,"SSBOs are larger, read-write, support atomics and arbitrary size; UBOs are read-only, smaller, faster for constants.",Advanced Features,https://www.khronos.org/opengl/wiki/Shader_Storage_Buffer_Object,https://youtube.com/results?search_query=opengl+ssbo+vs+ubo+difference,https://youtube.com/results?search_query=opengl+ssbo+vs+ubo+difference+hindi,https://youtube.com/results?search_query=opengl+ssbo+vs+ubo+difference+kannada,https://youtube.com/results?search_query=opengl+ssbo+vs+ubo+difference+tamil,https://youtube.com/results?search_query=opengl+ssbo+vs+ubo+difference+telugu
Opengl,Advanced,What is the purpose of glMemoryBarrier and when should it be used?,Memory Barrier,Synchronization,Compute Shaders,Image Load Store,A,"glMemoryBarrier ensures memory operations complete before subsequent operations, needed with image load/store, SSBO, atomics.",Advanced Features,https://www.khronos.org/opengl/wiki/Memory_Model,https://youtube.com/results?search_query=opengl+glMemoryBarrier+memory+barrier,https://youtube.com/results?search_query=opengl+glMemoryBarrier+memory+barrier+hindi,https://youtube.com/results?search_query=opengl+glMemoryBarrier+memory+barrier+kannada,https://youtube.com/results?search_query=opengl+glMemoryBarrier+memory+barrier+tamil,https://youtube.com/results?search_query=opengl+glMemoryBarrier+memory+barrier+telugu
Opengl,Advanced,How does OpenGL's Program Pipeline Object differ from a single Program Object?,Program Pipeline,Separate Shaders,State Management,Modularity,A,"Program Pipeline allows linking separable shader stages independently, enabling modular shader combinations and hot-swapping.",Shader Programming,https://www.khronos.org/opengl/wiki/Program_Pipeline,https://youtube.com/results?search_query=opengl+program+pipeline+object,https://youtube.com/results?search_query=opengl+program+pipeline+object+hindi,https://youtube.com/results?search_query=opengl+program+pipeline+object+kannada,https://youtube.com/results?search_query=opengl+program+pipeline+object+tamil,https://youtube.com/results?search_query=opengl+program+pipeline+object+telugu
