skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
C++,Intermediate,Which operator is known as the scope resolution operator in C++?,"::",":",".","->",A,"The :: operator is used to access members of a namespace, class, or struct.",Operators,https://en.cppreference.com/w/cpp/language/scope,https://youtube.com/results?search_query=cpp+scope+resolution+operator,https://youtube.com/results?search_query=cpp+scope+resolution+operator+hindi,https://youtube.com/results?search_query=cpp+scope+resolution+operator+kannada,https://youtube.com/results?search_query=cpp+scope+resolution+operator+tamil,https://youtube.com/results?search_query=cpp+scope+resolution+operator+telugu
C++,Intermediate,How does the 'const' keyword affect member functions in a class?,Prevents modification of member variables,Allows modification of member variables,Makes function static,Makes function virtual,A,const member functions promise not to modify any member variables of the class.,Classes,https://en.cppreference.com/w/cpp/language/member_functions,https://youtube.com/results?search_query=cpp+const+member+functions,https://youtube.com/results?search_query=cpp+const+member+functions+hindi,https://youtube.com/results?search_query=cpp+const+member+functions+kannada,https://youtube.com/results?search_query=cpp+const+member+functions+tamil,https://youtube.com/results?search_query=cpp+const+member+functions+telugu
C++,Intermediate,Identify the primary purpose of function templates.,Create generic functions for multiple data types,Improve runtime performance,Reduce code readability,Enforce type safety,A,Function templates allow writing generic code that works with different data types.,Templates,https://en.cppreference.com/w/cpp/language/function_template,https://youtube.com/results?search_query=cpp+function+templates,https://youtube.com/results?search_query=cpp+function+templates+hindi,https://youtube.com/results?search_query=cpp+function+templates+kannada,https://youtube.com/results?search_query=cpp+function+templates+tamil,https://youtube.com/results?search_query=cpp+function+templates+telugu
C++,Intermediate,What distinguishes a virtual function from a regular member function?,Can be overridden in derived classes,Cannot be called directly,Always inline,Faster execution,A,Virtual functions enable runtime polymorphism through function overriding.,OOP,https://en.cppreference.com/w/cpp/language/virtual,https://youtube.com/results?search_query=cpp+virtual+functions,https://youtube.com/results?search_query=cpp+virtual+functions+hindi,https://youtube.com/results?search_query=cpp+virtual+functions+kannada,https://youtube.com/results?search_query=cpp+virtual+functions+tamil,https://youtube.com/results?search_query=cpp+virtual+functions+telugu
C++,Intermediate,Explain the concept of deep copy versus shallow copy.,Deep copy duplicates all resources, shallow copy copies pointers,Both are identical,Deep copy is faster,Shallow copy duplicates resources,"A,Deep copy creates independent copies of dynamically allocated memory, while shallow copy copies pointers.",Memory Management,https://en.cppreference.com/w/cpp/language/rule_of_three,https://youtube.com/results?search_query=cpp+deep+shallow+copy,https://youtube.com/results?search_query=cpp+deep+shallow+copy+hindi,https://youtube.com/results?search_query=cpp+deep+shallow+copy+kannada,https://youtube.com/results?search_query=cpp+deep+shallow+copy+tamil,https://youtube.com/results?search_query=cpp+deep+shallow+copy+telugu
C++,Intermediate,Which casting operator is considered the safest for polymorphic types?,dynamic_cast,static_cast,reinterpret_cast,const_cast,A,dynamic_cast performs runtime type checking and is safe for polymorphic class hierarchies.,Type Conversion,https://en.cppreference.com/w/cpp/language/dynamic_cast,https://youtube.com/results?search_query=cpp+dynamic+cast,https://youtube.com/results?search_query=cpp+dynamic+cast+hindi,https://youtube.com/results?search_query=cpp+dynamic+cast+kannada,https://youtube.com/results?search_query=cpp+dynamic+cast+tamil,https://youtube.com/results?search_query=cpp+dynamic+cast+telugu
C++,Intermediate,Describe the purpose of the Rule of Three in C++.,Guideline for managing resources in classes,Rule for function overloading,Template specialization rule,Exception handling rule,A,"If a class needs a custom destructor, copy constructor, or copy assignment operator, it likely needs all three.",Classes,https://en.cppreference.com/w/cpp/language/rule_of_three,https://youtube.com/results?search_query=cpp+rule+of+three,https://youtube.com/results?search_query=cpp+rule+of+three+hindi,https://youtube.com/results?search_query=cpp+rule+of+three+kannada,https://youtube.com/results?search_query=cpp+rule+of+three+tamil,https://youtube.com/results?search_query=cpp+rule+of+three+telugu
C++,Intermediate,How does RAII (Resource Acquisition Is Initialization) help in C++?,Ensures resource cleanup via destructors,Improves performance,Simplifies syntax,Enhances compilation speed,A,"RAII ties resource management to object lifetime, ensuring automatic cleanup when objects go out of scope.",Memory Management,https://en.cppreference.com/w/cpp/language/raii,https://youtube.com/results?search_query=cpp+raii,https://youtube.com/results?search_query=cpp+raii+hindi,https://youtube.com/results?search_query=cpp+raii+kannada,https://youtube.com/results?search_query=cpp+raii+tamil,https://youtube.com/results?search_query=cpp+raii+telugu
C++,Intermediate,What is the main advantage of using smart pointers over raw pointers?,Automatic memory management,Faster execution,Smaller memory footprint,Simpler syntax,A,"Smart pointers automatically manage memory, preventing leaks and simplifying ownership semantics.",Memory Management,https://en.cppreference.com/w/cpp/memory,https://youtube.com/results?search_query=cpp+smart+pointers+advantage,https://youtube.com/results?search_query=cpp+smart+pointers+advantage+hindi,https://youtube.com/results?search_query=cpp+smart+pointers+advantage+kannada,https://youtube.com/results?search_query=cpp+smart+pointers+advantage+tamil,https://youtube.com/results?search_query=cpp+smart+pointers+advantage+telugu
C++,Intermediate,When should you use std::move?,To indicate an object can be moved from,To copy an object,To delete an object,To resize an object,A,"std::move casts an object to an rvalue reference, enabling move semantics.",Move Semantics,https://en.cppreference.com/w/cpp/utility/move,https://youtube.com/results?search_query=cpp+std+move,https://youtube.com/results?search_query=cpp+std+move+hindi,https://youtube.com/results?search_query=cpp+std+move+kannada,https://youtube.com/results?search_query=cpp+std+move+tamil,https://youtube.com/results?search_query=cpp+std+move+telugu
