skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Selenium,Advanced,How do you handle dynamic web elements in Selenium WebDriver?,Locators,Dynamic Elements,Waits,Use explicit waits with ExpectedConditions, relative XPath/CSS selectors (contains," starts-with, ends-with)", or find elements by multiple attributes. Avoid using absolute XPaths and implement retry mechanisms for flaky elements.,https://www.selenium.dev/documentation/webdriver/elements/finders/,https://youtube.com/results?search_query=selenium+handle+dynamic+elements,https://youtube.com/results?search_query=selenium+dynamic+elements+hindi,https://youtube.com/results?search_query=selenium+dynamic+elements+kannada,https://youtube.com/results?search_query=selenium+dynamic+elements+tamil,https://youtube.com/results?search_query=selenium+dynamic+elements+telugu
Selenium,Advanced,How do you execute JavaScript code in Selenium WebDriver?,JavaScript Executor,Script Execution,Interactions,Use JavascriptExecutor interface: ((JavascriptExecutor)driver).executeScript("script", args). Useful for clicking hidden elements," scrolling, getting page properties", or performing actions when WebDriver fails.,https://www.selenium.dev/documentation/webdriver/elements/interactions/,https://youtube.com/results?search_query=selenium+javascript+executor,https://youtube.com/results?search_query=selenium+javascript+executor+hindi,https://youtube.com/results?search_query=selenium+javascript+executor+kannada,https://youtube.com/results?search_query=selenium+javascript+executor+tamil,https://youtube.com/results?search_query=selenium+javascript+executor+telugu
Selenium,Advanced,What are the different types of exceptions in Selenium and how do you handle them?,Exceptions,Error Handling,Debugging,Common exceptions: NoSuchElementException, StaleElementReferenceException," TimeoutException, ElementNotInteractableException. Handle using try-catch, explicit waits, retry mechanisms", and proper synchronization.,https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/,https://youtube.com/results?search_query=selenium+exceptions+handling,https://youtube.com/results?search_query=selenium+exceptions+hindi,https://youtube.com/results?search_query=selenium+exceptions+kannada,https://youtube.com/results?search_query=selenium+exceptions+tamil,https://youtube.com/results?search_query=selenium+exceptions+telugu
Selenium,Advanced,How do you perform drag and drop operations in Selenium?,Actions Class,Mouse Actions,Interactions,Use Actions class: new Actions(driver).dragAndDrop(source, target).perform(). For complex drag-drop," use clickAndHold(), moveToElement()", release() sequence. Some implementations may require JavaScript.,https://www.selenium.dev/documentation/webdriver/actions_api/mouse/,https://youtube.com/results?search_query=selenium+drag+and+drop,https://youtube.com/results?search_query=selenium+drag+drop+hindi,https://youtube.com/results?search_query=selenium+drag+drop+kannada,https://youtube.com/results?search_query=selenium+drag+drop+tamil,https://youtube.com/results?search_query=selenium+drag+drop+telugu
Selenium,Advanced,How do you handle file uploads in Selenium?,File Upload,Send Keys,System Dialogs,Use sendKeys() with the absolute file path to the input element of type="file". For non-input elements, may need AutoIT, Robot class, or Sikuli. Modern apps may use JavaScript or drag-drop.,https://www.selenium.dev/documentation/webdriver/elements/file_upload/,https://youtube.com/results?search_query=selenium+file+upload,https://youtube.com/results?search_query=selenium+file+upload+hindi,https://youtube.com/results?search_query=selenium+file+upload+kannada,https://youtube.com/results?search_query=selenium+file+upload+tamil,https://youtube.com/results?search_query=selenium+file+upload+telugu
Selenium,Advanced,How do you capture screenshots and videos in Selenium tests?,Reporting,Screenshots,Evidence,Use TakesScreenshot interface: ((TakesScreenshot)driver).getScreenshotAs(OutputType.FILE). For videos, use third-party tools like Allure, ExtentReports, or integrate with CI/CD tools. Selenium 4 has native support for relative screenshots.,https://www.selenium.dev/documentation/webdriver/capabilities/shared/,https://youtube.com/results?search_query=selenium+screenshots+videos,https://youtube.com/results?search_query=selenium+screenshots+hindi,https://youtube.com/results?search_query=selenium+screenshots+kannada,https://youtube.com/results?search_query=selenium+screenshots+tamil,https://youtube.com/results?search_query=selenium+screenshots+telugu
Selenium,Advanced,What are Data Driven and Keyword Driven frameworks in Selenium?,Frameworks,Test Design,Patterns,Data Driven: Test data separated from scripts (Excel, CSV," DB). Keyword Driven: Keywords represent actions stored separately. Hybrid combines both. Uses Apache POI, TestNG DataProvider", or external data sources.,https://www.selenium.dev/documentation/test_practices/,https://youtube.com/results?search_query=selenium+data+driven+keyword+driven,https://youtube.com/results?search_query=selenium+data+driven+hindi,https://youtube.com/results?search_query=selenium+data+driven+kannada,https://youtube.com/results?search_query=selenium+data+driven+tamil,https://youtube.com/results?search_query=selenium+data+driven+telugu
Selenium,Advanced,How do you handle browser cookies in Selenium?,Cookies,Session Management,Storage,Use driver.manage().getCookies(), addCookie()," deleteCookie(), deleteAllCookies(). Useful for authentication, session testing", or bypassing login screens by adding authenticated cookies.,https://www.selenium.dev/documentation/webdriver/interactions/cookies/,https://youtube.com/results?search_query=selenium+handle+cookies,https://youtube.com/results?search_query=selenium+cookies+hindi,https://youtube.com/results?search_query=selenium+cookies+kannada,https://youtube.com/results?search_query=selenium+cookies+tamil,https://youtube.com/results?search_query=selenium+cookies+telugu
Selenium,Advanced,What are relative locators in Selenium 4 and how do they work?,Locators,Selenium 4,Relative Positioning,Relative locators (Friendly Locators) find elements relative to others: above(), below()," toLeftOf(), toRightOf()", near(). Uses JavaScript getBoundingClientRect() to calculate positions. Useful when few attributes are available.,https://www.selenium.dev/documentation/webdriver/elements/locators/,https://youtube.com/results?search_query=selenium+relative+locators,https://youtube.com/results?search_query=selenium+relative+locators+hindi,https://youtube.com/results?search_query=selenium+relative+locators+kannada,https://youtube.com/results?search_query=selenium+relative+locators+tamil,https://youtube.com/results?search_query=selenium+relative+locators+telugu
Selenium,Advanced,How do you perform database testing with Selenium?,Database,Integration,Validation,Use JDBC to connect to databases and execute queries. Combine UI tests with DB validation: perform action in UI, verify data in DB. Useful for testing CRUD operations, data integrity, and backend validations.,https://docs.oracle.com/javase/tutorial/jdbc/,https://youtube.com/results?search_query=selenium+database+testing,https://youtube.com/results?search_query=selenium+database+hindi,https://youtube.com/results?search_query=selenium+database+kannada,https://youtube.com/results?search_query=selenium+database+tamil,https://youtube.com/results?search_query=selenium+database+telugu
Selenium,Advanced,What are headless browsers and when to use them?,Headless,Execution,Browsers,Headless browsers run without GUI (Chrome Headless, Firefox Headless). Faster execution," suitable for CI/CD, server environments. Use for regression tests", smoke tests. Not for visual validation or complex user interactions.,https://www.selenium.dev/documentation/webdriver/browsers/,https://youtube.com/results?search_query=selenium+headless+browsers,https://youtube.com/results?search_query=selenium+headless+hindi,https://youtube.com/results?search_query=selenium+headless+kannada,https://youtube.com/results?search_query=selenium+headless+tamil,https://youtube.com/results?search_query=selenium+headless+telugu
