skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

JavaScript,Intermediate,What is the difference between NodeList and HTMLCollection?,DOM,Collections,Types,A,NodeList: static/live nodes; HTMLCollection: live collection of elements.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/NodeList,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+hindi,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+kannada,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+tamil,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+telugu
JavaScript,Intermediate,What is the difference between appendChild and append?,DOM,Manipulation,Methods,A,appendChild(): adds single node; append(): adds multiple nodes/strings.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/appendChild,https://youtube.com/results?search_query=javascript+appendchild+vs+append,https://youtube.com/results?search_query=javascript+appendchild+vs+append+hindi,https://youtube.com/results?search_query=javascript+appendchild+vs+append+kannada,https://youtube.com/results?search_query=javascript+appendchild+vs+append+tamil,https://youtube.com/results?search_query=javascript+appendchild+vs+append+telugu
JavaScript,Intermediate,What are data attributes and how to use them?,DOM,Custom attributes,Data storage,A,data-* attributes: store custom data; accessed via dataset property.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/HTMLElement/dataset,https://youtube.com/results?search_query=javascript+data+attributes,https://youtube.com/results?search_query=javascript+data+attributes+hindi,https://youtube.com/results?search_query=javascript+data+attributes+kannada,https://youtube.com/results?search_query=javascript+data+attributes+tamil,https://youtube.com/results?search_query=javascript+data+attributes+telugu
JavaScript,Intermediate,What is the difference between classList and className?,DOM,Classes,Manipulation,A,className: string of classes; classList: DOMTokenList with add(), remove(), toggle(), contains().,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/classList,https://youtube.com/results?search_query=javascript+classlist+vs+classname,https://youtube.com/results?search_query=javascript+classlist+vs+classname+hindi,https://youtube.com/results?search_query=javascript+classlist+vs+classname+kannada,https://youtube.com/results?search_query=javascript+classlist+vs+classname+tamil,https://youtube.com/results?search_query=javascript+classlist+vs+classname+telugu
JavaScript,Intermediate,What is the difference between getAttribute and dataset?,DOM,Attributes,Data access,A,getAttribute(): gets any attribute; dataset: specifically for data-* attributes.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/getAttribute,https://youtube.com/results?search_query=javascript+getattribute+vs+dataset,https://youtube.com/results?search_query=javascript+getattribute+vs+dataset+hindi,https://youtube.com/results?search_query=javascript+getattribute+vs+dataset+kannada,https://youtube.com/results?search_query=javascript+getattribute+vs+dataset+tamil,https://youtube.com/results?search_query=javascript+getattribute+vs+dataset+telugu
JavaScript,Intermediate,What is the difference between window.onload and DOMContentLoaded?,Events,Page loading,Timing,A,DOMContentLoaded: DOM ready; window.onload: all resources loaded.,Events,https://developer.mozilla.org/en-US/docs/Web/API/Document/DOMContentLoaded_event,https://youtube.com/results?search_query=javascript+domcontentloaded+vs+onload,https://youtube.com/results?search_query=javascript+domcontentloaded+vs+onload+hindi,https://youtube.com/results?search_query=javascript+domcontentloaded+vs+onload+kannada,https://youtube.com/results?search_query=javascript+domcontentloaded+vs+onload+tamil,https://youtube.com/results?search_query=javascript+domcontentloaded+vs+onload+telugu
JavaScript,Intermediate,What is the difference between addEventListener and onclick?,Events,Handling,Methods,A,addEventListener(): multiple handlers; onclick: single handler, HTML attribute.,Events,https://developer.mozilla.org/en-US/docs/Web/API/EventTarget/addEventListener,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+hindi,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+kannada,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+tamil,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+telugu
JavaScript,Intermediate,What is event.target vs event.currentTarget?,Events,Targeting,Properties,A,event.target: element that triggered event; event.currentTarget: element with event listener.,Events,https://developer.mozilla.org/en-US/docs/Web/API/Event/target,https://youtube.com/results?search_query=javascript+event+target+vs+currenttarget,https://youtube.com/results?search_query=javascript+event+target+vs+currenttarget+hindi,https://youtube.com/results?search_query=javascript+event+target+vs+currenttarget+kannada,https://youtube.com/results?search_query=javascript+event+target+vs+currenttarget+tamil,https://youtube.com/results?search_query=javascript+event+target+vs+currenttarget+telugu
JavaScript,Intermediate,What is the difference between mouseenter/mouseleave and mouseover/mouseout?,Events,Mouse,Hover,A,mouseenter/mouseleave: no bubbling; mouseover/mouseout: bubble.,Events,https://developer.mozilla.org/en-US/docs/Web/API/Element/mouseenter_event,https://youtube.com/results?search_query=javascript+mouseenter+vs+mouseover,https://youtube.com/results?search_query=javascript+mouseenter+vs+mouseover+hindi,https://youtube.com/results?search_query=javascript+mouseenter+vs+mouseover+kannada,https://youtube.com/results?search_query=javascript+mouseenter+vs+mouseover+tamil,https://youtube.com/results?search_query=javascript+mouseenter+vs+mouseover+telugu
JavaScript,Intermediate,What is the difference between keydown, keypress, and keyup?,Events,Keyboard,Timing,A,keydown: key pressed; keypress: character input (deprecated); keyup: key released.,Events,https://developer.mozilla.org/en-US/docs/Web/API/Element/keydown_event,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+hindi,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+kannada,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+tamil,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+telugu
JavaScript,Intermediate,What is the difference between input and change events?,Events,Form,Input,A,input: fires on value change; change: fires when element loses focus after change.,Events,https://developer.mozilla.org/en-US/docs/Web/API/HTMLElement/input_event,https://youtube.com/results?search_query=javascript+input+vs+change+event,https://youtube.com/results?search_query=javascript+input+vs+change+event+hindi,https://youtube.com/results?search_query=javascript+input+vs+change+event+kannada,https://youtube.com/results?search_query=javascript+input+vs+change+event+tamil,https://youtube.com/results?search_query=javascript+input+vs+change+event+telugu
JavaScript,Intermediate,What is the difference between focus and focusin events?,Events,Focus,Blur,A,focus: doesn't bubble; focusin: bubbles.,Events,https://developer.mozilla.org/en-US/docs/Web/API/Element/focus_event,https://youtube.com/results?search_query=javascript+focus+vs+focusin,https://youtube.com/results?search_query=javascript+focus+vs+focusin+hindi,https://youtube.com/results?search_query=javascript+focus+vs+focusin+kannada,https://youtube.com/results?search_query=javascript+focus+vs+focusin+tamil,https://youtube.com/results?search_query=javascript+focus+vs+focusin+telugu
JavaScript,Intermediate,What is the difference between submit event on form vs click event on submit button?,Events,Form,Submission,A,submit: form submission; click: button click; submit can be triggered programmatically.,Events,https://developer.mozilla.org/en-US/docs/Web/API/HTMLFormElement/submit_event,https://youtube.com/results?search_query=javascript+submit+vs+click+event,https://youtube.com/results?search_query=javascript+submit+vs+click+event+hindi,https://youtube.com/results?search_query=javascript+submit+vs+click+event+kannada,https://youtube.com/results?search_query=javascript+submit+vs+click+event+tamil,https://youtube.com/results?search_query=javascript+submit+vs+click+event+telugu
