skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
python,advanced,What truly happens when a metaclass defines __prepare__?,It creates the namespace dict before the class body executes,It replaces __new__ entirely,It runs after __init_subclass__,It is ignored in modern Python,A,"__prepare__ returns a custom mapping (usually dict) used as the initial namespace before the class body is executed.",Metaclasses,https://docs.python.org/3/reference/datamodel.html#metaclasses,https://youtube.com/results?search_query=python+metaclass+__prepare__,https://youtube.com/results?search_query=python+metaclass+hindi,https://youtube.com/results?search_query=python+metaclass+kannada,https://youtube.com/results?search_query=python+metaclass+tamil,https://youtube.com/results?search_query=python+metaclass+telugu
python,advanced,Which descriptor type takes precedence over instance attributes during lookup?,Data descriptor (has __set__ or __delete__),Non-data descriptor (only __get__),Property descriptor,Slot descriptor,A,"Data descriptors (define __get__ + __set__/__delete__) have highest priority in attribute resolution order.",Descriptors,https://docs.python.org/3/howto/descriptor.html,https://youtube.com/results?search_query=python+data+descriptor,https://youtube.com/results?search_query=python+descriptor+hindi,https://youtube.com/results?search_query=python+descriptor+kannada,https://youtube.com/results?search_query=python+descriptor+tamil,https://youtube.com/results?search_query=python+descriptor+telugu
python,advanced,What is the main purpose of functools.wraps in a decorator?,To preserve the wrapped function's __name__, __doc__ and __annotations__,To make the decorator chainable,To avoid memory leaks,To enable type checking of decorators,A,"@wraps copies metadata so help(), __name__, docstring and signature remain correct.",Decorators,https://docs.python.org/3/library/functools.html#functools.wraps,https://youtube.com/results?search_query=python+functools+wraps,https://youtube.com/results?search_query=python+decorators+hindi,https://youtube.com/results?search_query=python+decorators+kannada,https://youtube.com/results?search_query=python+decorators+tamil,https://youtube.com/results?search_query=python+decorators+telugu
python,advanced,In asyncio, what does asyncio.shield(coroutine) primarily protect against?,Cancellation of the shielded awaitable,Exceptions raised inside the coroutine,Timeouts applied to the outer task,Resource cleanup issues,A,"shield() prevents cancellation propagation to the inner task/future even if the shielding task is cancelled.",Asyncio,https://docs.python.org/3/library/asyncio-task.html#asyncio.shield,https://youtube.com/results?search_query=python+asyncio+shield,https://youtube.com/results?search_query=python+asyncio+hindi,https://youtube.com/results?search_query=python+asyncio+kannada,https://youtube.com/results?search_query=python+asyncio+tamil,https://youtube.com/results?search_query=python+asyncio+telugu
python,advanced,Why does __slots__ dramatically reduce memory usage for many small objects?,It replaces __dict__ with a fixed-size array of pointers,It disables garbage collection,It forces immutable instances,It removes method lookup overhead,A,"__slots__ eliminates per-instance __dict__ → huge memory savings when creating thousands of instances.",Memory Management,https://docs.python.org/3/reference/datamodel.html#slots,https://youtube.com/results?search_query=python+__slots__+memory,https://youtube.com/results?search_query=python+slots+hindi,https://youtube.com/results?search_query=python+slots+kannada,https://youtube.com/results?search_query=python+slots+tamil,https://youtube.com/results?search_query=python+slots+telugu
python,advanced,Which generation in CPython’s garbage collector is collected most frequently?,Generation 0,Generation 1,Generation 2,All equally often,A,"Gen 0 is collected very often (after ~700–1000 allocations), gen 1 less, gen 2 rarely.",Garbage Collection,https://docs.python.org/3/library/gc.html,https://youtube.com/results?search_query=python+gc+generations,https://youtube.com/results?search_query=python+garbage+collection+hindi,https://youtube.com/results?search_query=python+garbage+collection+kannada,https://youtube.com/results?search_query=python+garbage+collection+tamil,https://youtube.com/results?search_query=python+garbage+collection+telugu
python,advanced,What is the correct way to release the GIL in a Cython function for CPU-bound work?,Use with nogil:,Use Py_BEGIN_ALLOW_THREADS macro,Use cdef with gil=False,All of the above,D,"All three approaches can release the GIL; nogil is the idiomatic Cython way.",C Extensions & Cython,https://cython.readthedocs.io/en/latest/src/userguide/nogil.html,https://youtube.com/results?search_query=python+cython+nogil,https://youtube.com/results?search_query=cython+hindi,https://youtube.com/results?search_query=cython+kannada,https://youtube.com/results?search_query=cython+tamil,https://youtube.com/results?search_query=cython+telugu
python,advanced,In heapq, what is the time complexity of heapify(list) on a list of length n?,O(n),O(n log n),O(log n),O(1),A,"heapify builds the heap in linear time using bottom-up sifting (O(n)).",Advanced Data Structures,https://docs.python.org/3/library/heapq.html,https://youtube.com/results?search_query=python+heapq+heapify,https://youtube.com/results?search_query=python+heapq+hindi,https://youtube.com/results?search_query=python+heapq+kannada,https://youtube.com/results?search_query=python+heapq+tamil,https://youtube.com/results?search_query=python+heapq+telugu
python,advanced,Which concurrency module allows true parallelism for CPU-bound tasks in CPython?,threading,asyncio,multiprocessing,concurrent.futures,C,"multiprocessing bypasses the GIL by using separate processes.",Concurrency,https://docs.python.org/3/library/multiprocessing.html,https://youtube.com/results?search_query=python+multiprocessing+vs+threading,https://youtube.com/results?search_query=python+concurrency+hindi,https://youtube.com/results?search_query=python+concurrency+kannada,https://youtube.com/results?search_query=python+concurrency+tamil,https://youtube.com/results?search_query=python+concurrency+telugu
python,advanced,What is the main advantage of using typing.final (Python 3.11+) on a class?,It prevents subclassing at static type-checking time,It makes the class immutable,It disables __init__,It forces all methods to be static,B,"@final prevents inheritance (checked by mypy/pyright).",Type Hints & mypy,https://docs.python.org/3/library/typing.html#typing.final,https://youtube.com/results?search_query=python+typing+final,https://youtube.com/results?search_query=python+mypy+hindi,https://youtube.com/results?search_query=python+mypy+kannada,https://youtube.com/results?search_query=python+mypy+tamil,https://youtube.com/results?search_query=python+mypy+telugu
