skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Language,Basic,Question,Concept1,Concept2,Concept3,Concept4,AnswerType,Answer,Category,DocLink,YoutubeSearchEN,YoutubeSearchHindi,YoutubeSearchKannada,YoutubeSearchTamil,YoutubeSearchTelugu
Python,Basic,What is Python and what are its main features?,Programming language,Interpreted,High-level,Dynamic typing,A,"Python is an interpreted, high-level programming language known for simple syntax, readability, and extensive libraries.",Introduction,https://www.python.org/doc/,https://youtube.com/results?search_query=python+introduction,https://youtube.com/results?search_query=python+introduction+hindi,https://youtube.com/results?search_query=python+introduction+kannada,https://youtube.com/results?search_query=python+introduction+tamil,https://youtube.com/results?search_query=python+introduction+telugu
Python,Basic,"How do you print Hello, World! in Python?",Print function,Output,Basic syntax,Hello World,"A,print(Hello",World!),Basic Syntax,https://docs.python.org/3/tutorial/introduction.html,https://youtube.com/results?search_query=python+hello+world,https://youtube.com/results?search_query=python+hello+world+hindi,https://youtube.com/results?search_query=python+hello+world+kannada,https://youtube.com/results?search_query=python+hello+world+tamil,https://youtube.com/results?search_query=python+hello+world+telugu
Python,Basic,What are variables in Python and how do you declare them?,Variables,Data storage,Assignment,Identifiers,A,Variables are containers for storing data. Declare with: variable_name = value,Variables,https://docs.python.org/3/tutorial/introduction.html#using-python-as-a-calculator,https://youtube.com/results?search_query=python+variables,https://youtube.com/results?search_query=python+variables+hindi,https://youtube.com/results?search_query=python+variables+kannada,https://youtube.com/results?search_query=python+variables+tamil,https://youtube.com/results?search_query=python+variables+telugu
Python,Basic,What are the basic data types in Python?,Data types,Primitive types,Values,Type system,A,"int (integer), float (decimal), str (string), bool (boolean), NoneType (None)",Data Types,https://docs.python.org/3/library/stdtypes.html,https://youtube.com/results?search_query=python+data+types,https://youtube.com/results?search_query=python+data+types+hindi,https://youtube.com/results?search_query=python+data+types+kannada,https://youtube.com/results?search_query=python+data+types+tamil,https://youtube.com/results?search_query=python+data+types+telugu
Python,Basic,How do you write comments in Python?,Comments,Documentation,Code readability,Annotations,A,"# for single-line comments, '''triple quotes''' for multi-line comments",Comments,https://docs.python.org/3/tutorial/introduction.html#comments,https://youtube.com/results?search_query=python+comments,https://youtube.com/results?search_query=python+comments+hindi,https://youtube.com/results?search_query=python+comments+kannada,https://youtube.com/results?search_query=python+comments+tamil,https://youtube.com/results?search_query=python+comments+telugu
Python,Basic,What are strings and how do you create them?,Strings,Text,Sequence,Immutable,A,"Strings are sequences of characters. Create with single, double, or triple quotes: hello or 'hello'",Strings,https://docs.python.org/3/tutorial/introduction.html#strings,https://youtube.com/results?search_query=python+strings,https://youtube.com/results?search_query=python+strings+hindi,https://youtube.com/results?search_query=python+strings+kannada,https://youtube.com/results?search_query=python+strings+tamil,https://youtube.com/results?search_query=python+strings+telugu
Python,Basic,What are integers and floats in Python?,Numbers,Integers,Floats,Numeric types,A,"Integers are whole numbers: 5, -3, 0. Floats are decimal numbers: 3.14, -2.5, 0.0",Numbers,https://docs.python.org/3/tutorial/introduction.html#numbers,https://youtube.com/results?search_query=python+numbers+integers+floats,https://youtube.com/results?search_query=python+numbers+hindi,https://youtube.com/results?search_query=python+numbers+kannada,https://youtube.com/results?search_query=python+numbers+tamil,https://youtube.com/results?search_query=python+numbers+telugu
Python,Basic,What are Boolean values in Python?,Boolean,True False,Logical values,Conditionals,A,Boolean values are True and False (capitalized). Used in conditions and logical operations.,Boolean,https://docs.python.org/3/library/stdtypes.html#boolean-values,https://youtube.com/results?search_query=python+boolean,https://youtube.com/results?search_query=python+boolean+hindi,https://youtube.com/results?search_query=python+boolean+kannada,https://youtube.com/results?search_query=python+boolean+tamil,https://youtube.com/results?search_query=python+boolean+telugu
Python,Basic,What is the None type in Python?,None,Null value,Absence of value,Placeholder,A,None represents absence of a value or null. It's a singleton object of NoneType.,None Type,https://docs.python.org/3/library/constants.html#None,https://youtube.com/results?search_query=python+none,https://youtube.com/results?search_query=python+none+hindi,https://youtube.com/results?search_query=python+none+kannada,https://youtube.com/results?search_query=python+none+tamil,https://youtube.com/results?search_query=python+none+telugu
