skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
TypeScript,Intermediate,What is the difference between `interface` and `type` in TypeScript?,Types,Type Definitions,interface,type,Both can describe object shapes," but `interface` is extendable (`extends`) and can be merged (declaration merging). `type` can represent unions, intersections, primitives, and use mapped/conditional types. Use `interface` for object shapes", `type` for complex types.,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html#differences-between-type-aliases-and-interfaces,https://youtube.com/results?search_query=typescript+interface+vs+type,https://youtube.com/results?search_query=typescript+interface+vs+type+hindi,https://youtube.com/results?search_query=typescript+interface+vs+type+kannada,https://youtube.com/results?search_query=typescript+interface+vs+type+tamil,https://youtube.com/results?search_query=typescript+interface+vs+type+telugu
TypeScript,Intermediate,What is the difference between `any` and `unknown` types?,Types,Type Safety,any,unknown,type safety,`any` disables type checking (opt-out). `unknown` is type-safe counterpart: you must narrow it (type guards, assertions) before using. Prefer `unknown` when you don't know the type but want safety.,https://www.typescriptlang.org/docs/handbook/2/functions.html#unknown,https://youtube.com/results?search_query=typescript+any+vs+unknown,https://youtube.com/results?search_query=typescript+any+vs+unknown+hindi,https://youtube.com/results?search_query=typescript+any+vs+unknown+kannada,https://youtube.com/results?search_query=typescript+any+vs+unknown+tamil,https://youtube.com/results?search_query=typescript+any+vs+unknown+telugu
TypeScript,Intermediate,What are type guards and how do they work?,Types,Type Narrowing,type guard,typeof,instanceof,"in,Type guards are expressions that narrow types at runtime: `typeof`, `instanceof`, `in`", custom functions with return type `arg is Type`. They help TypeScript infer more specific types within conditional blocks.,https://www.typescriptlang.org/docs/handbook/2/narrowing.html,https://youtube.com/results?search_query=typescript+type+guards,https://youtube.com/results?search_query=typescript+type+guards+hindi,https://youtube.com/results?search_query=typescript+type+guards+kannada,https://youtube.com/results?search_query=typescript+type+guards+tamil,https://youtube.com/results?search_query=typescript+type+guards+telugu
TypeScript,Intermediate,What is the `keyof` operator and how is it used?,Types,Keyof Operator,keyof,index access,`keyof T` produces a union of keys of `T`. Used with indexed access: `type Keys = keyof Person;` (if `Person` has `name` and `age`," `Keys` is `"name" | "age"`). Often used with generics: `function getProperty<T, K extends keyof T>(obj: T", key: K): T[K]`.,https://www.typescriptlang.org/docs/handbook/2/keyof-types.html,https://youtube.com/results?search_query=typescript+keyof+operator,https://youtube.com/results?search_query=typescript+keyof+operator+hindi,https://youtube.com/results?search_query=typescript+keyof+operator+kannada,https://youtube.com/results?search_query=typescript+keyof+operator+tamil,https://youtube.com/results?search_query=typescript+keyof+operator+telugu
TypeScript,Intermediate,Explain mapped types with examples.,Types,Mapped Types,mapped type,in,keyof,Mapped types create new types by transforming properties of an existing type: `[K in keyof T]: NewType`. Example: `type Readonly<T> = { readonly [K in keyof T]: T[K]; }`. Can add/remove modifiers (`readonly`, `?`).,https://www.typescriptlang.org/docs/handbook/2/mapped-types.html,https://youtube.com/results?search_query=typescript+mapped+types,https://youtube.com/results?search_query=typescript+mapped+types+hindi,https://youtube.com/results?search_query=typescript+mapped+types+kannada,https://youtube.com/results?search_query=typescript+mapped+types+tamil,https://youtube.com/results?search_query=typescript+mapped+types+telugu
TypeScript,Intermediate,What is the difference between `const` assertion and `as const`?,Types,Const Assertions,const assertion,as const,`as const` (const assertion) makes an expression deeply readonly: `const arr = [1, 2] as const` → type `readonly [1, 2]`. It infers the narrowest possible literal types and makes them immutable.,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-3-4.html#const-assertions,https://youtube.com/results?search_query=typescript+as+const+assertion,https://youtube.com/results?search_query=typescript+as+const+assertion+hindi,https://youtube.com/results?search_query=typescript+as+const+assertion+kannada,https://youtube.com/results?search_query=typescript+as+const+assertion+tamil,https://youtube.com/results?search_query=typescript+as+const+assertion+telugu
TypeScript,Intermediate,What are utility types? Give examples of `Partial`, `Required`, `Pick`, `Omit`.,Types,Utility Types,"Partial,Required,Pick,Omit,Utility types are built-in type transformations. `Partial<T>` makes all properties optional. `Required<T>` makes all required. `Pick<T, K>` selects subset of keys. `Omit<T, K>` removes keys. Others: `Readonly`, `Record`, `Exclude`", `Extract`.,https://www.typescriptlang.org/docs/handbook/utility-types.html,https://youtube.com/results?search_query=typescript+utility+types,https://youtube.com/results?search_query=typescript+utility+types+hindi,https://youtube.com/results?search_query=typescript+utility+types+kannada,https://youtube.com/results?search_query=typescript+utility+types+tamil,https://youtube.com/results?search_query=typescript+utility+types+telugu
TypeScript,Intermediate,What is the `satisfies` operator and how does it differ from type annotations?,Types,Satisfies Operator,satisfies,type checking,`satisfies` (TypeScript 4.9+) checks that an expression satisfies a type without changing its inferred type. Unlike annotations (`: Type`), it preserves literal types. Example: `const obj = { x: 10 } satisfies { x: number };` keeps `10` as literal, not just `number`.,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html#the-satisfies-operator,https://youtube.com/results?search_query=typescript+satisfies+operator,https://youtube.com/results?search_query=typescript+satisfies+operator+hindi,https://youtube.com/results?search_query=typescript+satisfies+operator+kannada,https://youtube.com/results?search_query=typescript+satisfies+operator+tamil,https://youtube.com/results?search_query=typescript+satisfies+operator+telugu
TypeScript,Intermediate,Explain the `Record` utility type and its use cases.,Types,Utility Types,Record,object type,`Record<K, T>` creates an object type with keys of type `K` and values of type `T`. `K` must be string/number/symbol. Example: `Record<string, number>` is `{ [key: string]: number }`. Useful for dictionaries/maps.,https://www.typescriptlang.org/docs/handbook/utility-types.html#recordkeys-type,https://youtube.com/results?search_query=typescript+record+utility+type,https://youtube.com/results?search_query=typescript+record+utility+type+hindi,https://youtube.com/results?search_query=typescript+record+utility+type+kannada,https://youtube.com/results?search_query=typescript+record+utility+type+tamil,https://youtube.com/results?search_query=typescript+record+utility+type+telugu
TypeScript,Intermediate,What are private, protected, and public modifiers in TypeScript classes?,Classes,Access Modifiers,private,"protected,public,`public` (default): accessible anywhere. `protected`: accessible within class and subclasses. `private`: accessible only within class. TypeScript 4.0+ added `#` private fields (ECMAScript private)", which are runtime private.,https://www.typescriptlang.org/docs/handbook/2/classes.html#member-visibility,https://youtube.com/results?search_query=typescript+access+modifiers,https://youtube.com/results?search_query=typescript+access+modifiers+hindi,https://youtube.com/results?search_query=typescript+access+modifiers+kannada,https://youtube.com/results?search_query=typescript+access+modifiers+tamil,https://youtube.com/results?search_query=typescript+access+modifiers+telugu
