skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Azure,Intermediate,What is Azure ExpressRoute?,Dedicated private connection,Hybrid network,Bypass internet,Private connectivity,B,ExpressRoute lets you extend your on-premises networks into Azure over a private connection.,Networking,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-introduction,https://youtube.com/results?search_query=azure+expressroute,https://youtube.com/results?search_query=azure+expressroute+hindi,https://youtube.com/results?search_query=azure+expressroute+kannada,https://youtube.com/results?search_query=azure+expressroute+tamil,https://youtube.com/results?search_query=azure+expressroute+telugu
Azure,Intermediate,What is Azure Load Balancer?,Traffic distribution,High availability,Network load balancing,Layer 4 load balancer,B,Load Balancer distributes incoming traffic among healthy virtual machine instances.,Networking,https://docs.microsoft.com/en-us/azure/load-balancer/load-balancer-overview,https://youtube.com/results?search_query=azure+load+balancer,https://youtube.com/results?search_query=azure+load+balancer+hindi,https://youtube.com/results?search_query=azure+load+balancer+kannada,https://youtube.com/results?search_query=azure+load+balancer+tamil,https://youtube.com/results?search_query=azure+load+balancer+telugu
Azure,Intermediate,What is Azure Application Gateway?,Web traffic load balancer,Layer 7 load balancer,WAF,SSL termination,B,Application Gateway is a web traffic load balancer that enables you to manage traffic to your web applications.,Networking,https://docs.microsoft.com/en-us/azure/application-gateway/overview,https://youtube.com/results?search_query=azure+application+gateway,https://youtube.com/results?search_query=azure+application+gateway+hindi,https://youtube.com/results?search_query=azure+application+gateway+kannada,https://youtube.com/results?search_query=azure+application+gateway+tamil,https://youtube.com/results?search_query=azure+application+gateway+telugu
Azure,Intermediate,What is Azure Front Door?,Global HTTP load balancer,Web application acceleration,CDN,DDoS protection,B,Front Door provides global HTTP load balancing with instant failover and performance optimization.,Networking,https://docs.microsoft.com/en-us/azure/frontdoor/front-door-overview,https://youtube.com/results?search_query=azure+front+door,https://youtube.com/results?search_query=azure+front+door+hindi,https://youtube.com/results?search_query=azure+front+door+kannada,https://youtube.com/results?search_query=azure+front+door+tamil,https://youtube.com/results?search_query=azure+front+door+telugu
Azure,Intermediate,What is Azure Traffic Manager?,DNS-based traffic distribution,Global routing,Service failover,Performance routing,B,Traffic Manager uses DNS to route traffic to the most appropriate endpoint based on routing method and endpoint health.,Networking,https://docs.microsoft.com/en-us/azure/traffic-manager/traffic-manager-overview,https://youtube.com/results?search_query=azure+traffic+manager,https://youtube.com/results?search_query=azure+traffic+manager+hindi,https://youtube.com/results?search_query=azure+traffic+manager+kannada,https://youtube.com/results?search_query=azure+traffic+manager+tamil,https://youtube.com/results?search_query=azure+traffic+manager+telugu
Azure,Intermediate,What is Azure VPN Gateway?,Site-to-site VPN,Point-to-site VPN,VNet-to-VNet,VPN connectivity,B,VPN Gateway sends encrypted traffic between an Azure virtual network and on-premises locations over the public Internet.,Networking,https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,https://youtube.com/results?search_query=azure+vpn+gateway,https://youtube.com/results?search_query=azure+vpn+gateway+hindi,https://youtube.com/results?search_query=azure+vpn+gateway+kannada,https://youtube.com/results?search_query=azure+vpn+gateway+tamil,https://youtube.com/results?search_query=azure+vpn+gateway+telugu
Azure,Intermediate,What is Azure Virtual WAN?,Network hub,Global transit network,Branch connectivity,SD-WAN,B,Virtual WAN provides optimized and automated branch-to-branch connectivity through Azure.,Networking,https://docs.microsoft.com/en-us/azure/virtual-wan/virtual-wan-about,https://youtube.com/results?search_query=azure+virtual+wan,https://youtube.com/results?search_query=azure+virtual+wan+hindi,https://youtube.com/results?search_query=azure+virtual+wan+kannada,https://youtube.com/results?search_query=azure+virtual+wan+tamil,https://youtube.com/results?search_query=azure+virtual+wan+telugu
Azure,Intermediate,What is Azure Bastion?,Jump host service,Secure RDP/SSH,Managed bastion,No public IP needed,B,Bastion provides secure and seamless RDP/SSH connectivity to your virtual machines directly in the Azure portal.,Networking,https://docs.microsoft.com/en-us/azure/bastion/bastion-overview,https://youtube.com/results?search_query=azure+bastion,https://youtube.com/results?search_query=azure+bastion+hindi,https://youtube.com/results?search_query=azure+bastion+kannada,https://youtube.com/results?search_query=azure+bastion+tamil,https://youtube.com/results?search_query=azure+bastion+telugu
Azure,Intermediate,What is Azure Private Link?,Private connectivity,Private endpoint,Service endpoint,Security,B,Private Link enables access to Azure PaaS services over a private endpoint in your virtual network.,Networking,https://docs.microsoft.com/en-us/azure/private-link/private-link-overview,https://youtube.com/results?search_query=azure+private+link,https://youtube.com/results?search_query=azure+private+link+hindi,https://youtube.com/results?search_query=azure+private+link+kannada,https://youtube.com/results?search_query=azure+private+link+tamil,https://youtube.com/results?search_query=azure+private+link+telugu
Azure,Intermediate,What is Azure Firewall?,Cloud network firewall,Threat protection,Network security,Stateful firewall,B,"Azure Firewall is a managed, cloud-based network security service that protects your Azure Virtual Network resources.",Security,https://docs.microsoft.com/en-us/azure/firewall/overview,https://youtube.com/results?search_query=azure+firewall,https://youtube.com/results?search_query=azure+firewall+hindi,https://youtube.com/results?search_query=azure+firewall+kannada,https://youtube.com/results?search_query=azure+firewall+tamil,https://youtube.com/results?search_query=azure+firewall+telugu
Azure,Intermediate,What is Azure DDoS Protection?,DDoS mitigation,Network attack protection,Volumetric attacks,Application protection,B,DDoS Protection provides enhanced DDoS mitigation features to defend against DDoS attacks.,Security,https://docs.microsoft.com/en-us/azure/ddos-protection/ddos-protection-overview,https://youtube.com/results?search_query=azure+ddos+protection,https://youtube.com/results?search_query=azure+ddos+protection+hindi,https://youtube.com/results?search_query=azure+ddos+protection+kannada,https://youtube.com/results?search_query=azure+ddos+protection+tamil,https://youtube.com/results?search_query=azure+ddos+protection+telugu
Azure,Intermediate,What is Azure Web Application Firewall?,Web app protection,OWASP rules,Layer 7 protection,WAF policy,B,WAF provides centralized protection of your web applications from common exploits and vulnerabilities.,Security,https://docs.microsoft.com/en-us/azure/web-application-firewall/overview,https://youtube.com/results?search_query=azure+waf,https://youtube.com/results?search_query=azure+waf+hindi,https://youtube.com/results?search_query=azure+waf+kannada,https://youtube.com/results?search_query=azure+waf+tamil,https://youtube.com/results?search_query=azure+waf+telugu
Azure,Intermediate,What is Azure Key Vault?,Secrets management,Key management,Certificate storage,Hardware security modules,B,Key Vault safeguards cryptographic keys and secrets used by cloud applications and services.,Security,https://docs.microsoft.com/en-us/azure/key-vault/general/overview,https://youtube.com/results?search_query=azure+key+vault,https://youtube.com/results?search_query=azure+key+vault+hindi,https://youtube.com/results?search_query=azure+key+vault+kannada,https://youtube.com/results?search_query=azure+key+vault+tamil,https://youtube.com/results?search_query=azure+key+vault+telugu
Azure,Intermediate,What is Azure Active Directory?,Identity and access management,Single sign-on,Multi-factor authentication,Identity provider,B,Azure AD is Microsoft's cloud-based identity and access management service.,Security,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,https://youtube.com/results?search_query=azure+active+directory,https://youtube.com/results?search_query=azure+active+directory+hindi,https://youtube.com/results?search_query=azure+active+directory+kannada,https://youtube.com/results?search_query=azure+active+directory+tamil,https://youtube.com/results?search_query=azure+active+directory+telugu
