skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
C#,Beginner,Identify the data type used to store whole numbers in C#.,int,string,float,bool,A,int is the primary data type for whole numbers.,Data Types,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/integral-numeric-types,https://youtube.com/results?search_query=csharp+int+data+type,https://youtube.com/results?search_query=csharp+int+data+type+hindi,https://youtube.com/results?search_query=csharp+int+data+type+kannada,https://youtube.com/results?search_query=csharp+int+data+type+tamil,https://youtube.com/results?search_query=csharp+int+data+type+telugu
C#,Beginner,Select the correct syntax to declare a variable in C#.,int x = 5;,variable x = 5;,int x == 5;,x = 5 int;,A,"Variable declaration requires type, name, optional assignment with = operator.",Variables,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/keywords/declarations,https://youtube.com/results?search_query=csharp+variable+declaration,https://youtube.com/results?search_query=csharp+variable+declaration+hindi,https://youtube.com/results?search_query=csharp+variable+declaration+kannada,https://youtube.com/results?search_query=csharp+variable+declaration+tamil,https://youtube.com/results?search_query=csharp+variable+declaration+telugu
C#,Beginner,Choose the operator used for string concatenation.,+,&,concat(),.,A,The plus (+) operator concatenates strings in C#.,Operators,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/strings/,https://youtube.com/results?search_query=csharp+string+concatenation,https://youtube.com/results?search_query=csharp+string+concatenation+hindi,https://youtube.com/results?search_query=csharp+string+concatenation+kannada,https://youtube.com/results?search_query=csharp+string+concatenation+tamil,https://youtube.com/results?search_query=csharp+string+concatenation+telugu
C#,Beginner,Pick the correct boolean value in C#.,true,TRUE,1,yes,A,Boolean values in C# are lowercase true and false.,Data Types,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/bool,https://youtube.com/results?search_query=csharp+boolean+values,https://youtube.com/results?search_query=csharp+boolean+values+hindi,https://youtube.com/results?search_query=csharp+boolean+values+kannada,https://youtube.com/results?search_query=csharp+boolean+values+tamil,https://youtube.com/results?search_query=csharp+boolean+values+telugu
C#,Beginner,Determine the output of: Console.WriteLine(5 + 3 * 2);,11,16,13,8,A,"Multiplication has higher precedence (3*2=6), then addition (5+6=11).",Operators,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/operators/,https://youtube.com/results?search_query=csharp+operator+precedence,https://youtube.com/results?search_query=csharp+operator+precedence+hindi,https://youtube.com/results?search_query=csharp+operator+precedence+kannada,https://youtube.com/results?search_query=csharp+operator+precedence+tamil,https://youtube.com/results?search_query=csharp+operator+precedence+telugu
C#,Beginner,Find the correct if statement syntax.,if (x > 5) {},if x > 5 then,if x > 5 {},if [x > 5] {},A,if statements require parentheses around the condition.,Control Flow,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/statements/selection-statements,https://youtube.com/results?search_query=csharp+if+statement,https://youtube.com/results?search_query=csharp+if+statement+hindi,https://youtube.com/results?search_query=csharp+if+statement+kannada,https://youtube.com/results?search_query=csharp+if+statement+tamil,https://youtube.com/results?search_query=csharp+if+statement+telugu
C#,Beginner,Recognize the loop that always executes at least once.,do-while,while,for,foreach,A,"do-while checks condition at the end, ensuring at least one execution.",Loops,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/statements/iteration-statements,https://youtube.com/results?search_query=csharp+do+while+loop,https://youtube.com/results?search_query=csharp+do+while+loop+hindi,https://youtube.com/results?search_query=csharp+do+while+loop+kannada,https://youtube.com/results?search_query=csharp+do+while+loop+tamil,https://youtube.com/results?search_query=csharp+do+while+loop+telugu
C#,Beginner,Locate the method used to read input from console.,Console.ReadLine(),Console.Read(),Console.Input(),Console.GetLine(),A,Console.ReadLine() reads a line of input from the console.,Basic I/O,https://docs.microsoft.com/en-us/dotnet/api/system.console.readline,https://youtube.com/results?search_query=csharp+console+readline,https://youtube.com/results?search_query=csharp+console+readline+hindi,https://youtube.com/results?search_query=csharp+console+readline+kannada,https://youtube.com/results?search_query=csharp+console+readline+tamil,https://youtube.com/results?search_query=csharp+console+readline+telugu
C#,Beginner,Match the data type with its correct size: int.,4 bytes,2 bytes,8 bytes,1 byte,A,int is 4 bytes (32 bits) in C#.,Data Types,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/integral-numeric-types,https://youtube.com/results?search_query=csharp+data+type+sizes,https://youtube.com/results?search_query=csharp+data+type+sizes+hindi,https://youtube.com/results?search_query=csharp+data+type+sizes+kannada,https://youtube.com/results?search_query=csharp+data+type+sizes+tamil,https://youtube.com/results?search_query=csharp+data+type+sizes+telugu
C#,Beginner,Select the escape sequence for newline.,\n,\newline,\r,\t,A,\n represents a newline character.,Strings,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/strings/#string-escape-sequences,https://youtube.com/results?search_query=csharp+escape+sequences,https://youtube.com/results?search_query=csharp+escape+sequences+hindi,https://youtube.com/results?search_query=csharp+escape+sequences+kannada,https://youtube.com/results?search_query=csharp+escape+sequences+tamil,https://youtube.com/results?search_query=csharp+escape+sequences+telugu
