skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Jest,Advanced,How do you create a custom matcher that checks if a number is within a range?,expect.extend({ toBeWithin(received, floor, ceil) { ... } }),Add global matcher via setup file,jest.addMatcher('toBeWithin'),Use asymmetric matcher expect.anything(),A,"Use expect.extend() to add custom matchers that return { pass, message } object","https://jestjs.io/docs/expect#expectextendmatchers","https://youtube.com/results?search_query=jest+custom+matchers+advanced","https://youtube.com/results?search_query=jest+custom+matchers+advanced+hindi","https://youtube.com/results?search_query=jest+custom+matchers+advanced+kannada","https://youtube.com/results?search_query=jest+custom+matchers+advanced+tamil","https://youtube.com/results?search_query=jest+custom+matchers+advanced+telugu"
Jest,Advanced,In a custom matcher, what should the 'message' property return?,A string describing the failure,A function that returns the message when called,The expected vs received values,An error object,B,"message must be a function returning the failure message (supports lazy evaluation)","https://jestjs.io/docs/expect#expectextendmatchers","https://youtube.com/results?search_query=jest+custom+matchers+message","https://youtube.com/results?search_query=jest+custom+matchers+message+hindi","https://youtube.com/results?search_query=jest+custom+matchers+message+kannada","https://youtube.com/results?search_query=jest+custom+matchers+message+tamil","https://youtube.com/results?search_query=jest+custom+matchers+message+telugu"
Jest,Advanced,Which utility helps make custom matchers composable with Jest's asymmetric matchers?,expect.objectContaining,expect.stringMatching,jest-utils diffStrings,Custom matcher chaining,D,"Use expect.extend and combine with built-in asymmetric matchers like objectContaining","https://jestjs.io/docs/expect#expectobjectcontainingobject","https://youtube.com/results?search_query=jest+custom+matchers+asymmetric","https://youtube.com/results?search_query=jest+custom+matchers+asymmetric+hindi","https://youtube.com/results?search_query=jest+custom+matchers+asymmetric+kannada","https://youtube.com/results?search_query=jest+custom+matchers+asymmetric+tamil","https://youtube.com/results?search_query=jest+custom+matchers+asymmetric+telugu"
Jest,Advanced,What is the main benefit of using inline snapshots over external ones?,Small changes visible in PR diff,Faster snapshot creation,Less file pollution,All of the above,D,"Inline snapshots (toMatchInlineSnapshot) keep snapshot next to test, improving reviewability","https://jestjs.io/docs/snapshot-testing#inline-snapshots","https://youtube.com/results?search_query=jest+inline+snapshots+advanced","https://youtube.com/results?search_query=jest+inline+snapshots+advanced+hindi","https://youtube.com/results?search_query=jest+inline+snapshots+advanced+kannada","https://youtube.com/results?search_query=jest+inline+snapshots+advanced+tamil","https://youtube.com/results?search_query=jest+inline+snapshots+advanced+telugu"
Jest,Advanced,How can you ignore certain dynamic properties in snapshot testing?,Use property matchers like expect.any(Date),Manually edit snapshot file,Use toMatchObject instead,A & C,D,"Combine toMatchSnapshot with expect.any(), expect.anything(), or property matchers","https://jestjs.io/docs/snapshot-testing#property-matchers","https://youtube.com/results?search_query=jest+snapshot+property+matchers","https://youtube.com/results?search_query=jest+snapshot+property+matchers+hindi","https://youtube.com/results?search_query=jest+snapshot+property+matchers+kannada","https://youtube.com/results?search_query=jest+snapshot+property+matchers+tamil","https://youtube.com/results?search_query=jest+snapshot+property+matchers+telugu"
Jest,Advanced,What happens if you run Jest with --updateSnapshot in CI without --ci?,Snapshots are always updated,Snapshots fail if changed,No update occurs,D,"Snapshots are **not** updated in CI unless --updateSnapshot is explicitly passed","https://jestjs.io/docs/snapshot-testing","https://youtube.com/results?search_query=jest+snapshot+ci+update","https://youtube.com/results?search_query=jest+snapshot+ci+update+hindi","https://youtube.com/results?search_query=jest+snapshot+ci+update+kannada","https://youtube.com/results?search_query=jest+snapshot+ci+update+tamil","https://youtube.com/results?search_query=jest+snapshot+ci+update+telugu"
Jest,Advanced,Which coverageProvider is faster but may have source map inaccuracies?,babel,v8,istanbul,custom,B,"v8 uses native V8 coverage (faster) but sometimes less accurate on transpiled code","https://jestjs.io/docs/configuration#coverageprovider-string","https://youtube.com/results?search_query=jest+coverage+v8+vs+babel","https://youtube.com/results?search_query=jest+coverage+v8+vs+babel+hindi","https://youtube.com/results?search_query=jest+coverage+v8+vs+babel+kannada","https://youtube.com/results?search_query=jest+coverage+v8+vs+babel+tamil","https://youtube.com/results?search_query=jest+coverage+v8+vs+babel+telugu"
Jest,Advanced,To fail build if coverage is below 80%, which config key do you use?,coverageThreshold,coverageMinimum,minimumCoverage,thresholds,A,"coverageThreshold: { global: { branches: 80, functions: 80, lines: 80 } }","https://jestjs.io/docs/configuration#coveragethreshold-object","https://youtube.com/results?search_query=jest+coverage+threshold","https://youtube.com/results?search_query=jest+coverage+threshold+hindi","https://youtube.com/results?search_query=jest+coverage+threshold+kannada","https://youtube.com/results?search_query=jest+coverage+threshold+tamil","https://youtube.com/results?search_query=jest+coverage+threshold+telugu"
Jest,Advanced,Which flag generates coverage but does not run --coverage?,--collectCoverage,--coverage,--no-coverage,D,"--collectCoverage true in config or CLI; --coverage is alias that also reports","https://jestjs.io/docs/cli#--coverage","https://youtube.com/results?search_query=jest+collectcoverage+flag","https://youtube.com/results?search_query=jest+collectcoverage+flag+hindi","https://youtube.com/results?search_query=jest+collectcoverage+flag+kannada","https://youtube.com/results?search_query=jest+collectcoverage+flag+tamil","https://youtube.com/results?search_query=jest+collectcoverage+flag+telugu"
Jest,Advanced,To include untested files in coverage report, use?,coverageReporters,coveragePathIgnorePatterns,collectCoverageFrom,allCoverage,C,"collectCoverageFrom: ['src/**/*.{js,ts}'] includes files even if untested","https://jestjs.io/docs/configuration#collectcoveragefrom-array","https://youtube.com/results?search_query=jest+coverage+untested+files","https://youtube.com/results?search_query=jest+coverage+untested+files+hindi","https://youtube.com/results?search_query=jest+coverage+untested+files+kannada","https://youtube.com/results?search_query=jest+coverage+untested+files+tamil","https://youtube.com/results?search_query=jest+coverage+untested+files+telugu"
