skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Devtools,Basic,How do you open Chrome DevTools?,F12 key,Ctrl+S,Alt+F4,Windows key,A,Pressing F12 opens DevTools quickly on most browsers.,Introduction,https://developer.chrome.com/docs/devtools/open/,https://youtube.com/results?search_query=chrome+devtools+open,https://youtube.com/results?search_query=chrome+devtools+open+hindi,https://youtube.com/results?search_query=chrome+devtools+open+kannada,https://youtube.com/results?search_query=chrome+devtools+open+tamil,https://youtube.com/results?search_query=chrome+devtools+open+telugu
Devtools,Basic,Which panel inspects HTML and CSS?,Elements,Console,Network,Application,A,Elements panel shows DOM structure and styles.,Elements,https://developer.chrome.com/docs/devtools/dom/,https://youtube.com/results?search_query=devtools+elements+panel,https://youtube.com/results?search_query=devtools+elements+panel+hindi,https://youtube.com/results?search_query=devtools+elements+panel+kannada,https://youtube.com/results?search_query=devtools+elements+panel+tamil,https://youtube.com/results?search_query=devtools+elements+panel+telugu
Devtools,Basic,What does the Console panel display?,Logs and errors,HTML structure,CSS styles,Network requests,A,"Console shows JavaScript logs, errors, and warnings.",Console,https://developer.chrome.com/docs/devtools/console/,https://youtube.com/results?search_query=devtools+console+basics,https://youtube.com/results?search_query=devtools+console+basics+hindi,https://youtube.com/results?search_query=devtools+console+basics+kannada,https://youtube.com/results?search_query=devtools+console+basics+tamil,https://youtube.com/results?search_query=devtools+console+basics+telugu
Devtools,Basic,How to inspect a specific element?,Right-click > Inspect,Left-click,Double-click,Scroll to element,A,Right-click and select Inspect to view element in Elements panel.,Elements,https://developer.chrome.com/docs/devtools/open/,https://youtube.com/results?search_query=devtools+inspect+element,https://youtube.com/results?search_query=devtools+inspect+element+hindi,https://youtube.com/results?search_query=devtools+inspect+element+kannada,https://youtube.com/results?search_query=devtools+inspect+element+tamil,https://youtube.com/results?search_query=devtools+inspect+element+telugu
Devtools,Basic,Which panel shows network requests?,Network,Elements,Console,Sources,A,Network panel monitors all HTTP requests and responses.,Network,https://developer.chrome.com/docs/devtools/network/,https://youtube.com/results?search_query=devtools+network+panel,https://youtube.com/results?search_query=devtools+network+panel+hindi,https://youtube.com/results?search_query=devtools+network+panel+kannada,https://youtube.com/results?search_query=devtools+network+panel+tamil,https://youtube.com/results?search_query=devtools+network+panel+telugu
Devtools,Basic,How to clear console output?,console.clear() or clear(),console.reset(),console.erase(),console.delete(),A,Use console.clear() or type clear() in console to clear messages.,Console,https://developer.chrome.com/docs/devtools/console/,https://youtube.com/results?search_query=devtools+clear+console,https://youtube.com/results?search_query=devtools+clear+console+hindi,https://youtube.com/results?search_query=devtools+clear+console+kannada,https://youtube.com/results?search_query=devtools+clear+console+tamil,https://youtube.com/results?search_query=devtools+clear+console+telugu
Devtools,Basic,What does the Sources panel do?,Debug JavaScript,View styles,Monitor network,Manage storage,A,Sources panel allows JavaScript debugging and file viewing.,Sources,https://developer.chrome.com/docs/devtools/javascript/,https://youtube.com/results?search_query=devtools+sources+panel,https://youtube.com/results?search_query=devtools+sources+panel+hindi,https://youtube.com/results?search_query=devtools+sources+panel+kannada,https://youtube.com/results?search_query=devtools+sources+panel+tamil,https://youtube.com/results?search_query=devtools+sources+panel+telugu
Devtools,Basic,How to set a breakpoint?,Click line number,Press Ctrl+B,Right-click code,Type break(),A,Click on line number in Sources panel to set breakpoint.,Sources,https://developer.chrome.com/docs/devtools/javascript/breakpoints/,https://youtube.com/results?search_query=devtools+breakpoint+basics,https://youtube.com/results?search_query=devtools+breakpoint+basics+hindi,https://youtube.com/results?search_query=devtools+breakpoint+basics+kannada,https://youtube.com/results?search_query=devtools+breakpoint+basics+tamil,https://youtube.com/results?search_query=devtools+breakpoint+basics+telugu
Devtools,Basic,What does the Application panel store?,Cookies and storage,Network logs,Console output,Styles,A,"Application panel manages local storage, cookies, and cache.",Application,https://developer.chrome.com/docs/devtools/storage/,https://youtube.com/results?search_query=devtools+application+panel,https://youtube.com/results?search_query=devtools+application+panel+hindi,https://youtube.com/results?search_query=devtools+application+panel+kannada,https://youtube.com/results?search_query=devtools+application+panel+tamil,https://youtube.com/results?search_query=devtools+application+panel+telugu
Devtools,Basic,How to view cookies in DevTools?,Application > Cookies,Network > Cookies,Elements > Cookies,Console > Cookies,A,Go to Application panel and select Cookies under Storage.,Application,https://developer.chrome.com/docs/devtools/storage/cookies/,https://youtube.com/results?search_query=devtools+cookies+view,https://youtube.com/results?search_query=devtools+cookies+view+hindi,https://youtube.com/results?search_query=devtools+cookies+view+kannada,https://youtube.com/results?search_query=devtools+cookies+view+tamil,https://youtube.com/results?search_query=devtools+cookies+view+telugu
