skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Basic,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Kotlin,Basic,What is Kotlin?,Basics,Introduction,JVM language,Android,A,"Kotlin is a statically typed programming language that runs on the JVM, Android, and JavaScript.",Basics,https://kotlinlang.org/,https://youtube.com/results?search_query=what+is+kotlin,https://youtube.com/results?search_query=what+is+kotlin+hindi,https://youtube.com/results?search_query=what+is+kotlin+kannada,https://youtube.com/results?search_query=what+is+kotlin+tamil,https://youtube.com/results?search_query=what+is+kotlin+telugu
Kotlin,Basic,Who developed Kotlin?,Basics,History,JetBrains,Company,A,JetBrains (the company behind IntelliJ IDEA).,Basics,https://kotlinlang.org/,https://youtube.com/results?search_query=who+developed+kotlin,https://youtube.com/results?search_query=who+developed+kotlin+hindi,https://youtube.com/results?search_query=who+developed+kotlin+kannada,https://youtube.com/results?search_query=who+developed+kotlin+tamil,https://youtube.com/results?search_query=who+developed+kotlin+telugu
Kotlin,Basic,When was Kotlin first released?,Basics,History,Release date,2011,A,2011 (first public release in 2016).,Basics,https://kotlinlang.org/docs/reference/evolution.html,https://youtube.com/results?search_query=kotlin+release+date,https://youtube.com/results?search_query=kotlin+release+date+hindi,https://youtube.com/results?search_query=kotlin+release+date+kannada,https://youtube.com/results?search_query=kotlin+release+date+tamil,https://youtube.com/results?search_query=kotlin+release+date+telugu
Kotlin,Basic,What is the file extension for Kotlin files?,Basics,Files,Extension,Source code,A,.kt,Basics,https://kotlinlang.org/docs/reference/basic-syntax.html,https://youtube.com/results?search_query=kotlin+file+extension,https://youtube.com/results?search_query=kotlin+file+extension+hindi,https://youtube.com/results?search_query=kotlin+file+extension+kannada,https://youtube.com/results?search_query=kotlin+file+extension+tamil,https://youtube.com/results?search_query=kotlin+file+extension+telugu
Kotlin,Basic,How to print Hello World in Kotlin?,Basics,Output,Hello World,Print,A,println(Hello World),Basics,https://kotlinlang.org/docs/reference/basic-syntax.html,https://youtube.com/results?search_query=kotlin+hello+world,https://youtube.com/results?search_query=kotlin+hello+world+hindi,https://youtube.com/results?search_query=kotlin+hello+world+kannada,https://youtube.com/results?search_query=kotlin+hello+world+tamil,https://youtube.com/results?search_query=kotlin+hello+world+telugu
Kotlin,Basic,What is the entry point of a Kotlin program?,Basics,main function,Entry point,Execution,A,fun main() { } or fun main(args: Array<String>) { },Basics,https://kotlinlang.org/docs/reference/basic-syntax.html,https://youtube.com/results?search_query=kotlin+main+function,https://youtube.com/results?search_query=kotlin+main+function+hindi,https://youtube.com/results?search_query=kotlin+main+function+kannada,https://youtube.com/results?search_query=kotlin+main+function+tamil,https://youtube.com/results?search_query=kotlin+main+function+telugu
Kotlin,Basic,How to declare a variable in Kotlin?,Basics,Variables,Declaration,val var,A,"val for read-only, var for mutable: val name = John; var age = 25",Basics,https://kotlinlang.org/docs/reference/basic-syntax.html#defining-variables,https://youtube.com/results?search_query=kotlin+declare+variable,https://youtube.com/results?search_query=kotlin+declare+variable+hindi,https://youtube.com/results?search_query=kotlin+declare+variable+kannada,https://youtube.com/results?search_query=kotlin+declare+variable+tamil,https://youtube.com/results?search_query=kotlin+declare+variable+telugu
Kotlin,Basic,What is val keyword?,Basics,Variables,val,Immutable,A,Declares a read-only (immutable) variable.,Basics,https://kotlinlang.org/docs/reference/basic-syntax.html#defining-variables,https://youtube.com/results?search_query=kotlin+val+keyword,https://youtube.com/results?search_query=kotlin+val+keyword+hindi,https://youtube.com/results?search_query=kotlin+val+keyword+kannada,https://youtube.com/results?search_query=kotlin+val+keyword+tamil,https://youtube.com/results?search_query=kotlin+val+keyword+telugu
Kotlin,Basic,What is var keyword?,Basics,Variables,var,Mutable,A,Declares a mutable variable.,Basics,https://kotlinlang.org/docs/reference/basic-syntax.html#defining-variables,https://youtube.com/results?search_query=kotlin+var+keyword,https://youtube.com/results?search_query=kotlin+var+keyword+hindi,https://youtube.com/results?search_query=kotlin+var+keyword+kannada,https://youtube.com/results?search_query=kotlin+var+keyword+tamil,https://youtube.com/results?search_query=kotlin+var+keyword+telugu
Kotlin,Basic,How to specify variable type explicitly?,Basics,Variables,Type annotation,Explicit type,A,val name: String = John; var age: Int = 25,Basics,https://kotlinlang.org/docs/reference/basic-syntax.html#defining-variables,https://youtube.com/results?search_query=kotlin+variable+type+annotation,https://youtube.com/results?search_query=kotlin+variable+type+annotation+hindi,https://youtube.com/results?search_query=kotlin+variable+type+annotation+kannada,https://youtube.com/results?search_query=kotlin+variable+type+annotation+tamil,https://youtube.com/results?search_query=kotlin+variable+type+annotation+telugu
Kotlin,Basic,What are basic data types in Kotlin?,Basics,Data types,Primitive,Basic types,A,"Int, Double, Float, Long, Short, Byte, Char, Boolean, String.",Basics,https://kotlinlang.org/docs/reference/basic-types.html,https://youtube.com/results?search_query=kotlin+basic+data+types,https://youtube.com/results?search_query=kotlin+basic+data+types+hindi,https://youtube.com/results?search_query=kotlin+basic+data+types+kannada,https://youtube.com/results?search_query=kotlin+basic+data+types+tamil,https://youtube.com/results?search_query=kotlin+basic+data+types+telugu
Kotlin,Basic,What is Int data type?,Basics,Data types,Int,Integer,A,Represents 32-bit integers: val x: Int = 42,Basics,https://kotlinlang.org/docs/reference/basic-types.html#numbers,https://youtube.com/results?search_query=kotlin+int+data+type,https://youtube.com/results?search_query=kotlin+int+data+type+hindi,https://youtube.com/results?search_query=kotlin+int+data+type+kannada,https://youtube.com/results?search_query=kotlin+int+data+type+tamil,https://youtube.com/results?search_query=kotlin+int+data+type+telugu
Kotlin,Basic,What is Double data type?,Basics,Data types,Double,Floating point,A,Represents 64-bit floating point numbers: val pi: Double = 3.14,Basics,https://kotlinlang.org/docs/reference/basic-types.html#numbers,https://youtube.com/results?search_query=kotlin+double+data+type,https://youtube.com/results?search_query=kotlin+double+data+type+hindi,https://youtube.com/results?search_query=kotlin+double+data+type+kannada,https://youtube.com/results?search_query=kotlin+double+data+type+tamil,https://youtube.com/results?search_query=kotlin+double+data+type+telugu
