skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Unity,Advanced,Explain Unity's Shader Graph and how it differs from writing shaders in HLSL/ShaderLab.,Shader Graph,Shaders,Shader Graph is a node-based visual shader editor that generates shader code. Unlike writing HLSL manually, it's more accessible, allows real-time preview, and simplifies complex shader creation. However, advanced optimizations still require HLSL knowledge.,https://docs.unity3d.com/Packages/com.unity.shadergraph@14.0/manual/index.html,https://youtube.com/results?search_query=unity+shader+graph,https://youtube.com/results?search_query=unity+shader+graph+hindi,https://youtube.com/results?search_query=unity+shader+graph+kannada,https://youtube.com/results?search_query=unity+shader+graph+tamil,https://youtube.com/results?search_query=unity+shader+graph+telugu
Unity,Advanced,Explain Unity's Addressable Asset System and how it improves asset management.,Addressables,Asset Management,Addressables provides a system to load assets by address (string) instead of direct references. Benefits: better memory management, asynchronous loading, remote asset hosting, dependency management, and reduces build size via asset bundles.,https://docs.unity3d.com/Packages/com.unity.addressables@1.21/manual/index.html,https://youtube.com/results?search_query=unity+addressables,https://youtube.com/results?search_query=unity+addressables+hindi,https://youtube.com/results?search_query=unity+addressables+kannada,https://youtube.com/results?search_query=unity+addressables+tamil,https://youtube.com/results?search_query=unity+addressables+telugu
Unity,Advanced,What is Unity's new Input System and how does it differ from the old Input Manager?,Input System,Input,The new Input System is event-driven, supports complex input bindings, composite inputs," and works across platforms. Unlike the old polling-based system, it provides better abstraction, debugging tools", and handles input devices more consistently.,https://docs.unity3d.com/Packages/com.unity.inputsystem@1.7/manual/index.html,https://youtube.com/results?search_query=unity+new+input+system,https://youtube.com/results?search_query=unity+input+system+hindi,https://youtube.com/results?search_query=unity+input+system+kannada,https://youtube.com/results?search_query=unity+input+system+tamil,https://youtube.com/results?search_query=unity+input+system+telugu
Unity,Advanced,Explain Unity's ScriptableObjects and their use cases for game architecture.,ScriptableObjects,Architecture,ScriptableObjects are data containers that exist outside scenes. Use cases: configuration data (game settings), inventory items, dialogue trees, event systems (ScriptableObject events), and sharing data between scenes without prefabs.,https://docs.unity3d.com/Manual/class-ScriptableObject.html,https://youtube.com/results?search_query=unity+scriptableobjects,https://youtube.com/results?search_query=unity+scriptableobjects+hindi,https://youtube.com/results?search_query=unity+scriptableobjects+kannada,https://youtube.com/results?search_query=unity+scriptableobjects+tamil,https://youtube.com/results?search_query=unity+scriptableobjects+telugu
Unity,Advanced,Explain Unity's custom Editor scripting and when you would create custom inspectors.,Editor Scripting,Development Tools,Custom Editor scripting extends the Unity Editor. Create custom inspectors when: 1) Complex component configuration needed, 2) Visual debugging tools required, 3) Automating repetitive tasks, 4) Creating level design tools. Uses attributes like [CustomEditor], [CustomPropertyDrawer].,https://docs.unity3d.com/Manual/editor-EditorWindows.html,https://youtube.com/results?search_query=unity+editor+scripting,https://youtube.com/results?search_query=unity+editor+hindi,https://youtube.com/results?search_query=unity+editor+kannada,https://youtube.com/results?search_query=unity+editor+tamil,https://youtube.com/results?search_query=unity+editor+telugu
Unity,Advanced,What is Unity's Cinemachine and how does it improve camera control?,Cinemachine,Camera,Cinemachine is a smart camera system that provides virtual cameras with behaviors (follow, look-at, composer). Benefits: complex camera setups without coding," smooth transitions, camera blending, noise profiles", and extensive customization.,https://docs.unity3d.com/Packages/com.unity.cinemachine@2.9/manual/index.html,https://youtube.com/results?search_query=unity+cinemachine,https://youtube.com/results?search_query=unity+cinemachine+hindi,https://youtube.com/results?search_query=unity+cinemachine+kannada,https://youtube.com/results?search_query=unity+cinemachine+tamil,https://youtube.com/results?search_query=unity+cinemachine+telugu
Unity,Advanced,Explain Unity's Timeline system for cinematic sequences and animation.,Timeline,Animation,Timeline is a cinematic sequencing tool that allows non-linear editing of animations, audio, and events. It uses tracks (animation," activation, audio", control) and clips to create complex sequences without coding. Integrates with Cinemachine.,https://docs.unity3d.com/Packages/com.unity.timeline@1.7/manual/index.html,https://youtube.com/results?search_query=unity+timeline,https://youtube.com/results?search_query=unity+timeline+hindi,https://youtube.com/results?search_query=unity+timeline+kannada,https://youtube.com/results?search_query=unity+timeline+tamil,https://youtube.com/results?search_query=unity+timeline+telugu
Unity,Advanced,Explain Unity's ML-Agents toolkit for implementing machine learning in games.,ML-Agents,AI,ML-Agents enables training intelligent agents using reinforcement learning, imitation learning, and other ML techniques. Uses PyTorch backend. Applications: NPC behavior," game testing, balancing", and procedural content generation.,https://docs.unity3d.com/Packages/com.unity.ml-agents@2.0/manual/index.html,https://youtube.com/results?search_query=unity+ml+agents,https://youtube.com/results?search_query=unity+ml+agents+hindi,https://youtube.com/results?search_query=unity+ml+agents+kannada,https://youtube.com/results?search_query=unity+ml+agents+tamil,https://youtube.com/results?search_query=unity+ml+agents+telugu
Unity,Advanced,What is Unity's Visual Effect Graph and how does it differ from the legacy Particle System?,VFX Graph,Effects,Visual Effect Graph is a node-based GPU particle system for creating complex visual effects. Unlike CPU-based Particle System, VFX Graph runs on GPU, allowing millions of particles, uses compute shaders, and provides more artistic control.,https://docs.unity3d.com/Packages/com.unity.visualeffectgraph@14.0/manual/index.html,https://youtube.com/results?search_query=unity+vfx+graph,https://youtube.com/results?search_query=unity+vfx+hindi,https://youtube.com/results?search_query=unity+vfx+kannada,https://youtube.com/results?search_query=unity+vfx+tamil,https://youtube.com/results?search_query=unity+vfx+telugu
Unity,Advanced,Explain Unity's Terrain system and its advanced features for large environments.,Terrain,Environment,Terrain system creates large landscapes with features: heightmap painting, texture splatting, tree/grass placement," detail meshes, and HDRP/URP integration. Advanced: streaming for large worlds, custom brushes", and terrain shader customization.,https://docs.unity3d.com/Manual/terrain-UsingTerrains.html,https://youtube.com/results?search_query=unity+terrain+system,https://youtube.com/results?search_query=unity+terrain+hindi,https://youtube.com/results?search_query=unity+terrain+kannada,https://youtube.com/results?search_query=unity+terrain+tamil,https://youtube.com/results?search_query=unity+terrain+telugu
