skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Rust,Advanced,Explain Rust's ownership model and how it prevents data races,Memory Management,Ownership,Ownership, borrowing, lifetimes, data races,Rust's ownership model ensures each value has a single owner. Borrowing rules: multiple immutable references OR one mutable reference. Lifetimes ensure references don't outlive data. This prevents data races at compile time.,https://doc.rust-lang.org/book/ch04-00-understanding-ownership.html,https://youtube.com/results?search_query=rust+ownership+model,https://youtube.com/results?search_query=rust+ownership+model+hindi,https://youtube.com/results?search_query=rust+ownership+model+kannada,https://youtube.com/results?search_query=rust+ownership+model+tamil,https://youtube.com/results?search_query=rust+ownership+model+telugu
Rust,Advanced,What are Rust's lifetime elision rules and when do they apply?,Lifetimes,Type System,Lifetime elision, implicit lifetimes, function signatures,Rust's lifetime elision rules: 1) Each input reference gets distinct lifetime 2) If single input lifetime, all output lifetimes get it 3) &self/&mut self inputs give output lifetimes of self. Applies to function/method signatures.,https://doc.rust-lang.org/book/ch10-03-lifetime-syntax.html,https://youtube.com/results?search_query=rust+lifetime+elision,https://youtube.com/results?search_query=rust+lifetime+elision+hindi,https://youtube.com/results?search_query=rust+lifetime+elision+kannada,https://youtube.com/results?search_query=rust+lifetime+elision+tamil,https://youtube.com/results?search_query=rust+lifetime+elision+telugu
Rust,Advanced,Explain Rust's trait objects and dynamic dispatch vs generics,Traits,Polymorphism,Trait objects, dyn Trait, vtable," dynamic dispatch, generics,Trait objects use dyn Trait for runtime polymorphism via vtables. Generics use monomorphization (compile-time). Trait objects: flexible, smaller code, runtime cost. Generics: faster", larger code.,https://doc.rust-lang.org/book/ch17-02-trait-objects.html,https://youtube.com/results?search_query=rust+trait+objects,https://youtube.com/results?search_query=rust+trait+objects+hindi,https://youtube.com/results?search_query=rust+trait+objects+kannada,https://youtube.com/results?search_query=rust+trait+objects+tamil,https://youtube.com/results?search_query=rust+trait+objects+telugu
Rust,Advanced,What is Rust's async/await and how does it work with Futures?,Concurrency,Async/Await,Async/await, Futures, Pin," Poll, executor,Rust's async/await transforms async functions into state machines implementing Future trait. Futures are lazy, poll-based. Pin ensures memory stability. Requires runtime executor (tokio", async-std).,https://doc.rust-lang.org/book/ch16-00-concurrency.html,https://youtube.com/results?search_query=rust+async+await,https://youtube.com/results?search_query=rust+async+await+hindi,https://youtube.com/results?search_query=rust+async+await+kannada,https://youtube.com/results?search_query=rust+async+await+tamil,https://youtube.com/results?search_query=rust+async+await+telugu
Rust,Advanced,Explain Rust's interior mutability patterns: Cell, RefCell, Mutex,Concurrency,Interior Mutability,Interior mutability," Cell, RefCell, Mutex, RwLock,UnsafeCell",Interior mutability allows mutation through shared references. Cell: Copy types. RefCell: runtime borrow checking. Mutex/RwLock: thread-safe. All use UnsafeCell internally.,https://doc.rust-lang.org/book/ch15-05-interior-mutability.html,https://youtube.com/results?search_query=rust+interior+mutability,https://youtube.com/results?search_query=rust+interior+mutability+hindi,https://youtube.com/results?search_query=rust+interior+mutability+kannada,https://youtube.com/results?search_query=rust+interior+mutability+tamil,https://youtube.com/results?search_query=rust+interior+mutability+telugu
Rust,Advanced,What are Rust's PhantomData and marker patterns?,Generics,Type System,PhantomData, marker types, variance,"PhantomData<T> indicates type parameter T is logically used even if not physically present. Controls drop check, variance", auto traits. Used for safety markers.,https://doc.rust-lang.org/std/marker/struct.PhantomData.html,https://youtube.com/results?search_query=rust+phantomdata,https://youtube.com/results?search_query=rust+phantomdata+hindi,https://youtube.com/results?search_query=rust+phantomdata+kannada,https://youtube.com/results?search_query=rust+phantomdata+tamil,https://youtube.com/results?search_query=rust+phantomdata+telugu
Rust,Advanced,Explain Rust's Pin and why it's needed for self-referential structs,Memory Management,Pinning,Pin, self-referential structs, memory stability,Pin ensures data doesn't move in memory. Needed for self-referential structs (common in async). Pin<P> where P: Deref, P::Target: Unpin. Unpin types can move safely.,https://doc.rust-lang.org/std/pin/index.html,https://youtube.com/results?search_query=rust+pin,https://youtube.com/results?search_query=rust+pin+hindi,https://youtube.com/results?search_query=rust+pin+kannada,https://youtube.com/results?search_query=rust+pin+tamil,https://youtube.com/results?search_query=rust+pin+telugu
Rust,Advanced,What is Rust's const generics and how do they differ from regular generics?,Generics,Type System,Const generics, const parameters, type-level integers,"Const generics allow values as generic parameters: struct Array<T, const N: usize>. N must be const expression. Enables fixed-size arrays", bit-sized types.,https://doc.rust-lang.org/reference/items/generics.html#const-generics,https://youtube.com/results?search_query=rust+const+generics,https://youtube.com/results?search_query=rust+const+generics+hindi,https://youtube.com/results?search_query=rust+const+generics+kannada,https://youtube.com/results?search_query=rust+const+generics+tamil,https://youtube.com/results?search_query=rust+const+generics+telugu
Rust,Advanced,Explain Rust's borrow checker and non-lexical lifetimes (NLL),Memory Management,Borrow Checking,Borrow checker, NLL, lexical lifetimes," region inference,Non-lexical lifetimes (NLL) allow references to be used only when needed", not for entire scope. Uses region inference to determine actual lifetimes. Makes Rust more ergonomic.,https://blog.rust-lang.org/2022/08/05/nll-by-default.html,https://youtube.com/results?search_query=rust+nll,https://youtube.com/results?search_query=rust+nll+hindi,https://youtube.com/results?search_query=rust+nll+kannada,https://youtube.com/results?search_query=rust+nll+tamil,https://youtube.com/results?search_query=rust+nll+telugu
Rust,Advanced,What is Rust's unsafe keyword and when should it be used?,Unsafe,Memory Safety,Unsafe, unsafe blocks, undefined behavior,"Unsafe allows: dereferencing raw pointers, calling unsafe functions, accessing/ modifying mutable statics", implementing unsafe traits. Use when compiler can't guarantee safety.,https://doc.rust-lang.org/book/ch19-01-unsafe-rust.html,https://youtube.com/results?search_query=rust+unsafe,https://youtube.com/results?search_query=rust+unsafe+hindi,https://youtube.com/results?search_query=rust+unsafe+kannada,https://youtube.com/results?search_query=rust+unsafe+tamil,https://youtube.com/results?search_query=rust+unsafe+telugu
Rust,Advanced,Explain Rust's raw pointers: *const T vs *mut T,Unsafe,Pointers,Raw pointers, *const T, *mut T," pointer arithmetic,Raw pointers have no safety guarantees. *const T: immutable, *mut T: mutable. Allow null", pointer arithmetic. Require unsafe to dereference.,https://doc.rust-lang.org/book/ch19-01-unsafe-rust.html,https://youtube.com/results?search_query=rust+raw+pointers,https://youtube.com/results?search_query=rust+raw+pointers+hindi,https://youtube.com/results?search_query=rust+raw+pointers+kannada,https://youtube.com/results?search_query=rust+raw+pointers+tamil,https://youtube.com/results?search_query=rust+raw+pointers+telugu
