skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Technology,Level,Question,Category1,Category2,Category3,Category4,Difficulty,Answer,Primary Topic,Official Docs Link,Youtube English,Youtube Hindi,Youtube Kannada,Youtube Tamil,Youtube Telugu
Kubernetes,Basic,What is Kubernetes?,Fundamentals,Introduction,Overview,Definition,A,"Kubernetes is an open-source container orchestration platform for automating deployment, scaling, and management of containerized applications.",Introduction,https://kubernetes.io/docs/concepts/overview/what-is-kubernetes/,https://youtube.com/results?search_query=what+is+kubernetes,https://youtube.com/results?search_query=what+is+kubernetes+hindi,https://youtube.com/results?search_query=what+is+kubernetes+kannada,https://youtube.com/results?search_query=what+is+kubernetes+tamil,https://youtube.com/results?search_query=what+is+kubernetes+telugu
Kubernetes,Basic,What is a Pod in Kubernetes?,Core Concepts,Pod,Workload,Container,A,"A Pod is the smallest deployable unit in Kubernetes, representing a single instance of a running process that can contain one or more containers.",Pods,https://kubernetes.io/docs/concepts/workloads/pods/,https://youtube.com/results?search_query=kubernetes+pods,https://youtube.com/results?search_query=kubernetes+pods+hindi,https://youtube.com/results?search_query=kubernetes+pods+kannada,https://youtube.com/results?search_query=kubernetes+pods+tamil,https://youtube.com/results?search_query=kubernetes+pods+telugu
Kubernetes,Basic,What is a Node in Kubernetes?,Architecture,Nodes,Infrastructure,Cluster,A,A Node is a worker machine (physical or virtual) in Kubernetes that runs Pods and is managed by the control plane.,Nodes,https://kubernetes.io/docs/concepts/architecture/nodes/,https://youtube.com/results?search_query=kubernetes+nodes,https://youtube.com/results?search_query=kubernetes+nodes+hindi,https://youtube.com/results?search_query=kubernetes+nodes+kannada,https://youtube.com/results?search_query=kubernetes+nodes+tamil,https://youtube.com/results?search_query=kubernetes+nodes+telugu
Kubernetes,Basic,What is a Deployment in Kubernetes?,Workloads,Deployment,Scaling,Updates,A,"A Deployment provides declarative updates for Pods and ReplicaSets, enabling rolling updates, rollbacks, and scaling.",Deployments,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://youtube.com/results?search_query=kubernetes+deployments,https://youtube.com/results?search_query=kubernetes+deployments+hindi,https://youtube.com/results?search_query=kubernetes+deployments+kannada,https://youtube.com/results?search_query=kubernetes+deployments+tamil,https://youtube.com/results?search_query=kubernetes+deployments+telugu
Kubernetes,Basic,What is a Service in Kubernetes?,Networking,Services,Discovery,Load Balancing,A,"A Service is an abstraction that defines a logical set of Pods and a policy to access them, providing stable IP and DNS name.",Services,https://kubernetes.io/docs/concepts/services-networking/service/,https://youtube.com/results?search_query=kubernetes+services,https://youtube.com/results?search_query=kubernetes+services+hindi,https://youtube.com/results?search_query=kubernetes+services+kannada,https://youtube.com/results?search_query=kubernetes+services+tamil,https://youtube.com/results?search_query=kubernetes+services+telugu
Kubernetes,Basic,What is kubectl?,CLI,Tools,Management,Commands,A,"kubectl is the command-line tool for interacting with Kubernetes clusters, used to deploy applications, inspect resources, and manage clusters.",kubectl,https://kubernetes.io/docs/reference/kubectl/,https://youtube.com/results?search_query=kubectl+tutorial,https://youtube.com/results?search_query=kubectl+tutorial+hindi,https://youtube.com/results?search_query=kubectl+tutorial+kannada,https://youtube.com/results?search_query=kubectl+tutorial+tamil,https://youtube.com/results?search_query=kubectl+tutorial+telugu
Kubernetes,Basic,What is a Namespace in Kubernetes?,Organization,Namespaces,Isolation,Multi-tenancy,A,"A Namespace provides a virtual cluster within a physical cluster, allowing multiple teams/projects to share a Kubernetes cluster.",Namespaces,https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,https://youtube.com/results?search_query=kubernetes+namespaces,https://youtube.com/results?search_query=kubernetes+namespaces+hindi,https://youtube.com/results?search_query=kubernetes+namespaces+kannada,https://youtube.com/results?search_query=kubernetes+namespaces+tamil,https://youtube.com/results?search_query=kubernetes+namespaces+telugu
Kubernetes,Basic,What is a ConfigMap in Kubernetes?,Configuration,ConfigMap,Environment variables,App config,A,A ConfigMap is an API object used to store non-confidential configuration data in key-value pairs that can be consumed by Pods.,ConfigMap,https://kubernetes.io/docs/concepts/configuration/configmap/,https://youtube.com/results?search_query=kubernetes+configmap,https://youtube.com/results?search_query=kubernetes+configmap+hindi,https://youtube.com/results?search_query=kubernetes+configmap+kannada,https://youtube.com/results?search_query=kubernetes+configmap+tamil,https://youtube.com/results?search_query=kubernetes+configmap+telugu
Kubernetes,Basic,What is a Secret in Kubernetes?,Security,Secrets,Sensitive data,Credentials,A,"A Secret is an object that contains sensitive information like passwords, tokens, or keys, stored in base64 encoding.",Secrets,https://kubernetes.io/docs/concepts/configuration/secret/,https://youtube.com/results?search_query=kubernetes+secrets,https://youtube.com/results?search_query=kubernetes+secrets+hindi,https://youtube.com/results?search_query=kubernetes+secrets+kannada,https://youtube.com/results?search_query=kubernetes+secrets+tamil,https://youtube.com/results?search_query=kubernetes+secrets+telugu
Kubernetes,Basic,What is a ReplicaSet in Kubernetes?,Workloads,ReplicaSet,Scaling,High Availability,A,"A ReplicaSet ensures that a specified number of Pod replicas are running at any given time, providing high availability.",ReplicaSet,https://kubernetes.io/docs/concepts/workloads/controllers/replicaset/,https://youtube.com/results?search_query=kubernetes+replicaset,https://youtube.com/results?search_query=kubernetes+replicaset+hindi,https://youtube.com/results?search_query=kubernetes+replicaset+kannada,https://youtube.com/results?search_query=kubernetes+replicaset+tamil,https://youtube.com/results?search_query=kubernetes+replicaset+telugu
Kubernetes,Basic,What is a Volume in Kubernetes?,Storage,Volumes,Persistent data,Data persistence,A,"A Volume is a directory accessible to containers in a Pod, with data persisting beyond container lifecycle.",Volumes,https://kubernetes.io/docs/concepts/storage/volumes/,https://youtube.com/results?search_query=kubernetes+volumes,https://youtube.com/results?search_query=kubernetes+volumes+hindi,https://youtube.com/results?search_query=kubernetes+volumes+kannada,https://youtube.com/results?search_query=kubernetes+volumes+tamil,https://youtube.com/results?search_query=kubernetes+volumes+telugu
Kubernetes,Basic,What is a PersistentVolume (PV) in Kubernetes?,Storage,PersistentVolume,Persistent storage,Data persistence,A,A PersistentVolume is a piece of storage in the cluster that has been provisioned by an administrator or dynamically provisioned.,PersistentVolume,https://kubernetes.io/docs/concepts/storage/persistent-volumes/,https://youtube.com/results?search_query=kubernetes+persistentvolume,https://youtube.com/results?search_query=kubernetes+persistentvolume+hindi,https://youtube.com/results?search_query=kubernetes+persistentvolume+kannada,https://youtube.com/results?search_query=kubernetes+persistentvolume+tamil,https://youtube.com/results?search_query=kubernetes+persistentvolume+telugu
Kubernetes,Basic,What is a PersistentVolumeClaim (PVC) in Kubernetes?,Storage,PersistentVolumeClaim,Storage request,Consumption,A,"A PersistentVolumeClaim is a request for storage by a user, which can be bound to a PersistentVolume.",PersistentVolumeClaim,https://kubernetes.io/docs/concepts/storage/persistent-volumes/#persistentvolumeclaims,https://youtube.com/results?search_query=kubernetes+pvc,https://youtube.com/results?search_query=kubernetes+pvc+hindi,https://youtube.com/results?search_query=kubernetes+pvc+kannada,https://youtube.com/results?search_query=kubernetes+pvc+tamil,https://youtube.com/results?search_query=kubernetes+pvc+telugu
Kubernetes,Basic,What is a DaemonSet in Kubernetes?,Workloads,DaemonSet,System daemons,Node-level,A,"A DaemonSet ensures that all (or some) Nodes run a copy of a Pod, typically used for system daemons like log collectors.",DaemonSet,https://kubernetes.io/docs/concepts/workloads/controllers/daemonset/,https://youtube.com/results?search_query=kubernetes+daemonset,https://youtube.com/results?search_query=kubernetes+daemonset+hindi,https://youtube.com/results?search_query=kubernetes+daemonset+kannada,https://youtube.com/results?search_query=kubernetes+daemonset+tamil,https://youtube.com/results?search_query=kubernetes+daemonset+telugu
Kubernetes,Basic,What is a StatefulSet in Kubernetes?,Workloads,StatefulSet,Stateful apps,Database,A,"A StatefulSet manages stateful applications, maintaining a sticky identity for each Pod and stable persistent storage.",StatefulSet,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://youtube.com/results?search_query=kubernetes+statefulset,https://youtube.com/results?search_query=kubernetes+statefulset+hindi,https://youtube.com/results?search_query=kubernetes+statefulset+kannada,https://youtube.com/results?search_query=kubernetes+statefulset+tamil,https://youtube.com/results?search_query=kubernetes+statefulset+telugu
Kubernetes,Basic,What is a Job in Kubernetes?,Workloads,Job,Batch jobs,One-time tasks,A,"A Job creates one or more Pods and ensures that a specified number of them successfully terminate, used for batch processing.",Job,https://kubernetes.io/docs/concepts/workloads/controllers/job/,https://youtube.com/results?search_query=kubernetes+job,https://youtube.com/results?search_query=kubernetes+job+hindi,https://youtube.com/results?search_query=kubernetes+job+kannada,https://youtube.com/results?search_query=kubernetes+job+tamil,https://youtube.com/results?search_query=kubernetes+job+telugu
Kubernetes,Basic,What is a CronJob in Kubernetes?,Workloads,CronJob,Scheduled jobs,Automation,A,"A CronJob creates Jobs on a time-based schedule, similar to cron in Unix/Linux systems.",CronJob,https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/,https://youtube.com/results?search_query=kubernetes+cronjob,https://youtube.com/results?search_query=kubernetes+cronjob+hindi,https://youtube.com/results?search_query=kubernetes+cronjob+kannada,https://youtube.com/results?search_query=kubernetes+cronjob+tamil,https://youtube.com/results?search_query=kubernetes+cronjob+telugu
Kubernetes,Basic,What is an Ingress in Kubernetes?,Networking,Ingress,HTTP routing,External access,A,"An Ingress manages external access to services in a cluster, typically HTTP/HTTPS, providing load balancing and SSL termination.",Ingress,https://kubernetes.io/docs/concepts/services-networking/ingress/,https://youtube.com/results?search_query=kubernetes+ingress,https://youtube.com/results?search_query=kubernetes+ingress+hindi,https://youtube.com/results?search_query=kubernetes+ingress+kannada,https://youtube.com/results?search_query=kubernetes+ingress+tamil,https://youtube.com/results?search_query=kubernetes+ingress+telugu
