skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Ansible,Basic,"What is Ansible primarily used for?","Container orchestration","Configuration management and automation","Continuous integration","Monitoring",B,"Ansible is an open-source automation tool used for configuration management, application deployment, and task automation.",https://docs.ansible.com,https://youtube.com/results?search_query=ansible+basics,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"Which language is used to write Ansible playbooks?","XML","JSON","YAML","TOML",C,"Ansible playbooks are written in YAML (YAML Ain't Markup Language), which is human-readable data serialization language.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_intro.html,https://youtube.com/results?search_query=ansible+playbook,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"What is an Ansible inventory?","A list of tasks to execute","A file containing the hosts and groups that Ansible manages","A list of variables","A directory of playbooks",B,"An inventory file defines the hosts and groups of hosts upon which Ansible operates.",https://docs.ansible.com/ansible/latest/inventory_guide/intro_inventory.html,https://youtube.com/results?search_query=ansible+inventory,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"Which command runs an Ansible playbook?","ansible","ansible-playbook","ansible-run","ansible-execute",B,"The `ansible-playbook` command is used to run playbooks, which contain ordered lists of tasks.",https://docs.ansible.com/ansible/latest/cli/ansible-playbook.html,https://youtube.com/results?search_query=ansible+playbook+command,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"What is an Ansible module?","A reusable unit of code that performs a specific task","A playbook","An inventory file","A variable file",A,"Modules are discrete units of code that Ansible executes on managed hosts to perform tasks like copying files or installing packages.",https://docs.ansible.com/ansible/latest/plugins/module.html,https://youtube.com/results?search_query=ansible+modules,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"Which module is used to copy a file to remote hosts?","file","copy","template","fetch",B,"The `copy` module copies files from the local machine to remote hosts.",https://docs.ansible.com/ansible/latest/collections/ansible/builtin/copy_module.html,https://youtube.com/results?search_query=ansible+copy+module,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"What is the default location of the Ansible inventory file?","/etc/ansible/hosts","/etc/ansible/inventory","/opt/ansible/hosts","~/ansible/hosts",A,"The default inventory file is `/etc/ansible/hosts`. You can also specify a custom inventory with the `-i` option.",https://docs.ansible.com/ansible/latest/inventory_guide/intro_inventory.html,https://youtube.com/results?search_query=ansible+inventory+file,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"How do you define a variable in a playbook?","Using `var: value`","Using `variable: value`","Using `vars:` section with key-value pairs","Using `set_var:`",C,"Variables are defined under the `vars` section in a playbook as key-value pairs.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_variables.html,https://youtube.com/results?search_query=ansible+variables,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"What are Ansible facts?","Variables set by the user","System information gathered from managed hosts","Tasks that run in order","Handlers",B,"Facts are system information (like IP addresses, OS, etc.) gathered automatically by the `setup` module.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_vars_facts.html,https://youtube.com/results?search_query=ansible+facts,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Basic,"What is a handler in Ansible?","A special task that runs at the end of a playbook","A task that handles errors","A task that only runs when notified by another task","A module that manages services",C,"Handlers are tasks that run only when notified by other tasks, typically used for restarting services after configuration changes.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_handlers.html,https://youtube.com/results?search_query=ansible+handlers,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
