skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
C#,Advanced,When should you implement IAsyncDisposable instead of IDisposable for resource cleanup?,Resource management,Async cleanup,Database connections,File handles,A,"IAsyncDisposable is needed when cleanup operations are naturally asynchronous, like closing network connections or database sessions.",Resource Management,https://learn.microsoft.com/en-us/dotnet/standard/garbage-collection/implementing-disposeasync,https://youtube.com/results?search_query=c%23+iasyncdisposable+vs+idisposable,https://youtube.com/results?search_query=c%23+iasyncdisposable+vs+idisposable+hindi,https://youtube.com/results?search_query=c%23+iasyncdisposable+vs+idisposable+kannada,https://youtube.com/results?search_query=c%23+iasyncdisposable+vs+idisposable+tamil,https://youtube.com/results?search_query=c%23+iasyncdisposable+vs+idisposable+telugu
C#,Advanced,Can you safely modify a collection while iterating using foreach with yield return?,Iterators,Collection modification,Concurrent modification,Yield keyword,A,"No, foreach with yield return doesn't allow collection modification during iteration; use for loops or copy collections.",Collections,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/statements/yield,https://youtube.com/results?search_query=c%23+yield+return+iteration+safety,https://youtube.com/results?search_query=c%23+yield+return+iteration+safety+hindi,https://youtube.com/results?search_query=c%23+yield+return+iteration+safety+kannada,https://youtube.com/results?search_query=c%23+yield+return+iteration+safety+tamil,https://youtube.com/results?search_query=c%23+yield+return+iteration+safety+telugu
C#,Advanced,How does the readonly struct optimization prevent defensive copies in method calls?,Value types,Performance optimization,Memory allocation,In parameters,A,"readonly structs can be passed as in parameters without copying, as the compiler guarantees immutability.",Performance,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/struct,https://youtube.com/results?search_query=c%23+readonly+struct+optimization,https://youtube.com/results?search_query=c%23+readonly+struct+optimization+hindi,https://youtube.com/results?search_query=c%23+readonly+struct+optimization+kannada,https://youtube.com/results?search_query=c%23+readonly+struct+optimization+tamil,https://youtube.com/results?search_query=c%23+readonly+struct+optimization+telugu
C#,Advanced,Why would you use Span<T> over arrays for high-performance string parsing?,Memory efficiency,Stack allocation,Zero allocation,Slicing operations,A,"Span<T> enables stack allocation and slicing without copies, reducing GC pressure in performance-critical parsing.",Performance,https://learn.microsoft.com/en-us/dotnet/api/system.span-1,https://youtube.com/results?search_query=c%23+span+vs+array+performance,https://youtube.com/results?search_query=c%23+span+vs+array+performance+hindi,https://youtube.com/results?search_query=c%23+span+vs+array+performance+kannada,https://youtube.com/results?search_query=c%23+span+vs+array+performance+tamil,https://youtube.com/results?search_query=c%23+span+vs+array+performance+telugu
C#,Advanced,Is it possible to achieve zero-allocation async code using ValueTask and pooling?,Memory optimization,Async performance,Object pooling,ValueTask,A,"Yes, ValueTask can return cached results without heap allocation, and pooling async state machines reduces allocations.",Performance,https://learn.microsoft.com/en-us/dotnet/api/system.threading.tasks.valuetask-1,https://youtube.com/results?search_query=c%23+valuetask+zero+allocation,https://youtube.com/results?search_query=c%23+valuetask+zero+allocation+hindi,https://youtube.com/results?search_query=c%23+valuetask+zero+allocation+kannada,https://youtube.com/results?search_query=c%23+valuetask+zero+allocation+tamil,https://youtube.com/results?search_query=c%23+valuetask+zero+allocation+telugu
C#,Advanced,How do records with positional syntax implement structural equality automatically?,Immutable types,Value equality,Pattern matching,Record types,A,"Records generate Equals, GetHashCode, and operators that compare property values rather than references.",C# 9+ Features,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/record,https://youtube.com/results?search_query=c%23+records+structural+equality,https://youtube.com/results?search_query=c%23+records+structural+equality+hindi,https://youtube.com/results?search_query=c%23+records+structural+equality+kannada,https://youtube.com/results?search_query=c%23+records+structural+equality+tamil,https://youtube.com/results?search_query=c%23+records+structural+equality+telugu
C#,Advanced,What makes pattern matching with switch expressions more powerful than traditional switch?,Type patterns,Property patterns,Expression-bodied members,Deconstruction,A,"Switch expressions support type patterns, property patterns, relational patterns, and can be used as expressions returning values.",C# 8+ Features,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/operators/switch-expression,https://youtube.com/results?search_query=c%23+switch+expressions+vs+traditional,https://youtube.com/results?search_query=c%23+switch+expressions+vs+traditional+hindi,https://youtube.com/results?search_query=c%23+switch+expressions+vs+traditional+kannada,https://youtube.com/results?search_query=c%23+switch+expressions+vs+traditional+tamil,https://youtube.com/results?search_query=c%23+switch+expressions+vs+traditional+telugu
C#,Advanced,How does the using declaration differ from traditional using statements in exception safety?,Resource cleanup,Syntactic sugar,Scope disposal,Exception handling,A,"using declaration automatically disposes at scope exit, even during exceptions, with cleaner syntax than nested blocks.",Resource Management,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/keywords/using-statement,https://youtube.com/results?search_query=c%23+using+declaration+vs+statement,https://youtube.com/results?search_query=c%23+using+declaration+vs+statement+hindi,https://youtube.com/results?search_query=c%23+using+declaration+vs+statement+kannada,https://youtube.com/results?search_query=c%23+using+declaration+vs+statement+tamil,https://youtube.com/results?search_query=c%23+using+declaration+vs+statement+telugu
C#,Advanced,Can interfaces with default implementations replace abstract classes entirely?,Interface default methods,Mixin pattern,Multiple inheritance,Diamond problem,A,"Not entirely; interfaces still can't have fields or constructors, and abstract classes support protected members and state.",OOP,https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/proposals/csharp-8.0/default-interface-methods,https://youtube.com/results?search_query=c%23+default+interface+methods+abstract+classes,https://youtube.com/results?search_query=c%23+default+interface+methods+abstract+classes+hindi,https://youtube.com/results?search_query=c%23+default+interface+methods+abstract+classes+kannada,https://youtube.com/results?search_query=c%23+default+interface+methods+abstract+classes+tamil,https://youtube.com/results?search_query=c%23+default+interface+methods+abstract+classes+telugu
C#,Advanced,How do local functions capture variables compared to lambda expressions?,Closures,Variable capture,Memory allocation,Performance differences,A,"Local functions can be static (no capture) and have better performance for recursion, while lambdas always create delegate objects.",Functions,https://learn.microsoft.com/en-us/dotnet/csharp/programming-guide/classes-and-structs/local-functions,https://youtube.com/results?search_query=c%23+local+functions+vs+lambdas,https://youtube.com/results?search_query=c%23+local+functions+vs+lambdas+hindi,https://youtube.com/results?search_query=c%23+local+functions+vs+lambdas+kannada,https://youtube.com/results?search_query=c%23+local+functions+vs+lambdas+tamil,https://youtube.com/results?search_query=c%23+local+functions+vs+lambdas+telugu
