skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Angular,Advanced,Which change detection strategy significantly improves performance in large component trees?,Default strategy,OnPush strategy,Checked strategy,Detached strategy,B,OnPush only runs change detection when @Input references change or events are explicitly triggered,Change Detection Strategy,https://angular.io/api/core/ChangeDetectionStrategy,https://youtube.com/results?search_query=angular+onpush+vs+default+performance,https://youtube.com/results?search_query=angular+onpush+performance+hindi,https://youtube.com/results?search_query=angular+onpush+performance+kannada,https://youtube.com/results?search_query=angular+onpush+performance+tamil,https://youtube.com/results?search_query=angular+onpush+performance+telugu
Angular,Advanced,What happens when using OnPush strategy but the input object is mutated internally?,View updates automatically,View does not update until reference changes,Error is thrown in console,Change detection runs globally,B,OnPush relies on reference identity — internal mutations are not detected unless you use markForCheck(),OnPush Mutation Issue,https://angular.io/guide/change-detection#onpush-change-detection-and-component-mutation,https://youtube.com/results?search_query=angular+onpush+input+mutation+problem,https://youtube.com/results?search_query=angular+onpush+mutation+hindi,https://youtube.com/results?search_query=angular+onpush+mutation+kannada,https://youtube.com/results?search_query=angular+onpush+mutation+tamil,https://youtube.com/results?search_query=angular+onpush+mutation+telugu
Angular,Advanced,In which lifecycle hook should you clean up RxJS subscriptions to prevent memory leaks?,ngOnInit,ngAfterViewInit,ngOnDestroy,ngDoCheck,C,ngOnDestroy is the correct place to unsubscribe observables and clean up resources,Lifecycle Cleanup,https://angular.io/guide/lifecycle-hooks#on-destroy,https://youtube.com/results?search_query=angular+ngondestroy+unsubscribe+memory+leak,https://youtube.com/results?search_query=angular+ngondestroy+memory+leak+hindi,https://youtube.com/results?search_query=angular+ngondestroy+memory+leak+kannada,https://youtube.com/results?search_query=angular+ngondestroy+memory+leak+tamil,https://youtube.com/results?search_query=angular+ngondestroy+memory+leak+telugu
Angular,Advanced,What is the best way to run third-party code (e.g. chart library) without triggering Angular change detection?,NgZone.run(),NgZone.runOutsideAngular(),ChangeDetectorRef.detectChanges(),ApplicationRef.tick(),B,NgZone.runOutsideAngular() executes code outside the zone — prevents unnecessary change detection cycles,NgZone runOutsideAngular,https://angular.io/api/core/NgZone#runOutsideAngular,https://youtube.com/results?search_query=angular+ngzone+runoutsideangular+chart,https://youtube.com/results?search_query=angular+ngzone+runoutsideangular+hindi,https://youtube.com/results?search_query=angular+ngzone+runoutsideangular+kannada,https://youtube.com/results?search_query=angular+ngzone+runoutsideangular+tamil,https://youtube.com/results?search_query=angular+ngzone+runoutsideangular+telugu
Angular,Advanced,Which compilation mode removes the Angular compiler from the production bundle?,JIT compilation,AOT compilation,Pre-compilation,Dynamic compilation,B,AOT (Ahead-of-Time) compiles templates at build time → smaller bundles,faster startup,no runtime compiler,AOT vs JIT,https://angular.io/guide/aot-compiler,https://youtube.com/results?search_query=angular+aot+vs+jit+bundle+size,https://youtube.com/results?search_query=angular+aot+vs+jit+hindi,https://youtube.com/results?search_query=angular+aot+vs+jit+kannada
Angular,Advanced,What is the main advantage of providedIn: 'platform' over providedIn: 'root'?,Singleton per lazy module,Singleton shared across multiple Angular apps in same page,New instance per component,New instance per injector,B,providedIn: 'platform' creates a singleton shared across multiple Angular applications running on the same page (advanced multi-app scenario),providedIn platform,https://angular.io/guide/dependency-injection-providers#providedin-platform,https://youtube.com/results?search_query=angular+providedin+platform+multi-app,https://youtube.com/results?search_query=angular+providedin+platform+hindi,https://youtube.com/results?search_query=angular+providedin+platform+kannada,https://youtube.com/results?search_query=angular+providedin+platform+tamil,https://youtube.com/results?search_query=angular+providedin+platform+telugu
Angular,Advanced,Which RxJS operator is most suitable for search-as-you-type with cancellation of previous requests?,mergeMap,switchMap,concatMap,exhaustMap,B,switchMap cancels the previous HTTP request when new search term arrives — prevents race conditions and wasted network calls,switchMap Typeahead,https://rxjs.dev/api/operators/switchMap,https://youtube.com/results?search_query=angular+switchmap+typeahead+search,https://youtube.com/results?search_query=angular+switchmap+typeahead+hindi,https://youtube.com/results?search_query=angular+switchmap+typeahead+kannada,https://youtube.com/results?search_query=angular+switchmap+typeahead+tamil,https://youtube.com/results?search_query=angular+switchmap+typeahead+telugu
Angular,Advanced,Which pattern is recommended to automatically unsubscribe from observables when component is destroyed?,takeUntil(destroy$),take(1),first(),shareReplay(1),A,takeUntil(destroy$) + Subject completes subscription on ngOnDestroy — clean and memory-safe pattern,takeUntil Destroy Pattern,https://angular.io/guide/rx-library#takeuntil,https://youtube.com/results?search_query=angular+takeuntil+destroy+pattern,https://youtube.com/results?search_query=angular+takeuntil+destroy+hindi,https://youtube.com/results?search_query=angular+takeuntil+destroy+kannada,https://youtube.com/results?search_query=angular+takeuntil+destroy+tamil,https://youtube.com/results?search_query=angular+takeuntil+destroy+telugu
Angular,Advanced,In which lifecycle hook can you safely perform DOM measurements after view rendering?,ngOnInit,ngAfterViewInit,ngAfterViewChecked,ngDoCheck,B,ngAfterViewInit runs once after the component's view (and child views) are fully initialized,AfterViewInit DOM,https://angular.io/api/core/AfterViewInit,https://youtube.com/results?search_query=angular+ngafterviewinit+dom+measurement,https://youtube.com/results?search_query=angular+ngafterviewinit+hindi,https://youtube.com/results?search_query=angular+ngafterviewinit+kannada,https://youtube.com/results?search_query=angular+ngafterviewinit+tamil,https://youtube.com/results?search_query=angular+ngafterviewinit+telugu
Angular,Advanced,What is the main purpose of trackBy in *ngFor directive?,Track items by index,Improve rendering performance by object identity,Auto-sort list items,Filter duplicate items,B,trackBy uses a unique key (e.g. id) to minimize DOM recreation when list items change,ngFor trackBy,https://angular.io/api/core/TrackByFunction,https://youtube.com/results?search_query=angular+ngfor+trackby+performance,https://youtube.com/results?search_query=angular+ngfor+trackby+hindi,https://youtube.com/results?search_query=angular+ngfor+trackby+kannada,https://youtube.com/results?search_query=angular+ngfor+trackby+tamil,https://youtube.com/results?search_query=angular+ngfor+trackby+telugu
