skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
SQL,Basic,What is SQL?,Introduction,Database,Language,Structured Query Language,SQL (Structured Query Language) is a standard language for managing and manipulating relational databases. It is used to create," retrieve, update", and delete data.,https://www.w3schools.com/sql/sql_intro.asp,https://youtube.com/results?search_query=what+is+sql,https://youtube.com/results?search_query=what+is+sql+hindi,https://youtube.com/results?search_query=what+is+sql+kannada,https://youtube.com/results?search_query=what+is+sql+tamil,https://youtube.com/results?search_query=what+is+sql+telugu
SQL,Basic,What are the main categories of SQL commands?,SQL Commands,DDL,DML,DCL,TCL,"The main categories are: 1) DDL (Data Definition Language) - CREATE, ALTER, DROP; 2) DML (Data Manipulation Language) - SELECT, INSERT, UPDATE, DELETE; 3) DCL (Data Control Language) - GRANT, REVOKE; 4) TCL (Transaction Control Language) - COMMIT, ROLLBACK", SAVEPOINT.,https://www.w3schools.com/sql/sql_syntax.asp,https://youtube.com/results?search_query=sql+commands+categories,https://youtube.com/results?search_query=sql+commands+categories+hindi,https://youtube.com/results?search_query=sql+commands+categories+kannada,https://youtube.com/results?search_query=sql+commands+categories+tamil,https://youtube.com/results?search_query=sql+commands+categories+telugu
SQL,Basic,How do you insert data into a table?,DML Commands,INSERT,Add,Row,Use the INSERT INTO statement: `INSERT INTO table_name (column1, column2) VALUES (value1, value2);`,https://www.w3schools.com/sql/sql_insert.asp,https://youtube.com/results?search_query=sql+insert,https://youtube.com/results?search_query=sql+insert+hindi,https://youtube.com/results?search_query=sql+insert+kannada,https://youtube.com/results?search_query=sql+insert+tamil,https://youtube.com/results?search_query=sql+insert+telugu
SQL,Basic,What is the CREATE TABLE statement?,DDL Commands,CREATE TABLE,Define,Structure,The CREATE TABLE statement is used to create a new table in the database: `CREATE TABLE table_name (column1 datatype, column2 datatype, ...);`,https://www.w3schools.com/sql/sql_create_table.asp,https://youtube.com/results?search_query=create+table+sql,https://youtube.com/results?search_query=create+table+sql+hindi,https://youtube.com/results?search_query=create+table+sql+kannada,https://youtube.com/results?search_query=create+table+sql+tamil,https://youtube.com/results?search_query=create+table+sql+telugu
SQL,Basic,What is the ALTER TABLE statement?,DDL Commands,ALTER TABLE,Modify,Add Column,The ALTER TABLE statement is used to add," delete, or modify columns in an existing table", or to add/drop constraints.,https://www.w3schools.com/sql/sql_alter.asp,https://youtube.com/results?search_query=alter+table+sql,https://youtube.com/results?search_query=alter+table+sql+hindi,https://youtube.com/results?search_query=alter+table+sql+kannada,https://youtube.com/results?search_query=alter+table+sql+tamil,https://youtube.com/results?search_query=alter+table+sql+telugu
SQL,Basic,What are SQL operators?,Operators,Comparison,Logical,Arithmetic,SQL operators are used to perform operations on data. Types: Arithmetic (+," -, *, /), Comparison (=, <>, >, <, >=, <=), Logical (AND, OR", NOT).,https://www.w3schools.com/sql/sql_operators.asp,https://youtube.com/results?search_query=sql+operators,https://youtube.com/results?search_query=sql+operators+hindi,https://youtube.com/results?search_query=sql+operators+kannada,https://youtube.com/results?search_query=sql+operators+tamil,https://youtube.com/results?search_query=sql+operators+telugu
SQL,Basic,What is the IN operator?,Operators,IN,List,Multiple Values,The IN operator allows you to specify multiple values in a WHERE clause (shorthand for multiple OR conditions): `SELECT * FROM table WHERE column IN (value1, value2, ...);`,https://www.w3schools.com/sql/sql_in.asp,https://youtube.com/results?search_query=in+operator+sql,https://youtube.com/results?search_query=in+operator+sql+hindi,https://youtube.com/results?search_query=in+operator+sql+kannada,https://youtube.com/results?search_query=in+operator+sql+tamil,https://youtube.com/results?search_query=in+operator+sql+telugu
SQL,Basic,What are wildcards in SQL?,Operators,Wildcard,Pattern Matching,Percent,Underscore,"Wildcards are special characters used with the LIKE operator to search for data. The percent sign (%) represents zero, one", or multiple characters. The underscore (_) represents a single character.,https://www.w3schools.com/sql/sql_wildcards.asp,https://youtube.com/results?search_query=sql+wildcards,https://youtube.com/results?search_query=sql+wildcards+hindi,https://youtube.com/results?search_query=sql+wildcards+kannada,https://youtube.com/results?search_query=sql+wildcards+tamil,https://youtube.com/results?search_query=sql+wildcards+telugu
SQL,Basic,What is the LIMIT clause? (or TOP/FETCH FIRST),Clauses,LIMIT,TOP,Restrict Rows,Fetch,The LIMIT clause (or TOP in SQL Server, FETCH FIRST in standard SQL) is used to specify the number of records to return: `SELECT * FROM table LIMIT 5;`,https://www.w3schools.com/sql/sql_top.asp,https://youtube.com/results?search_query=limit+clause+sql,https://youtube.com/results?search_query=limit+clause+sql+hindi,https://youtube.com/results?search_query=limit+clause+sql+kannada,https://youtube.com/results?search_query=limit+clause+sql+tamil,https://youtube.com/results?search_query=limit+clause+sql+telugu
SQL,Basic,What is a LEFT JOIN?,Joins,LEFT JOIN,All from Left,NULL,LEFT JOIN returns all records from the left table, and the matched records from the right table. If no match, NULL values are returned from the right table.,https://www.w3schools.com/sql/sql_join_left.asp,https://youtube.com/results?search_query=left+join+sql,https://youtube.com/results?search_query=left+join+sql+hindi,https://youtube.com/results?search_query=left+join+sql+kannada,https://youtube.com/results?search_query=left+join+sql+tamil,https://youtube.com/results?search_query=left+join+sql+telugu
