skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Linux,Intermediate,What is the difference between hard link and soft link?,File System,Links,Inodes,A,hard link: same inode," cannot cross filesystems; soft link: separate inode, points to path.",File System,https://man7.org/linux/man-pages/man7/inode.7.html,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+hindi,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+kannada,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+tamil,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+telugu
Linux,Intermediate,What is the difference between chmod 755 and 644?,Permissions,Files,Numeric,A,755: rwxr-xr-x (owner: all," group/others: read+execute); 644: rw-r--r-- (owner: read+write, group/others: read).",Permissions,https://man7.org/linux/man-pages/man1/chmod.1.html,https://youtube.com/results?search_query=linux+chmod+755+vs+644,https://youtube.com/results?search_query=linux+chmod+755+vs+644+hindi,https://youtube.com/results?search_query=linux+chmod+755+vs+644+kannada,https://youtube.com/results?search_query=linux+chmod+755+vs+644+tamil,https://youtube.com/results?search_query=linux+chmod+755+vs+644+telugu
Linux,Intermediate,What is the difference between chmod u+x and +x?,Permissions,Files,Symbolic,A,u+x: adds execute for user only; +x: adds execute for all (user," group, others).",Permissions,https://man7.org/linux/man-pages/man1/chmod.1.html,https://youtube.com/results?search_query=linux+chmod+u+x+vs++x,https://youtube.com/results?search_query=linux+chmod+u+x+vs++x+hindi,https://youtube.com/results?search_query=linux+chmod+u+x+vs++x+kannada,https://youtube.com/results?search_query=linux+chmod+u+x+vs++x+tamil,https://youtube.com/results?search_query=linux+chmod+u+x+vs++x+telugu
Linux,Intermediate,What is the difference between top and htop?,Commands,Monitoring,System,A,top: basic process monitor; htop: enhanced with colors," mouse support, tree view.",Process Management,https://man7.org/linux/man-pages/man1/top.1.html,https://youtube.com/results?search_query=linux+top+vs+htop,https://youtube.com/results?search_query=linux+top+vs+htop+hindi,https://youtube.com/results?search_query=linux+top+vs+htop+kannada,https://youtube.com/results?search_query=linux+top+vs+htop+tamil,https://youtube.com/results?search_query=linux+top+vs+htop+telugu
Linux,Intermediate,What is the difference between netstat and ss?,Commands,Networking,Sockets,A,netstat: deprecated; ss: faster, more information.,Networking,https://man7.org/linux/man-pages/man8/ss.8.html,https://youtube.com/results?search_query=linux+netstat+vs+ss,https://youtube.com/results?search_query=linux+netstat+vs+ss+hindi,https://youtube.com/results?search_query=linux+netstat+vs+ss+kannada,https://youtube.com/results?search_query=linux+netstat+vs+ss+tamil,https://youtube.com/results?search_query=linux+netstat+vs+ss+telugu
Linux,Intermediate,What is the difference between curl and wget?,Commands,Networking,Download,A,curl: more features," protocols; wget: recursive downloads, better for files.",Networking,https://curl.se/docs/,https://youtube.com/results?search_query=linux+curl+vs+wget,https://youtube.com/results?search_query=linux+curl+vs+wget+hindi,https://youtube.com/results?search_query=linux+curl+vs+wget+kannada,https://youtube.com/results?search_query=linux+curl+vs+wget+tamil,https://youtube.com/results?search_query=linux+curl+vs+wget+telugu
Linux,Intermediate,What is the difference between scp and rsync?,Commands,Networking,Copy,A,scp: simple secure copy; rsync: faster," incremental, resume capability.",Networking,https://man7.org/linux/man-pages/man1/rsync.1.html,https://youtube.com/results?search_query=linux+scp+vs+rsync,https://youtube.com/results?search_query=linux+scp+vs+rsync+hindi,https://youtube.com/results?search_query=linux+scp+vs+rsync+kannada,https://youtube.com/results?search_query=linux+scp+vs+rsync+tamil,https://youtube.com/results?search_query=linux+scp+vs+rsync+telugu
Linux,Intermediate,What is the difference between telnet and ssh?,Networking,Protocols,Security,A,telnet: unencrypted; ssh: encrypted, secure.,Networking,https://www.openssh.com/,https://youtube.com/results?search_query=linux+telnet+vs+ssh,https://youtube.com/results?search_query=linux+telnet+vs+ssh+hindi,https://youtube.com/results?search_query=linux+telnet+vs+ssh+kannada,https://youtube.com/results?search_query=linux+telnet+vs+ssh+tamil,https://youtube.com/results?search_query=linux+telnet+vs+ssh+telugu
Linux,Intermediate,What is the difference between apt and apt-get?,Package Management,Debian,Tools,A,apt: user-friendly," combines common operations; apt-get: lower-level, more options.",Package Management,https://itsfoss.com/apt-vs-apt-get-difference/,https://youtube.com/results?search_query=linux+apt+vs+apt-get,https://youtube.com/results?search_query=linux+apt+vs+apt-get+hindi,https://youtube.com/results?search_query=linux+apt+vs+apt-get+kannada,https://youtube.com/results?search_query=linux+apt+vs+apt-get+tamil,https://youtube.com/results?search_query=linux+apt+vs+apt-get+telugu
Linux,Intermediate,What is the difference between yum and dnf?,Package Management,RHEL,Tools,A,yum: older (Yellowdog Updater Modified); dnf: newer (Dandified YUM), faster.,Package Management,https://dnf.readthedocs.io/en/latest/,https://youtube.com/results?search_query=linux+yum+vs+dnf,https://youtube.com/results?search_query=linux+yum+vs+dnf+hindi,https://youtube.com/results?search_query=linux+yum+vs+dnf+kannada,https://youtube.com/results?search_query=linux+yum+vs+dnf+tamil,https://youtube.com/results?search_query=linux+yum+vs+dnf+telugu
