skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Java,Basic,What is Java?,Basics,History,Introduction,Programming language,A,"Java is a high-level, object-oriented programming language developed by Sun Microsystems.",Basics,https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html,https://youtube.com/results?search_query=what+is+java,https://youtube.com/results?search_query=what+is+java+hindi,https://youtube.com/results?search_query=what+is+java+kannada,https://youtube.com/results?search_query=what+is+java+tamil,https://youtube.com/results?search_query=what+is+java+telugu
Java,Basic,Who developed Java?,Basics,History,James Gosling,Sun Microsystems,A,James Gosling at Sun Microsystems (now owned by Oracle),Basics,https://www.oracle.com/java/,https://youtube.com/results?search_query=who+developed+java,https://youtube.com/results?search_query=who+developed+java+hindi,https://youtube.com/results?search_query=who+developed+java+kannada,https://youtube.com/results?search_query=who+developed+java+tamil,https://youtube.com/results?search_query=who+developed+java+telugu
Java,Basic,When was Java first released?,Basics,History,Release date,Timeline,A,1995,Basics,https://www.oracle.com/java/,https://youtube.com/results?search_query=java+release+year,https://youtube.com/results?search_query=java+release+year+hindi,https://youtube.com/results?search_query=java+release+year+kannada,https://youtube.com/results?search_query=java+release+year+tamil,https://youtube.com/results?search_query=java+release+year+telugu
Java,Basic,What is the main principle of Java?,Basics,Principles,Write Once Run Anywhere,Platform independence,A,"Write Once, Run Anywhere (WORA)",Basics,https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html,https://youtube.com/results?search_query=java+wora+principle,https://youtube.com/results?search_query=java+wora+principle+hindi,https://youtube.com/results?search_query=java+wora+principle+kannada,https://youtube.com/results?search_query=java+wora+principle+tamil,https://youtube.com/results?search_query=java+wora+principle+telugu
Java,Basic,What is JVM?,Basics,JVM,Java Virtual Machine,Bytecode,A,Java Virtual Machine - executes Java bytecode,Basics,https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html,https://youtube.com/results?search_query=what+is+jvm+java,https://youtube.com/results?search_query=what+is+jvm+java+hindi,https://youtube.com/results?search_query=what+is+jvm+java+kannada,https://youtube.com/results?search_query=what+is+jvm+java+tamil,https://youtube.com/results?search_query=what+is+jvm+java+telugu
Java,Basic,What is JRE?,Basics,JRE,Java Runtime Environment,Execution,A,Java Runtime Environment - includes JVM and core libraries,Basics,https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html,https://youtube.com/results?search_query=what+is+jre+java,https://youtube.com/results?search_query=what+is+jre+java+hindi,https://youtube.com/results?search_query=what+is+jre+java+kannada,https://youtube.com/results?search_query=what+is+jre+java+tamil,https://youtube.com/results?search_query=what+is+jre+java+telugu
Java,Basic,What is JDK?,Basics,JDK,Java Development Kit,Development,A,"Java Development Kit - includes JRE + development tools (compiler, debugger)",Basics,https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html,https://youtube.com/results?search_query=what+is+jdk+java,https://youtube.com/results?search_query=what+is+jdk+java+hindi,https://youtube.com/results?search_query=what+is+jdk+java+kannada,https://youtube.com/results?search_query=what+is+jdk+java+tamil,https://youtube.com/results?search_query=what+is+jdk+java+telugu
Java,Basic,What is the extension of Java source file?,Basics,Files,Extension,Source code,A,.java,Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+file+extension,https://youtube.com/results?search_query=java+file+extension+hindi,https://youtube.com/results?search_query=java+file+extension+kannada,https://youtube.com/results?search_query=java+file+extension+tamil,https://youtube.com/results?search_query=java+file+extension+telugu
Java,Basic,What is the extension of Java compiled file?,Basics,Files,Bytecode,Class file,A,.class (bytecode),Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+class+file+extension,https://youtube.com/results?search_query=java+class+file+extension+hindi,https://youtube.com/results?search_query=java+class+file+extension+kannada,https://youtube.com/results?search_query=java+class+file+extension+tamil,https://youtube.com/results?search_query=java+class+file+extension+telugu
Java,Basic,How to compile a Java program?,Basics,Compilation,javac,Command,A,javac filename.java,Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+compile+program,https://youtube.com/results?search_query=java+compile+program+hindi,https://youtube.com/results?search_query=java+compile+program+kannada,https://youtube.com/results?search_query=java+compile+program+tamil,https://youtube.com/results?search_query=java+compile+program+telugu
Java,Basic,How to run a Java program?,Basics,Execution,java,Command,A,java classname (without .class extension),Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+run+program,https://youtube.com/results?search_query=java+run+program+hindi,https://youtube.com/results?search_query=java+run+program+kannada,https://youtube.com/results?search_query=java+run+program+tamil,https://youtube.com/results?search_query=java+run+program+telugu
Java,Basic,What is the entry point of a Java program?,Basics,main method,Entry point,Execution,A,public static void main(String[] args),Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+main+method,https://youtube.com/results?search_query=java+main+method+hindi,https://youtube.com/results?search_query=java+main+method+kannada,https://youtube.com/results?search_query=java+main+method+tamil,https://youtube.com/results?search_query=java+main+method+telugu
Java,Basic,How to print "Hello World" in Java?,Basics,Output,Print,Hello World,A,System.out.println("Hello World");,Basics,https://docs.oracle.com/javase/tutorial/getStarted/application/index.html,https://youtube.com/results?search_query=java+hello+world,https://youtube.com/results?search_query=java+hello+world+hindi,https://youtube.com/results?search_query=java+hello+world+kannada,https://youtube.com/results?search_query=java+hello+world+tamil,https://youtube.com/results?search_query=java+hello+world+telugu
Java,Basic,What is System.out.println()?,Basics,Output,Print,Console,A,Prints output to console with new line,Basics,https://docs.oracle.com/javase/tutorial/essential/io/formatting.html,https://youtube.com/results?search_query=system+out+println+java,https://youtube.com/results?search_query=system+out+println+java+hindi,https://youtube.com/results?search_query=system+out+println+java+kannada,https://youtube.com/results?search_query=system+out+println+java+tamil,https://youtube.com/results?search_query=system+out+println+java+telugu
Java,Basic,What is System.out.print()?,Basics,Output,Print,Console,A,Prints output without new line,Basics,https://docs.oracle.com/javase/tutorial/essential/io/formatting.html,https://youtube.com/results?search_query=system+out+print+java,https://youtube.com/results?search_query=system+out+print+java+hindi,https://youtube.com/results?search_query=system+out+print+java+kannada,https://youtube.com/results?search_query=system+out+print+java+tamil,https://youtube.com/results?search_query=system+out+print+java+telugu
Java,Basic,What are comments in Java?,Basics,Comments,Documentation,Code documentation,A,"// single-line comment, /* multi-line comment */, /** documentation comment */",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/comments.html,https://youtube.com/results?search_query=java+comments,https://youtube.com/results?search_query=java+comments+hindi,https://youtube.com/results?search_query=java+comments+kannada,https://youtube.com/results?search_query=java+comments+tamil,https://youtube.com/results?search_query=java+comments+telugu
Java,Basic,What is a variable in Java?,Basics,Variables,Data storage,Memory,A,Named memory location to store data,Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html,https://youtube.com/results?search_query=java+variables,https://youtube.com/results?search_query=java+variables+hindi,https://youtube.com/results?search_query=java+variables+kannada,https://youtube.com/results?search_query=java+variables+tamil,https://youtube.com/results?search_query=java+variables+telugu
Java,Basic,How to declare a variable in Java?,Basics,Variables,Declaration,Syntax,A,"datatype variableName; (e.g., int age;)",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html,https://youtube.com/results?search_query=java+declare+variable,https://youtube.com/results?search_query=java+declare+variable+hindi,https://youtube.com/results?search_query=java+declare+variable+kannada,https://youtube.com/results?search_query=java+declare+variable+tamil,https://youtube.com/results?search_query=java+declare+variable+telugu
Java,Basic,How to initialize a variable?,Basics,Variables,Initialization,Assignment,A,"datatype variableName = value; (e.g., int age = 25;)",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html,https://youtube.com/results?search_query=java+initialize+variable,https://youtube.com/results?search_query=java+initialize+variable+hindi,https://youtube.com/results?search_query=java+initialize+variable+kannada,https://youtube.com/results?search_query=java+initialize+variable+tamil,https://youtube.com/results?search_query=java+initialize+variable+telugu
Java,Basic,What are primitive data types in Java?,Basics,Data types,Primitive,Basic types,A,"byte, short, int, long, float, double, char, boolean",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,https://youtube.com/results?search_query=java+primitive+data+types,https://youtube.com/results?search_query=java+primitive+data+types+hindi,https://youtube.com/results?search_query=java+primitive+data+types+kannada,https://youtube.com/results?search_query=java+primitive+data+types+tamil,https://youtube.com/results?search_query=java+primitive+data+types+telugu
Java,Basic,What is int data type?,Basics,Data types,int,Integer,A,"32-bit integer, range: -2^31 to 2^31-1",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,https://youtube.com/results?search_query=java+int+data+type,https://youtube.com/results?search_query=java+int+data+type+hindi,https://youtube.com/results?search_query=java+int+data+type+kannada,https://youtube.com/results?search_query=java+int+data+type+tamil,https://youtube.com/results?search_query=java+int+data+type+telugu
Java,Basic,What is double data type?,Basics,Data types,double,Floating point,A,"64-bit floating point, for decimal numbers",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,https://youtube.com/results?search_query=java+double+data+type,https://youtube.com/results?search_query=java+double+data+type+hindi,https://youtube.com/results?search_query=java+double+data+type+kannada,https://youtube.com/results?search_query=java+double+data+type+tamil,https://youtube.com/results?search_query=java+double+data+type+telugu
Java,Basic,What is char data type?,Basics,Data types,char,Character,A,"16-bit Unicode character, e.g., 'A', '1', '$'",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,https://youtube.com/results?search_query=java+char+data+type,https://youtube.com/results?search_query=java+char+data+type+hindi,https://youtube.com/results?search_query=java+char+data+type+kannada,https://youtube.com/results?search_query=java+char+data+type+tamil,https://youtube.com/results?search_query=java+char+data+type+telugu
Java,Basic,What is boolean data type?,Basics,Data types,boolean,True false,A,Stores true or false values,Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,https://youtube.com/results?search_query=java+boolean+data+type,https://youtube.com/results?search_query=java+boolean+data+type+hindi,https://youtube.com/results?search_query=java+boolean+data+type+kannada,https://youtube.com/results?search_query=java+boolean+data+type+tamil,https://youtube.com/results?search_query=java+boolean+data+type+telugu
Java,Basic,What is String in Java?,Basics,String,Class,Text,A,String is a class for text (sequence of characters),Basics,https://docs.oracle.com/javase/tutorial/java/data/strings.html,https://youtube.com/results?search_query=java+string+class,https://youtube.com/results?search_query=java+string+class+hindi,https://youtube.com/results?search_query=java+string+class+kannada,https://youtube.com/results?search_query=java+string+class+tamil,https://youtube.com/results?search_query=java+string+class+telugu
Java,Basic,How to declare a String?,Basics,String,Declaration,Initialization,A,String name = "Java"; or String name = new String("Java");,Basics,https://docs.oracle.com/javase/tutorial/java/data/strings.html,https://youtube.com/results?search_query=java+declare+string,https://youtube.com/results?search_query=java+declare+string+hindi,https://youtube.com/results?search_query=java+declare+string+kannada,https://youtube.com/results?search_query=java+declare+string+tamil,https://youtube.com/results?search_query=java+declare+string+telugu
Java,Basic,What are operators in Java?,Basics,Operators,Arithmetic,Logical,A,"Symbols that perform operations on operands: +, -, *, /, %, ==, >, <, etc.",Basics,https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html,https://youtube.com/results?search_query=java+operators,https://youtube.com/results?search_query=java+operators+hindi,https://youtube.com/results?search_query=java+operators+kannada,https://youtube.com/results?search_query=java+operators+tamil,https://youtube.com/results?search_query=java+operators+telugu
