Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Docker,Intermediate,What is the difference between COPY and ADD instructions in a Dockerfile?,Dockerfile,Image building,Commands,Best practices,A,COPY only copies local files; ADD can copy from URLs and auto-extract archives,COPY/ADD,https://docs.docker.com/engine/reference/builder/#copy,https://youtube.com/results?search_query=docker+copy+vs+add,https://youtube.com/results?search_query=docker+copy+vs+add+hindi,https://youtube.com/results?search_query=docker+copy+vs+add+kannada,https://youtube.com/results?search_query=docker+copy+vs+add+tamil,https://youtube.com/results?search_query=docker+copy+vs+add+telugu
Docker,Intermediate,How do you reduce Docker image size using multi-stage builds?,Image optimization,Multi-stage builds,Layer caching,Best practices,A,Use multiple FROM statements to build in one stage and copy only necessary artifacts to final image,Image Optimization,https://docs.docker.com/develop/develop-images/multistage-build/,https://youtube.com/results?search_query=docker+multi+stage+builds,https://youtube.com/results?search_query=docker+multi+stage+builds+hindi,https://youtube.com/results?search_query=docker+multi+stage+builds+kannada,https://youtube.com/results?search_query=docker+multi+stage+builds+tamil,https://youtube.com/results?search_query=docker+multi+stage+builds+telugu
Docker,Intermediate,What is the purpose of .dockerignore file?,Image building,File exclusion,Context size,Security,A,Excludes files from build context to reduce image size and prevent sensitive data inclusion,Best Practices,https://docs.docker.com/engine/reference/builder/#dockerignore-file,https://youtube.com/results?search_query=docker+dockerignore+file,https://youtube.com/results?search_query=docker+dockerignore+file+hindi,https://youtube.com/results?search_query=docker+dockerignore+file+kannada,https://youtube.com/results?search_query=docker+dockerignore+file+tamil,https://youtube.com/results?search_query=docker+dockerignore+file+telugu
Docker,Intermediate,How do you persist data in Docker containers?,Data persistence,Volumes,Bind mounts,Storage,A,Use Docker volumes or bind mounts to persist data beyond container lifecycle,Data Management,https://docs.docker.com/storage/,https://youtube.com/results?search_query=docker+data+persistence+volumes,https://youtube.com/results?search_query=docker+data+persistence+volumes+hindi,https://youtube.com/results?search_query=docker+data+persistence+volumes+kannada,https://youtube.com/results?search_query=docker+data+persistence+volumes+tamil,https://youtube.com/results?search_query=docker+data+persistence+volumes+telugu
Docker,Intermediate,What is the difference between volumes and bind mounts?,Storage,Volumes,Bind mounts,Data persistence,A,Volumes are managed by Docker; bind mounts mount host directories directly into containers,Storage,https://docs.docker.com/storage/bind-mounts/,https://youtube.com/results?search_query=docker+volumes+vs+bind+mounts,https://youtube.com/results?search_query=docker+volumes+vs+bind+mounts+hindi,https://youtube.com/results?search_query=docker+volumes+vs+bind+mounts+kannada,https://youtube.com/results?search_query=docker+volumes+vs+bind+mounts+tamil,https://youtube.com/results?search_query=docker+volumes+vs+bind+mounts+telugu
Docker,Intermediate,How do you set environment variables in Docker containers?,Environment,Configuration,Runtime settings,Application config,A,Use -e flag with docker run or ENV instruction in Dockerfile,Configuration,https://docs.docker.com/engine/reference/commandline/run/#set-environment-variables--e---env---env-file,https://youtube.com/results?search_query=docker+environment+variables,https://youtube.com/results?search_query=docker+environment+variables+hindi,https://youtube.com/results?search_query=docker+environment+variables+kannada,https://youtube.com/results?search_query=docker+environment+variables+tamil,https://youtube.com/results?search_query=docker+environment+variables+telugu
Docker,Intermediate,What is Docker Compose and when would you use it?,Orchestration,Multi-container,Development,Testing,A,Define and run multi-container Docker applications using YAML configuration,Orchestration,https://docs.docker.com/compose/,https://youtube.com/results?search_query=docker+compose+introduction,https://youtube.com/results?search_query=docker+compose+introduction+hindi,https://youtube.com/results?search_query=docker+compose+introduction+kannada,https://youtube.com/results?search_query=docker+compose+introduction+tamil,https://youtube.com/results?search_query=docker+compose+introduction+telugu
Docker,Intermediate,How do you manage container logging in Docker?,Logging,Monitoring,Debugging,Administration,A,Use docker logs command or configure logging drivers for centralized logging,Monitoring,https://docs.docker.com/config/containers/logging/,https://youtube.com/results?search_query=docker+container+logging,https://youtube.com/results?search_query=docker+container+logging+hindi,https://youtube.com/results?search_query=docker+container+logging+kannada,https://youtube.com/results?search_query=docker+container+logging+tamil,https://youtube.com/results?search_query=docker+container+logging+telugu
Docker,Intermediate,What are Docker networks and their types?,Networking,Communication,Isolation,Connectivity,A,Bridge, host, overlay, macvlan, none - providing different networking capabilities,Networking,https://docs.docker.com/network/,https://youtube.com/results?search_query=docker+networks+types,https://youtube.com/results?search_query=docker+networks+types+hindi,https://youtube.com/results?search_query=docker+networks+types+kannada,https://youtube.com/results?search_query=docker+networks+types+tamil,https://youtube.com/results?search_query=docker+networks+types+telugu
Docker,Intermediate,How do you expose ports in Docker containers?,Port mapping,Network access,Service exposure,Firewall,A,Use -p flag in docker run or EXPOSE in Dockerfile to map container ports to host,Networking,https://docs.docker.com/engine/reference/commandline/run/#publish-or-expose-port--p---expose,https://youtube.com/results?search_query=docker+port+exposure+mapping,https://youtube.com/results?search_query=docker+port+exposure+mapping+hindi,https://youtube.com/results?search_query=docker+port+exposure+mapping+kannada,https://youtube.com/results?search_query=docker+port+exposure+mapping+tamil,https://youtube.com/results?search_query=docker+port+exposure+mapping+telugu
