skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Unity,Basic,What is Unity?,Introduction,Game Engine,Development,Unity is a cross-platform game engine developed by Unity Technologies. It's used to create 2D,3D,VR,and AR games and experiences for various platforms.,https://unity.com/,https://youtube.com/results?search_query=what+is+unity,https://youtube.com/results?search_query=what+is+unity+hindi,https://youtube.com/results?search_query=what+is+unity+kannada,https://youtube.com/results?search_query=what+is+unity+tamil,https://youtube.com/results?search_query=what+is+unity+telugu
Unity,Basic,What is a GameObject?,Core Concepts,GameObject,Entity,A GameObject is the fundamental object in Unity that represents characters,props,"scenery, etc. Every object in your game is a GameObject",but they need components to become functional.,https://docs.unity3d.com/Manual/GameObjects.html,https://youtube.com/results?search_query=unity+gameobject,https://youtube.com/results?search_query=unity+gameobject+hindi,https://youtube.com/results?search_query=unity+gameobject+kannada,https://youtube.com/results?search_query=unity+gameobject+tamil,https://youtube.com/results?search_query=unity+gameobject+telugu
Unity,Basic,What is a Component?,Core Concepts,Component,Behavior,Property,A Component is a piece of functionality that you attach to a GameObject (e.g.,"Transform, Renderer, Script",Collider). Components define the behavior and properties of GameObjects.,https://docs.unity3d.com/Manual/Components.html,https://youtube.com/results?search_query=unity+component,https://youtube.com/results?search_query=unity+component+hindi,https://youtube.com/results?search_query=unity+component+kannada,https://youtube.com/results?search_query=unity+component+tamil,https://youtube.com/results?search_query=unity+component+telugu
Unity,Basic,What is the Transform component?,Components,Transform,Position,Rotation,Scale,"The Transform component defines a GameObject's position, rotation",and scale in the scene. Every GameObject has a Transform component.,https://docs.unity3d.com/Manual/class-Transform.html,https://youtube.com/results?search_query=unity+transform+component,https://youtube.com/results?search_query=unity+transform+component+hindi,https://youtube.com/results?search_query=unity+transform+component+kannada,https://youtube.com/results?search_query=unity+transform+component+tamil,https://youtube.com/results?search_query=unity+transform+component+telugu
Unity,Basic,What is the Inspector window?,Interface,Inspector,Properties,The Inspector window shows detailed information about the currently selected GameObject,asset,or project setting,including all attached Components and their properties.,https://docs.unity3d.com/Manual/UsingTheInspector.html,https://youtube.com/results?search_query=unity+inspector+window,https://youtube.com/results?search_query=unity+inspector+window+hindi,https://youtube.com/results?search_query=unity+inspector+window+kannada,https://youtube.com/results?search_query=unity+inspector+window+tamil,https://youtube.com/results?search_query=unity+inspector+window+telugu
Unity,Basic,What is the Project window?,Interface,Project,Assets,The Project window displays all the assets (scripts,models,textures,etc.) in your project's Assets folder. It's the file browser for your Unity project.,https://docs.unity3d.com/Manual/ProjectView.html,https://youtube.com/results?search_query=unity+project+window,https://youtube.com/results?search_query=unity+project+window+hindi,https://youtube.com/results?search_query=unity+project+window+kannada,https://youtube.com/results?search_query=unity+project+window+tamil,https://youtube.com/results?search_query=unity+project+window+telugu
Unity,Basic,What is a Vector3?,Scripting,Vector3,3D Position,Vector3 is a struct that represents 3D vectors and points. It contains x,y,"and z float values. Commonly used for positions, rotations (Euler angles)",and scales.,https://docs.unity3d.com/ScriptReference/Vector3.html,https://youtube.com/results?search_query=unity+vector3,https://youtube.com/results?search_query=unity+vector3+hindi,https://youtube.com/results?search_query=unity+vector3+kannada,https://youtube.com/results?search_query=unity+vector3+tamil,https://youtube.com/results?search_query=unity+vector3+telugu
Unity,Basic,What are the common types of Colliders?,Physics,Collider,Types,Common Colliders: Box Collider,Sphere Collider,"Capsule Collider, Mesh Collider (conforms to mesh shape)",and 2D counterparts like BoxCollider2D.,https://docs.unity3d.com/Manual/CollidersOverview.html,https://youtube.com/results?search_query=unity+collider+types,https://youtube.com/results?search_query=unity+collider+types+hindi,https://youtube.com/results?search_query=unity+collider+types+kannada,https://youtube.com/results?search_query=unity+collider+types+tamil,https://youtube.com/results?search_query=unity+collider+types+telugu
Unity,Basic,What is a Light?,Components,Light,Illumination,A Light component illuminates the Scene and GameObjects. Types include Directional,Point,Spot,and Area lights.,https://docs.unity3d.com/Manual/Lighting.html,https://youtube.com/results?search_query=unity+light,https://youtube.com/results?search_query=unity+light+hindi,https://youtube.com/results?search_query=unity+light+kannada,https://youtube.com/results?search_query=unity+light+tamil,https://youtube.com/results?search_query=unity+light+telugu
Unity,Basic,What is a Material?,Graphics,Material,Shader,A Material is an asset that defines how a surface should be rendered,including references to Textures,tiling information,and Color. It uses a Shader to compute the final appearance.,https://docs.unity3d.com/Manual/class-Material.html,https://youtube.com/results?search_query=unity+material,https://youtube.com/results?search_query=unity+material+hindi,https://youtube.com/results?search_query=unity+material+kannada,https://youtube.com/results?search_query=unity+material+tamil,https://youtube.com/results?search_query=unity+material+telugu
