skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Swift,Basic,What is Swift?,Introduction,Fundamentals,Apple programming language,Swift is a general-purpose,multi-paradigm programming language developed by Apple for iOS,"macOS, watchOS, tvOS, and beyond. It's designed to be safe, fast",and expressive.,https://developer.apple.com/swift/,https://youtube.com/results?search_query=what+is+swift+programming,https://youtube.com/results?search_query=swift+ky+hai,https://youtube.com/results?search_query=swift+ennu,https://youtube.com/results?search_query=swift+en,https://youtube.com/results?search_query=swift+enti
Swift,Basic,What are Swift's main features?,Introduction,Features,Safe,Fast,Expressive,"Swift is designed to be safe (prevents common programming errors), fast (performance comparable to C-based languages)",and expressive (modern syntax that is easy to read and write).,https://developer.apple.com/swift/,https://youtube.com/results?search_query=swift+features,https://youtube.com/results?search_query=swift+ke+mukhya+features,https://youtube.com/results?search_query=swift+pradhana+galu,https://youtube.com/results?search_query=swift+prathana+golum,https://youtube.com/results?search_query=swift+prathana+golum
Swift,Basic,What are Swift's naming conventions?,Syntax,Naming,Camel case,Use camelCase: start with lowercase for variables/constants (e.g.,`myVariable`),and uppercase for types/classes (e.g.,`MyClass`).,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/thebasics/#Naming-Constants-and-Variables,https://youtube.com/results?search_query=swift+naming+conventions,https://youtube.com/results?search_query=swift+me+names+kaise+rakhe,https://youtube.com/results?search_query=swift+naming+conventions+hege,https://youtube.com/results?search_query=swift+naming+conventions+epadi,https://youtube.com/results?search_query=swift+naming+conventions+ela
Swift,Basic,What are the basic data types in Swift?,Data Types,Fundamentals,Primitive types,Basic types include: Int,Float,"Double, Bool, String, Character, and collections like Array, Dictionary",Set.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/thebasics/#Type-Safety-and-Type-Inference,https://youtube.com/results?search_query=swift+data+types,https://youtube.com/results?search_query=swift+data+types+kitne+hai,https://youtube.com/results?search_query=swift+data+types+hege,https://youtube.com/results?search_query=swift+data+types+epadi,https://youtube.com/results?search_query=swift+data+types+ela
Swift,Basic,How do you access tuple elements?,Data Types,Tuple,Index,name,Access by index: `tuple.0`,`tuple.1`,or by name if named: `tuple.name`.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/thebasics/#Tuples,https://youtube.com/results?search_query=swift+access+tuple+elements,https://youtube.com/results?search_query=swift+me+tuple+ke+element+kaise+access+kare,https://youtube.com/results?search_query=swift+access+tuple+elements+hege,https://youtube.com/results?search_query=swift+access+tuple+elements+epadi,https://youtube.com/results?search_query=swift+access+tuple+elements+ela
Swift,Basic,What is optional chaining?,Optionals,Chaining,?,Optional chaining allows you to call properties,methods,and subscripts on an optional that might be `nil`. If the optional is `nil`,the chain fails gracefully and returns `nil`. Use `?`.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/optionalchaining/,https://youtube.com/results?search_query=swift+optional+chaining,https://youtube.com/results?search_query=swift+me+optional+chaining+kaise+kare,https://youtube.com/results?search_query=swift+optional+chaining+hege,https://youtube.com/results?search_query=swift+optional+chaining+epadi,https://youtube.com/results?search_query=swift+optional+chaining+ela
Swift,Basic,How do you perform basic arithmetic?,Syntax,Operators,Math,Use operators: `+` (addition),`-` (subtraction),"`*` (multiplication), `/` (division)",`%` (remainder).,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/basicoperators/,https://youtube.com/results?search_query=swift+arithmetic,https://youtube.com/results?search_query=swift+me+basic+math+kaise+kare,https://youtube.com/results?search_query=swift+arithmetic+hege,https://youtube.com/results?search_query=swift+arithmetic+epadi,https://youtube.com/results?search_query=swift+arithmetic+ela
Swift,Basic,What are comparison operators?,Syntax,Operators,Comparison,Comparison operators: `==` (equal),`!=` (not equal),"`>` (greater than), `<` (less than), `>=` (greater than or equal)",`<=` (less than or equal).,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/basicoperators/,https://youtube.com/results?search_query=swift+comparison+operators,https://youtube.com/results?search_query=swift+me+comparison+kaise+kare,https://youtube.com/results?search_query=swift+comparison+operators+hege,https://youtube.com/results?search_query=swift+comparison+operators+epadi,https://youtube.com/results?search_query=swift+comparison+operators+ela
Swift,Basic,How do you create an array?,Collections,Array,Literal syntax,Use array literal: `[value1,value2,value3]`. For an empty array,specify type: `[Int]()` or `[]` (with type inference).,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/collectiontypes/#Arrays,https://youtube.com/results?search_query=swift+create+array,https://youtube.com/results?search_query=swift+me+array+kaise+banaye,https://youtube.com/results?search_query=swift+create+array+hege,https://youtube.com/results?search_query=swift+create+array+epadi,https://youtube.com/results?search_query=swift+create+array+ela
Swift,Basic,How do you define an enum?,Enums,Syntax,enum,Use the `enum` keyword: `enum CompassPoint { case north,south,east,west }`,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/enumerations/,https://youtube.com/results?search_query=swift+define+enum,https://youtube.com/results?search_query=swift+me+enum+kaise+define+kare,https://youtube.com/results?search_query=swift+define+enum+hege,https://youtube.com/results?search_query=swift+define+enum+epadi,https://youtube.com/results?search_query=swift+define+enum+ela
Swift,Basic,What is error handling in Swift?,Error Handling,Fundamentals,throws,try,Error handling allows you to respond to and recover from errors in your program. Uses `throws`,"`try`, `catch`",`do`.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/errorhandling/,https://youtube.com/results?search_query=swift+error+handling,https://youtube.com/results?search_query=swift+me+error+kaise+handle+kare,https://youtube.com/results?search_query=swift+error+handling+hege,https://youtube.com/results?search_query=swift+error+handling+epadi,https://youtube.com/results?search_query=swift+error+handling+ela
Swift,Basic,What are extensions?,Extensions,Features,Add functionality,Extensions add new functionality to an existing class,structure,enumeration,or protocol type.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/extensions/,https://youtube.com/results?search_query=swift+extensions,https://youtube.com/results?search_query=swift+me+extension+kaise+use+kare,https://youtube.com/results?search_query=swift+extensions+hege,https://youtube.com/results?search_query=swift+extensions+epadi,https://youtube.com/results?search_query=swift+extensions+ela
