skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Git,Basic,How do you install Git?,Installation,Setup,Configuration,Getting started,A,"Download from git-scm.com or use package manager like apt, yum, or brew.",Installation,https://git-scm.com/downloads,https://youtube.com/results?search_query=install+git,https://youtube.com/results?search_query=install+git+hindi,https://youtube.com/results?search_query=install+git+kannada,https://youtube.com/results?search_query=install+git+tamil,https://youtube.com/results?search_query=install+git+telugu
Git,Basic,How do you check Git version?,Version check,Command line,Verification,System check,A,Run 'git --version' in terminal or command prompt.,Version Check,https://git-scm.com/book/en/v2/Getting-Started-Installing-Git,https://youtube.com/results?search_query=git+version+check,https://youtube.com/results?search_query=git+version+check+hindi,https://youtube.com/results?search_query=git+version+check+kannada,https://youtube.com/results?search_query=git+version+check+tamil,https://youtube.com/results?search_query=git+version+check+telugu
Git,Basic,How do you configure Git username?,Configuration,User setup,Identity,Git config,A,Use 'git config --global user.name "Your Name"',User Configuration,https://git-scm.com/book/en/v2/Getting-Started-First-Time-Git-Setup,https://youtube.com/results?search_query=git+configure+username,https://youtube.com/results?search_query=git+configure+username+hindi,https://youtube.com/results?search_query=git+configure+username+kannada,https://youtube.com/results?search_query=git+configure+username+tamil,https://youtube.com/results?search_query=git+configure+username+telugu
Git,Basic,How do you configure Git email?,Configuration,Email setup,Identity,Git config,A,Use 'git config --global user.email "your@email.com"',Email Configuration,https://git-scm.com/book/en/v2/Getting-Started-First-Time-Git-Setup,https://youtube.com/results?search_query=git+configure+email,https://youtube.com/results?search_query=git+configure+email+hindi,https://youtube.com/results?search_query=git+configure+email+kannada,https://youtube.com/results?search_query=git+configure+email+tamil,https://youtube.com/results?search_query=git+configure+email+telugu
Git,Basic,How do you initialize a Git repository?,Repository creation,Init command,Project setup,Git init,A,Run 'git init' in your project directory.,Initialize Repository,https://git-scm.com/book/en/v2/Git-Basics-Getting-a-Git-Repository,https://youtube.com/results?search_query=git+init+repository,https://youtube.com/results?search_query=git+init+repository+hindi,https://youtube.com/results?search_query=git+init+repository+kannada,https://youtube.com/results?search_query=git+init+repository+tamil,https://youtube.com/results?search_query=git+init+repository+telugu
Git,Basic,How do you check Git status?,Status check,File tracking,Repository state,Git status,A,Use 'git status' to see untracked/modified files.,Status Check,https://git-scm.com/docs/git-status,https://youtube.com/results?search_query=git+status+command,https://youtube.com/results?search_query=git+status+command+hindi,https://youtube.com/results?search_query=git+status+command+kannada,https://youtube.com/results?search_query=git+status+command+tamil,https://youtube.com/results?search_query=git+status+command+telugu
Git,Basic,How do you add files to staging area?,Staging,Add files,Prepare commit,Git add,A,Use 'git add filename' or 'git add .' for all files.,Add Files,https://git-scm.com/docs/git-add,https://youtube.com/results?search_query=git+add+files,https://youtube.com/results?search_query=git+add+files+hindi,https://youtube.com/results?search_query=git+add+files+kannada,https://youtube.com/results?search_query=git+add+files+tamil,https://youtube.com/results?search_query=git+add+files+telugu
Git,Basic,How do you commit changes?,Commit,Save changes,Version history,Git commit,A,Use 'git commit -m "commit message"',Commit Changes,https://git-scm.com/docs/git-commit,https://youtube.com/results?search_query=git+commit+changes,https://youtube.com/results?search_query=git+commit+changes+hindi,https://youtube.com/results?search_query=git+commit+changes+kannada,https://youtube.com/results?search_query=git+commit+changes+tamil,https://youtube.com/results?search_query=git+commit+changes+telugu
Git,Basic,How do you view commit history?,History,Logs,Commit tracking,Git log,A,Use 'git log' to see commit history.,View History,https://git-scm.com/docs/git-log,https://youtube.com/results?search_query=git+log+history,https://youtube.com/results?search_query=git+log+history+hindi,https://youtube.com/results?search_query=git+log+history+kannada,https://youtube.com/results?search_query=git+log+history+tamil,https://youtube.com/results?search_query=git+log+history+telugu
Git,Basic,How do you clone a repository?,Clone,Copy repository,Download project,Git clone,A,Use 'git clone repository_url',Clone Repository,https://git-scm.com/docs/git-clone,https://youtube.com/results?search_query=git+clone+repository,https://youtube.com/results?search_query=git+clone+repository+hindi,https://youtube.com/results?search_query=git+clone+repository+kannada,https://youtube.com/results?search_query=git+clone+repository+tamil,https://youtube.com/results?search_query=git+clone+repository+telugu
Git,Basic,How do you create a branch?,Branching,Feature development,Isolation,Git branch,A,Use 'git branch branch_name',Create Branch,https://git-scm.com/docs/git-branch,https://youtube.com/results?search_query=git+create+branch,https://youtube.com/results?search_query=git+create+branch+hindi,https://youtube.com/results?search_query=git+create+branch+kannada,https://youtube.com/results?search_query=git+create+branch+tamil,https://youtube.com/results?search_query=git+create+branch+telugu
Git,Basic,How do you switch to a branch?,Switch branch,Checkout,Change context,Git checkout,A,Use 'git checkout branch_name',Switch Branch,https://git-scm.com/docs/git-checkout,https://youtube.com/results?search_query=git+switch+branch,https://youtube.com/results?search_query=git+switch+branch+hindi,https://youtube.com/results?search_query=git+switch+branch+kannada,https://youtube.com/results?search_query=git+switch+branch+tamil,https://youtube.com/results?search_query=git+switch+branch+telugu
Git,Basic,How do you create and switch branch in one command?,Branch creation,Checkout shortcut,Quick branch,Git checkout -b,A,Use 'git checkout -b branch_name',Create and Switch,https://git-scm.com/docs/git-checkout,https://youtube.com/results?search_query=git+checkout+b+create,https://youtube.com/results?search_query=git+checkout+b+create+hindi,https://youtube.com/results?search_query=git+checkout+b+create+kannada,https://youtube.com/results?search_query=git+checkout+b+create+tamil,https://youtube.com/results?search_query=git+checkout+b+create+telugu
Git,Basic,How do you list all branches?,Branch listing,View branches,Repository branches,Git branch,A,Use 'git branch' or 'git branch -a' for all branches.,List Branches,https://git-scm.com/docs/git-branch,https://youtube.com/results?search_query=git+list+branches,https://youtube.com/results?search_query=git+list+branches+hindi,https://youtube.com/results?search_query=git+list+branches+kannada,https://youtube.com/results?search_query=git+list+branches+tamil,https://youtube.com/results?search_query=git+list+branches+telugu
Git,Basic,How do you merge branches?,Merging,Combine changes,Integration,Git merge,A,Use 'git merge branch_name' while on target branch.,Merge Branches,https://git-scm.com/docs/git-merge,https://youtube.com/results?search_query=git+merge+branches,https://youtube.com/results?search_query=git+merge+branches+hindi,https://youtube.com/results?search_query=git+merge+branches+kannada,https://youtube.com/results?search_query=git+merge+branches+tamil,https://youtube.com/results?search_query=git+merge+branches+telugu
Git,Basic,How do you delete a branch?,Branch deletion,Cleanup,Remove branch,Git branch -d,A,Use 'git branch -d branch_name',Delete Branch,https://git-scm.com/docs/git-branch,https://youtube.com/results?search_query=git+delete+branch,https://youtube.com/results?search_query=git+delete+branch+hindi,https://youtube.com/results?search_query=git+delete+branch+kannada,https://youtube.com/results?search_query=git+delete+branch+tamil,https://youtube.com/results?search_query=git+delete+branch+telugu
Git,Basic,How do you add remote repository?,Remote,Connect repository,GitHub/GitLab,Git remote add,A,Use 'git remote add origin repository_url',Add Remote,https://git-scm.com/docs/git-remote,https://youtube.com/results?search_query=git+add+remote,https://youtube.com/results?search_query=git+add+remote+hindi,https://youtube.com/results?search_query=git+add+remote+kannada,https://youtube.com/results?search_query=git+add+remote+tamil,https://youtube.com/results?search_query=git+add+remote+telugu
Git,Basic,How do you push to remote repository?,Push,Upload changes,Share code,Git push,A,Use 'git push origin branch_name',Push to Remote,https://git-scm.com/docs/git-push,https://youtube.com/results?search_query=git+push+remote,https://youtube.com/results?search_query=git+push+remote+hindi,https://youtube.com/results?search_query=git+push+remote+kannada,https://youtube.com/results?search_query=git+push+remote+tamil,https://youtube.com/results?search_query=git+push+remote+telugu
Git,Basic,How do you pull from remote repository?,Pull,Download changes,Update local,Git pull,A,Use 'git pull origin branch_name',Pull from Remote,https://git-scm.com/docs/git-pull,https://youtube.com/results?search_query=git+pull+remote,https://youtube.com/results?search_query=git+pull+remote+hindi,https://youtube.com/results?search_query=git+pull+remote+kannada,https://youtube.com/results?search_query=git+pull+remote+tamil,https://youtube.com/results?search_query=git+pull+remote+telugu
Git,Basic,How do you view remote repositories?,Remote listing,View remotes,Connection check,Git remote -v,A,Use 'git remote -v' to see all remotes.,View Remotes,https://git-scm.com/docs/git-remote,https://youtube.com/results?search_query=git+view+remotes,https://youtube.com/results?search_query=git+view+remotes+hindi,https://youtube.com/results?search_query=git+view+remotes+kannada,https://youtube.com/results?search_query=git+view+remotes+tamil,https://youtube.com/results?search_query=git+view+remotes+telugu
Git,Basic,How do you discard changes in working directory?,Discard changes,Undo modifications,Restore file,Git checkout --,A,Use 'git checkout -- filename',Discard Changes,https://git-scm.com/docs/git-checkout,https://youtube.com/results?search_query=git+discard+changes,https://youtube.com/results?search_query=git+discard+changes+hindi,https://youtube.com/results?search_query=git+discard+changes+kannada,https://youtube.com/results?search_query=git+discard+changes+tamil,https://youtube.com/results?search_query=git+discard+changes+telugu
Git,Basic,How do you remove files from staging area?,Unstage files,Remove from commit,Reset staging,Git reset,A,Use 'git reset filename',Unstage Files,https://git-scm.com/docs/git-reset,https://youtube.com/results?search_query=git+unstage+files,https://youtube.com/results?search_query=git+unstage+files+hindi,https://youtube.com/results?search_query=git+unstage+files+kannada,https://youtube.com/results?search_query=git+unstage+files+tamil,https://youtube.com/results?search_query=git+unstage+files+telugu
Git,Basic,How do you see changes between commits?,Diff comparison,Change viewing,Compare versions,Git diff,A,Use 'git diff commit1 commit2',View Differences,https://git-scm.com/docs/git-diff,https://youtube.com/results?search_query=git+diff+changes,https://youtube.com/results?search_query=git+diff+changes+hindi,https://youtube.com/results?search_query=git+diff+changes+kannada,https://youtube.com/results?search_query=git+diff+changes+tamil,https://youtube.com/results?search_query=git+diff+changes+telugu
Git,Basic,How do you see what changed in a file?,File changes,Modification view,File diff,Git diff filename,A,Use 'git diff filename' to see file changes.,File Differences,https://git-scm.com/docs/git-diff,https://youtube.com/results?search_query=git+diff+file,https://youtube.com/results?search_query=git+diff+file+hindi,https://youtube.com/results?search_query=git+diff+file+kannada,https://youtube.com/results?search_query=git+diff+file+tamil,https://youtube.com/results?search_query=git+diff+file+telugu
Git,Basic,How do you rename a file in Git?,File rename,Moving files,Refactoring,Git mv,A,Use 'git mv oldname newname',Rename File,https://git-scm.com/docs/git-mv,https://youtube.com/results?search_query=git+rename+file,https://youtube.com/results?search_query=git+rename+file+hindi,https://youtube.com/results?search_query=git+rename+file+kannada,https://youtube.com/results?search_query=git+rename+file+tamil,https://youtube.com/results?search_query=git+rename+file+telugu
Git,Basic,How do you delete a file from Git?,File deletion,Remove file,Cleanup,Git rm,A,Use 'git rm filename',Delete File,https://git-scm.com/docs/git-rm,https://youtube.com/results?search_query=git+delete+file,https://youtube.com/results?search_query=git+delete+file+hindi,https://youtube.com/results?search_query=git+delete+file+kannada,https://youtube.com/results?search_query=git+delete+file+tamil,https://youtube.com/results?search_query=git+delete+file+telugu
Git,Basic,How do you ignore files in Git?,Ignore files,Exclude patterns,Configuration,Gitignore,A,Create .gitignore file with patterns to ignore.,Ignore Files,https://git-scm.com/docs/gitignore,https://youtube.com/results?search_query=git+ignore+files,https://youtube.com/results?search_query=git+ignore+files+hindi,https://youtube.com/results?search_query=git+ignore+files+kannada,https://youtube.com/results?search_query=git+ignore+files+tamil,https://youtube.com/results?search_query=git+ignore+files+telugu
Git,Basic,What is .gitignore file?,Ignore patterns,Exclusion rules,Configuration file,Pattern matching,A,File that tells Git which files/folders to ignore.,Gitignore File,https://git-scm.com/docs/gitignore,https://youtube.com/results?search_query=gitignore+file,https://youtube.com/results?search_query=gitignore+file+hindi,https://youtube.com/results?search_query=gitignore+file+kannada,https://youtube.com/results?search_query=gitignore+file+tamil,https://youtube.com/results?search_query=gitignore+file+telugu
Git,Basic,How do you see commit in one line?,Compact log,Short history,Summary view,Git log --oneline,A,Use 'git log --oneline',One Line Log,https://git-scm.com/docs/git-log,https://youtube.com/results?search_query=git+log+oneline,https://youtube.com/results?search_query=git+log+oneline+hindi,https://youtube.com/results?search_query=git+log+oneline+kannada,https://youtube.com/results?search_query=git+log+oneline+tamil,https://youtube.com/results?search_query=git+log+oneline+telugu
Git,Basic,How do you see who changed what in a file?,Blame,Author tracking,Change attribution,Git blame,A,Use 'git blame filename',File Blame,https://git-scm.com/docs/git-blame,https://youtube.com/results?search_query=git+blame+file,https://youtube.com/results?search_query=git+blame+file+hindi,https://youtube.com/results?search_query=git+blame+file+kannada,https://youtube.com/results?search_query=git+blame+file+tamil,https://youtube.com/results?search_query=git+blame+file+telugu
Git,Basic,How do you stash changes temporarily?,Stashing,Temporary save,Work in progress,Git stash,A,Use 'git stash' to save changes temporarily.,Stash Changes,https://git-scm.com/docs/git-stash,https://youtube.com/results?search_query=git+stash+changes,https://youtube.com/results?search_query=git+stash+changes+hindi,https://youtube.com/results?search_query=git+stash+changes+kannada,https://youtube.com/results?search_query=git+stash+changes+tamil,https://youtube.com/results?search_query=git+stash+changes+telugu
Git,Basic,How do you apply stashed changes?,Apply stash,Restore changes,Continue work,Git stash apply,A,Use 'git stash apply' to restore stashed changes.,Apply Stash,https://git-scm.com/docs/git-stash,https://youtube.com/results?search_query=git+stash+apply,https://youtube.com/results?search_query=git+stash+apply+hindi,https://youtube.com/results?search_query=git+stash+apply+kannada,https://youtube.com/results?search_query=git+stash+apply+tamil,https://youtube.com/results?search_query=git+stash+apply+telugu
Git,Basic,How do you list all stashes?,View stashes,Stash listing,Storage check,Git stash list,A,Use 'git stash list' to see all stashes.,List Stashes,https://git-scm.com/docs/git-stash,https://youtube.com/results?search_query=git+stash+list,https://youtube.com/results?search_query=git+stash+list+hindi,https://youtube.com/results?search_query=git+stash+list+kannada,https://youtube.com/results?search_query=git+stash+list+tamil,https://youtube.com/results?search_query=git+stash+list+telugu
Git,Basic,How do you create a tag?,Tagging,Version marking,Release points,Git tag,A,Use 'git tag tagname',Create Tag,https://git-scm.com/docs/git-tag,https://youtube.com/results?search_query=git+create+tag,https://youtube.com/results?search_query=git+create+tag+hindi,https://youtube.com/results?search_query=git+create+tag+kannada,https://youtube.com/results?search_query=git+create+tag+tamil,https://youtube.com/results?search_query=git+create+tag+telugu
Git,Basic,How do you list all tags?,Tag listing,Version viewing,Release check,Git tag -l,A,Use 'git tag' or 'git tag -l',List Tags,https://git-scm.com/docs/git-tag,https://youtube.com/results?search_query=git+list+tags,https://youtube.com/results?search_query=git+list+tags+hindi,https://youtube.com/results?search_query=git+list+tags+kannada,https://youtube.com/results?search_query=git+list+tags+tamil,https://youtube.com/results?search_query=git+list+tags+telugu
Git,Basic,How do you push tags to remote?,Push tags,Share versions,Remote tagging,Git push --tags,A,Use 'git push origin --tags',Push Tags,https://git-scm.com/docs/git-push,https://youtube.com/results?search_query=git+push+tags,https://youtube.com/results?search_query=git+push+tags+hindi,https://youtube.com/results?search_query=git+push+tags+kannada,https://youtube.com/results?search_query=git+push+tags+tamil,https://youtube.com/results?search_query=git+push+tags+telugu
Git,Basic,How do you see remote branches?,Remote branch listing,View upstream,Connection branches,Git branch -r,A,Use 'git branch -r' to see remote branches.,Remote Branches,https://git-scm.com/docs/git-branch,https://youtube.com/results?search_query=git+remote+branches,https://youtube.com/results?search_query=git+remote+branches+hindi,https://youtube.com/results?search_query=git+remote+branches+kannada,https://youtube.com/results?search_query=git+remote+branches+tamil,https://youtube.com/results?search_query=git+remote+branches+telugu
Git,Basic,How do you fetch from remote?,Fetch,Download updates,Remote sync,Git fetch,A,Use 'git fetch origin' to get remote updates.,Fetch Updates,https://git-scm.com/docs/git-fetch,https://youtube.com/results?search_query=git+fetch+remote,https://youtube.com/results?search_query=git+fetch+remote+hindi,https://youtube.com/results?search_query=git+fetch+remote+kannada,https://youtube.com/results?search_query=git+fetch+remote+tamil,https://youtube.com/results?search_query=git+fetch+remote+telugu
Git,Basic,What is the difference between pull and fetch?,Pull vs fetch,Update methods,Sync comparison,Command differences,A,"Fetch downloads changes, pull downloads and merges.",Pull vs Fetch,https://git-scm.com/docs/git-pull,https://youtube.com/results?search_query=git+pull+vs+fetch,https://youtube.com/results?search_query=git+pull+vs+fetch+hindi,https://youtube.com/results?search_query=git+pull+vs+fetch+kannada,https://youtube.com/results?search_query=git+pull+vs+fetch+tamil,https://youtube.com/results?search_query=git+pull+vs+fetch+telugu
