skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Azure,Basic,What does Azure stand for?,Microsoft Azure,Azure Cloud,Azure Services,Cloud Azure,A,Azure is Microsoft's cloud computing platform.,Introduction,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/what-is-azure,https://youtube.com/results?search_query=azure+introduction+basics,https://youtube.com/results?search_query=azure+basics+hindi,https://youtube.com/results?search_query=azure+basics+kannada,https://youtube.com/results?search_query=azure+basics+tamil,https://youtube.com/results?search_query=azure+basics+telugu
Azure,Basic,Which Azure service provides virtual machines?,Azure Virtual Machines,Azure App Service,Azure Functions,Azure SQL,A,Azure VMs provide scalable computing resources.,Compute,https://docs.microsoft.com/en-us/azure/virtual-machines/,https://youtube.com/results?search_query=azure+virtual+machines+basics,https://youtube.com/results?search_query=azure+virtual+machines+hindi,https://youtube.com/results?search_query=azure+virtual+machines+kannada,https://youtube.com/results?search_query=azure+virtual+machines+tamil,https://youtube.com/results?search_query=azure+virtual+machines+telugu
Azure,Basic,What is Azure Blob Storage?,Object storage service,Database service,Virtual machine storage,File storage,A,Blob Storage stores unstructured data like images and documents.,Storage,https://docs.microsoft.com/en-us/azure/storage/blobs/storage-blobs-introduction,https://youtube.com/results?search_query=azure+blob+storage+basics,https://youtube.com/results?search_query=azure+blob+storage+hindi,https://youtube.com/results?search_query=azure+blob+storage+kannada,https://youtube.com/results?search_query=azure+blob+storage+tamil,https://youtube.com/results?search_query=azure+blob+storage+telugu
Azure,Basic,Which Azure service is for serverless computing?,Azure Functions,Azure VMs,Azure App Service,Azure Kubernetes,A,Azure Functions runs code without managing servers.,Serverless,https://docs.microsoft.com/en-us/azure/azure-functions/,https://youtube.com/results?search_query=azure+functions+basics,https://youtube.com/results?search_query=azure+functions+hindi,https://youtube.com/results?search_query=azure+functions+kannada,https://youtube.com/results?search_query=azure+functions+tamil,https://youtube.com/results?search_query=azure+functions+telugu
Azure,Basic,What is Azure SQL Database?,Managed relational database,NoSQL database,File database,Object database,A,Azure SQL Database is a managed relational database.,Database,https://docs.microsoft.com/en-us/azure/azure-sql/database/sql-database-paas-overview,https://youtube.com/results?search_query=azure+sql+database+basics,https://youtube.com/results?search_query=azure+sql+database+hindi,https://youtube.com/results?search_query=azure+sql+database+kannada,https://youtube.com/results?search_query=azure+sql+database+tamil,https://youtube.com/results?search_query=azure+sql+database+telugu
Azure,Basic,Which Azure service provides virtual networking?,Azure Virtual Network,Azure ExpressRoute,Azure Load Balancer,Azure DNS,A,Virtual Network provides private networking in Azure.,Networking,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-overview,https://youtube.com/results?search_query=azure+virtual+network+basics,https://youtube.com/results?search_query=azure+virtual+network+hindi,https://youtube.com/results?search_query=azure+virtual+network+kannada,https://youtube.com/results?search_query=azure+virtual+network+tamil,https://youtube.com/results?search_query=azure+virtual+network+telugu
Azure,Basic,What is Azure Active Directory?,Identity and access management,Directory service,Authentication service,Security service,A,Azure AD manages identities and access.,Identity,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,https://youtube.com/results?search_query=azure+active+directory+basics,https://youtube.com/results?search_query=azure+active+directory+hindi,https://youtube.com/results?search_query=azure+active+directory+kannada,https://youtube.com/results?search_query=azure+active+directory+tamil,https://youtube.com/results?search_query=azure+active+directory+telugu
Azure,Basic,Which Azure service is for NoSQL databases?,Azure Cosmos DB,Azure SQL Database,Azure Database for MySQL,Azure Database for PostgreSQL,A,Cosmos DB is a globally distributed NoSQL database.,Database,https://docs.microsoft.com/en-us/azure/cosmos-db/introduction,https://youtube.com/results?search_query=azure+cosmos+db+basics,https://youtube.com/results?search_query=azure+cosmos+db+hindi,https://youtube.com/results?search_query=azure+cosmos+db+kannada,https://youtube.com/results?search_query=azure+cosmos+db+tamil,https://youtube.com/results?search_query=azure+cosmos+db+telugu
Azure,Basic,What is Azure App Service?,Platform for web apps,Container service,Virtual machine service,Database service,A,App Service hosts web applications and APIs.,Compute,https://docs.microsoft.com/en-us/azure/app-service/overview,https://youtube.com/results?search_query=azure+app+service+basics,https://youtube.com/results?search_query=azure+app+service+hindi,https://youtube.com/results?search_query=azure+app+service+kannada,https://youtube.com/results?search_query=azure+app+service+tamil,https://youtube.com/results?search_query=azure+app+service+telugu
Azure,Basic,Which Azure service provides load balancing?,Azure Load Balancer,Azure Traffic Manager,Azure Front Door,Azure Application Gateway,A,Load Balancer distributes network traffic.,Networking,https://docs.microsoft.com/en-us/azure/load-balancer/load-balancer-overview,https://youtube.com/results?search_query=azure+load+balancer+basics,https://youtube.com/results?search_query=azure+load+balancer+hindi,https://youtube.com/results?search_query=azure+load+balancer+kannada,https://youtube.com/results?search_query=azure+load+balancer+tamil,https://youtube.com/results?search_query=azure+load+balancer+telugu
