skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Technology,Basic,Question,Category1,Category2,Category3,Category4,Difficulty,Answer,Primary Topic,Official Docs Link,Youtube English,Youtube Hindi,Youtube Kannada,Youtube Tamil,Youtube Telugu
Node.js,Basic,What is Node.js?,Introduction,Runtime,JavaScript,Server-side,A,Node.js is a JavaScript runtime built on Chrome's V8 engine that allows JavaScript to run on the server-side.,Introduction,https://nodejs.org/en/about/,https://youtube.com/results?search_query=what+is+nodejs,https://youtube.com/results?search_query=what+is+nodejs+hindi,https://youtube.com/results?search_query=what+is+nodejs+kannada,https://youtube.com/results?search_query=what+is+nodejs+tamil,https://youtube.com/results?search_query=what+is+nodejs+telugu
Node.js,Basic,What is npm?,Package Manager,npm,Dependencies,Tools,A,npm (Node Package Manager) is the default package manager for Node.js used to install and manage dependencies.,npm,https://docs.npmjs.com/about-npm,https://youtube.com/results?search_query=what+is+npm,https://youtube.com/results?search_query=what+is+npm+hindi,https://youtube.com/results?search_query=what+is+npm+kannada,https://youtube.com/results?search_query=what+is+npm+tamil,https://youtube.com/results?search_query=what+is+npm+telugu
Node.js,Basic,How to check Node.js version?,CLI,Version,Basic commands,Installation,A,`node --version` or `node -v`.,Basic Commands,https://nodejs.org/en/docs/,https://youtube.com/results?search_query=check+nodejs+version,https://youtube.com/results?search_query=check+nodejs+version+hindi,https://youtube.com/results?search_query=check+nodejs+version+kannada,https://youtube.com/results?search_query=check+nodejs+version+tamil,https://youtube.com/results?search_query=check+nodejs+version+telugu
Node.js,Basic,How to check npm version?,CLI,npm,Version,Basic commands,A,`npm --version` or `npm -v`.,npm Commands,https://docs.npmjs.com/cli/v8/commands/npm-version,https://youtube.com/results?search_query=check+npm+version,https://youtube.com/results?search_query=check+npm+version+hindi,https://youtube.com/results?search_query=check+npm+version+kannada,https://youtube.com/results?search_query=check+npm+version+tamil,https://youtube.com/results?search_query=check+npm+version+telugu
Node.js,Basic,What is package.json?,Configuration,package.json,Dependencies,Metadata,A,package.json is a configuration file that contains project metadata and dependency information.,package.json,https://docs.npmjs.com/cli/v8/configuring-npm/package-json,https://youtube.com/results?search_query=package+json+nodejs,https://youtube.com/results?search_query=package+json+nodejs+hindi,https://youtube.com/results?search_query=package+json+nodejs+kannada,https://youtube.com/results?search_query=package+json+nodejs+tamil,https://youtube.com/results?search_query=package+json+nodejs+telugu
Node.js,Basic,What is node_modules folder?,Project Structure,node_modules,Dependencies,Storage,A,node_modules is a directory where npm installs all project dependencies.,Project Structure,https://docs.npmjs.com/cli/v8/configuring-npm/folders#node-modules,https://youtube.com/results?search_query=node_modules+folder,https://youtube.com/results?search_query=node_modules+folder+hindi,https://youtube.com/results?search_query=node_modules+folder+kannada,https://youtube.com/results?search_query=node_modules+folder+tamil,https://youtube.com/results?search_query=node_modules+folder+telugu
Node.js,Basic,How to create a simple HTTP server?,HTTP,Server,Basic example,Networking,A,"`const http = require('http'); http.createServer((req, res) => { res.end('Hello'); }).listen(3000);`",HTTP Server,https://nodejs.org/en/docs/guides/getting-started-guide/,https://youtube.com/results?search_query=nodejs+http+server,https://youtube.com/results?search_query=nodejs+http+server+hindi,https://youtube.com/results?search_query=nodejs+http+server+kannada,https://youtube.com/results?search_query=nodejs+http+server+tamil,https://youtube.com/results?search_query=nodejs+http+server+telugu
Node.js,Basic,What is require() function?,Modules,require,Import,CommonJS,A,require() is used to import modules in CommonJS module system (Node.js default).,Modules,https://nodejs.org/api/modules.html#modules_require_id,https://youtube.com/results?search_query=nodejs+require+function,https://youtube.com/results?search_query=nodejs+require+function+hindi,https://youtube.com/results?search_query=nodejs+require+function+kannada,https://youtube.com/results?search_query=nodejs+require+function+tamil,https://youtube.com/results?search_query=nodejs+require+function+telugu
Node.js,Basic,What is module.exports?,Modules,Exports,Export,CommonJS,A,"module.exports is used to export functions, objects, or values from a module in CommonJS.",Modules,https://nodejs.org/api/modules.html#modules_module_exports,https://youtube.com/results?search_query=nodejs+module+exports,https://youtube.com/results?search_query=nodejs+module+exports+hindi,https://youtube.com/results?search_query=nodejs+module+exports+kannada,https://youtube.com/results?search_query=nodejs+module+exports+tamil,https://youtube.com/results?search_query=nodejs+module+exports+telugu
Node.js,Basic,What is the difference between require and import?,Modules,Comparison,CommonJS vs ES6,A,require is CommonJS syntax,import is ES6 module syntax (requires .mjs extension or package.json type).,Modules,https://nodejs.org/api/esm.html,https://youtube.com/results?search_query=require+vs+import,https://youtube.com/results?search_query=require+vs+import+hindi,https://youtube.com/results?search_query=require+vs+import+kannada,https://youtube.com/results?search_query=require+vs+import+tamil,https://youtube.com/results?search_query=require+vs+import+telugu
Node.js,Basic,What is Express.js?,Frameworks,Express,Web framework,Middleware,A,Express.js is a minimal and flexible Node.js web application framework for building web apps and APIs.,Express.js,https://expressjs.com/,https://youtube.com/results?search_query=what+is+expressjs,https://youtube.com/results?search_query=what+is+expressjs+hindi,https://youtube.com/results?search_query=what+is+expressjs+kannada,https://youtube.com/results?search_query=what+is+expressjs+tamil,https://youtube.com/results?search_query=what+is+expressjs+telugu
Node.js,Basic,How to install Express.js?,Frameworks,Express,Installation,npm,A,`npm install express`.,Express Installation,https://expressjs.com/en/starter/installing.html,https://youtube.com/results?search_query=install+expressjs,https://youtube.com/results?search_query=install+expressjs+hindi,https://youtube.com/results?search_query=install+expressjs+kannada,https://youtube.com/results?search_query=install+expressjs+tamil,https://youtube.com/results?search_query=install+expressjs+telugu
