skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Rust,Intermediate,Explain the difference between `String` and `&str`.,Data Types,Strings,String,&str,ownership,"`String` is an owned, growable", heap-allocated UTF-8 string. `&str` is an immutable borrowed reference to a string slice (could be from `String` or string literal). Use `String` when you need ownership/modification; use `&str` for function parameters to accept any string type.,https://doc.rust-lang.org/book/ch08-02-strings.html,https://youtube.com/results?search_query=rust+string+vs+str,https://youtube.com/results?search_query=rust+string+vs+str+hindi,https://youtube.com/results?search_query=rust+string+vs+str+kannada,https://youtube.com/results?search_query=rust+string+vs+str+tamil,https://youtube.com/results?search_query=rust+string+vs+str+telugu
Rust,Intermediate,What is the `Result<T, E>` type and how does it differ from `Option<T>`?,Error Handling,Result & Option,Result,Option,"error,`Result<T", E>` is used for recoverable errors where `Ok(T)` holds success value and `Err(E)` holds error value. `Option<T>` is used for optional values where `Some(T)` holds value and `None` indicates absence. `Result` is for operations that can fail; `Option` is for nullable values.,https://doc.rust-lang.org/book/ch09-02-recoverable-errors-with-result.html,https://youtube.com/results?search_query=rust+result+vs+option,https://youtube.com/results?search_query=rust+result+vs+option+hindi,https://youtube.com/results?search_query=rust+result+vs+option+kannada,https://youtube.com/results?search_query=rust+result+vs+option+tamil,https://youtube.com/results?search_query=rust+result+vs+option+telugu
Rust,Intermediate,What are lifetimes in Rust and why are they needed?,Memory Safety,Lifetimes,lifetime,borrow checker,annotations,Lifetimes are Rust's way of ensuring that references are always valid. They specify how long references should live, preventing dangling references. The borrow checker uses lifetimes to verify that references don't outlive the data they point to.,https://doc.rust-lang.org/book/ch10-03-lifetime-syntax.html,https://youtube.com/results?search_query=rust+lifetimes+explained,https://youtube.com/results?search_query=rust+lifetimes+explained+hindi,https://youtube.com/results?search_query=rust+lifetimes+explained+kannada,https://youtube.com/results?search_query=rust+lifetimes+explained+tamil,https://youtube.com/results?search_query=rust+lifetimes+explained+telugu
Rust,Intermediate,What is the difference between `iter()`, `iter_mut()`, and `into_iter()`?,Collections,Iterators,iter,"iter_mut,into_iter,ownership,`iter()` borrows immutably, yielding references. `iter_mut()` borrows mutably, yielding mutable references. `into_iter()` consumes the collection, yielding owned values. Choose based on whether you need read-only, mutable", or owned access.,https://doc.rust-lang.org/book/ch13-02-iterators.html,https://youtube.com/results?search_query=rust+iter+iter_mut+into_iter,https://youtube.com/results?search_query=rust+iter+iter_mut+into_iter+hindi,https://youtube.com/results?search_query=rust+iter+iter_mut+into_iter+kannada,https://youtube.com/results?search_query=rust+iter+iter_mut+into_iter+tamil,https://youtube.com/results?search_query=rust+iter+iter_mut+into_iter+telugu
Rust,Intermediate,What is the `Cow` (Clone-On-Write) smart pointer and when would you use it?,Smart Pointers,Cow,Clone-On-Write,borrow,owned,`Cow` is an enum that can hold either borrowed or owned data. It allows writing code that can return borrowed data when possible, but clones to owned data when mutation is needed. Useful for optimization when you want to avoid unnecessary cloning.,https://doc.rust-lang.org/std/borrow/enum.Cow.html,https://youtube.com/results?search_query=rust+cow+clone+on+write,https://youtube.com/results?search_query=rust+cow+clone+on+write+hindi,https://youtube.com/results?search_query=rust+cow+clone+on+write+kannada,https://youtube.com/results?search_query=rust+cow+clone+on+write+tamil,https://youtube.com/results?search_query=rust+cow+clone+on+write+telugu
Rust,Intermediate,Explain the `?` operator and how it works with `Result` and `Option`.,Error Handling,? operator,question mark,propagation,The `?` operator can be used on `Result` and `Option` values in functions that return `Result` or `Option`. If the value is `Ok`/`Some`, it unwraps it; if it's `Err`/`None`, it returns early from the function with that error/absence.,https://doc.rust-lang.org/book/ch09-02-recoverable-errors-with-result.html#a-shortcut-for-propagating-errors-the--operator,https://youtube.com/results?search_query=rust+question+mark+operator,https://youtube.com/results?search_query=rust+question+mark+operator+hindi,https://youtube.com/results?search_query=rust+question+mark+operator+kannada,https://youtube.com/results?search_query=rust+question+mark+operator+tamil,https://youtube.com/results?search_query=rust+question+mark+operator+telugu
Rust,Intermediate,What are generics in Rust and how do they enable code reuse?,Traits & Generics,Generics,generic,type parameter,Generics allow writing code abstracted over types using type parameters (e.g.," `fn foo<T>(x: T)`). They enable writing functions, structs, enums", and methods that work with multiple types while maintaining type safety.,https://doc.rust-lang.org/book/ch10-01-syntax.html,https://youtube.com/results?search_query=rust+generics+explained,https://youtube.com/results?search_query=rust+generics+explained+hindi,https://youtube.com/results?search_query=rust+generics+explained+kannada,https://youtube.com/results?search_query=rust+generics+explained+tamil,https://youtube.com/results?search_query=rust+generics+explained+telugu
Rust,Intermediate,What is the difference between `Box<T>`, `Rc<T>`, and `Arc<T>`?,Smart Pointers,Reference Counting,Box,"Rc,Arc,heap allocation,`Box<T>` provides simple heap allocation with single ownership. `Rc<T>` provides reference counting with shared ownership", but is not thread-safe. `Arc<T>` provides atomic reference counting for shared ownership across threads.,https://doc.rust-lang.org/book/ch15-00-smart-pointers.html,https://youtube.com/results?search_query=rust+box+rc+arc+difference,https://youtube.com/results?search_query=rust+box+rc+arc+difference+hindi,https://youtube.com/results?search_query=rust+box+rc+arc+difference+kannada,https://youtube.com/results?search_query=rust+box+rc+arc+difference+tamil,https://youtube.com/results?search_query=rust+box+rc+arc+difference+telugu
Rust,Intermediate,What are closure capture modes and how do they work?,Functions,Closures,closure,capture,move,"Closures can capture variables from their environment in three ways: by reference (`&T`), by mutable reference (`&mut T`), or by value (`T`). The `move` keyword forces capture by value", transferring ownership to the closure.,https://doc.rust-lang.org/book/ch13-01-closures.html,https://youtube.com/results?search_query=rust+closures+capture+modes,https://youtube.com/results?search_query=rust+closures+capture+modes+hindi,https://youtube.com/results?search_query=rust+closures+capture+modes+kannada,https://youtube.com/results?search_query=rust+closures+capture+modes+tamil,https://youtube.com/results?search_query=rust+closures+capture+modes+telugu
Rust,Intermediate,What is interior mutability and which types provide it?,Memory Safety,Interior Mutability,interior mutability,RefCell,Cell,"Mutex,Interior mutability allows mutating data even when there are immutable references to it", enforced at runtime. `RefCell<T>` provides runtime-checked mutable borrowing. `Cell<T>` provides copying or moving of values. `Mutex<T>` and `RwLock<T>` provide thread-safe interior mutability.,https://doc.rust-lang.org/book/ch15-05-interior-mutability.html,https://youtube.com/results?search_query=rust+interior+mutability,https://youtube.com/results?search_query=rust+interior+mutability+hindi,https://youtube.com/results?search_query=rust+interior+mutability+kannada,https://youtube.com/results?search_query=rust+interior+mutability+tamil,https://youtube.com/results?search_query=rust+interior+mutability+telugu
