skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
aws,intermediate,What is an AWS Transit Gateway?,Network hub,VPC connectivity,Central router,Transit VPC,B,Transit Gateway connects VPCs and on-premises networks through a central hub.,Networking,https://docs.aws.amazon.com/vpc/latest/tgw/what-is-transit-gateway.html,https://youtube.com/results?search_query=aws+transit+gateway,https://youtube.com/results?search_query=aws+transit+gateway+hindi,https://youtube.com/results?search_query=aws+transit+gateway+kannada,https://youtube.com/results?search_query=aws+transit+gateway+tamil,https://youtube.com/results?search_query=aws+transit+gateway+telugu
aws,intermediate,What is Amazon S3?,Object storage,File storage,Unstructured data,Data lake storage,B,S3 is an object storage service built to store and retrieve any amount of data.,Storage,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,https://youtube.com/results?search_query=amazon+s3,https://youtube.com/results?search_query=amazon+s3+hindi,https://youtube.com/results?search_query=amazon+s3+kannada,https://youtube.com/results?search_query=amazon+s3+tamil,https://youtube.com/results?search_query=amazon+s3+telugu
aws,intermediate,What is Amazon EC2?,Virtual server,Compute instance,Cloud server,Elastic compute,B,EC2 provides resizable compute capacity in the cloud.,Compute,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html,https://youtube.com/results?search_query=amazon+ec2,https://youtube.com/results?search_query=amazon+ec2+hindi,https://youtube.com/results?search_query=amazon+ec2+kannada,https://youtube.com/results?search_query=amazon+ec2+tamil,https://youtube.com/results?search_query=amazon+ec2+telugu
aws,intermediate,What is AWS Lambda?,Serverless compute,Function as a Service,Event-driven compute,Code execution,B,Lambda lets you run code without provisioning or managing servers.,Compute,https://docs.aws.amazon.com/lambda/latest/dg/welcome.html,https://youtube.com/results?search_query=aws+lambda,https://youtube.com/results?search_query=aws+lambda+hindi,https://youtube.com/results?search_query=aws+lambda+kannada,https://youtube.com/results?search_query=aws+lambda+tamil,https://youtube.com/results?search_query=aws+lambda+telugu
aws,intermediate,What is Amazon RDS?,Managed database,Relational database,SQL database,Database service,B,"RDS makes it easy to set up, operate, and scale a relational database.",Database,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html,https://youtube.com/results?search_query=amazon+rds,https://youtube.com/results?search_query=amazon+rds+hindi,https://youtube.com/results?search_query=amazon+rds+kannada,https://youtube.com/results?search_query=amazon+rds+tamil,https://youtube.com/results?search_query=amazon+rds+telugu
aws,intermediate,What is Amazon DynamoDB?,NoSQL database,Key-value store,Document database,Non-relational database,B,DynamoDB is a fast and flexible NoSQL database service.,Database,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Introduction.html,https://youtube.com/results?search_query=amazon+dynamodb,https://youtube.com/results?search_query=amazon+dynamodb+hindi,https://youtube.com/results?search_query=amazon+dynamodb+kannada,https://youtube.com/results?search_query=amazon+dynamodb+tamil,https://youtube.com/results?search_query=amazon+dynamodb+telugu
aws,intermediate,What is Amazon SQS?,Message queue,Decoupling service,Message broker,Queue service,B,SQS is a fully managed message queuing service.,Application Integration,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/welcome.html,https://youtube.com/results?search_query=amazon+sqs,https://youtube.com/results?search_query=amazon+sqs+hindi,https://youtube.com/results?search_query=amazon+sqs+kannada,https://youtube.com/results?search_query=amazon+sqs+tamil,https://youtube.com/results?search_query=amazon+sqs+telugu
aws,intermediate,What is Amazon SNS?,Notification service,Pub/Sub messaging,Mobile push,Event notification,B,SNS is a fully managed pub/sub messaging service.,Application Integration,https://docs.aws.amazon.com/sns/latest/dg/welcome.html,https://youtube.com/results?search_query=amazon+sns,https://youtube.com/results?search_query=amazon+sns+hindi,https://youtube.com/results?search_query=amazon+sns+kannada,https://youtube.com/results?search_query=amazon+sns+tamil,https://youtube.com/results?search_query=amazon+sns+telugu
aws,intermediate,What is AWS IAM?,Identity management,Access control,Permissions,Security roles,B,IAM enables secure access control to AWS services and resources.,Security,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html,https://youtube.com/results?search_query=aws+iam,https://youtube.com/results?search_query=aws+iam+hindi,https://youtube.com/results?search_query=aws+iam+kannada,https://youtube.com/results?search_query=aws+iam+tamil,https://youtube.com/results?search_query=aws+iam+telugu
aws,intermediate,What is Amazon CloudFront?,Content delivery,CDN,Edge network,Web acceleration,B,CloudFront is a fast content delivery network service.,Networking,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Introduction.html,https://youtube.com/results?search_query=amazon+cloudfront,https://youtube.com/results?search_query=amazon+cloudfront+hindi,https://youtube.com/results?search_query=amazon+cloudfront+kannada,https://youtube.com/results?search_query=amazon+cloudfront+tamil,https://youtube.com/results?search_query=amazon+cloudfront+telugu
aws,intermediate,What is AWS CloudFormation?,Infrastructure as Code,Template deployment,Resource provisioning,Stack management,B,CloudFormation provides infrastructure provisioning using templates.,Management,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/Welcome.html,https://youtube.com/results?search_query=aws+cloudformation,https://youtube.com/results?search_query=aws+cloudformation+hindi,https://youtube.com/results?search_query=aws+cloudformation+kannada,https://youtube.com/results?search_query=aws+cloudformation+tamil,https://youtube.com/results?search_query=aws+cloudformation+telugu
