skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Unreal Engine,Basic,What is Unreal Engine?,Introduction,Game Engine,Epic Games,Unreal Engine is a powerful,open-source game engine developed by Epic Games,"used for creating high-quality games, simulations",and interactive experiences across multiple platforms.,https://www.unrealengine.com/,https://youtube.com/results?search_query=what+is+unreal+engine,https://youtube.com/results?search_query=what+is+unreal+engine+hindi,https://youtube.com/results?search_query=what+is+unreal+engine+kannada,https://youtube.com/results?search_query=what+is+unreal+engine+tamil,https://youtube.com/results?search_query=what+is+unreal+engine+telugu
Unreal Engine,Basic,What are Blueprints?,Scripting,Blueprints,Visual Scripting,Blueprints are Unreal Engine's visual scripting system that allows developers to create gameplay logic,interactions,and systems without writing traditional code,using a node-based interface.,https://docs.unrealengine.com/5.3/en-US/blueprint-visual-scripting-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+blueprints,https://youtube.com/results?search_query=unreal+engine+blueprints+hindi,https://youtube.com/results?search_query=unreal+engine+blueprints+kannada,https://youtube.com/results?search_query=unreal+engine+blueprints+tamil,https://youtube.com/results?search_query=unreal+engine+blueprints+telugu
Unreal Engine,Basic,What is an Actor in Unreal Engine?,Core Concepts,Actor,Object,An Actor is any object that can be placed in a level,such as a camera,"static mesh, or player start. All Actors support 3D transformations (translation, rotation",scale) and can be spawned/destroyed at runtime.,https://docs.unrealengine.com/5.3/en-US/actors-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+actor,https://youtube.com/results?search_query=unreal+engine+actor+hindi,https://youtube.com/results?search_query=unreal+engine+actor+kannada,https://youtube.com/results?search_query=unreal+engine+actor+tamil,https://youtube.com/results?search_query=unreal+engine+actor+telugu
Unreal Engine,Basic,What is the Content Browser?,Interface,Content Browser,Assets,The Content Browser is where you manage all your project's assets (meshes,textures,"materials, Blueprints",etc.). It mirrors your project's file structure on disk.,https://docs.unrealengine.com/5.3/en-US/content-browser-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+content+browser,https://youtube.com/results?search_query=unreal+engine+content+browser+hindi,https://youtube.com/results?search_query=unreal+engine+content+browser+kannada,https://youtube.com/results?search_query=unreal+engine+content+browser+tamil,https://youtube.com/results?search_query=unreal+engine+content+browser+telugu
Unreal Engine,Basic,What is the Details Panel?,Interface,Details Panel,Properties,The Details Panel shows properties of the selected Actor or asset. Here you can edit settings like transformation,materials,physics,and custom variables.,https://docs.unrealengine.com/5.3/en-US/details-panel-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+details+panel,https://youtube.com/results?search_query=unreal+engine+details+panel+hindi,https://youtube.com/results?search_query=unreal+engine+details+panel+kannada,https://youtube.com/results?search_query=unreal+engine+details+panel+tamil,https://youtube.com/results?search_query=unreal+engine+details+panel+telugu
Unreal Engine,Basic,What are the main tabs in the Blueprint Editor?,Blueprints,Blueprint Editor,Tabs,The Blueprint Editor has several tabs: Event Graph (for logic),Construction Script (runs when placed/edited),"Components (list of components), My Blueprint (variables, functions)",and Viewport (preview).,https://docs.unrealengine.com/5.3/en-US/blueprint-editor-in-unreal-engine/,https://youtube.com/results?search_query=blueprint+editor+tabs,https://youtube.com/results?search_query=blueprint+editor+tabs+hindi,https://youtube.com/results?search_query=blueprint+editor+tabs+kannada,https://youtube.com/results?search_query=blueprint+editor+tabs+tamil,https://youtube.com/results?search_query=blueprint+editor+tabs+telugu
Unreal Engine,Basic,How do you create a variable in Blueprints?,Blueprints,Variable,Create,In the My Blueprint tab,click the + Variable button. Set its name,"type (e.g., Boolean, Integer, Float)",and optionally default value. You can make it public (editable) or private.,https://docs.unrealengine.com/5.3/en-US/variables-in-blueprints-unreal-engine/,https://youtube.com/results?search_query=create+variable+blueprints,https://youtube.com/results?search_query=create+variable+blueprints+hindi,https://youtube.com/results?search_query=create+variable+blueprints+kannada,https://youtube.com/results?search_query=create+variable+blueprints+tamil,https://youtube.com/results?search_query=create+variable+blueprints+telugu
Unreal Engine,Basic,What is a Material?,Assets,Material,Shader,A Material defines the surface properties of a mesh—how it reacts to light,its color,"roughness, metallicness",etc. It is created using a node-based Material Editor.,https://docs.unrealengine.com/5.3/en-US/materials-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+material,https://youtube.com/results?search_query=unreal+engine+material+hindi,https://youtube.com/results?search_query=unreal+engine+material+kannada,https://youtube.com/results?search_query=unreal+engine+material+tamil,https://youtube.com/results?search_query=unreal+engine+material+telugu
Unreal Engine,Basic,What is a Texture?,Assets,Texture,Image,A Texture is a 2D image applied to a 3D surface to give it color,detail,bump,or other surface attributes. Textures are often used as inputs to Materials.,https://docs.unrealengine.com/5.3/en-US/textures-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+texture,https://youtube.com/results?search_query=unreal+engine+texture+hindi,https://youtube.com/results?search_query=unreal+engine+texture+kannada,https://youtube.com/results?search_query=unreal+engine+texture+tamil,https://youtube.com/results?search_query=unreal+engine+texture+telugu
Unreal Engine,Basic,What is the Game Mode?,Gameplay,Game Mode,Rules,The Game Mode defines the game's rules,such as default Pawn class,"Player Controller class, scoring",and win conditions. There is one Game Mode per Level.,https://docs.unrealengine.com/5.3/en-US/game-modes-in-unreal-engine/,https://youtube.com/results?search_query=unreal+engine+game+mode,https://youtube.com/results?search_query=unreal+engine+game+mode+hindi,https://youtube.com/results?search_query=unreal+engine+game+mode+kannada,https://youtube.com/results?search_query=unreal+engine+game+mode+tamil,https://youtube.com/results?search_query=unreal+engine+game+mode+telugu
