skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
JavaScript,Basic,What is JavaScript?,Basics,Introduction,Scripting language,Web,A,JavaScript is a scripting language used to create dynamic web content.,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript,https://youtube.com/results?search_query=what+is+javascript,https://youtube.com/results?search_query=what+is+javascript+hindi,https://youtube.com/results?search_query=what+is+javascript+kannada,https://youtube.com/results?search_query=what+is+javascript+tamil,https://youtube.com/results?search_query=what+is+javascript+telugu
JavaScript,Basic,Who created JavaScript?,Basics,History,Brendan Eich,Netscape,A,Brendan Eich at Netscape in 1995.,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Introduction,https://youtube.com/results?search_query=who+created+javascript,https://youtube.com/results?search_query=who+created+javascript+hindi,https://youtube.com/results?search_query=who+created+javascript+kannada,https://youtube.com/results?search_query=who+created+javascript+tamil,https://youtube.com/results?search_query=who+created+javascript+telugu
JavaScript,Basic,What year was JavaScript created?,Basics,History,Release date,1995,A,1995.,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Introduction,https://youtube.com/results?search_query=javascript+created+year,https://youtube.com/results?search_query=javascript+created+year+hindi,https://youtube.com/results?search_query=javascript+created+year+kannada,https://youtube.com/results?search_query=javascript+created+year+tamil,https://youtube.com/results?search_query=javascript+created+year+telugu
JavaScript,Basic,Is JavaScript same as Java?,Basics,Comparison,Java vs JavaScript,Language,A,No, they are completely different programming languages.,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Introduction,https://youtube.com/results?search_query=javascript+vs+java,https://youtube.com/results?search_query=javascript+vs+java+hindi,https://youtube.com/results?search_query=javascript+vs+java+kannada,https://youtube.com/results?search_query=javascript+vs+java+tamil,https://youtube.com/results?search_query=javascript+vs+java+telugu
JavaScript,Basic,How to write "Hello World" in JavaScript?,Basics,Output,Hello World,Console,A,console.log("Hello World");,Basics,https://developer.mozilla.org/en-US/docs/Web/API/Console/log,https://youtube.com/results?search_query=javascript+hello+world,https://youtube.com/results?search_query=javascript+hello+world+hindi,https://youtube.com/results?search_query=javascript+hello+world+kannada,https://youtube.com/results?search_query=javascript+hello+world+tamil,https://youtube.com/results?search_query=javascript+hello+world+telugu
JavaScript,Basic,How to include JavaScript in HTML?,Basics,HTML Integration,Script tag,External,A,<script src="script.js"></script> or <script>code here</script>,Basics,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/script,https://youtube.com/results?search_query=javascript+include+in+html,https://youtube.com/results?search_query=javascript+include+in+html+hindi,https://youtube.com/results?search_query=javascript+include+in+html+kannada,https://youtube.com/results?search_query=javascript+include+in+html+tamil,https://youtube.com/results?search_query=javascript+include+in+html+telugu
JavaScript,Basic,What is console.log()?,Basics,Output,Console,Debugging,A,Prints output to the browser console for debugging.,Basics,https://developer.mozilla.org/en-US/docs/Web/API/Console/log,https://youtube.com/results?search_query=javascript+console+log,https://youtube.com/results?search_query=javascript+console+log+hindi,https://youtube.com/results?search_query=javascript+console+log+kannada,https://youtube.com/results?search_query=javascript+console+log+tamil,https://youtube.com/results?search_query=javascript+console+log+telugu
JavaScript,Basic,How to write a single-line comment?,Basics,Comments,Single line,Documentation,A,// This is a single-line comment,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Lexical_grammar#comments,https://youtube.com/results?search_query=javascript+single+line+comment,https://youtube.com/results?search_query=javascript+single+line+comment+hindi,https://youtube.com/results?search_query=javascript+single+line+comment+kannada,https://youtube.com/results?search_query=javascript+single+line+comment+tamil,https://youtube.com/results?search_query=javascript+single+line+comment+telugu
JavaScript,Basic,How to write a multi-line comment?,Basics,Comments,Multi line,Documentation,A,/* This is a multi-line comment */,Basics,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Lexical_grammar#comments,https://youtube.com/results?search_query=javascript+multi+line+comment,https://youtube.com/results?search_query=javascript+multi+line+comment+hindi,https://youtube.com/results?search_query=javascript+multi+line+comment+kannada,https://youtube.com/results?search_query=javascript+multi+line+comment+tamil,https://youtube.com/results?search_query=javascript+multi+line+comment+telugu
