skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
TypeScript,Advanced,What is TypeScript's `satisfies` operator vs `as` type assertion?,Type System,Type Operators,satisfies operator, type assertion, as const,"`satisfies` validates type without widening, `as` forces type (unsafe). `satisfies` preserves literal types", `as` can override inference.,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html,https://youtube.com/results?search_query=typescript+satisfies+vs+as,https://youtube.com/results?search_query=typescript+satisfies+vs+as+hindi,https://youtube.com/results?search_query=typescript+satisfies+vs+as+kannada,https://youtube.com/results?search_query=typescript+satisfies+vs+as+tamil,https://youtube.com/results?search_query=typescript+satisfies+vs+as+telugu
TypeScript,Advanced,Explain TypeScript's "asserts" keyword in functions,Functions,Assertions,asserts keyword, assertion functions, type narrowing,`asserts condition` return type asserts that condition is true. If condition is a type predicate, narrows the type. Does not return.,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-3-7.html,https://youtube.com/results?search_query=typescript+asserts+keyword,https://youtube.com/results?search_query=typescript+asserts+keyword+hindi,https://youtube.com/results?search_query=typescript+asserts+keyword+kannada,https://youtube.com/results?search_query=typescript+asserts+keyword+tamil,https://youtube.com/results?search_query=typescript+asserts+keyword+telugu
TypeScript,Advanced,Explain TypeScript's "intrinsic string types" (Uppercase, etc.),Advanced Types,String Manipulation,intrinsic string types, built-in string manip,"Uppercase, Lowercase, Capitalize", Uncapitalize are built-in (intrinsic). They transform string literal types at compile time.,https://www.typescriptlang.org/docs/handbook/2/template-literal-types.html,https://youtube.com/results?search_query=typescript+intrinsic+string+types,https://youtube.com/results?search_query=typescript+intrinsic+string+types+hindi,https://youtube.com/results?search_query=typescript+intrinsic+string+types+kannada,https://youtube.com/results?search_query=typescript+intrinsic+string+types+tamil,https://youtube.com/results?search_query=typescript+intrinsic+string+types+telugu
TypeScript,Advanced,What is TypeScript's "`moduleDetection` compiler option"?,Build System,Module Detection,moduleDetection, auto, force, legacy,`moduleDetection` controls how TS detects files as modules. "auto" (default) uses `import`/`export`. "force" treats all as modules.,https://www.typescriptlang.org/tsconfig#moduleDetection,https://youtube.com/results?search_query=typescript+moduledetection,https://youtube.com/results?search_query=typescript+moduledetection+hindi,https://youtube.com/results?search_query=typescript+moduledetection+kannada,https://youtube.com/results?search_query=typescript+moduledetection+tamil,https://youtube.com/results?search_query=typescript+moduledetection+telugu
TypeScript,Advanced,What is TypeScript's "`moduleSuffixes` compiler option"?,Build System,Module Resolution,moduleSuffixes, custom file suffixes,`moduleSuffixes` allows custom file suffix resolution. Example: `["", ".ios", ".native"]`. Used for platform-specific files.,https://www.typescriptlang.org/tsconfig#moduleSuffixes,https://youtube.com/results?search_query=typescript+modulesuffixes,https://youtube.com/results?search_query=typescript+modulesuffixes+hindi,https://youtube.com/results?search_query=typescript+modulesuffixes+kannada,https://youtube.com/results?search_query=typescript+modulesuffixes+tamil,https://youtube.com/results?search_query=typescript+modulesuffixes+telugu
TypeScript,Advanced,Explain TypeScript's "`allowImportingTsExtensions`",Build System,TS Extensions,allowImportingTsExtensions, .ts imports,`allowImportingTsExtensions` allows importing `.ts`," `.tsx`, `.mts`", `.cts` files directly. Requires `noEmit` or `emitDeclarationOnly`.,https://www.typescriptlang.org/tsconfig#allowImportingTsExtensions,https://youtube.com/results?search_query=typescript+allowimportingtsextensions,https://youtube.com/results?search_query=typescript+allowimportingtsextensions+hindi,https://youtube.com/results?search_query=typescript+allowimportingtsextensions+kannada,https://youtube.com/results?search_query=typescript+allowimportingtsextensions+tamil,https://youtube.com/results?search_query=typescript+allowimportingtsextensions+telugu
TypeScript,Advanced,What is TypeScript's "`exactOptionalPropertyTypes`" strict flag?,Type System,Optional Properties,exactOptionalPropertyTypes, optional without undefined,With `exactOptionalPropertyTypes`, `{ prop?: T }` means `prop` can be omitted, but if present must be `T` (not `T | undefined`).,https://www.typescriptlang.org/tsconfig#exactOptionalPropertyTypes,https://youtube.com/results?search_query=typescript+exactoptionalpropertytypes,https://youtube.com/results?search_query=typescript+exactoptionalpropertytypes+hindi,https://youtube.com/results?search_query=typescript+exactoptionalpropertytypes+kannada,https://youtube.com/results?search_query=typescript+exactoptionalpropertytypes+tamil,https://youtube.com/results?search_query=typescript+exactoptionalpropertytypes+telugu
TypeScript,Advanced,Explain TypeScript's "`newLine`" (CRLF vs LF) option,Build System,Line Endings,newLine, line endings, crlf, lf,`newLine` sets line endings for output files: "crlf" (Windows) or "lf" (Unix). Defaults to OS-specific.,https://www.typescriptlang.org/tsconfig#newLine,https://youtube.com/results?search_query=typescript+newline,https://youtube.com/results?search_query=typescript+newline+hindi,https://youtube.com/results?search_query=typescript+newline+kannada,https://youtube.com/results?search_query=typescript+newline+tamil,https://youtube.com/results?search_query=typescript+newline+telugu
TypeScript,Advanced,Explain TypeScript's "`rootDir`" and "`rootDirs`" differences,Build System,Source Directories,rootDir, rootDirs, source root,`rootDir` is single root for source files. `rootDirs` is array of virtual roots (e.g., src/generated and src/original).,https://www.typescriptlang.org/tsconfig#rootDir,https://youtube.com/results?search_query=typescript+rootdir+rootdirs,https://youtube.com/results?search_query=typescript+rootdir+rootdirs+hindi,https://youtube.com/results?search_query=typescript+rootdir+rootdirs+kannada,https://youtube.com/results?search_query=typescript+rootdir+rootdirs+tamil,https://youtube.com/results?search_query=typescript+rootdir+rootdirs+telugu
TypeScript,Advanced,Explain TypeScript's "`outDir`" for output directory,Build System,Output,outDir, output directory,`outDir` redirects output (js, d.ts, etc.) to directory. Preserves source tree structure.,https://www.typescriptlang.org/docs/handbook/tsconfig-json.html,https://youtube.com/results?search_query=typescript+outdir,https://youtube.com/results?search_query=typescript+outdir+hindi,https://youtube.com/results?search_query=typescript+outdir+kannada,https://youtube.com/results?search_query=typescript+outdir+tamil,https://youtube.com/results?search_query=typescript+outdir+telugu
