skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Oracle Guided Learning,Basic,What is Oracle Guided Learning (OGL)?,Introduction,Definition,Product Overview,In-Application Guidance,A,"A platform that provides real-time, step-by-step guidance within applications to improve user productivity.",Product Overview,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+introduction,https://youtube.com/results?search_query=Oracle+Guided+Learning+introduction+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+introduction+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+introduction+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+introduction+telugu
Oracle Guided Learning,Basic,What is the primary purpose of Oracle Guided Learning?,Introduction,Benefits,Productivity,User Guidance,A,"To improve productivity and reduce support costs by providing real-time, step-by-step guidance.",Product Overview,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+purpose,https://youtube.com/results?search_query=Oracle+Guided+Learning+purpose+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+purpose+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+purpose+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+purpose+telugu
Oracle Guided Learning,Basic,How does OGL deliver guidance to users?,Features,Delivery,In-Application,Real-Time,A,It provides guidance directly within the application interface as users work.,Features,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+delivery,https://youtube.com/results?search_query=Oracle+Guided+Learning+delivery+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+delivery+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+delivery+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+delivery+telugu
Oracle Guided Learning,Basic,What type of learning does OGL primarily support?,Features,Learning Method,Just-in-Time,Context-Sensitive,A,"Just-in-time, context-sensitive learning that occurs as users perform their tasks.",Features,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+just+in+time,https://youtube.com/results?search_query=Oracle+Guided+Learning+just+in+time+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+just+in+time+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+just+in+time+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+just+in+time+telugu
Oracle Guided Learning,Basic,Who benefits most from using OGL guides?,Users,Audience,Infrequent Users,Complex Tasks,A,It is especially great for infrequent users or for performing complex tasks.,Benefits,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+who+benefits,https://youtube.com/results?search_query=Oracle+Guided+Learning+who+benefits+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+who+benefits+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+who+benefits+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+who+benefits+telugu
Oracle Guided Learning,Basic,What is a key advantage of OGL over traditional training manuals?,Comparison,Legacy Training,Modern Alternative,Interactive,A,"It is a new, modern alternative to legacy training manuals, providing interactive, in-app guidance.",Benefits,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+manuals,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+manuals+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+manuals+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+manuals+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+manuals+telugu
Oracle Guided Learning,Basic,What legacy Oracle product is OGL positioned as a modern alternative to?,Comparison,Oracle UPK,Legacy,Modernization,A,Oracle User Productivity Kit (UPK).,Product Overview,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+UPK,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+UPK+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+UPK+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+UPK+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+vs+UPK+telugu
Oracle Guided Learning,Basic,With OGL, when do users typically train and learn?,Features,Learning Timing,Just-in-Time,Work Context,"A,Users train and learn as they do their actual work, not "just in case".",Features,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+learn+as+you+work,https://youtube.com/results?search_query=Oracle+Guided+Learning+learn+as+you+work+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+learn+as+you+work+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+learn+as+you+work+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+learn+as+you+work+telugu
Oracle Guided Learning,Basic,What feature does OGL provide to measure guide effectiveness?,Features,Analytics,Usage Tracking,Adoption,A,Analytics that show which guides are used and which transactions need guides.,Features,https://docs.oracle.com/cd/E52319_01/infoportal/guided_learning.html#getstarted,https://youtube.com/results?search_query=Oracle+Guided+Learning+analytics,https://youtube.com/results?search_query=Oracle+Guided+Learning+analytics+hindi,https://youtube.com/results?search_query=Oracle+Guided+Learning+analytics+kannada,https://youtube.com/results?search_query=Oracle+Guided+Learning+analytics+tamil,https://youtube.com/results?search_query=Oracle+Guided+Learning+analytics+telugu
