skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Css,Basic,What is the correct property to change the text color of an element?,color,font-color,text-color,foreground-color,A,The color property sets the color of the text content.,https://developer.mozilla.org/en-US/docs/Web/CSS/color,https://youtube.com/results?search_query=css+color+property+basics,https://youtube.com/results?search_query=css+color+property+hindi,https://youtube.com/results?search_query=css+color+property+kannada,https://youtube.com/results?search_query=css+color+property+tamil,https://youtube.com/results?search_query=css+color+property+telugu
Css,Basic,How do you make text bold in CSS?,font-weight: bold;,font-style: bold;,text-weight: bold;,bold: true;,A,font-weight controls the thickness — bold is usually 700 or the keyword bold.,https://developer.mozilla.org/en-US/docs/Web/CSS/font-weight,https://youtube.com/results?search_query=css+bold+text,https://youtube.com/results?search_query=css+bold+text+hindi,https://youtube.com/results?search_query=css+bold+text+kannada,https://youtube.com/results?search_query=css+bold+text+tamil,https://youtube.com/results?search_query=css+bold+text+telugu
Css,Basic,When should you use class selectors instead of element selectors?,When you want to style every paragraph on the page,When you want to style only specific elements with a common style,When you want to style only one unique element,When you want to style all links,C,Class selectors (.classname) allow you to target specific groups of elements without affecting all instances of a tag.,https://developer.mozilla.org/en-US/docs/Web/CSS/Class_selectors,https://youtube.com/results?search_query=css+class+vs+id+selector,https://youtube.com/results?search_query=css+class+vs+id+hindi,https://youtube.com/results?search_query=css+class+vs+id+kannada,https://youtube.com/results?search_query=css+class+vs+id+tamil,https://youtube.com/results?search_query=css+class+vs+id+telugu
Css,Basic,Why do we use the box-sizing: border-box; rule?,To make padding and border add to the width,To make padding and border subtract from the width,To ignore padding and border completely,To make elements float automatically,A,border-box includes padding and border in the element's total width/height — much easier for layouts.,https://developer.mozilla.org/en-US/docs/Web/CSS/box-sizing,https://youtube.com/results?search_query=css+box+sizing+border+box,https://youtube.com/results?search_query=css+box+sizing+hindi,https://youtube.com/results?search_query=css+box+sizing+kannada,https://youtube.com/results?search_query=css+box+sizing+tamil,https://youtube.com/results?search_query=css+box+sizing+telugu
Css,Basic,In which situation would display: none; be better than visibility: hidden;?,When you want the element to disappear but still take up space,When you want the element to disappear and NOT take up space,When you want to fade the element slowly,When you want to disable clicks only,B,display: none removes the element completely from the layout (no space), while visibility: hidden hides it but reserves space.,https://developer.mozilla.org/en-US/docs/Web/CSS/display,https://youtube.com/results?search_query=css+display+none+vs+visibility+hidden,https://youtube.com/results?search_query=display+none+vs+visibility+hindi,https://youtube.com/results?search_query=display+none+vs+visibility+kannada,https://youtube.com/results?search_query=display+none+vs+visibility+tamil,https://youtube.com/results?search_query=display+none+vs+visibility+telugu
Css,Basic,Which property would you use to add space inside an element (between content and border)?,margin,padding,border-spacing,outline,B,padding adds internal space inside the element.,https://developer.mozilla.org/en-US/docs/Web/CSS/padding,https://youtube.com/results?search_query=css+padding+vs+margin,https://youtube.com/results?search_query=css+padding+vs+margin+hindi,https://youtube.com/results?search_query=css+padding+vs+margin+kannada,https://youtube.com/results?search_query=css+padding+vs+margin+tamil,https://youtube.com/results?search_query=css+padding+vs+margin+telugu
Css,Basic,Why is position: relative; commonly used with position: absolute; child elements?,To make the child disappear,To make the child position relative to the viewport,To make the child position relative to the nearest positioned ancestor,D,position: absolute positions relative to the nearest ancestor that has position other than static (usually relative).,https://developer.mozilla.org/en-US/docs/Web/CSS/position,https://youtube.com/results?search_query=css+position+relative+absolute,https://youtube.com/results?search_query=css+position+relative+absolute+hindi,https://youtube.com/results?search_query=css+position+relative+absolute+kannada,https://youtube.com/results?search_query=css+position+relative+absolute+tamil,https://youtube.com/results?search_query=css+position+relative+absolute+telugu
Css,Basic,When would you prefer flexbox over float for layout?,When you need vertical centering and equal height columns,When you need to support IE6,When you only need text wrapping around images,When you want very old browser support,A,Flexbox makes vertical centering, equal heights, and reordering extremely easy compared to floats.,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flexible_Box_Layout/Basic_Concepts_of_Flexbox,https://youtube.com/results?search_query=css+flexbox+basics,https://youtube.com/results?search_query=css+flexbox+hindi,https://youtube.com/results?search_query=css+flexbox+kannada,https://youtube.com/results?search_query=css+flexbox+tamil,https://youtube.com/results?search_query=css+flexbox+telugu
Css,Basic,Which value of justify-content would center all flex items horizontally in a row direction?,flex-start,flex-end,center,space-between,C,justify-content: center; centers items along the main axis (horizontal in row).,https://developer.mozilla.org/en-US/docs/Web/CSS/justify-content,https://youtube.com/results?search_query=css+justify+content+center,https://youtube.com/results?search_query=css+justify+content+hindi,https://youtube.com/results?search_query=css+justify+content+kannada,https://youtube.com/results?search_query=css+justify+content+tamil,https://youtube.com/results?search_query=css+justify+content+telugu
Css,Basic,How do you vertically center a single item inside a flex container?,align-items: center;,justify-content: center;,vertical-align: middle;,text-align: center;,A,align-items: center; centers items along the cross axis (vertical in row direction).,https://developer.mozilla.org/en-US/docs/Web/CSS/align-items,https://youtube.com/results?search_query=css+vertical+center+flexbox,https://youtube.com/results?search_query=css+vertical+center+hindi,https://youtube.com/results?search_query=css+vertical+center+kannada,https://youtube.com/results?search_query=css+vertical+center+tamil,https://youtube.com/results?search_query=css+vertical+center+telugu
Css,Basic,Why do many developers use rem instead of px for font sizes?,rem is always relative to the browser default,rem is relative to the root element (html) font size,rem ignores user font size settings,rem is smaller than px,B,rem scales with the root font size and respects user browser font size preferences.,https://developer.mozilla.org/en-US/docs/Web/CSS/length#rem,https://youtube.com/results?search_query=css+rem+vs+px,https://youtube.com/results?search_query=css+rem+vs+px+hindi,https://youtube.com/results?search_query=css+rem+vs+px+kannada,https://youtube.com/results?search_query=css+rem+vs+px+tamil,https://youtube.com/results?search_query=css+rem+vs+px+telugu
Css,Basic,In which situation is display: inline-block; most useful?,When you want elements to sit side by side but still respect width/height,When you want full block behavior with floating,When you want text to wrap around images,When you want grid layout,D,inline-block lets elements sit inline but still accept width, height, margins, padding like blocks.,https://developer.mozilla.org/en-US/docs/Web/CSS/display,https://youtube.com/results?search_query=css+inline+block+vs+inline+vs+block,https://youtube.com/results?search_query=css+inline+block+hindi,https://youtube.com/results?search_query=css+inline+block+kannada,https://youtube.com/results?search_query=css+inline+block+tamil,https://youtube.com/results?search_query=css+inline+block+telugu
