skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Node.js,Intermediate,What's the difference between require() and import()?,Module systems,ES modules,CommonJS,Dynamic vs static,A,require() is CommonJS synchronous runtime import; import() is ES module asynchronous static import.,Modules,https://nodejs.org/api/esm.html,https://youtube.com/results?search_query=nodejs+require+vs+import,https://youtube.com/results?search_query=nodejs+require+vs+import+hindi,https://youtube.com/results?search_query=nodejs+require+vs+import+kannada,https://youtube.com/results?search_query=nodejs+require+vs+import+tamil,https://youtube.com/results?search_query=nodejs+require+vs+import+telugu
Node.js,Intermediate,How do you handle asynchronous operations with async/await?,Asynchronous programming,Promises,Error handling,Async patterns,A,"Use async functions with await for promise resolution, try/catch for error handling.",Async/Await,https://nodejs.org/api/async_context.html,https://youtube.com/results?search_query=nodejs+async+await,https://youtube.com/results?search_query=nodejs+async+await+hindi,https://youtube.com/results?search_query=nodejs+async+await+kannada,https://youtube.com/results?search_query=nodejs+async+await+tamil,https://youtube.com/results?search_query=nodejs+async+await+telugu
Node.js,Intermediate,What's the purpose of the event loop in Node.js?,Event-driven architecture,Non-blocking I/O,Concurrency model,Performance,A,"Event loop handles asynchronous operations, executes callbacks, manages I/O without blocking main thread.",Event Loop,https://nodejs.org/en/docs/guides/event-loop-timers-and-nexttick/,https://youtube.com/results?search_query=nodejs+event+loop,https://youtube.com/results?search_query=nodejs+event+loop+hindi,https://youtube.com/results?search_query=nodejs+event+loop+kannada,https://youtube.com/results?search_query=nodejs+event+loop+tamil,https://youtube.com/results?search_query=nodejs+event+loop+telugu
Node.js,Intermediate,How do you create HTTP servers in Node.js?,Web servers,HTTP module,Request handling,Response creation,A,"Use http.createServer() with request/response handlers, listen on port, handle routes.",HTTP,https://nodejs.org/api/http.html,https://youtube.com/results?search_query=nodejs+http+server,https://youtube.com/results?search_query=nodejs+http+server+hindi,https://youtube.com/results?search_query=nodejs+http+server+kannada,https://youtube.com/results?search_query=nodejs+http+server+tamil,https://youtube.com/results?search_query=nodejs+http+server+telugu
Node.js,Intermediate,What's the difference between process.nextTick() and setImmediate()?,Event loop timing,Microtasks vs macrotasks,Execution order,Priority,A,process.nextTick() runs before next event loop phase; setImmediate() runs in check phase.,Event Loop,https://nodejs.org/en/docs/guides/event-loop-timers-and-nexttick/,https://youtube.com/results?search_query=nodejs+nexttick+vs+setimmediate,https://youtube.com/results?search_query=nodejs+nexttick+vs+setimmediate+hindi,https://youtube.com/results?search_query=nodejs+nexttick+vs+setimmediate+kannada,https://youtube.com/results?search_query=nodejs+nexttick+vs+setimmediate+tamil,https://youtube.com/results?search_query=nodejs+nexttick+vs+setimmediate+telugu
Node.js,Intermediate,How do you manage environment variables in Node.js?,Configuration,Process environment,Secret management,Deployment,A,"Use process.env, dotenv package, or built-in .env file support in Node.js 20+.",Configuration,https://nodejs.org/api/process.html#processenv,https://youtube.com/results?search_query=nodejs+environment+variables,https://youtube.com/results?search_query=nodejs+environment+variables+hindi,https://youtube.com/results?search_query=nodejs+environment+variables+kannada,https://youtube.com/results?search_query=nodejs+environment+variables+tamil,https://youtube.com/results?search_query=nodejs+environment+variables+telugu
Node.js,Intermediate,What's the purpose of middleware in Express.js?,Request processing,Pipeline pattern,Modular handlers,Cross-cutting concerns,A,"Middleware functions process requests before reaching route handlers (auth, logging, parsing).",Express,https://expressjs.com/en/guide/using-middleware.html,https://youtube.com/results?search_query=nodejs+express+middleware,https://youtube.com/results?search_query=nodejs+express+middleware+hindi,https://youtube.com/results?search_query=nodejs+express+middleware+kannada,https://youtube.com/results?search_query=nodejs+express+middleware+tamil,https://youtube.com/results?search_query=nodejs+express+middleware+telugu
Node.js,Intermediate,How do you handle file operations with fs module?,File system,I/O operations,Async file handling,Streams,A,"Use fs.promises API for async operations, fs.createReadStream/WriteStream for large files.",File System,https://nodejs.org/api/fs.html,https://youtube.com/results?search_query=nodejs+fs+module,https://youtube.com/results?search_query=nodejs+fs+module+hindi,https://youtube.com/results?search_query=nodejs+fs+module+kannada,https://youtube.com/results?search_query=nodejs+fs+module+tamil,https://youtube.com/results?search_query=nodejs+fs+module+telugu
Node.js,Intermediate,What's the difference between cluster module and worker_threads?,Concurrency,Parallel processing,CPU intensive tasks,Multi-core,A,cluster: multiple processes sharing ports; worker_threads: multiple threads in same process.,Concurrency,https://nodejs.org/api/cluster.html,https://youtube.com/results?search_query=nodejs+cluster+vs+worker+threads,https://youtube.com/results?search_query=nodejs+cluster+vs+worker+threads+hindi,https://youtube.com/results?search_query=nodejs+cluster+vs+worker+threads+kannada,https://youtube.com/results?search_query=nodejs+cluster+vs+worker+threads+tamil,https://youtube.com/results?search_query=nodejs+cluster+vs+worker+threads+telugu
Node.js,Intermediate,How do you implement WebSocket servers in Node.js?,Real-time communication,Bi-directional streams,Socket connections,ws library,A,Use ws library or Socket.io for WebSocket server with connection event handling.,WebSockets,https://github.com/websockets/ws,https://youtube.com/results?search_query=nodejs+websocket+server,https://youtube.com/results?search_query=nodejs+websocket+server+hindi,https://youtube.com/results?search_query=nodejs+websocket+server+kannada,https://youtube.com/results?search_query=nodejs+websocket+server+tamil,https://youtube.com/results?search_query=nodejs+websocket+server+telugu
