skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
HTML,BASIC,Multiple Choice,"Which HTML element is used to define the most important heading?",<h1>,<header>,<heading>,<title>,<h1>,"The <h1> tag defines the most important (and largest) heading in HTML."
HTML,BASIC,Multiple Choice,"What does HTML stand for?",HyperText Markup Language,High Tech Modern Language,Hyper Transfer Markup Language,Home Tool Markup Language,HyperText Markup Language,"HTML stands for HyperText Markup Language."
HTML,BASIC,Multiple Choice,"Which tag is used to create a hyperlink?",<link>,<a>,<href>,<hyperlink>,<a>,"The <a> tag creates a hyperlink in HTML."
HTML,BASIC,Multiple Choice,"What is the correct HTML element for inserting a line break?",<break>,<br>,<lb>,<newline>,<br>,"The <br> tag inserts a single line break."
HTML,BASIC,Multiple Choice,"Which HTML element defines the main content of a document?",<main>,<body>,<content>,<section>,<main>,"The <main> tag specifies the main content of a document."
HTML,BASIC,Multiple Choice,"Which attribute is used to specify an image's alternative text?",src,alt,title,description,alt,"The alt attribute provides alternative text for an image."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a paragraph?",<para>,<p>,<paragraph>,<text>,<p>,"The <p> tag defines a paragraph."
HTML,BASIC,Multiple Choice,"Which tag is used to create an unordered list?",<ul>,<ol>,<list>,<li>,<ul>,"The <ul> tag defines an unordered (bulleted) list."
HTML,BASIC,Multiple Choice,"What is the correct HTML for creating a checkbox?",<checkbox>,"<input type=""checkbox"">",<check>,<input checkbox>,"<input type=""checkbox"">","<input type=""checkbox""> creates a checkbox."
HTML,BASIC,Multiple Choice,"Which HTML element is used for the largest heading?",<h6>,<h1>,<head>,<heading>,<h1>,"<h1> defines the largest heading, <h6> defines the smallest."
HTML,BASIC,Multiple Choice,"Which attribute specifies where to open a linked document?",href,target,link,src,target,"The target attribute specifies where to open the linked document."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define table data?",<td>,<tr>,<table>,<th>,<td>,"The <td> tag defines a standard data cell in an HTML table."
HTML,BASIC,Multiple Choice,"Which tag is used to embed an image?",<img>,<image>,<pic>,<picture>,<img>,"The <img> tag embeds an image in an HTML page."
HTML,BASIC,Multiple Choice,"Which HTML element defines a table row?",<tr>,<td>,<table>,<row>,<tr>,"The <tr> tag defines a row in an HTML table."
