skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Kotlin,Advanced,What is the difference between reified type parameters and inline functions in Kotlin?,Generics,Reified,Inline Functions,Type Erasure,A,reified preserves type at runtime with inline; inline functions enable reification and avoid function call overhead,Generics,https://kotlinlang.org/docs/inline-functions.html#reified-type-parameters,https://youtube.com/results?search_query=kotlin+reified+type+parameters,https://youtube.com/results?search_query=kotlin+reified+type+parameters+hindi,https://youtube.com/results?search_query=kotlin+reified+type+parameters+kannada,https://youtube.com/results?search_query=kotlin+reified+type+parameters+tamil,https://youtube.com/results?search_query=kotlin+reified+type+parameters+telugu
Kotlin,Advanced,How do Kotlin's inline classes differ from type aliases for type safety?,Classes,Inline Classes,Type Aliases,Value Classes,A,"Inline classes wrap values with zero overhead runtime; type aliases are compile-time only, no runtime type checking",Classes,https://kotlinlang.org/docs/inline-classes.html,https://youtube.com/results?search_query=kotlin+inline+classes+vs+type+aliases,https://youtube.com/results?search_query=kotlin+inline+classes+vs+type+aliases+hindi,https://youtube.com/results?search_query=kotlin+inline+classes+vs+type+aliases+kannada,https://youtube.com/results?search_query=kotlin+inline+classes+vs+type+aliases+tamil,https://youtube.com/results?search_query=kotlin+inline+classes+vs+type+aliases+telugu
Kotlin,Advanced,What is the difference between sealed classes and sealed interfaces in Kotlin?,Classes,Sealed Classes,Sealed Interfaces,Exhaustiveness,A,Sealed classes restrict inheritance; sealed interfaces restrict implementations; both enable exhaustive when checks,Classes,https://kotlinlang.org/docs/sealed-classes.html,https://youtube.com/results?search_query=kotlin+sealed+classes+vs+interfaces,https://youtube.com/results?search_query=kotlin+sealed+classes+vs+interfaces+hindi,https://youtube.com/results?search_query=kotlin+sealed+classes+vs+interfaces+kannada,https://youtube.com/results?search_query=kotlin+sealed+classes+vs+interfaces+tamil,https://youtube.com/results?search_query=kotlin+sealed+classes+vs+interfaces+telugu
Kotlin,Advanced,How does Kotlin's coroutine structured concurrency prevent resource leaks?,Coroutines,Structured Concurrency,Scope,Cancellation,A,"Structured concurrency ensures coroutines are children of scope, automatically cancelling children when parent fails or cancels",Coroutines,https://kotlinlang.org/docs/coroutines-basics.html#structured-concurrency,https://youtube.com/results?search_query=kotlin+structured+concurrency+coroutines,https://youtube.com/results?search_query=kotlin+structured+concurrency+coroutines+hindi,https://youtube.com/results?search_query=kotlin+structured+concurrency+coroutines+kannada,https://youtube.com/results?search_query=kotlin+structured+concurrency+coroutines+tamil,https://youtube.com/results?search_query=kotlin+structured+concurrency+coroutines+telugu
Kotlin,Advanced,What is the difference between Channel and Flow for reactive streams in Kotlin?,Coroutines,Channel,Flow,Reactive,A,"Channel is hot stream for one-time data; Flow is cold stream for multiple collectors, backpressure support",Coroutines,https://kotlinlang.org/docs/channels.html,https://youtube.com/results?search_query=kotlin+channel+vs+flow,https://youtube.com/results?search_query=kotlin+channel+vs+flow+hindi,https://youtube.com/results?search_query=kotlin+channel+vs+flow+kannada,https://youtube.com/results?search_query=kotlin+channel+vs+flow+tamil,https://youtube.com/results?search_query=kotlin+channel+vs+flow+telugu
Kotlin,Advanced,How do Kotlin's extension functions differ from member functions for API design?,Functions,Extension Functions,Member Functions,API Design,A,"Extension functions don't modify original class, resolved statically; member functions are virtual, can be overridden, part of class API",Functions,https://kotlinlang.org/docs/extensions.html,https://youtube.com/results?search_query=kotlin+extension+vs+member+functions,https://youtube.com/results?search_query=kotlin+extension+vs+member+functions+hindi,https://youtube.com/results?search_query=kotlin+extension+vs+member+functions+kannada,https://youtube.com/results?search_query=kotlin+extension+vs+member+functions+tamil,https://youtube.com/results?search_query=kotlin+extension+vs+member+functions+telugu
Kotlin,Advanced,What is the purpose of Kotlin's @JvmStatic and @JvmField annotations for Java interop?,Interop,JvmStatic,JvmField,Java Compatibility,A,@JvmStatic exposes companion object members as static Java methods; @JvmField exposes property as public Java field without getters,Interop,https://kotlinlang.org/docs/java-to-kotlin-interop.html,https://youtube.com/results?search_query=kotlin+jvmstatic+jvmfield+annotations,https://youtube.com/results?search_query=kotlin+jvmstatic+jvmfield+annotations+hindi,https://youtube.com/results?search_query=kotlin+jvmstatic+jvmfield+annotations+kannada,https://youtube.com/results?search_query=kotlin+jvmstatic+jvmfield+annotations+tamil,https://youtube.com/results?search_query=kotlin+jvmstatic+jvmfield+annotations+telugu
Kotlin,Advanced,How do Kotlin's property delegates (by lazy, by observable) work internally?,Delegation,Property Delegates,Lazy,Observable,"A,Property delegates use getValue/setValue operators; lazy uses synchronized initialization; observable triggers callbacks on change",Delegation,https://kotlinlang.org/docs/delegated-properties.html,https://youtube.com/results?search_query=kotlin+property+delegates+internal,https://youtube.com/results?search_query=kotlin+property+delegates+internal+hindi,https://youtube.com/results?search_query=kotlin+property+delegates+internal+kannada,https://youtube.com/results?search_query=kotlin+property+delegates+internal+tamil,https://youtube.com/results?search_query=kotlin+property+delegates+internal+telugu
Kotlin,Advanced,What is the difference between crossinline and noinline in Kotlin lambdas?,Functions,Crossinline,Noinline,Lambda Parameters,A,crossinline prevents non-local returns; noinline prevents inlining of specific lambda parameter while others can be inlined,Functions,https://kotlinlang.org/docs/inline-functions.html#non-local-returns,https://youtube.com/results?search_query=kotlin+crossinline+vs+noinline,https://youtube.com/results?search_query=kotlin+crossinline+vs+noinline+hindi,https://youtube.com/results?search_query=kotlin+crossinline+vs+noinline+kannada,https://youtube.com/results?search_query=kotlin+crossinline+vs+noinline+tamil,https://youtube.com/results?search_query=kotlin+crossinline+vs+noinline+telugu
Kotlin,Advanced,How does Kotlin's expect/actual mechanism work for multiplatform projects?,Multiplatform,Expect,Actual,Platform Specific,A,"expect declares expected API in common code; actual provides platform-specific implementation for each target (JVM, JS, Native)",Multiplatform,https://kotlinlang.org/docs/multiplatform.html,https://youtube.com/results?search_query=kotlin+expect+actual+multiplatform,https://youtube.com/results?search_query=kotlin+expect+actual+multiplatform+hindi,https://youtube.com/results?search_query=kotlin+expect+actual+multiplatform+kannada,https://youtube.com/results?search_query=kotlin+expect+actual+multiplatform+tamil,https://youtube.com/results?search_query=kotlin+expect+actual+multiplatform+telugu
Kotlin,Advanced,What is the purpose of Kotlin's @UnsafeVariance annotation in generic variance?,Generics,UnsafeVariance,Variance,Type Safety,A,@UnsafeVariance suppresses variance check allowing normally unsafe operation when developer guarantees type safety,Generics,https://kotlinlang.org/api/latest/jvm/stdlib/kotlin/-unsafe-variance/,https://youtube.com/results?search_query=kotlin+unsafevariance+annotation,https://youtube.com/results?search_query=kotlin+unsafevariance+annotation+hindi,https://youtube.com/results?search_query=kotlin+unsafevariance+annotation+kannada,https://youtube.com/results?search_query=kotlin+unsafevariance+annotation+tamil,https://youtube.com/results?search_query=kotlin+unsafevariance+annotation+telugu
Kotlin,Advanced,How do Kotlin's contract functions enable smart cast improvements?,Functions,Contracts,Smart Cast,Compiler,A,Contract functions provide hints to compiler about function behavior enabling smarter flow analysis and type inference,Functions,https://kotlinlang.org/docs/whatsnew13.html#contracts,https://youtube.com/results?search_query=kotlin+contract+functions+smart+cast,https://youtube.com/results?search_query=kotlin+contract+functions+smart+cast+hindi,https://youtube.com/results?search_query=kotlin+contract+functions+smart+cast+kannada,https://youtube.com/results?search_query=kotlin+contract+functions+smart+cast+tamil,https://youtube.com/results?search_query=kotlin+contract+functions+smart+cast+telugu
Kotlin,Advanced,What is the difference between suspendCoroutine and suspendCancellableCoroutine?,Coroutines,SuspendCoroutine,Cancellation,Async,A,suspendCoroutine provides non-cancellable continuation; suspendCancellableCoroutine provides cancellable continuation with invokeOnCancellation,Coroutines,https://kotlinlang.org/api/kotlinx.coroutines/kotlinx-coroutines-core/kotlinx.coroutines/suspend-cancellable-coroutine.html,https://youtube.com/results?search_query=kotlin+suspendcoroutine+vs+suspendcancellablecoroutine,https://youtube.com/results?search_query=kotlin+suspendcoroutine+vs+suspendcancellablecoroutine+hindi,https://youtube.com/results?search_query=kotlin+suspendcoroutine+vs+suspendcancellablecoroutine+kannada,https://youtube.com/results?search_query=kotlin+suspendcoroutine+vs+suspendcancellablecoroutine+tamil,https://youtube.com/results?search_query=kotlin+suspendcoroutine+vs+suspendcancellablecoroutine+telugu
Kotlin,Advanced,How do Kotlin's Flow operators (map, filter, transform) handle backpressure?,Coroutines,Flow,Backpressure,"Operators,A,Flow operators process elements sequentially, suspending when downstream is busy, naturally supporting backpressure without buffers",Coroutines,https://kotlinlang.org/docs/flow.html#flow-builders,https://youtube.com/results?search_query=kotlin+flow+backpressure+operators,https://youtube.com/results?search_query=kotlin+flow+backpressure+operators+hindi,https://youtube.com/results?search_query=kotlin+flow+backpressure+operators+kannada,https://youtube.com/results?search_query=kotlin+flow+backpressure+operators+tamil,https://youtube.com/results?search_query=kotlin+flow+backpressure+operators+telugu
Kotlin,Advanced,What is the purpose of Kotlin's @PublishedApi annotation for internal APIs?,Visibility,PublishedApi,Internal,API Stability,A,"@PublishedApi marks internal declarations that can be used in public inline functions, exposed in bytecode but not in source API",Visibility,https://kotlinlang.org/api/latest/jvm/stdlib/kotlin/-published-api/,https://youtube.com/results?search_query=kotlin+publishedapi+annotation,https://youtube.com/results?search_query=kotlin+publishedapi+annotation+hindi,https://youtube.com/results?search_query=kotlin+publishedapi+annotation+kannada,https://youtube.com/results?search_query=kotlin+publishedapi+annotation+tamil,https://youtube.com/results?search_query=kotlin+publishedapi+annotation+telugu
Kotlin,Advanced,How do Kotlin's delegated properties implement observable pattern with vetoable?,Delegation,Observable,Vetoable,Delegated Properties,A,Delegates.observable triggers after change; Delegates.vetoable allows rejecting change before it happens with boolean return,Delegation,https://kotlinlang.org/docs/delegated-properties.html#observable-properties,https://youtube.com/results?search_query=kotlin+observable+vetoable+delegates,https://youtube.com/results?search_query=kotlin+observable+vetoable+delegates+hindi,https://youtube.com/results?search_query=kotlin+observable+vetoable+delegates+kannada,https://youtube.com/results?search_query=kotlin+observable+vetoable+delegates+tamil,https://youtube.com/results?search_query=kotlin+observable+vetoable+delegates+telugu
Kotlin,Advanced,What is the difference between CoroutineScope and CoroutineContext in Kotlin?,Coroutines,CoroutineScope,CoroutineContext,Structure,A,"CoroutineScope provides structured concurrency lifecycle; CoroutineContext holds coroutine elements (Job, Dispatcher, ExceptionHandler)",Coroutines,https://kotlinlang.org/docs/coroutines-and-channels.html,https://youtube.com/results?search_query=kotlin+coroutinescope+vs+coroutinecontext,https://youtube.com/results?search_query=kotlin+coroutinescope+vs+coroutinecontext+hindi,https://youtube.com/results?search_query=kotlin+coroutinescope+vs+coroutinecontext+kannada,https://youtube.com/results?search_query=kotlin+coroutinescope+vs+coroutinecontext+tamil,https://youtube.com/results?search_query=kotlin+coroutinescope+vs+coroutinecontext+telugu
Kotlin,Advanced,How does Kotlin's type-safe builder pattern work with DSLs?,DSL,Type-safe Builders,Recursive Generics,Pattern,A,Type-safe builders use extension lambdas with @DslMarker to create statically typed DSLs with context control,DSL,https://kotlinlang.org/docs/type-safe-builders.html,https://youtube.com/results?search_query=kotlin+type+safe+builders+dsl,https://youtube.com/results?search_query=kotlin+type+safe+builders+dsl+hindi,https://youtube.com/results?search_query=kotlin+type+safe+builders+dsl+kannada,https://youtube.com/results?search_query=kotlin+type+safe+builders+dsl+tamil,https://youtube.com/results?search_query=kotlin+type+safe+builders+dsl+telugu
