skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Docker,beginner,What is Docker?,Container platform,Virtual machine,Operating system,Database,A,Docker is a containerization platform that packages applications with their dependencies.,Basics,https://docs.docker.com,https://youtube.com/results?search_query=docker+basics,https://youtube.com/results?search_query=docker+basics+hindi,https://youtube.com/results?search_query=docker+basics+kannada,https://youtube.com/results?search_query=docker+basics+tamil,https://youtube.com/results?search_query=docker+basics+telugu
Docker,beginner,Which are container orchestration platforms?,Docker Swarm,Kubernetes,VirtualBox,VMware,"A,B","Docker Swarm and Kubernetes are both container orchestration platforms that manage containerized applications.",Orchestration,https://docs.docker.com/engine/swarm/,https://youtube.com/results?search_query=container+orchestration,https://youtube.com/results?search_query=container+orchestration+hindi,https://youtube.com/results?search_query=container+orchestration+kannada,https://youtube.com/results?search_query=container+orchestration+tamil,https://youtube.com/results?search_query=container+orchestration+telugu
Docker,beginner,Which commands show container information?,docker ps,docker info,docker list,docker show,"A,B","docker ps shows running containers and docker info shows system-wide information about Docker.",Commands,https://docs.docker.com/engine/reference/commandline/ps/,https://youtube.com/results?search_query=docker+commands,https://youtube.com/results?search_query=docker+commands+hindi,https://youtube.com/results?search_query=docker+commands+kannada,https://youtube.com/results?search_query=docker+commands+tamil,https://youtube.com/results?search_query=docker+commands+telugu
Docker,intermediate,Which Dockerfile instructions create layers?,RUN,CMD,COPY,ENTRYPOINT,"A,C","RUN and COPY instructions create new layers in the Docker image. CMD and ENTRYPOINT only set metadata.",Dockerfile,https://docs.docker.com/engine/reference/builder/,https://youtube.com/results?search_query=dockerfile+layers,https://youtube.com/results?search_query=dockerfile+layers+hindi,https://youtube.com/results?search_query=dockerfile+layers+kannada,https://youtube.com/results?search_query=dockerfile+layers+tamil,https://youtube.com/results?search_query=dockerfile+layers+telugu
Docker,intermediate,Which are valid Docker network drivers?,bridge,host,overlay,custom,"A,B,C","bridge, host, and overlay are built-in Docker network drivers. Custom is not a valid driver name.",Networking,https://docs.docker.com/network/,https://youtube.com/results?search_query=docker+networking,https://youtube.com/results?search_query=docker+networking+hindi,https://youtube.com/results?search_query=docker+networking+kannada,https://youtube.com/results?search_query=docker+networking+tamil,https://youtube.com/results?search_query=docker+networking+telugu
Docker,advanced,Which statements about Docker volumes are true?,Volumes persist data,Volumes are stored on host,Volumes are deleted with container,Volumes can be shared,"A,B,D","Volumes persist data beyond container lifecycle, are stored on the host filesystem, and can be shared between containers. They are NOT deleted when the container is removed.",Storage,https://docs.docker.com/storage/volumes/,https://youtube.com/results?search_query=docker+volumes,https://youtube.com/results?search_query=docker+volumes+hindi,https://youtube.com/results?search_query=docker+volumes+kannada,https://youtube.com/results?search_query=docker+volumes+tamil,https://youtube.com/results?search_query=docker+volumes+telugu
React,beginner,What is JSX?,JavaScript XML,Java Syntax Extension,JSON XML,JavaScript Extension,A,JSX stands for JavaScript XML and allows writing HTML-like syntax in JavaScript.,Basics,https://react.dev/learn/writing-markup-with-jsx,https://youtube.com/results?search_query=react+jsx,https://youtube.com/results?search_query=react+jsx+hindi,https://youtube.com/results?search_query=react+jsx+kannada,https://youtube.com/results?search_query=react+jsx+tamil,https://youtube.com/results?search_query=react+jsx+telugu
React,intermediate,Which are built-in React hooks?,useState,useEffect,useData,useComponent,"A,B","useState and useEffect are built-in React hooks. useData and useComponent are not real hooks.",Hooks,https://react.dev/reference/react,https://youtube.com/results?search_query=react+hooks,https://youtube.com/results?search_query=react+hooks+hindi,https://youtube.com/results?search_query=react+hooks+kannada,https://youtube.com/results?search_query=react+hooks+tamil,https://youtube.com/results?search_query=react+hooks+telugu
React,advanced,Which hooks can cause infinite loops if not used carefully?,useEffect,useState,useMemo,useCallback,"A,C,D","useEffect, useMemo, and useCallback can cause infinite loops if their dependency arrays are not properly configured.",Hooks,https://react.dev/learn/synchronizing-with-effects,https://youtube.com/results?search_query=react+infinite+loops,https://youtube.com/results?search_query=react+infinite+loops+hindi,https://youtube.com/results?search_query=react+infinite+loops+kannada,https://youtube.com/results?search_query=react+infinite+loops+tamil,https://youtube.com/results?search_query=react+infinite+loops+telugu
JavaScript,beginner,Which are primitive data types in JavaScript?,String,Number,Object,Array,"A,B","String and Number are primitive types. Object and Array are reference types.",Data Types,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Data_structures,https://youtube.com/results?search_query=javascript+data+types,https://youtube.com/results?search_query=javascript+data+types+hindi,https://youtube.com/results?search_query=javascript+data+types+kannada,https://youtube.com/results?search_query=javascript+data+types+tamil,https://youtube.com/results?search_query=javascript+data+types+telugu
