skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Swift,Intermediate,What is the difference between `let` and `var`?,Basics,Variables & Constants,let,var,immutable,"mutable,`let` declares a constant (immutable)", `var` declares a variable (mutable). Use `let` by default; use `var` only when you need mutability.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/thebasics/#Constants-and-Variables,https://youtube.com/results?search_query=swift+let+vs+var,https://youtube.com/results?search_query=swift+let+vs+var+hindi,https://youtube.com/results?search_query=swift+let+vs+var+kannada,https://youtube.com/results?search_query=swift+let+vs+var+tamil,https://youtube.com/results?search_query=swift+let+vs+var+telugu
Swift,Intermediate,Explain optionals in Swift. What is the purpose of `?` and `!`?,Basics,Optionals,optional,nil,unwrapping,An optional represents a value that may be `nil`. `?` marks a type as optional (`String?`). `!` force-unwraps an optional, causing a crash if nil. Use optional binding (`if let`) or `guard let` for safe unwrapping.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/thebasics/#Optionals,https://youtube.com/results?search_query=swift+optionals+explained,https://youtube.com/results?search_query=swift+optionals+explained+hindi,https://youtube.com/results?search_query=swift+optionals+explained+kannada,https://youtube.com/results?search_query=swift+optionals+explained+tamil,https://youtube.com/results?search_query=swift+optionals+explained+telugu
Swift,Intermediate,What is the difference between `struct` and `class`?,Types,Value vs Reference Types,struct,class,value type,"reference type,`struct` is a value type (copied when assigned/passed). `class` is a reference type (reference is copied, not the instance). Structs don't support inheritance; classes do. Choose structs for simple data", classes for shared mutable state.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/classesandstructures/,https://youtube.com/results?search_query=swift+struct+vs+class,https://youtube.com/results?search_query=swift+struct+vs+class+hindi,https://youtube.com/results?search_query=swift+struct+vs+class+kannada,https://youtube.com/results?search_query=swift+struct+vs+class+tamil,https://youtube.com/results?search_query=swift+struct+vs+class+telugu
Swift,Intermediate,What are computed properties and how do they differ from stored properties?,Properties,Computed Properties,computed property,stored property,getter,setter,Stored properties store values directly. Computed properties calculate a value on the fly using a getter (and optionally a setter). They don't store a value; they provide a getter to compute it.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/properties/#Computed-Properties,https://youtube.com/results?search_query=swift+computed+properties,https://youtube.com/results?search_query=swift+computed+properties+hindi,https://youtube.com/results?search_query=swift+computed+properties+kannada,https://youtube.com/results?search_query=swift+computed+properties+tamil,https://youtube.com/results?search_query=swift+computed+properties+telugu
Swift,Intermediate,Explain protocol-oriented programming. What are protocols?,Protocols,Protocol-Oriented Programming,protocol,extension,Protocols define a blueprint of methods, properties, and requirements. Protocol-oriented programming emphasizes composing types by conforming to protocols and using protocol extensions to provide default implementations.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/protocols/,https://youtube.com/results?search_query=swift+protocol+oriented+programming,https://youtube.com/results?search_query=swift+protocol+oriented+programming+hindi,https://youtube.com/results?search_query=swift+protocol+oriented+programming+kannada,https://youtube.com/results?search_query=swift+protocol+oriented+programming+tamil,https://youtube.com/results?search_query=swift+protocol+oriented+programming+telugu
Swift,Intermediate,What are generics in Swift and why are they useful?,Generics,Generic Programming,generic,type parameter,Generics enable writing flexible, reusable functions and types that work with any type. They are defined using angle brackets: `func swap<T>(_ a: inout T, _ b: inout T)`. They provide type safety and avoid code duplication.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/generics/,https://youtube.com/results?search_query=swift+generics+explained,https://youtube.com/results?search_query=swift+generics+explained+hindi,https://youtube.com/results?search_query=swift+generics+explained+kannada,https://youtube.com/results?search_query=swift+generics+explained+tamil,https://youtube.com/results?search_query=swift+generics+explained+telugu
Swift,Intermediate,What is the difference between `map`, `filter`, and `reduce`?,Collections,Higher-Order Functions,map,"filter,reduce,`map` transforms each element (`[1,2,3].map { $0 * 2 }` → `[2,4,6]`). `filter` selects elements that satisfy a condition. `reduce` combines elements into a single value (e.g.", sum). They operate on sequences and return new collections.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/collectiontypes/,https://youtube.com/results?search_query=swift+map+filter+reduce,https://youtube.com/results?search_query=swift+map+filter+reduce+hindi,https://youtube.com/results?search_query=swift+map+filter+reduce+kannada,https://youtube.com/results?search_query=swift+map+filter+reduce+tamil,https://youtube.com/results?search_query=swift+map+filter+reduce+telugu
Swift,Intermediate,Explain the `defer` statement and its use cases.,Control Flow,Defer Statement,defer,cleanup,`defer` postpones execution of a block until the current scope exits. It's used for cleanup (closing files," releasing resources) regardless of how the scope exits (return, throw", break). Multiple `defer` statements execute in reverse order.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/controlflow/#Deferred-Actions,https://youtube.com/results?search_query=swift+defer+statement,https://youtube.com/results?search_query=swift+defer+statement+hindi,https://youtube.com/results?search_query=swift+defer+statement+kannada,https://youtube.com/results?search_query=swift+defer+statement+tamil,https://youtube.com/results?search_query=swift+defer+statement+telugu
Swift,Intermediate,Explain error handling in Swift using `throw`, `try`, `catch`.,Error Handling,Error Handling,throw,"try,catch",Errors are represented by types conforming to `Error`. Functions that throw are marked `throws`. Use `do-try-catch`: `do { let result = try someThrowingFunction() } catch { handle error }`. `try?` returns optional; `try!` crashes on error.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/errorhandling/,https://youtube.com/results?search_query=swift+error+handling+try+catch,https://youtube.com/results?search_query=swift+error+handling+try+catch+hindi,https://youtube.com/results?search_query=swift+error+handling+try+catch+kannada,https://youtube.com/results?search_query=swift+error+handling+try+catch+tamil,https://youtube.com/results?search_query=swift+error+handling+try+catch+telugu
Swift,Intermediate,What are extensions and what can they be used for?,Types,Extensions,extension,protocol extension,Extensions add new functionality to existing types (including types you don't own). They can add computed properties," methods, initializers", conformances to protocols. They cannot add stored properties or override existing functionality.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/extensions/,https://youtube.com/results?search_query=swift+extensions,https://youtube.com/results?search_query=swift+extensions+hindi,https://youtube.com/results?search_query=swift+extensions+kannada,https://youtube.com/results?search_query=swift+extensions+tamil,https://youtube.com/results?search_query=swift+extensions+telugu
Swift,Intermediate,What is the difference between `Any` and `AnyObject`?,Types,Type Erasure,Any,AnyObject,`Any` can represent an instance of any type (struct," class, enum", function). `AnyObject` can represent an instance of any class type. Use `Any` for mixed-type collections; use `AnyObject` when you need reference semantics.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/typecasting/#Type-Casting-for-Any-and-AnyObject,https://youtube.com/results?search_query=swift+any+vs+anyobject,https://youtube.com/results?search_query=swift+any+vs+anyobject+hindi,https://youtube.com/results?search_query=swift+any+vs+anyobject+kannada,https://youtube.com/results?search_query=swift+any+vs+anyobject+tamil,https://youtube.com/results?search_query=swift+any+vs+anyobject+telugu
Swift,Intermediate,What is the purpose of the `@escaping` attribute on closure parameters?,Functions,Escaping Closures,escaping,non-escaping,A closure is `@escaping` if it's called after the function returns (stored, passed to async code). Non-escaping closures are called within the function. `@escaping` indicates the closure may outlive the function call, requiring careful memory management.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/closures/#Escaping-Closures,https://youtube.com/results?search_query=swift+escaping+closures,https://youtube.com/results?search_query=swift+escaping+closures+hindi,https://youtube.com/results?search_query=swift+escaping+closures+kannada,https://youtube.com/results?search_query=swift+escaping+closures+tamil,https://youtube.com/results?search_query=swift+escaping+closures+telugu
Swift,Intermediate,Explain `Codable` protocol and its use in JSON encoding/decoding.,Protocols,Codable,Codable,JSON,Encodable,Decodable,`Codable` is a type alias for `Encodable & Decodable`. It enables automatic encoding/decoding to/from external representations like JSON. Use `JSONEncoder` and `JSONDecoder`. Customize with `CodingKeys` enum.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/encodinganddecoding/,https://youtube.com/results?search_query=swift+codable+json,https://youtube.com/results?search_query=swift+codable+json+hindi,https://youtube.com/results?search_query=swift+codable+json+kannada,https://youtube.com/results?search_query=swift+codable+json+tamil,https://youtube.com/results?search_query=swift+codable+json+telugu
Swift,Intermediate,Explain the `@available` attribute and its parameters.,Attributes,Availability,available,deprecated,`@available` marks API availability for platforms," versions, or conditions. Example: `@available(iOS 14, *)`. Parameters: platform (iOS, macOS), version, `deprecated`, `obsoleted`, `message`", `renamed`. Used to conditionally compile code.,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/attributes/#available,https://youtube.com/results?search_query=swift+available+attribute,https://youtube.com/results?search_query=swift+available+attribute+hindi,https://youtube.com/results?search_query=swift+available+attribute+kannada,https://youtube.com/results?search_query=swift+available+attribute+tamil,https://youtube.com/results?search_query=swift+available+attribute+telugu
