skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
angular,intermediate,"What is the recommended way to share data between sibling components?","Using @Input and @Output","Using a shared service with observables","Using ViewChild to directly access sibling","Using @ContentChild",B,"A shared service with observables (e.g., Subject or BehaviorSubject) enables communication between unrelated components without coupling them.",https://angular.io/guide/component-interaction#parent-and-children-communicate-via-a-service,https://youtube.com/results?search_query=angular+component+communication,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"Which lifecycle hook is called after all projected content has been initialized?","ngAfterViewInit","ngAfterContentInit","ngOnInit","ngAfterContentChecked",B,"ngAfterContentInit is called once after Angular has fully initialized all content projected into the component via <ng-content>.",https://angular.io/api/core/AfterContentInit,https://youtube.com/results?search_query=angular+lifecycle+hooks,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"What is the purpose of the @HostListener decorator?","To bind a property to the host element","To listen to events on the host element","To inject a host component","To create a host element",B,"@HostListener listens to DOM events on the host element and executes a method when the event occurs.",https://angular.io/api/core/HostListener,https://youtube.com/results?search_query=angular+directives,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"How do you create a custom structural directive?","By implementing PipeTransform","By using @Component","By injecting TemplateRef and ViewContainerRef","By extending DirectiveBase",C,"Structural directives inject TemplateRef to get the embedded template and ViewContainerRef to render it conditionally.",https://angular.io/guide/structural-directives#writing-structural-directives,https://youtube.com/results?search_query=angular+custom+directives,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"Which RxJS operator is most appropriate for implementing a typeahead search?","mergeMap","switchMap","concatMap","exhaustMap",B,"switchMap cancels the previous inner observable (HTTP request) when a new value arrives, ideal for search-as-you-type scenarios.",https://rxjs.dev/api/operators/switchMap,https://youtube.com/results?search_query=angular+rxjs+operators,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"What is the purpose of the `@SkipSelf` decorator?","To look for a dependency in the current injector only","To skip the current injector and look in parent injectors","To mark a dependency as optional","To provide a default value",B,"@SkipSelf tells Angular to look for the dependency in the parent injector, not in the current one.",https://angular.io/guide/dependency-injection-in-action#skipself,https://youtube.com/results?search_query=angular+dependency+injection,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"How do you configure lazy loading for a feature module?","By setting lazy: true in the route","By using loadChildren with dynamic import","By adding the module to declarations","By using @LazyModule decorator",B,"Lazy loading uses loadChildren with dynamic import syntax: loadChildren: () => import('./feature.module').then(m => m.FeatureModule).",https://angular.io/guide/lazy-loading-ngmodules,https://youtube.com/results?search_query=angular+lazy+loading,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"What is the role of `APP_INITIALIZER`?","To initialize the app module","To run code before the app bootstraps","To create singleton services","To configure routes",B,"APP_INITIALIZER runs initialization logic (like loading config) before the application bootstraps.",https://angular.io/api/core/APP_INITIALIZER,https://youtube.com/results?search_query=angular+app+initializer,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"Which change detection strategy can improve performance by checking only when @Input references change?","Default","OnPush","Always","Detached",B,"ChangeDetectionStrategy.OnPush tells Angular to run change detection only when new references are passed to @Input or events originate from the component.",https://angular.io/api/core/ChangeDetectionStrategy,https://youtube.com/results?search_query=angular+change+detection,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"What is the difference between `BehaviorSubject` and `ReplaySubject`?","BehaviorSubject requires initial value; ReplaySubject does not","ReplaySubject requires initial value; BehaviorSubject does not","Both require initial values","Neither requires initial values",A,"BehaviorSubject requires an initial value and emits it to new subscribers. ReplaySubject can replay a buffer of previous values without an initial value.",https://rxjs.dev/guide/subject,https://youtube.com/results?search_query=angular+rxjs+subjects,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
angular,intermediate,"How do you prevent a lazy-loaded module from loading for unauthenticated users?","Using CanActivate","Using CanLoad","Using CanDeactivate","Using Resolve",B,"CanLoad prevents the entire module from loading if the guard returns false, protecting lazy-loaded modules.",https://angular.io/api/router/CanLoad,https://youtube.com/results?search_query=angular+route+guards,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
