skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Php,Intermediate,What's the difference between == and === operators?,Type comparison,Strict vs loose,Equality operators,Type juggling,A,== compares values with type juggling; === compares both value and type (strict).,Operators,https://www.php.net/manual/en/language.operators.comparison.php,https://youtube.com/results?search_query=php+==+vs+===,https://youtube.com/results?search_query=php+==+vs+===+hindi,https://youtube.com/results?search_query=php+==+vs+===+kannada,https://youtube.com/results?search_query=php+==+vs+===+tamil,https://youtube.com/results?search_query=php+==+vs+===+telugu
Php,Intermediate,How do you prevent SQL injection in PHP?,Security,Database protection,Input sanitization,Prepared statements,A,"Use prepared statements with PDO or mysqli, never concatenate user input into SQL.",Security,https://www.php.net/manual/en/security.database.sql-injection.php,https://youtube.com/results?search_query=php+sql+injection+prevention,https://youtube.com/results?search_query=php+sql+injection+prevention+hindi,https://youtube.com/results?search_query=php+sql+injection+prevention+kannada,https://youtube.com/results?search_query=php+sql+injection+prevention+tamil,https://youtube.com/results?search_query=php+sql+injection+prevention+telugu
Php,Intermediate,Why should you use Composer for dependency management?,Package management,Dependency resolution,Autoloading,Modern PHP,A,"Composer manages dependencies, autoloading, and provides PSR compliance for modern PHP.",Dependency Management,https://getcomposer.org/,https://youtube.com/results?search_query=php+composer+importance,https://youtube.com/results?search_query=php+composer+importance+hindi,https://youtube.com/results?search_query=php+composer+importance+kannada,https://youtube.com/results?search_query=php+composer+importance+tamil,https://youtube.com/results?search_query=php+composer+importance+telugu
Php,Intermediate,When should you use sessions vs cookies in PHP?,State management,User data,Persistence duration,Security,A,"Sessions: server-side, secure, short-term; Cookies: client-side, less secure, longer-term.",Sessions & Cookies,https://www.php.net/manual/en/features.sessions.php,https://youtube.com/results?search_query=php+sessions+vs+cookies,https://youtube.com/results?search_query=php+sessions+vs+cookies+hindi,https://youtube.com/results?search_query=php+sessions+vs+cookies+kannada,https://youtube.com/results?search_query=php+sessions+vs+cookies+tamil,https://youtube.com/results?search_query=php+sessions+vs+cookies+telugu
Php,Intermediate,Where are PHP configuration settings stored?,Configuration,php.ini,Environment setup,Runtime settings,A,"php.ini file (multiple locations: system, per-directory), .htaccess, or runtime with ini_set().",Configuration,https://www.php.net/manual/en/configuration.file.php,https://youtube.com/results?search_query=php+configuration+storage,https://youtube.com/results?search_query=php+configuration+storage+hindi,https://youtube.com/results?search_query=php+configuration+storage+kannada,https://youtube.com/results?search_query=php+configuration+storage+tamil,https://youtube.com/results?search_query=php+configuration+storage+telugu
Php,Intermediate,What kind of design patterns are commonly used in PHP?,Design patterns,Architecture,SOLID principles,Reusable solutions,A,"Factory, Singleton, Observer, Strategy, Dependency Injection, Repository patterns.",Design Patterns,https://designpatternsphp.readthedocs.io/,https://youtube.com/results?search_query=php+design+patterns,https://youtube.com/results?search_query=php+design+patterns+hindi,https://youtube.com/results?search_query=php+design+patterns+kannada,https://youtube.com/results?search_query=php+design+patterns+tamil,https://youtube.com/results?search_query=php+design+patterns+telugu
Php,Intermediate,How do you handle file uploads securely in PHP?,File handling,Security,Validation,Upload limits,A,"Validate file type/size, move_uploaded_file(), store outside webroot, use random filenames.",File Handling,https://www.php.net/manual/en/features.file-upload.php,https://youtube.com/results?search_query=php+secure+file+upload,https://youtube.com/results?search_query=php+secure+file+upload+hindi,https://youtube.com/results?search_query=php+secure+file+upload+kannada,https://youtube.com/results?search_query=php+secure+file+upload+tamil,https://youtube.com/results?search_query=php+secure+file+upload+telugu
Php,Intermediate,Why is PDO preferred over mysql_* functions?,Database access,Security,Abstraction,Prepared statements,A,"PDO supports multiple databases, prepared statements, security, and is not deprecated.",Database,https://www.php.net/manual/en/book.pdo.php,https://youtube.com/results?search_query=php+pdo+advantages,https://youtube.com/results?search_query=php+pdo+advantages+hindi,https://youtube.com/results?search_query=php+pdo+advantages+kannada,https://youtube.com/results?search_query=php+pdo+advantages+tamil,https://youtube.com/results?search_query=php+pdo+advantages+telugu
Php,Intermediate,When would you use abstract classes vs interfaces?,OOP concepts,Abstraction,Contract definition,Implementation,A,Abstract classes: partial implementation + contracts; Interfaces: pure contracts only.,OOP,https://www.php.net/manual/en/language.oop5.abstract.php,https://youtube.com/results?search_query=php+abstract+vs+interface,https://youtube.com/results?search_query=php+abstract+vs+interface+hindi,https://youtube.com/results?search_query=php+abstract+vs+interface+kannada,https://youtube.com/results?search_query=php+abstract+vs+interface+tamil,https://youtube.com/results?search_query=php+abstract+vs+interface+telugu
Php,Intermediate,Where does PHP store session data by default?,Session management,Storage location,File system,Temp directory,A,"/tmp directory (session.save_path), can be configured to use database, Redis, etc.",Sessions,https://www.php.net/manual/en/session.configuration.php,https://youtube.com/results?search_query=php+session+storage,https://youtube.com/results?search_query=php+session+storage+hindi,https://youtube.com/results?search_query=php+session+storage+kannada,https://youtube.com/results?search_query=php+session+storage+tamil,https://youtube.com/results?search_query=php+session+storage+telugu
Php,Intermediate,What kind of errors does PHP have?,Error handling,Error types,Exceptions,Debugging,A,"Fatal errors, warnings, notices, deprecation warnings, parse errors, exceptions.",Error Handling,https://www.php.net/manual/en/errorfunc.constants.php,https://youtube.com/results?search_query=php+error+types,https://youtube.com/results?search_query=php+error+types+hindi,https://youtube.com/results?search_query=php+error+types+kannada,https://youtube.com/results?search_query=php+error+types+tamil,https://youtube.com/results?search_query=php+error+types+telugu
