skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Rust,Basic,What is Rust?,Introduction,Fundamentals,System programming,Rust is a multi-paradigm,systems programming language focused on safety,speed,and concurrency. It guarantees memory safety without using a garbage collector.,https://www.rust-lang.org/,https://youtube.com/results?search_query=what+is+rust+programming,https://youtube.com/results?search_query=rust+ky+hai,https://youtube.com/results?search_query=rust+ennu,https://youtube.com/results?search_query=rust+en,https://youtube.com/results?search_query=rust+enti
Rust,Basic,What are Rust's main goals?,Introduction,Philosophy,Safety,Concurrency,Speed,"Rust's main goals are memory safety, thread safety (concurrency without data races)",and zero-cost abstractions (high-level features with low-level performance).,https://www.rust-lang.org/,https://youtube.com/results?search_query=rust+goals,https://youtube.com/results?search_query=rust+ke+mukhya+lakshya,https://youtube.com/results?search_query=rust+pradhana+galu,https://youtube.com/results?search_query=rust+prathana+golum,https://youtube.com/results?search_query=rust+prathana+golum
Rust,Basic,What are the basic data types in Rust?,Data Types,Fundamentals,Primitive types,Basic types include: integers (`i32`,`u8`),"floats (`f32`, `f64`), boolean (`bool`), character (`char`)",and unit type `()`.,https://doc.rust-lang.org/book/ch03-02-data-types.html,https://youtube.com/results?search_query=rust+data+types,https://youtube.com/results?search_query=rust+me+data+types+kaun+se+hain,https://youtube.com/results?search_query=rust+data+types+hege,https://youtube.com/results?search_query=rust+data+types+epadi,https://youtube.com/results?search_query=rust+data+types+ela
Rust,Basic,What is a tuple in Rust?,Data Types,Tuple,Fixed-size collection,A tuple is a collection of values of different types with a fixed size. Created using parentheses: `let tup: (i32,f64,"u8) = (500, 6.4",1);`,https://doc.rust-lang.org/book/ch03-02-data-types.html,https://youtube.com/results?search_query=rust+tuples,https://youtube.com/results?search_query=rust+me+tuple+kya+hai,https://youtube.com/results?search_query=rust+tuples+hege,https://youtube.com/results?search_query=rust+tuples+epadi,https://youtube.com/results?search_query=rust+tuples+ela
Rust,Basic,How do you access tuple elements?,Data Types,Tuple,Destructuring,index,Use dot notation with the index: `tup.0`,"`tup.1`, etc., or destructure with pattern matching: `let (x, y",z) = tup;`,https://doc.rust-lang.org/book/ch03-02-data-types.html,https://youtube.com/results?search_query=rust+access+tuple+elements,https://youtube.com/results?search_query=rust+me+tuple+ke+element+kaise+access+kare,https://youtube.com/results?search_query=rust+access+tuple+elements+hege,https://youtube.com/results?search_query=rust+access+tuple+elements+epadi,https://youtube.com/results?search_query=rust+access+tuple+elements+ela
Rust,Basic,How do you create a vector?,Collections,Vector,Vec::new,vec!,Use `Vec::new()` for an empty vector or `vec![1,2,3]` macro for a vector with initial values.,https://doc.rust-lang.org/book/ch08-01-vectors.html,https://youtube.com/results?search_query=rust+create+vector,https://youtube.com/results?search_query=rust+me+vector+kaise+banaye,https://youtube.com/results?search_query=rust+create+vector+hege,https://youtube.com/results?search_query=rust+create+vector+epadi,https://youtube.com/results?search_query=rust+create+vector+ela
Rust,Basic,What is the `Result` enum in Rust?,Enums,Result,Ok Err,`Result<T,E>` is an enum for error handling: either `Ok(T)` (success,contains a value) or `Err(E)` (error,contains an error value).,https://doc.rust-lang.org/std/result/enum.Result.html,https://youtube.com/results?search_query=rust+result+enum,https://youtube.com/results?search_query=rust+me+result+kya+hai,https://youtube.com/results?search_query=rust+result+enum+hege,https://youtube.com/results?search_query=rust+result+enum+epadi,https://youtube.com/results?search_query=rust+result+enum+ela
Rust,Basic,What are the Fn,FnMut,and FnOnce traits?,Traits,Closures,Closure traits,"These are traits for closures: `Fn` (immutable borrow), `FnMut` (mutable borrow)",`FnOnce` (takes ownership).,https://doc.rust-lang.org/book/ch13-01-closures.html,https://youtube.com/results?search_query=rust+fn+traits,https://youtube.com/results?search_query=rust+me+Fn+FnMut+FnOnce+kya+hain,https://youtube.com/results?search_query=rust+fn+traits+hege,https://youtube.com/results?search_query=rust+fn+traits+epadi,https://youtube.com/results?search_query=rust+fn+traits+ela
Rust,Basic,What is `pub` in Rust?,Modules,Visibility,Public,`pub` makes an item (function,struct,module,etc.) public and accessible from outside its module.,https://doc.rust-lang.org/book/ch07-02-defining-modules-to-control-scope-and-privacy.html,https://youtube.com/results?search_query=rust+pub+keyword,https://youtube.com/results?search_query=rust+me+pub+kaise+use+kare,https://youtube.com/results?search_query=rust+pub+keyword+hege,https://youtube.com/results?search_query=rust+pub+keyword+epadi,https://youtube.com/results?search_query=rust+pub+keyword+ela
Rust,Basic,What is `#[derive]` attribute?,Traits,Derive,Automatic implementation,`#[derive]` automatically implements certain traits for a struct or enum,like `Debug`,"`Clone`, `Copy`",etc.,https://doc.rust-lang.org/book/appendix-03-derivable-traits.html,https://youtube.com/results?search_query=rust+derive+attribute,https://youtube.com/results?search_query=rust+me+derive+kaise+use+kare,https://youtube.com/results?search_query=rust+derive+attribute+hege,https://youtube.com/results?search_query=rust+derive+attribute+epadi,https://youtube.com/results?search_query=rust+derive+attribute+ela
Rust,Basic,What is the `PartialOrd` trait?,Traits,Ordering,Compare,`PartialOrd` enables comparison for ordering (`<`,`>`,`<=`,`>=`).,https://doc.rust-lang.org/std/cmp/trait.PartialOrd.html,https://youtube.com/results?search_query=rust+partialord+trait,https://youtube.com/results?search_query=rust+me+PartialOrd+trait+kya+hai,https://youtube.com/results?search_query=rust+partialord+trait+hege,https://youtube.com/results?search_query=rust+partialord+trait+epadi,https://youtube.com/results?search_query=rust+partialord+trait+ela
Rust,Basic,What is `std::collections`?,Collections,Modules,Standard collections,`std::collections` is a module containing common collection types: `Vec`,`HashMap`,"`HashSet`, `BTreeMap`, `LinkedList`",etc.,https://doc.rust-lang.org/std/collections/index.html,https://youtube.com/results?search_query=rust+std+collections,https://youtube.com/results?search_query=rust+me+std+collections+module+kya+hai,https://youtube.com/results?search_query=rust+std+collections+hege,https://youtube.com/results?search_query=rust+std+collections+epadi,https://youtube.com/results?search_query=rust+std+collections+ela
Rust,Basic,What is `std::cmp`?,Traits,Modules,Comparison,`std::cmp` contains comparison traits: `Eq`,`PartialEq`,`Ord`,`PartialOrd`.,https://doc.rust-lang.org/std/cmp/index.html,https://youtube.com/results?search_query=rust+std+cmp,https://youtube.com/results?search_query=rust+me+std+cmp+module+kya+hai,https://youtube.com/results?search_query=rust+std+cmp+hege,https://youtube.com/results?search_query=rust+std+cmp+epadi,https://youtube.com/results?search_query=rust+std+cmp+ela
Rust,Basic,What is `std::marker`?,Traits,Modules,Marker traits,`std::marker` contains marker traits like `Send`,`Sync`,`Copy`,`Sized`.,https://doc.rust-lang.org/std/marker/index.html,https://youtube.com/results?search_query=rust+std+marker,https://youtube.com/results?search_query=rust+me+std+marker+module+kya+hai,https://youtube.com/results?search_query=rust+std+marker+hege,https://youtube.com/results?search_query=rust+std+marker+epadi,https://youtube.com/results?search_query=rust+std+marker+ela
