skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu


Python,Intermediate,What's the difference between __init__ and __call__ for class instances?,Class design,Callable instances,Object initialization,Metaprogramming,A,__init__ initializes new instance; __call__ makes instance callable like function when invoked.,Callables,https://docs.python.org/3/reference/datamodel.html#object.__call__,https://youtube.com/results?search_query=python+init+vs+call,https://youtube.com/results?search_query=python+init+vs+call+hindi,https://youtube.com/results?search_query=python+init+vs+call+kannada,https://youtube.com/results?search_query=python+init+vs+call+tamil,https://youtube.com/results?search_query=python+init+vs+call+telugu
Python,Intermediate,How do you implement dependency injection with decorators?,Dependency injection,Decorators,Metaprogramming,Testing,A,Use decorators to inject dependencies by wrapping functions/classes and modifying their arguments.,Dependency Injection,https://github.com/ets-labs/python-dependency-injector,https://youtube.com/results?search_query=python+dependency+injection+decorators,https://youtube.com/results?search_query=python+dependency+injection+decorators+hindi,https://youtube.com/results?search_query=python+dependency+injection+decorators+kannada,https://youtube.com/results?search_query=python+dependency+injection+decorators+tamil,https://youtube.com/results?search_query=python+dependency+injection+decorators+telugu
Python,Intermediate,What are Python's context variables for context management?,Context variables,Async context,Thread-local,Context propagation,A,contextvars provide context-local storage for asynchronous code; similar to thread-local but for async.,Context Variables,https://docs.python.org/3/library/contextvars.html,https://youtube.com/results?search_query=python+contextvars,https://youtube.com/results?search_query=python+contextvars+hindi,https://youtube.com/results?search_query=python+contextvars+kannada,https://youtube.com/results?search_query=python+contextvars+tamil,https://youtube.com/results?search_query=python+contextvars+telugu
Python,Intermediate,How do you implement event notification with asyncio.Event?,Asyncio,Event synchronization,Thread coordination,Async patterns,A,asyncio.Event provides boolean flag for async coordination; set(), clear(), wait() for async notification.,Asyncio,https://docs.python.org/3/library/asyncio-sync.html#asyncio.Event,https://youtube.com/results?search_query=python+asyncio+event,https://youtube.com/results?search_query=python+asyncio+event+hindi,https://youtube.com/results?search_query=python+asyncio+event+kannada,https://youtube.com/results?search_query=python+asyncio+event+tamil,https://youtube.com/results?search_query=python+asyncio+event+telugu
Python,Intermediate,What's the difference between __get__ and property decorator?,Descriptors,Property implementation,Attribute access,Syntax sugar,A,property decorator creates descriptor object with getter/setter/deleter; __get__ is lower-level descriptor protocol.,Descriptors,https://docs.python.org/3/howto/descriptor.html#properties,https://youtube.com/results?search_query=python+get+vs+property,https://youtube.com/results?search_query=python+get+vs+property+hindi,https://youtube.com/results?search_query=python+get+vs+property+kannada,https://youtube.com/results?search_query=python+get+vs+property+tamil,https://youtube.com/results?search_query=python+get+vs+property+telugu
Python,Intermediate,How do you implement custom metaclass with multiple inheritance?,Metaclasses,Multiple inheritance,Class creation,Metaprogramming,A,Metaclass can inherit from type and other metaclasses; must ensure compatibility in inheritance hierarchy.,Metaclasses,https://docs.python.org/3/reference/datamodel.html#metaclasses,https://youtube.com/results?search_query=python+metaclass+multiple+inheritance,https://youtube.com/results?search_query=python+metaclass+multiple+inheritance+hindi,https://youtube.com/results?search_query=python+metaclass+multiple+inheritance+kannada,https://youtube.com/results?search_query=python+metaclass+multiple+inheritance+tamil,https://youtube.com/results?search_query=python+metaclass+multiple+inheritance+telugu
Python,Intermediate,What are Python's __fspath__ for path-like objects?,Path protocol,File system paths,Pathlib compatibility,Type conversion,A,__fspath__ returns string representation of path-like object; used by os.fspath() and pathlib operations.,Path Protocol,https://docs.python.org/3/library/os.html#os.PathLike,https://youtube.com/results?search_query=python+fspath+method,https://youtube.com/results?search_query=python+fspath+method+hindi,https://youtube.com/results?search_query=python+fspath+method+kannada,https://youtube.com/results?search_query=python+fspath+method+tamil,https://youtube.com/results?search_query=python+fspath+method+telugu
Python,Intermediate,How do you implement retry decorator with exponential backoff?,Decorators,Retry logic,Fault tolerance,Error handling,A,Create decorator that wraps function, catches exceptions, retries with increasing delays between attempts.,Decorators,https://github.com/jd/tenacity,https://youtube.com/results?search_query=python+retry+decorator,https://youtube.com/results?search_query=python+retry+decorator+hindi,https://youtube.com/results?search_query=python+retry+decorator+kannada,https://youtube.com/results?search_query=python+retry+decorator+tamil,https://youtube.com/results?search_query=python+retry+decorator+telugu
Python,Intermediate,What's the difference between __iter__ returning self vs separate iterator?,Iterators,Iterator protocol,State management,Reusability,A,__iter__ returning self makes class its own iterator (single-pass); separate iterator allows multiple independent iterations.,Iterators,https://docs.python.org/3/library/stdtypes.html#iterator-types,https://youtube.com/results?search_query=python+iter+return+self,https://youtube.com/results?search_query=python+iter+return+self+hindi,https://youtube.com/results?search_query=python+iter+return+self+kannada,https://youtube.com/results?search_query=python+iter+return+self+tamil,https://youtube.com/results?search_query=python+iter+return+self+telugu
Python,Intermediate,How do you implement type checking at runtime with isinstance?,Runtime type checking,Type validation,Polymorphism,Error prevention,A,Use isinstance(obj, class_or_tuple) to check object type; supports inheritance and multiple types via tuple.,Type Checking,https://docs.python.org/3/library/functions.html#isinstance,https://youtube.com/results?search_query=python+isinstance+type+checking,https://youtube.com/results?search_query=python+isinstance+type+checking+hindi,https://youtube.com/results?search_query=python+isinstance+type+checking+kannada,https://youtube.com/results?search_query=python+isinstance+type+checking+tamil,https://youtube.com/results?search_query=python+isinstance+type+checking+telugu
Python,Intermediate,What are Python's __sizeof__ for memory size estimation?,Memory management,Size estimation,Debugging,Optimization,A,__sizeof__ returns memory size in bytes; sys.getsizeof() calls it for custom objects.,Memory Management,https://docs.python.org/3/library/sys.html#sys.getsizeof,https://youtube.com/results?search_query=python+sizeof+method,https://youtube.com/results?search_query=python+sizeof+method+hindi,https://youtube.com/results?search_query=python+sizeof+method+kannada,https://youtube.com/results?search_query=python+sizeof+method+tamil,https://youtube.com/results?search_query=python+sizeof+method+telugu
Python,Intermediate,How do you implement lazy imports with __getattr__ in modules?,Module imports,Lazy loading,Dynamic imports,Performance,A,Define __getattr__ in __init__.py to import modules on-demand when attributes are accessed.,Module Importing,https://peps.python.org/pep-0562/,https://youtube.com/results?search_query=python+lazy+imports+getattr,https://youtube.com/results?search_query=python+lazy+imports+getattr+hindi,https://youtube.com/results?search_query=python+lazy+imports+getattr+kannada,https://youtube.com/results?search_query=python+lazy+imports+getattr+tamil,https://youtube.com/results?search_query=python+lazy+imports+getattr+telugu
