skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
CSS,Intermediate,How does the CSS Box Model calculate total element width?,Content + padding + border + margin,Content only,Content + padding,Content + border,A,Total width = width + padding-left + padding-right + border-left + border-right + margin-left + margin-right.,Box Model,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Box_Model/Introduction_to_the_CSS_box_model,https://youtube.com/results?search_query=css+box+model,https://youtube.com/results?search_query=css+box+model+hindi,https://youtube.com/results?search_query=css+box+model+kannada,https://youtube.com/results?search_query=css+box+model+tamil,https://youtube.com/results?search_query=css+box+model+telugu
CSS,Intermediate,Explain the purpose of the CSS 'box-sizing' property.,Controls how element width/height is calculated,Box resizing,Box alignment,Box shadow,A,box-sizing: border-box includes padding and border in element's width/height; content-box (default) excludes them.,Box Model,https://developer.mozilla.org/en-US/docs/Web/CSS/box-sizing,https://youtube.com/results?search_query=css+box+sizing,https://youtube.com/results?search_query=css+box+sizing+hindi,https://youtube.com/results?search_query=css+box+sizing+kannada,https://youtube.com/results?search_query=css+box+sizing+tamil,https://youtube.com/results?search_query=css+box+sizing+telugu
CSS,Intermediate,Describe the difference between 'position: relative' and 'position: absolute'.,Relative positions relative to itself, absolute to nearest positioned ancestor,Both same,Absolute relative to viewport,Relative to document,"A,relative positions element relative to its normal position; absolute positions relative to nearest positioned ancestor.",Positioning,https://developer.mozilla.org/en-US/docs/Web/CSS/position,https://youtube.com/results?search_query=css+position+relative+vs+absolute,https://youtube.com/results?search_query=css+position+relative+vs+absolute+hindi,https://youtube.com/results?search_query=css+position+relative+vs+absolute+kannada,https://youtube.com/results?search_query=css+position+relative+vs+absolute+tamil,https://youtube.com/results?search_query=css+position+relative+vs+absolute+telugu
CSS,Intermediate,How does CSS Specificity determine which styles are applied?,Calculates weight based on selector types,Specificity order,Last rule wins,First rule wins,A,Specificity hierarchy: inline > ID > class/attribute/pseudo-class > element/pseudo-element.,Specificity,https://developer.mozilla.org/en-US/docs/Web/CSS/Specificity,https://youtube.com/results?search_query=css+specificity,https://youtube.com/results?search_query=css+specificity+hindi,https://youtube.com/results?search_query=css+specificity+kannada,https://youtube.com/results?search_query=css+specificity+tamil,https://youtube.com/results?search_query=css+specificity+telugu
CSS,Intermediate,What is the purpose of the CSS 'z-index' property?,Controls stacking order of positioned elements,Vertical alignment,Depth index,Z-axis position,A,z-index determines element stacking order (higher values appear in front). Only works on positioned elements.,Positioning,https://developer.mozilla.org/en-US/docs/Web/CSS/z-index,https://youtube.com/results?search_query=css+z-index,https://youtube.com/results?search_query=css+z-index+hindi,https://youtube.com/results?search_query=css+z-index+kannada,https://youtube.com/results?search_query=css+z-index+tamil,https://youtube.com/results?search_query=css+z-index+telugu
CSS,Intermediate,Explain the concept of CSS Flexbox.,One-dimensional layout model for flexible items,Two-dimensional layout,Grid layout,Flexible boxes,A,Flexbox provides efficient way to distribute space and align items in a container (row or column).,Flexbox,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flexible_Box_Layout/Basic_Concepts_of_Flexbox,https://youtube.com/results?search_query=css+flexbox,https://youtube.com/results?search_query=css+flexbox+hindi,https://youtube.com/results?search_query=css+flexbox+kannada,https://youtube.com/results?search_query=css+flexbox+tamil,https://youtube.com/results?search_query=css+flexbox+telugu
CSS,Intermediate,How does 'justify-content' work in Flexbox?,Aligns items along main axis,Aligns along cross axis,Justifies text,Distributes space between,A,"justify-content aligns flex items along main axis (horizontal for row, vertical for column).",Flexbox,https://developer.mozilla.org/en-US/docs/Web/CSS/justify-content,https://youtube.com/results?search_query=css+justify+content,https://youtube.com/results?search_query=css+justify+content+hindi,https://youtube.com/results?search_query=css+justify+content+kannada,https://youtube.com/results?search_query=css+justify+content+tamil,https://youtube.com/results?search_query=css+justify+content+telugu
CSS,Intermediate,What is the purpose of 'align-items' in Flexbox?,Aligns items along cross axis,Aligns along main axis,Aligns individual items,Aligns text,A,"align-items aligns flex items along cross axis (vertical for row, horizontal for column).",Flexbox,https://developer.mozilla.org/en-US/docs/Web/CSS/align-items,https://youtube.com/results?search_query=css+align+items,https://youtube.com/results?search_query=css+align+items+hindi,https://youtube.com/results?search_query=css+align+items+kannada,https://youtube.com/results?search_query=css+align+items+tamil,https://youtube.com/results?search_query=css+align+items+telugu
CSS,Intermediate,Describe how CSS Grid differs from Flexbox.,Two-dimensional vs one-dimensional layout,Both same,Grid for 1D, Flexbox for 2D,Grid simpler,"A,Grid creates two-dimensional layouts (rows and columns); Flexbox is one-dimensional (row OR column).",Grid,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Grid_Layout,https://youtube.com/results?search_query=css+grid+vs+flexbox,https://youtube.com/results?search_query=css+grid+vs+flexbox+hindi,https://youtube.com/results?search_query=css+grid+vs+flexbox+kannada,https://youtube.com/results?search_query=css+grid+vs+flexbox+tamil,https://youtube.com/results?search_query=css+grid+vs+flexbox+telugu
CSS,Intermediate,How does 'grid-template-columns' define grid structure?,Specifies column sizes and number,Specifies rows,Specifies gaps,Specifies areas,A,"grid-template-columns defines columns in grid with sizes (px, %, fr, auto, repeat()).",Grid,https://developer.mozilla.org/en-US/docs/Web/CSS/grid-template-columns,https://youtube.com/results?search_query=css+grid+template+columns,https://youtube.com/results?search_query=css+grid+template+columns+hindi,https://youtube.com/results?search_query=css+grid+template+columns+kannada,https://youtube.com/results?search_query=css+grid+template+columns+tamil,https://youtube.com/results?search_query=css+grid+template+columns+telugu
CSS,Intermediate,What is the purpose of CSS 'fr' unit in Grid?,Fraction of available space,Fraction unit,Flexible unit,Grid unit,A,fr unit represents fraction of available space in grid container (like flex-grow).,Grid,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Grid_Layout/Basic_Concepts_of_Grid_Layout,https://youtube.com/results?search_query=css+fr+unit,https://youtube.com/results?search_query=css+fr+unit+hindi,https://youtube.com/results?search_query=css+fr+unit+kannada,https://youtube.com/results?search_query=css+fr+unit+tamil,https://youtube.com/results?search_query=css+fr+unit+telugu
CSS,Intermediate,Explain the concept of CSS BEM methodology.,Block Element Modifier naming convention,Best Element Method,Block Element Method,BEM syntax,A,"BEM (Block__Element--Modifier) creates maintainable, reusable CSS class names.",Methodology,https://getbem.com/,https://youtube.com/results?search_query=css+bem,https://youtube.com/results?search_query=css+bem+hindi,https://youtube.com/results?search_query=css+bem+kannada,https://youtube.com/results?search_query=css+bem+tamil,https://youtube.com/results?search_query=css+bem+telugu
CSS,Intermediate,How does CSS 'cascade' determine final style values?,Order, specificity, and importance,Cascade order,Importance only,"Specificity only,A,Cascade resolves conflicts based on source order, specificity, and !importance.",Cascade,https://developer.mozilla.org/en-US/docs/Web/CSS/Cascade,https://youtube.com/results?search_query=css+cascade,https://youtube.com/results?search_query=css+cascade+hindi,https://youtube.com/results?search_query=css+cascade+kannada,https://youtube.com/results?search_query=css+cascade+tamil,https://youtube.com/results?search_query=css+cascade+telugu
CSS,Intermediate,What is the purpose of CSS 'transform' property?,Applies 2D/3D transformations to elements,Transform shapes,Transform text,Transform layout,A,"transform allows rotating, scaling, skewing, or translating an element without affecting layout.",Transform,https://developer.mozilla.org/en-US/docs/Web/CSS/transform,https://youtube.com/results?search_query=css+transform,https://youtube.com/results?search_query=css+transform+hindi,https://youtube.com/results?search_query=css+transform+kannada,https://youtube.com/results?search_query=css+transform+tamil,https://youtube.com/results?search_query=css+transform+telugu
CSS,Intermediate,Describe how CSS 'transition' creates animations.,Smooth property changes over duration,Instant changes,Step transitions,Keyframe transitions,A,transition creates smooth animations between property values when they change.,Transition,https://developer.mozilla.org/en-US/docs/Web/CSS/transition,https://youtube.com/results?search_query=css+transition,https://youtube.com/results?search_query=css+transition+hindi,https://youtube.com/results?search_query=css+transition+kannada,https://youtube.com/results?search_query=css+transition+tamil,https://youtube.com/results?search_query=css+transition+telugu
CSS,Intermediate,How does CSS 'animation' differ from 'transition'?,Keyframe-based vs property-based,Both same,Animation simpler,Transition more complex,A,animation uses @keyframes for complex multi-step animations; transition animates property changes.,Animation,https://developer.mozilla.org/en-US/docs/Web/CSS/animation,https://youtube.com/results?search_query=css+animation+vs+transition,https://youtube.com/results?search_query=css+animation+vs+transition+hindi,https://youtube.com/results?search_query=css+animation+vs+transition+kannada,https://youtube.com/results?search_query=css+animation+vs+transition+tamil,https://youtube.com/results?search_query=css+animation+vs+transition+telugu
CSS,Intermediate,What is the purpose of '@keyframes' in CSS animations?,Defines animation sequence,Key frames,Animation frames,Timeline,A,@keyframes defines the styles at various points during animation (from/to or percentages).,Animation,https://developer.mozilla.org/en-US/docs/Web/CSS/@keyframes,https://youtube.com/results?search_query=css+keyframes,https://youtube.com/results?search_query=css+keyframes+hindi,https://youtube.com/results?search_query=css+keyframes+kannada,https://youtube.com/results?search_query=css+keyframes+tamil,https://youtube.com/results?search_query=css+keyframes+telugu
CSS,Intermediate,Explain the concept of CSS 'pseudo-elements'.,Style specific parts of element,Element pseudo,Pseudo classes,Fake elements,A,"Pseudo-elements (::before, ::after, ::first-line) style specific parts of element content.",Selectors,https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-elements,https://youtube.com/results?search_query=css+pseudo+elements,https://youtube.com/results?search_query=css+pseudo+elements+hindi,https://youtube.com/results?search_query=css+pseudo+elements+kannada,https://youtube.com/results?search_query=css+pseudo+elements+tamil,https://youtube.com/results?search_query=css+pseudo+elements+telugu
CSS,Intermediate,How does CSS 'pseudo-class' differ from pseudo-element?,State-based vs part-based,Both same,Pseudo-class for parts,Pseudo-element for states,A,"Pseudo-classes (:hover, :focus) select elements based on state; pseudo-elements style specific parts.",Selectors,https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes,https://youtube.com/results?search_query=css+pseudo+class+vs+element,https://youtube.com/results?search_query=css+pseudo+class+vs+element+hindi,https://youtube.com/results?search_query=css+pseudo+class+vs+element+kannada,https://youtube.com/results?search_query=css+pseudo+class+vs+element+tamil,https://youtube.com/results?search_query=css+pseudo+class+vs+element+telugu
CSS,Intermediate,What is the purpose of CSS 'calc()' function?,Perform calculations for property values,Calculate math,Compute values,Math function,A,calc() allows mathematical calculations with mixed units (width: calc(100% - 20px)).,Functions,https://developer.mozilla.org/en-US/docs/Web/CSS/calc,https://youtube.com/results?search_query=css+calc,https://youtube.com/results?search_query=css+calc+hindi,https://youtube.com/results?search_query=css+calc+kannada,https://youtube.com/results?search_query=css+calc+tamil,https://youtube.com/results?search_query=css+calc+telugu
CSS,Intermediate,Describe how CSS 'custom properties (variables)' work.,Reusable values defined with -- and used with var(),CSS variables,Custom vars,Dynamic properties,A,Custom properties: define --variable: value; use var(--variable). They cascade and are inherited.,Variables,https://developer.mozilla.org/en-US/docs/Web/CSS/Using_CSS_custom_properties,https://youtube.com/results?search_query=css+custom+properties,https://youtube.com/results?search_query=css+custom+properties+hindi,https://youtube.com/results?search_query=css+custom+properties+kannada,https://youtube.com/results?search_query=css+custom+properties+tamil,https://youtube.com/results?search_query=css+custom+properties+telugu
CSS,Intermediate,How does CSS 'media queries' enable responsive design?,Apply styles based on device characteristics,Media types,Query media,Device queries,A,"Media queries apply CSS rules when conditions (screen width, orientation, resolution) are met.",Responsive,https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries,https://youtube.com/results?search_query=css+media+queries,https://youtube.com/results?search_query=css+media+queries+hindi,https://youtube.com/results?search_query=css+media+queries+kannada,https://youtube.com/results?search_query=css+media+queries+tamil,https://youtube.com/results?search_query=css+media+queries+telugu
CSS,Intermediate,What is the purpose of CSS 'viewport units' (vw, vh)?,Relative to viewport size,Viewport width/height,Visual units,Screen units,"A,vw = 1% of viewport width, vh = 1% of viewport height. Useful for responsive sizing.",Units,https://developer.mozilla.org/en-US/docs/Web/CSS/length,https://youtube.com/results?search_query=css+viewport+units,https://youtube.com/results?search_query=css+viewport+units+hindi,https://youtube.com/results?search_query=css+viewport+units+kannada,https://youtube.com/results?search_query=css+viewport+units+tamil,https://youtube.com/results?search_query=css+viewport+units+telugu
CSS,Intermediate,Explain the concept of CSS 'rem' vs 'em' units.,Relative to root vs parent font size,Both same,rem for parent, em for root,rem for elements,"A,rem = relative to root (html) font-size; em = relative to parent element font-size.",Units,https://developer.mozilla.org/en-US/docs/Web/CSS/font-size,https://youtube.com/results?search_query=css+rem+vs+em,https://youtube.com/results?search_query=css+rem+vs+em+hindi,https://youtube.com/results?search_query=css+rem+vs+em+kannada,https://youtube.com/results?search_query=css+rem+vs+em+tamil,https://youtube.com/results?search_query=css+rem+vs+em+telugu
CSS,Intermediate,How does CSS 'clip-path' create complex shapes?,Defines visible region of element,Clip path,Cutting path,Shape path,A,"clip-path creates clipping regions (circles, polygons, SVG paths) to hide parts of element.",Clipping,https://developer.mozilla.org/en-US/docs/Web/CSS/clip-path,https://youtube.com/results?search_query=css+clip+path,https://youtube.com/results?search_query=css+clip+path+hindi,https://youtube.com/results?search_query=css+clip+path+kannada,https://youtube.com/results?search_query=css+clip+path+tamil,https://youtube.com/results?search_query=css+clip+path+telugu
CSS,Intermediate,What is the purpose of CSS 'filter' property?,Applies graphical effects like blur, brightness,Filter effects,Image filter,Visual filter,"A,filter applies effects (blur(), grayscale(), brightness(), etc.) to element's rendering.",Filter,https://developer.mozilla.org/en-US/docs/Web/CSS/filter,https://youtube.com/results?search_query=css+filter,https://youtube.com/results?search_query=css+filter+hindi,https://youtube.com/results?search_query=css+filter+kannada,https://youtube.com/results?search_query=css+filter+tamil,https://youtube.com/results?search_query=css+filter+telugu
CSS,Intermediate,Describe how CSS 'blend modes' work.,Combine colors of overlapping elements,Color blending,Mix blending,Layer blending,A,mix-blend-mode and background-blend-mode control how element colors blend with backgrounds.,Blending,https://developer.mozilla.org/en-US/docs/Web/CSS/mix-blend-mode,https://youtube.com/results?search_query=css+blend+modes,https://youtube.com/results?search_query=css+blend+modes+hindi,https://youtube.com/results?search_query=css+blend+modes+kannada,https://youtube.com/results?search_query=css+blend+modes+tamil,https://youtube.com/results?search_query=css+blend+modes+telugu
