skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
DevTools,Advanced,What's the difference between Coverage and Performance panels for JS/CSS optimization?,Resource analysis,Code optimization,Unused code,Loading performance,A,Coverage shows unused bytes per file; Performance shows runtime bottlenecks - use both for optimization.,Performance,https://developer.chrome.com/docs/devtools/coverage/,https://youtube.com/results?search_query=devtools+coverage+vs+performance,https://youtube.com/results?search_query=devtools+coverage+vs+performance+hindi,https://youtube.com/results?search_query=devtools+coverage+vs+performance+kannada,https://youtube.com/results?search_query=devtools+coverage+vs+performance+tamil,https://youtube.com/results?search_query=devtools+coverage+vs+performance+telugu
DevTools,Advanced,How do you debug Service Worker update failures using DevTools?,Service workers,Update cycles,Cache management,Offline apps,A,Use Application > Service Workers panel with "Update on reload" and inspect cache storage for conflicts.,Application,https://developer.chrome.com/docs/devtools/pwa/service-workers/,https://youtube.com/results?search_query=devtools+service+worker+debugging,https://youtube.com/results?search_query=devtools+service+worker+debugging+hindi,https://youtube.com/results?search_query=devtools+service+worker+debugging+kannada,https://youtube.com/results?search_query=devtools+service+worker+debugging+tamil,https://youtube.com/results?search_query=devtools+service+worker+debugging+telugu
DevTools,Advanced,What's the purpose of the Recorder panel for test automation?,Test recording,User flows,Automation scripts,Playback testing,A,Records user interactions as reusable scripts that can be exported to Puppeteer/Playwright for testing.,Recorder,https://developer.chrome.com/docs/devtools/recorder/,https://youtube.com/results?search_query=devtools+recorder+panel,https://youtube.com/results?search_query=devtools+recorder+panel+hindi,https://youtube.com/results?search_query=devtools+recorder+panel+kannada,https://youtube.com/results?search_query=devtools+recorder+panel+tamil,https://youtube.com/results?search_query=devtools+recorder+panel+telugu
DevTools,Advanced,How do you use Workspaces to edit and save source files directly in DevTools?,Live editing,File mapping,Source control,Real-time updates,A,Map local folders to network resources in Sources > Filesystem for direct editing and automatic saving.,Sources,https://developer.chrome.com/docs/devtools/workspaces/,https://youtube.com/results?search_query=devtools+workspaces+editing,https://youtube.com/results?search_query=devtools+workspaces+editing+hindi,https://youtube.com/results?search_query=devtools+workspaces+editing+kannada,https://youtube.com/results?search_query=devtools+workspaces+editing+tamil,https://youtube.com/results?search_query=devtools+workspaces+editing+telugu
DevTools,Advanced,What's the difference between Local Overrides and Workspaces?,Code persistence,Modification methods,Edit workflows,Custom changes,A,Local Overrides save changes to DevTools folder; Workspaces map to actual project files - use based on needs.,Sources,https://developer.chrome.com/docs/devtools/overrides/,https://youtube.com/results?search_query=devtools+overrides+vs+workspaces,https://youtube.com/results?search_query=devtools+overrides+vs+workspaces+hindi,https://youtube.com/results?search_query=devtools+overrides+vs+workspaces+kannada,https://youtube.com/results?search_query=devtools+overrides+vs+workspaces+tamil,https://youtube.com/results?search_query=devtools+overrides+vs+workspaces+telugu
DevTools,Advanced,How do you simulate poor network conditions for PWA testing?,Network throttling,Offline simulation,Connection types,Latency testing,A,Use Network panel throttle dropdown or Performance > Capture settings to simulate 2G/3G/offline conditions.,Network,https://developer.chrome.com/docs/devtools/network/throttling/,https://youtube.com/results?search_query=devtools+network+throttling,https://youtube.com/results?search_query=devtools+network+throttling+hindi,https://youtube.com/results?search_query=devtools+network+throttling+kannada,https://youtube.com/results?search_query=devtools+network+throttling+tamil,https://youtube.com/results?search_query=devtools+network+throttling+telugu
DevTools,Advanced,What's the purpose of the Lighthouse panel for Core Web Vitals?,Performance auditing,Metrics measurement,SEO optimization,User experience,A,"Generates reports on LCP, FID, CLS and provides actionable suggestions for improvement.",Lighthouse,https://developer.chrome.com/docs/lighthouse/overview/,https://youtube.com/results?search_query=devtools+lighthouse+web+vitals,https://youtube.com/results?search_query=devtools+lighthouse+web+vitals+hindi,https://youtube.com/results?search_query=devtools+lighthouse+web+vitals+kannada,https://youtube.com/results?search_query=devtools+lighthouse+web+vitals+tamil,https://youtube.com/results?search_query=devtools+lighthouse+web+vitals+telugu
DevTools,Advanced,How do you debug memory leaks using Heap Snapshots?,Memory analysis,Object retention,Garbage collection,Leak detection,A,"Take multiple heap snapshots, compare to find growing object counts, and trace retaining paths in Memory panel.",Memory,https://developer.chrome.com/docs/devtools/memory/,https://youtube.com/results?search_query=devtools+heap+snapshots+leaks,https://youtube.com/results?search_query=devtools+heap+snapshots+leaks+hindi,https://youtube.com/results?search_query=devtools+heap+snapshots+leaks+kannada,https://youtube.com/results?search_query=devtools+heap+snapshots+leaks+tamil,https://youtube.com/results?search_query=devtools+heap+snapshots+leaks+telugu
DevTools,Advanced,What's the difference between Allocation timeline and Heap snapshots?,Memory profiling,Real-time tracking,Allocation patterns,Timeline analysis,A,Allocation timeline shows real-time allocations; Snapshots show point-in-time memory - use for different analysis.,Memory,https://developer.chrome.com/docs/devtools/memory/,https://youtube.com/results?search_query=devtools+allocation+timeline+snapshots,https://youtube.com/results?search_query=devtools+allocation+timeline+snapshots+hindi,https://youtube.com/results?search_query=devtools+allocation+timeline+snapshots+kannada,https://youtube.com/results?search_query=devtools+allocation+timeline+snapshots+tamil,https://youtube.com/results?search_query=devtools+allocation+timeline+snapshots+telugu
DevTools,Advanced,How do you use the Performance monitor for real-time metrics?,Live metrics,CPU/Memory tracking,JS heap,Real-time analysis,A,"Open Performance Monitor panel to see live updates of CPU, JS heap, DOM nodes, and event listeners.",Performance,https://developer.chrome.com/docs/devtools/performance-monitor/,https://youtube.com/results?search_query=devtools+performance+monitor,https://youtube.com/results?search_query=devtools+performance+monitor+hindi,https://youtube.com/results?search_query=devtools+performance+monitor+kannada,https://youtube.com/results?search_query=devtools+performance+monitor+tamil,https://youtube.com/results?search_query=devtools+performance+monitor+telugu
