skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Linux,Basic,What is Linux?,Basics,Introduction,Operating System,Open Source,A,Linux is an open-source Unix-like operating system kernel.,Basics,https://www.linux.org/,https://youtube.com/results?search_query=what+is+linux,https://youtube.com/results?search_query=linux+kya+hai+hindi,https://youtube.com/results?search_query=linux+enu+andre+kannada,https://youtube.com/results?search_query=linux+enna+tamil,https://youtube.com/results?search_query=linux+enti+telugu
Linux,Basic,Who created Linux?,Basics,History,Linus Torvalds,Creator,A,Linus Torvalds created the Linux kernel in 1991.,Basics,https://en.wikipedia.org/wiki/Linus_Torvalds,https://youtube.com/results?search_query=who+created+linux,https://youtube.com/results?search_query=linux+kaun+banaya+hindi,https://youtube.com/results?search_query=linux+yaru+sristhisidaru+kannada,https://youtube.com/results?search_query=linux+yai+yar+seithan+tamil,https://youtube.com/results?search_query=linux+ni+evvaru+creat+chesaru+telugu
Linux,Basic,What is the Linux mascot?,Basics,General,Tux,Penguin,A,Tux the penguin is the official mascot of Linux.,Basics,https://en.wikipedia.org/wiki/Tux_(mascot),https://youtube.com/results?search_query=linux+mascot+tux,https://youtube.com/results?search_query=linux+ka+maskot+hindi,https://youtube.com/results?search_query=linux+da+masgot+kannada,https://youtube.com/results?search_query=linux+in+siragugal+tamil,https://youtube.com/results?search_query=linux+mascot+telugu
Linux,Basic,What is a Linux distribution?,Basics,Distributions,Distro,OS Variant,A,A Linux distribution (distro) is an OS made from Linux kernel + software packages.,Basics,https://distrowatch.com/,https://youtube.com/results?search_query=linux+distribution,https://youtube.com/results?search_query=linux+distribution+kya+hai+hindi,https://youtube.com/results?search_query=linux+vibhajane+andre+kannada,https://youtube.com/results?search_query=linux+pani+tamil,https://youtube.com/results?search_query=linux+distribution+telugu
Linux,Basic,Name a popular Linux distribution.,Basics,Distributions,Ubuntu,Examples,A,Ubuntu, Fedora, Debian, CentOS, etc.,Basics,https://ubuntu.com/,https://youtube.com/results?search_query=popular+linux+distributions,https://youtube.com/results?search_query=prasiddh+linux+distribution+hindi,https://youtube.com/results?search_query=prasiddha+linux+vibhajana+galu+kannada,https://youtube.com/results?search_query=palavigalana+linux+panigal+tamil,https://youtube.com/results?search_query=prasiddhamaina+linux+distributions+telugu
Linux,Basic,What is the terminal in Linux?,Basics,CLI,Terminal,Command Line,A,A text-based interface to interact with the Linux system using commands.,Basics,https://help.ubuntu.com/community/UsingTheTerminal,https://youtube.com/results?search_query=linux+terminal,https://youtube.com/results?search_query=linux+terminal+kya+hai+hindi,https://youtube.com/results?search_query=linux+terminal+enu+kannada,https://youtube.com/results?search_query=linux+terminal+enna+tamil,https://youtube.com/results?search_query=linux+terminal+telugu
Linux,Basic,What is a shell in Linux?,Basics,Shell,Bash,Command Interpreter,A,A shell is a command-line interpreter that executes user commands.,Basics,https://www.gnu.org/software/bash/,https://youtube.com/results?search_query=linux+shell,https://youtube.com/results?search_query=linux+shell+kya+hai+hindi,https://youtube.com/results?search_query=shell+enu+andre+kannada,https://youtube.com/results?search_query=shell+enna+tamil,https://youtube.com/results?search_query=linux+shell+telugu
Linux,Basic,What is the most common Linux shell?,Basics,Shell,Bash,Default Shell,A,Bash (Bourne Again SHell) is the most common default shell.,Basics,https://www.gnu.org/software/bash/,https://youtube.com/results?search_query=bash+shell+linux,https://youtube.com/results?search_query=common+linux+shell+hindi,https://youtube.com/results?search_query=sadharanavada+linux+shell+kannada,https://youtube.com/results?search_query=parivulagiya+linux+shell+tamil,https://youtube.com/results?search_query=common+linux+shell+telugu
Linux,Basic,What is the root user?,Basics,Users,Root,Superuser,A,The root user is the superuser with administrative privileges.,Basics,https://www.linux.com/training-tutorials/linux-filesystem-explained/,https://youtube.com/results?search_query=linux+root+user,https://youtube.com/results?search_query=root+user+linux+hindi,https://youtube.com/results?search_query=root+user+andre+kannada,https://youtube.com/results?search_query=root+payanalar+tamil,https://youtube.com/results?search_query=linux+root+user+telugu
Linux,Basic,What does "sudo" stand for?,Basics,Commands,sudo,Superuser Do,A,SuperUser DO - allows users to run commands with root privileges.,Basics,https://www.sudo.ws/,https://youtube.com/results?search_query=sudo+meaning+linux,https://youtube.com/results?search_query=sudo+full+form+hindi,https://youtube.com/results?search_query=sduo+full+form+kannada,https://youtube.com/results?search_query=sduo+porul+tamil,https://youtube.com/results?search_query=sduo+full+form+telugu
Linux,Basic,How to check current directory?,Basics,Commands,pwd,Directory,A,pwd (Print Working Directory) shows the current directory path.,Basics,https://man7.org/linux/man-pages/man1/pwd.1.html,https://youtube.com/results?search_query=pwd+command+linux,https://youtube.com/results?search_query=pwd+command+hindi,https://youtube.com/results?search_query=pwd+command+kannada,https://youtube.com/results?search_query=pwd+command+tamil,https://youtube.com/results?search_query=pwd+command+telugu
Linux,Basic,How to list files in a directory?,Basics,Commands,ls,Listing,A,ls lists files and directories in the current folder.,Basics,https://man7.org/linux/man-pages/man1/ls.1.html,https://youtube.com/results?search_query=ls+command+linux,https://youtube.com/results?search_query=ls+command+hindi,https://youtube.com/results?search_query=ls+command+kannada,https://youtube.com/results?search_query=ls+command+tamil,https://youtube.com/results?search_query=ls+command+telugu
