skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Ansible,Intermediate,"What is the recommended directory structure for an Ansible role?","tasks/, handlers/, vars/, defaults/, meta/, templates/, files/","playbooks/, roles/, inventory/","tasks/, vars/, files/","roles/, tasks/, handlers/",A,"A standard role includes directories: tasks, handlers, vars, defaults, meta, templates, files.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html#role-directory-structure,https://youtube.com/results?search_query=ansible+role+structure,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is the purpose of the `meta/main.yml` file in a role?","To define role dependencies and galaxy metadata","To store main tasks","To define variables","To list handlers",A,"`meta/main.yml` contains role metadata including dependencies, author, license, and supported platforms.",https://docs.ansible.com/ansible/latest/galaxy/creating_role.html#role-metadata,https://youtube.com/results?search_query=ansible+role+meta,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How can you use a role conditionally in a playbook?","By using `when` at the role level","By including the role under `tasks` with `when`","By using `role: name, when: condition` syntax","All of the above",D,"Roles can be conditionally applied using `when` directly in the roles section or by including them with `include_role`/`import_role` and conditionals.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html#using-roles-conditionally,https://youtube.com/results?search_query=ansible+roles+conditional,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is the difference between `include_role` and `import_role`?","`include_role` is dynamic, `import_role` is static","`import_role` is dynamic, `include_role` is static","They are synonyms","`include_role` is for tasks, `import_role` for plays",A,"`include_role` is processed at runtime (dynamic), while `import_role` is pre-processed (static) like `roles` keyword.",https://docs.ansible.com/ansible/latest/collections/ansible/builtin/include_role_module.html,https://youtube.com/results?search_query=ansible+include_role+vs+import_role,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How can you pass variables to a role when using `import_role`?","Using `vars` keyword","Using `with_items`","Using `role` parameter with `var`","Using `args`",A,"Both `include_role` and `import_role` accept a `vars` keyword to pass variables to the role.",https://docs.ansible.com/ansible/latest/collections/ansible/builtin/import_role_module.html,https://youtube.com/results?search_query=ansible+role+variables,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is the purpose of `ansible-galaxy` command?","To create, install, and manage roles and collections","To run playbooks","To encrypt files","To test inventory",A,"`ansible-galaxy` is used to interact with Ansible Galaxy, including role creation, installation, and management.",https://docs.ansible.com/ansible/latest/galaxy/index.html,https://youtube.com/results?search_query=ansible+galaxy,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How do you install a role from Ansible Galaxy?","ansible-galaxy install username.role_name","ansible install username.role_name","ansible-role get username.role_name","ansible-galaxy get username.role_name",A,"`ansible-galaxy install` downloads and installs roles from Galaxy or a Git repository.",https://docs.ansible.com/ansible/latest/galaxy/installing_role.html,https://youtube.com/results?search_query=ansible+galaxy+install,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is a collection in Ansible?","A distribution format for roles, modules, and plugins","A group of hosts","A type of inventory","A playbook",A,"Collections are a distribution format for Ansible content, including roles, modules, and plugins.",https://docs.ansible.com/ansible/latest/collections_guide/index.html,https://youtube.com/results?search_query=ansible+collections,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How do you list installed roles?","ansible-galaxy list","ansible list-roles","ansible-roles list","ansible-galaxy roles",A,"`ansible-galaxy list` shows installed roles and their paths.",https://docs.ansible.com/ansible/latest/cli/ansible-galaxy.html#ansible-galaxy-list,https://youtube.com/results?search_query=ansible+galaxy+list,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is the purpose of `defaults/main.yml` in a role?","To define default variables with lowest precedence","To define required variables","To store secrets","To list dependencies",A,"Variables in `defaults/main.yml` have the lowest precedence and are easily overridden.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html#role-default-variables,https://youtube.com/results?search_query=ansible+role+defaults,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How do you create a new role with ansible-galaxy?","ansible-galaxy init role_name","ansible-galaxy new role_name","ansible create role role_name","ansible role init role_name",A,"`ansible-galaxy init` creates a skeleton role with the standard directory structure.",https://docs.ansible.com/ansible/latest/galaxy/dev_guide.html#creating-roles,https://youtube.com/results?search_query=ansible+galaxy+init,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"What is the difference between `vars` and `defaults` in a role?","`vars` have higher precedence than `defaults`","`defaults` have higher precedence than `vars`","They are the same","`vars` are for tasks only",A,"`vars` (in vars/main.yml) override `defaults` and have higher precedence.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_variables.html#variable-precedence,https://youtube.com/results?search_query=ansible+variable+precedence,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
Ansible,Intermediate,"How can you conditionally include a role based on a variable?","Using `include_role` with `when`","Using `roles` section with `when`","Using `import_role` with `when`","All of the above",D,"All methods support `when` for conditional inclusion.",https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html#using-roles-conditionally,https://youtube.com/results?search_query=ansible+roles+conditional,https://youtube.com/results?search_query=ansible+hindi,https://youtube.com/results?search_query=ansible+kannada,https://youtube.com/results?search_query=ansible+tamil,https://youtube.com/results?search_query=ansible+telugu
