skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
JavaScript,Intermediate,What is the difference between classList and className?,DOM,Classes,Manipulation,A,className: string of classes; classList: DOMTokenList with add()," remove(), toggle(), contains().",DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/classList,https://youtube.com/results?search_query=javascript+classlist+vs+classname,https://youtube.com/results?search_query=javascript+classlist+vs+classname+hindi,https://youtube.com/results?search_query=javascript+classlist+vs+classname+kannada,https://youtube.com/results?search_query=javascript+classlist+vs+classname+tamil,https://youtube.com/results?search_query=javascript+classlist+vs+classname+telugu
JavaScript,Intermediate,What is the difference between addEventListener and onclick?,Events,Handling,Methods,A,addEventListener(): multiple handlers; onclick: single handler, HTML attribute.,Events,https://developer.mozilla.org/en-US/docs/Web/API/EventTarget/addEventListener,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+hindi,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+kannada,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+tamil,https://youtube.com/results?search_query=javascript+addeventlistener+vs+onclick+telugu
JavaScript,Intermediate,What is the difference between keydown, keypress, and keyup?,Events,Keyboard,Timing,"A,keydown: key pressed; keypress: character input (deprecated); keyup: key released.",Events,https://developer.mozilla.org/en-US/docs/Web/API/Element/keydown_event,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+hindi,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+kannada,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+tamil,https://youtube.com/results?search_query=javascript+keydown+keypress+keyup+telugu
JavaScript,Intermediate,What is the difference between clientHeight, offsetHeight, and scrollHeight?,DOM,Dimensions,Measurements,"A,clientHeight: visible content + padding; offsetHeight: content + padding + border + scrollbar; scrollHeight: entire content.",DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/clientHeight,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+hindi,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+kannada,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+tamil,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+telugu
JavaScript,Intermediate,What is the difference between clientX/Y, pageX/Y, and screenX/Y?,Events,Mouse,Coordinates,"A,clientX/Y: relative to viewport; pageX/Y: relative to document; screenX/Y: relative to screen.",Events,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/clientX,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+hindi,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+kannada,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+tamil,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+telugu
JavaScript,Intermediate,What is the difference between Element and Node in DOM?,DOM,Types,Hierarchy,A,Node: base type; Element: Node with tag name; all Elements are Nodes, not vice versa.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node,https://youtube.com/results?search_query=javascript+element+vs+node,https://youtube.com/results?search_query=javascript+element+vs+node+hindi,https://youtube.com/results?search_query=javascript+element+vs+node+kannada,https://youtube.com/results?search_query=javascript+element+vs+node+tamil,https://youtube.com/results?search_query=javascript+element+vs+node+telugu
JavaScript,Intermediate,What is the difference between insertBefore and after/before methods?,DOM,Insertion,Methods,A,insertBefore(): inserts node before reference; after()/before(): newer methods, more intuitive.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/insertBefore,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+hindi,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+kannada,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+tamil,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+telugu
JavaScript,Intermediate,What is the difference between replaceChild and replaceWith?,DOM,Replacement,Methods,A,replaceChild(): old method; replaceWith(): newer, simpler method.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/ChildNode/replaceWith,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+hindi,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+kannada,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+tamil,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+telugu
JavaScript,Intermediate,What is the difference between window.performance.now and Date.now?,Web API,Performance,Timing,A,performance.now(): high-resolution," monotonic clock; Date.now(): system time, can be adjusted.",Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Performance/now,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+hindi,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+kannada,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+tamil,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+telugu
JavaScript,Intermediate,What is the difference between console.log, console.dir, and console.table?,Debugging,Console,Methods,"A,log(): general output; dir(): interactive listing; table(): tabular data.",Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console,https://youtube.com/results?search_query=javascript+console+log+dir+table,https://youtube.com/results?search_query=javascript+console+log+dir+table+hindi,https://youtube.com/results?search_query=javascript+console+log+dir+table+kannada,https://youtube.com/results?search_query=javascript+console+log+dir+table+tamil,https://youtube.com/results?search_query=javascript+console+log+dir+table+telugu
