skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
PostgreSQL,Advanced,How does PostgreSQL's vacuum process manage dead tuples?,Maintenance,VACUUM,Storage,VACUUM marks dead tuples as reusable space, updates visibility map, freezes old transaction IDs, and prevents transaction ID wraparound.,https://www.postgresql.org/docs/current/routine-vacuuming.html,https://youtube.com/results?search_query=postgresql+vacuum+process,https://youtube.com/results?search_query=postgresql+vacuum+hindi,https://youtube.com/results?search_query=postgresql+vacuum+kannada,https://youtube.com/results?search_query=postgresql+vacuum+tamil,https://youtube.com/results?search_query=postgresql+vacuum+telugu
PostgreSQL,Advanced,How does parallel query execution work in PostgreSQL?,Performance,Parallel Query,Execution,PostgreSQL breaks queries into worker processes that execute portions concurrently, coordinated by a leader process," for scans, joins", and aggregates.,https://www.postgresql.org/docs/current/parallel-query.html,https://youtube.com/results?search_query=postgresql+parallel+query,https://youtube.com/results?search_query=postgresql+parallel+hindi,https://youtube.com/results?search_query=postgresql+parallel+kannada,https://youtube.com/results?search_query=postgresql+parallel+tamil,https://youtube.com/results?search_query=postgresql+parallel+telugu
PostgreSQL,Advanced,How does PostgreSQL implement full-text search with ranking and highlighting?,Full-Text Search,tsvector,tsquery,Use to_tsvector() to convert text, to_tsquery() for search terms, ts_rank() for relevance scoring, and ts_headline() for highlighting.,https://www.postgresql.org/docs/current/textsearch-controls.html,https://youtube.com/results?search_query=postgresql+full+text+search,https://youtube.com/results?search_query=postgresql+FTS+hindi,https://youtube.com/results?search_query=postgresql+FTS+kannada,https://youtube.com/results?search_query=postgresql+FTS+tamil,https://youtube.com/results?search_query=postgresql+FTS+telugu
PostgreSQL,Advanced,When should you use recursive queries (WITH RECURSIVE) in PostgreSQL?,Queries,Recursive CTE,Hierarchical,Use for hierarchical data (trees, graphs), bill-of-materials, or any problem requiring iteration until condition met.,https://www.postgresql.org/docs/current/queries-with.html,https://youtube.com/results?search_query=postgresql+recursive+queries,https://youtube.com/results?search_query=postgresql+recursive+hindi,https://youtube.com/results?search_query=postgresql+recursive+kannada,https://youtube.com/results?search_query=postgresql+recursive+tamil,https://youtube.com/results?search_query=postgresql+recursive+telugu
PostgreSQL,Advanced,How does PostgreSQL's query planner handle join ordering and optimization?,Optimization,Join Ordering,Planner,Planner uses dynamic programming or genetic algorithm to evaluate join permutations, considering selectivity, cost, and available indexes.,https://www.postgresql.org/docs/current/planner-optimizer.html,https://youtube.com/results?search_query=postgresql+join+ordering,https://youtube.com/results?search_query=postgresql+join+hindi,https://youtube.com/results?search_query=postgresql+join+kannada,https://youtube.com/results?search_query=postgresql+join+tamil,https://youtube.com/results?search_query=postgresql+join+telugu
PostgreSQL,Advanced,How do you implement database change management with migration tools?,DevOps,Migrations,Versioning,Use tools like Flyway, Liquibase, or sqitch to manage incremental, versioned schema changes with rollback capabilities.,https://www.postgresql.org/docs/current/sql-altertable.html,https://youtube.com/results?search_query=postgresql+database+migrations,https://youtube.com/results?search_query=postgresql+migrations+hindi,https://youtube.com/results?search_query=postgresql+migrations+kannada,https://youtube.com/results?search_query=postgresql+migrations+tamil,https://youtube.com/results?search_query=postgresql+migrations+telugu
PostgreSQL,Advanced,What are the performance characteristics of different join algorithms in PostgreSQL?,Optimization,Join Algorithms,Nested Loop,PostgreSQL uses nested loop (small tables), hash join (larger, no indexes), merge join (sorted inputs) based on data characteristics.,https://www.postgresql.org/docs/current/planner-optimizer.html,https://youtube.com/results?search_query=postgresql+join+algorithms,https://youtube.com/results?search_query=postgresql+joins+hindi,https://youtube.com/results?search_query=postgresql+joins+kannada,https://youtube.com/results?search_query=postgresql+joins+tamil,https://youtube.com/results?search_query=postgresql+joins+telugu
PostgreSQL,Advanced,When should you use PostgreSQL's range types for temporal data?,Data Types,Range Types,Temporal,Use range types (tsrange, daterange) for storing periods with built-in operators for containment, overlap, and intersection queries.,https://www.postgresql.org/docs/current/rangetypes.html,https://youtube.com/results?search_query=postgresql+range+types,https://youtube.com/results?search_query=postgresql+range+hindi,https://youtube.com/results?search_query=postgresql+range+kannada,https://youtube.com/results?search_query=postgresql+range+tamil,https://youtube.com/results?search_query=postgresql+range+telugu
PostgreSQL,Advanced,When should you use PostgreSQL's geometric data types and operators?,Data Types,Geometric,GIS,Use geometric types (point, line, circle) and operators for computational geometry within database, complementing PostGIS for advanced GIS.,https://www.postgresql.org/docs/current/datatype-geometric.html,https://youtube.com/results?search_query=postgresql+geometric+types,https://youtube.com/results?search_query=postgresql+geometric+hindi,https://youtube.com/results?search_query=postgresql+geometric+kannada,https://youtube.com/results?search_query=postgresql+geometric+tamil,https://youtube.com/results?search_query=postgresql+geometric+telugu
PostgreSQL,Advanced,When should you use PostgreSQL's network address types (inet, cidr) vs text storage?,Data Types,Network Addresses,inet,Use inet/cidr for IP address validation, network operations, and efficient storage; text for non-IP network identifiers.,https://www.postgresql.org/docs/current/datatype-net-types.html,https://youtube.com/results?search_query=postgresql+network+types,https://youtube.com/results?search_query=postgresql+network+hindi,https://youtube.com/results?search_query=postgresql+network+kannada,https://youtube.com/results?search_query=postgresql+network+tamil,https://youtube.com/results?search_query=postgresql+network+telugu
