skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Azure,Advanced,What is Azure Front Door?,Application delivery network,CDN service,Load balancer,VPN gateway,A,Azure Front Door is a global entry point providing secure app delivery with intelligent routing.,Networking,https://learn.microsoft.com/en-us/azure/frontdoor/,https://youtube.com/results?search_query=azure+front+door,https://youtube.com/results?search_query=azure+front+door+hindi,https://youtube.com/results?search_query=azure+front+door+kannada,https://youtube.com/results?search_query=azure+front+door+tamil,https://youtube.com/results?search_query=azure+front+door+telugu
Azure,Advanced,What is Azure Service Fabric?,Microservices platform,Container orchestrator,Serverless platform,VM manager,A,Service Fabric is a distributed systems platform for packaging and managing microservices.,Compute,https://learn.microsoft.com/en-us/azure/service-fabric/,https://youtube.com/results?search_query=azure+service+fabric,https://youtube.com/results?search_query=azure+service+fabric+hindi,https://youtube.com/results?search_query=azure+service+fabric+kannada,https://youtube.com/results?search_query=azure+service+fabric+tamil,https://youtube.com/results?search_query=azure+service+fabric+telugu
Azure,Advanced,What is Azure Firewall?,Stateful firewall service,Network ACL,Web application firewall,Proxy server,A,"Azure Firewall is a managed, cloud-native firewall service with built-in high availability.",Security,https://learn.microsoft.com/en-us/azure/firewall/,https://youtube.com/results?search_query=azure+firewall,https://youtube.com/results?search_query=azure+firewall+hindi,https://youtube.com/results?search_query=azure+firewall+kannada,https://youtube.com/results?search_query=azure+firewall+tamil,https://youtube.com/results?search_query=azure+firewall+telugu
Azure,Advanced,What is Azure Firewall Manager?,Central firewall management,Security policy manager,Firewall deployment,Traffic analyzer,A,Firewall Manager provides central security policy and route management for cloud-based security perimeters.,Security,https://learn.microsoft.com/en-us/azure/firewall-manager/,https://youtube.com/results?search_query=azure+firewall+manager,https://youtube.com/results?search_query=azure+firewall+manager+hindi,https://youtube.com/results?search_query=azure+firewall+manager+kannada,https://youtube.com/results?search_query=azure+firewall+manager+tamil,https://youtube.com/results?search_query=azure+firewall+manager+telugu
Azure,Advanced,What is Azure Key Vault?,Secret management service,Password vault,Encryption service,Access manager,A,Key Vault safeguards cryptographic keys and secrets used by cloud applications and services.,Security,https://learn.microsoft.com/en-us/azure/key-vault/,https://youtube.com/results?search_query=azure+key+vault,https://youtube.com/results?search_query=azure+key+vault+hindi,https://youtube.com/results?search_query=azure+key+vault+kannada,https://youtube.com/results?search_query=azure+key+vault+tamil,https://youtube.com/results?search_query=azure+key+vault+telugu
Azure,Advanced,What is Azure Security Center?,Unified security management,Security monitoring,Vulnerability scanner,Compliance checker,A,Security Center provides advanced threat protection across hybrid workloads in Azure.,Security,https://learn.microsoft.com/en-us/azure/security-center/,https://youtube.com/results?search_query=azure+security+center,https://youtube.com/results?search_query=azure+security+center+hindi,https://youtube.com/results?search_query=azure+security+center+kannada,https://youtube.com/results?search_query=azure+security+center+tamil,https://youtube.com/results?search_query=azure+security+center+telugu
Azure,Advanced,What is Azure Sentinel?,Cloud-native SIEM,Log aggregator,Threat detection,Incident response,A,"Sentinel is a scalable, cloud-native SIEM and SOAR solution providing intelligent security analytics.",Security,https://learn.microsoft.com/en-us/azure/sentinel/,https://youtube.com/results?search_query=azure+sentinel,https://youtube.com/results?search_query=azure+sentinel+hindi,https://youtube.com/results?search_query=azure+sentinel+kannada,https://youtube.com/results?search_query=azure+sentinel+tamil,https://youtube.com/results?search_query=azure+sentinel+telugu
Azure,Advanced,What is Azure Active Directory?,Cloud identity service,Directory service,Single sign-on,Access management,A,Azure AD is Microsoft's cloud-based identity and access management service.,Identity,https://learn.microsoft.com/en-us/azure/active-directory/,https://youtube.com/results?search_query=azure+active+directory,https://youtube.com/results?search_query=azure+active+directory+hindi,https://youtube.com/results?search_query=azure+active+directory+kannada,https://youtube.com/results?search_query=azure+active+directory+tamil,https://youtube.com/results?search_query=azure+active+directory+telugu
Azure,Advanced,What is Azure Blueprints?,Governance artifacts,Policy templates,Deployment templates,Security standards,A,Blueprints enable organizations to define repeatable sets of Azure resources that implement governance requirements.,Governance,https://learn.microsoft.com/en-us/azure/governance/blueprints/,https://youtube.com/results?search_query=azure+blueprints,https://youtube.com/results?search_query=azure+blueprints+hindi,https://youtube.com/results?search_query=azure+blueprints+kannada,https://youtube.com/results?search_query=azure+blueprints+tamil,https://youtube.com/results?search_query=azure+blueprints+telugu
Azure,Advanced,What is Azure Cloud Shell?,Browser-based shell,Command line interface,Cloud terminal,SSH client,A,"Cloud Shell is an interactive, authenticated, browser-accessible shell for managing Azure resources.",Management,https://learn.microsoft.com/en-us/azure/cloud-shell/,https://youtube.com/results?search_query=azure+cloud+shell,https://youtube.com/results?search_query=azure+cloud+shell+hindi,https://youtube.com/results?search_query=azure+cloud+shell+kannada,https://youtube.com/results?search_query=azure+cloud+shell+tamil,https://youtube.com/results?search_query=azure+cloud+shell+telugu
