skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Docker,beginner,What is a Docker container?,Containers,Process isolation,Runtime environment,A,A Docker container is a lightweight,"standalone, executable package that includes everything needed to run an application.",Containers,https://docs.docker.com/get-started/overview/,https://youtube.com/results?search_query=docker+container,https://youtube.com/results?search_query=docker+container+hindi,https://youtube.com/results?search_query=docker+container+kannada,https://youtube.com/results?search_query=docker+container+tamil,https://youtube.com/results?search_query=docker+container+telugu
Docker,beginner,What is the docker-compose.yml file?,Compose file,Configuration,YAML definition,A,docker-compose.yml is a YAML file that defines services,"networks, and volumes for Docker Compose.",Docker Compose,https://docs.docker.com/compose/compose-file/,https://youtube.com/results?search_query=docker+compose+yml,https://youtube.com/results?search_query=docker+compose+yml+hindi,https://youtube.com/results?search_query=docker+compose+yml+kannada,https://youtube.com/results?search_query=docker+compose+yml+tamil,https://youtube.com/results?search_query=docker+compose+yml+telugu
Docker,beginner,What is the difference between COPY and ADD in Dockerfile?,File instructions,Comparison,Build commands,A,COPY only copies files,while ADD can also handle URLs and extract tar files.,Dockerfile,https://docs.docker.com/engine/reference/builder/#add,https://youtube.com/results?search_query=docker+copy+vs+add,https://youtube.com/results?search_query=docker+copy+vs+add+hindi,https://youtube.com/results?search_query=docker+copy+vs+add+kannada,https://youtube.com/results?search_query=docker+copy+vs+add+tamil,https://youtube.com/results?search_query=docker+copy+vs+add+telugu
Docker,beginner,What is the difference between CMD and ENTRYPOINT?,Command instructions,Comparison,Startup commands,A,CMD sets default commands that can be overridden,ENTRYPOINT sets main command that always runs.,Dockerfile,https://docs.docker.com/engine/reference/builder/#understand-how-cmd-and-entrypoint-interact,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+hindi,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+kannada,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+tamil,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+telugu
Docker,beginner,What is Docker's official image repository?,Official images,Verified images,A,Docker Hub's Official Images are curated,secure,and maintained by Docker.,Docker Hub,https://hub.docker.com/search?q=&type=image&image_filter=official,https://youtube.com/results?search_query=docker+official+images,https://youtube.com/results?search_query=docker+official+images+hindi,https://youtube.com/results?search_query=docker+official+images+kannada,https://youtube.com/results?search_query=docker+official+images+tamil,https://youtube.com/results?search_query=docker+official+images+telugu
Docker,beginner,What are Docker container restart policies?,Restart policies,Recovery options,A,always,unless-stopped,"on-failure, no (default).",Containers,https://docs.docker.com/engine/reference/commandline/run/#restart-policies---restart,https://youtube.com/results?search_query=docker+restart+policies,https://youtube.com/results?search_query=docker+restart+policies+hindi,https://youtube.com/results?search_query=docker+restart+policies+kannada,https://youtube.com/results?search_query=docker+restart+policies+tamil,https://youtube.com/results?search_query=docker+restart+policies+telugu
Docker,beginner,What is Docker's layered filesystem?,Layers,Image structure,Union filesystem,A,Docker uses a layered filesystem where each instruction creates a new layer,enabling efficient storage.,Images,https://docs.docker.com/storage/storagedriver/,https://youtube.com/results?search_query=docker+layered+filesystem,https://youtube.com/results?search_query=docker+layered+filesystem+hindi,https://youtube.com/results?search_query=docker+layered+filesystem+kannada,https://youtube.com/results?search_query=docker+layered+filesystem+tamil,https://youtube.com/results?search_query=docker+layered+filesystem+telugu


Docker,beginner,What command shows all running containers?,docker ps,docker list,docker show containers,docker running,A,docker ps lists running containers (docker ps -a shows all).,Containers,https://docs.docker.com/engine/reference/commandline/ps/,https://youtube.com/results?search_query=docker+ps,https://youtube.com/results?search_query=docker+ps+hindi,https://youtube.com/results?search_query=docker+ps+kannada,https://youtube.com/results?search_query=docker+ps+tamil,https://youtube.com/results?search_query=docker+ps+telugu
