skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Redis,Intermediate,What is the difference between PTTL and TTL commands?,Commands,Keys,PTTL,TTL,milliseconds,TTL returns the remaining time to live in seconds. PTTL returns it in milliseconds, providing finer granularity.,https://redis.io/docs/latest/commands/pttl/,https://youtube.com/results?search_query=redis+pttl+vs+ttl,https://youtube.com/results?search_query=redis+pttl+vs+ttl+hindi,https://youtube.com/results?search_query=redis+pttl+vs+ttl+kannada,https://youtube.com/results?search_query=redis+pttl+vs+ttl+tamil,https://youtube.com/results?search_query=redis+pttl+vs+ttl+telugu
Redis,Intermediate,How can you use Redis to implement a sliding window rate limiter?,Architecture,Patterns,rate limiting,sliding window,sorted set,"Use a sorted set with timestamps as scores. For each request, add current timestamp, remove old timestamps with ZREMRANGEBYSCORE", and count remaining entries with ZCARD.,https://redis.io/docs/management/patterns/rate-limiting/,https://youtube.com/results?search_query=redis+sliding+window+rate+limiter,https://youtube.com/results?search_query=redis+sliding+window+rate+limiter+hindi,https://youtube.com/results?search_query=redis+sliding+window+rate+limiter+kannada,https://youtube.com/results?search_query=redis+sliding+window+rate+limiter+tamil,https://youtube.com/results?search_query=redis+sliding+window+rate+limiter+telugu
Redis,Intermediate,What is the purpose of the 'cluster-require-full-coverage' configuration in Redis Cluster?,Fundamentals,Clustering,cluster-require-full-coverage,availability,When set to 'yes', the cluster stops accepting writes if any hash slot is uncovered (no serving node). When 'no', the cluster still serves requests for covered slots.,https://redis.io/docs/management/scaling/,https://youtube.com/results?search_query=redis+cluster-require-full-coverage,https://youtube.com/results?search_query=redis+cluster-require-full-coverage+hindi,https://youtube.com/results?search_query=redis+cluster-require-full-coverage+kannada,https://youtube.com/results?search_query=redis+cluster-require-full-coverage+tamil,https://youtube.com/results?search_query=redis+cluster-require-full-coverage+telugu
Redis,Intermediate,Explain the XACK command in Redis Streams.,Commands,Streams,XACK,acknowledgment,consumer group,XACK marks a pending message as successfully processed within a consumer group, removing it from the Pending Entries List (PEL).,https://redis.io/docs/latest/commands/xack/,https://youtube.com/results?search_query=redis+xack,https://youtube.com/results?search_query=redis+xack+hindi,https://youtube.com/results?search_query=redis+xack+kannada,https://youtube.com/results?search_query=redis+xack+tamil,https://youtube.com/results?search_query=redis+xack+telugu
Redis,Intermediate,How can you use Redis to implement a job queue with retries?,Architecture,Messaging,job queue,retries,sorted set,Use a sorted set with the next retry timestamp as the score. Workers ZRANGEBYSCORE with 0 < current_timestamp to get due jobs. On failure, re-add with new future timestamp.,https://redis.io/docs/manual/patterns/priority-queue/,https://youtube.com/results?search_query=redis+job+queue+retries,https://youtube.com/results?search_query=redis+job+queue+retries+hindi,https://youtube.com/results?search_query=redis+job+queue+retries+kannada,https://youtube.com/results?search_query=redis+job+queue+retries+tamil,https://youtube.com/results?search_query=redis+job+queue+retries+telugu
Redis,Intermediate,Explain how to use Redis for real-time analytics with HyperLogLog.,Data Structures,HyperLogLog,analytics,unique counts,PFADD,"Use PFADD to add events to HyperLogLogs (e.g., one per day). Use PFCOUNT to get unique counts and PFMERGE to combine periods (e.g.", weekly unique users).,https://redis.io/docs/data-types/hyperloglogs/,https://youtube.com/results?search_query=redis+hyperloglog+analytics,https://youtube.com/results?search_query=redis+hyperloglog+analytics+hindi,https://youtube.com/results?search_query=redis+hyperloglog+analytics+kannada,https://youtube.com/results?search_query=redis+hyperloglog+analytics+tamil,https://youtube.com/results?search_query=redis+hyperloglog+analytics+telugu
Redis,Intermediate,What is the purpose of the XTRIM command in Redis Streams?,Commands,Streams,XTRIM,eviction,maxlen,XTRIM evicts old entries from a stream based on a specified strategy, such as keeping only a maximum number of entries (MAXLEN) or entries older than a certain ID.,https://redis.io/docs/latest/commands/xtrim/,https://youtube.com/results?search_query=redis+xtrim,https://youtube.com/results?search_query=redis+xtrim+hindi,https://youtube.com/results?search_query=redis+xtrim+kannada,https://youtube.com/results?search_query=redis+xtrim+tamil,https://youtube.com/results?search_query=redis+xtrim+telugu
Redis,Intermediate,How can you monitor Redis memory usage in real-time?,Administration,Monitoring,memory,used_memory,INFO,Use the INFO memory command to get detailed memory statistics, or monitor the `used_memory` metric via Redis CLI or external monitoring tools like Prometheus.,https://redis.io/docs/management/optimization/memory-optimization/,https://youtube.com/results?search_query=redis+monitor+memory+usage,https://youtube.com/results?search_query=redis+monitor+memory+usage+hindi,https://youtube.com/results?search_query=redis+monitor+memory+usage+kannada,https://youtube.com/results?search_query=redis+monitor+memory+usage+tamil,https://youtube.com/results?search_query=redis+monitor+memory+usage+telugu
Redis,Intermediate,Explain the difference between SMEMBERS and SSCAN.,Commands,Sets,SMEMBERS,SSCAN,iteration,"SMEMBERS returns all members of a set at once, which can block the server for large sets. SSCAN iterates incrementally using a cursor", making it safe for production.,https://redis.io/docs/latest/commands/sscan/,https://youtube.com/results?search_query=redis+smembers+vs+sscan,https://youtube.com/results?search_query=redis+smembers+vs+sscan+hindi,https://youtube.com/results?search_query=redis+smembers+vs+sscan+kannada,https://youtube.com/results?search_query=redis+smembers+vs+sscan+tamil,https://youtube.com/results?search_query=redis+smembers+vs+sscan+telugu
Redis,Intermediate,What is the 'appendfsync' configuration and what are its values?,Administration,Persistence,appendfsync,AOF,durability,"`appendfsync` controls how often the AOF file is synced to disk. Values: always (every write, safest), everysec (default, once per second), no (OS decides", fastest).,https://redis.io/docs/management/persistence/#append-only-file,https://youtube.com/results?search_query=redis+appendfsync,https://youtube.com/results?search_query=redis+appendfsync+hindi,https://youtube.com/results?search_query=redis+appendfsync+kannada,https://youtube.com/results?search_query=redis+appendfsync+tamil,https://youtube.com/results?search_query=redis+appendfsync+telugu
Redis,Intermediate,How can you use Redis for feature flagging?,Architecture,Patterns,feature flags,bitmaps,strings,Use strings (SET/GET) for simple on/off flags, or bitmaps for user-level feature flags (SETBIT/GETBIT per user ID). Hashes can store multiple flag settings per user.,https://redis.io/docs/data-types/bitmaps/,https://youtube.com/results?search_query=redis+feature+flags,https://youtube.com/results?search_query=redis+feature+flags+hindi,https://youtube.com/results?search_query=redis+feature+flags+kannada,https://youtube.com/results?search_query=redis+feature+flags+tamil,https://youtube.com/results?search_query=redis+feature+flags+telugu
Redis,Intermediate,What is the difference between XRANGE and XREVRANGE in Redis Streams?,Commands,Streams,XRANGE,XREVRANGE,direction,XRANGE reads entries in ascending order (from low to high IDs). XREVRANGE reads in descending order (from high to low IDs), useful for getting recent entries first.,https://redis.io/docs/latest/commands/xrevrange/,https://youtube.com/results?search_query=redis+xrange+vs+xrevrange,https://youtube.com/results?search_query=redis+xrange+vs+xrevrange+hindi,https://youtube.com/results?search_query=redis+xrange+vs+xrevrange+kannada,https://youtube.com/results?search_query=redis+xrange+vs+xrevrange+tamil,https://youtube.com/results?search_query=redis+xrange+vs+xrevrange+telugu
Redis,Intermediate,How can you use Redis to implement a sliding session expiration?,Architecture,Patterns,session,sliding expiration,EXPIRE,On each user request, update the session data and call EXPIRE to reset the TTL. This ensures active sessions remain alive while inactive ones expire.,https://redis.io/docs/manual/patterns/session-cache/,https://youtube.com/results?search_query=redis+sliding+session+expiration,https://youtube.com/results?search_query=redis+sliding+session+expiration+hindi,https://youtube.com/results?search_query=redis+sliding+session+expiration+kannada,https://youtube.com/results?search_query=redis+sliding+session+expiration+tamil,https://youtube.com/results?search_query=redis+sliding+session+expiration+telugu
Redis,Intermediate,What is the role of the 'daemonize' configuration directive?,Administration,Deployment,daemonize,background,When set to 'yes'," Redis runs as a daemon (background process). When 'no' (default for some installs), it runs in the foreground", useful for containerized environments.,https://redis.io/docs/management/config/,https://youtube.com/results?search_query=redis+daemonize,https://youtube.com/results?search_query=redis+daemonize+hindi,https://youtube.com/results?search_query=redis+daemonize+kannada,https://youtube.com/results?search_query=redis+daemonize+tamil,https://youtube.com/results?search_query=redis+daemonize+telugu
Redis,Intermediate,How does Redis handle the 'save' command versus BGSAVE?,Commands,Persistence,SAVE,BGSAVE,blocking,"SAVE performs a synchronous snapshot, blocking the server until the RDB file is created. BGSAVE forks a child process to create the snapshot in the background", allowing the server to continue serving requests.,https://redis.io/docs/latest/commands/save/,https://youtube.com/results?search_query=redis+save+vs+bgsave,https://youtube.com/results?search_query=redis+save+vs+bgsave+hindi,https://youtube.com/results?search_query=redis+save+vs+bgsave+kannada,https://youtube.com/results?search_query=redis+save+vs+bgsave+tamil,https://youtube.com/results?search_query=redis+save+vs+bgsave+telugu
Redis,Intermediate,How can you secure Redis in a production environment?,Administration,Security,security,firewall,auth,"bind,Best practices: set a strong password (requirepass), bind to internal IPs, use firewall rules, enable TLS if supported, run with minimal privileges", and disable dangerous commands (rename-command).,https://redis.io/docs/management/security/,https://youtube.com/results?search_query=redis+production+security,https://youtube.com/results?search_query=redis+production+security+hindi,https://youtube.com/results?search_query=redis+production+security+kannada,https://youtube.com/results?search_query=redis+production+security+tamil,https://youtube.com/results?search_query=redis+production+security+telugu
Redis,Intermediate,What is the difference between HGET and HMGET?,Commands,Hashes,HGET,HMGET,single vs multiple,HGET returns the value of a single field. HMGET returns values for multiple fields in one command, reducing network round trips.,https://redis.io/docs/latest/commands/hmget/,https://youtube.com/results?search_query=redis+hget+vs+hmget,https://youtube.com/results?search_query=redis+hget+vs+hmget+hindi,https://youtube.com/results?search_query=redis+hget+vs+hmget+kannada,https://youtube.com/results?search_query=redis+hget+vs+hmget+tamil,https://youtube.com/results?search_query=redis+hget+vs+hmget+telugu
Redis,Intermediate,How does Redis handle large values (e.g., 1MB strings)?,Performance,Optimization,large values,memory,"network,Redis can handle large values, but they impact memory usage, network transfer time", and command execution latency. Consider splitting large values or using compression.,https://redis.io/docs/management/optimization/memory-optimization/,https://youtube.com/results?search_query=redis+large+values+performance,https://youtube.com/results?search_query=redis+large+values+performance+hindi,https://youtube.com/results?search_query=redis+large+values+performance+kannada,https://youtube.com/results?search_query=redis+large+values+performance+tamil,https://youtube.com/results?search_query=redis+large+values+performance+telugu
