skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Ruby,Advanced,What are Ruby fibers and how do they differ from threads?,Concurrency,Fibers vs Threads,Fibers, cooperative multitasking, yield," resume,Fibers are lightweight concurrency primitives for cooperative multitasking. Unlike threads", they must explicitly yield control. Use Fiber.yield and Fiber#resume.,https://ruby-doc.org/core-3.1.2/Fiber.html,https://youtube.com/results?search_query=ruby+fibers,https://youtube.com/results?search_query=ruby+fibers+hindi,https://youtube.com/results?search_query=ruby+fibers+kannada,https://youtube.com/results?search_query=ruby+fibers+tamil,https://youtube.com/results?search_query=ruby+fibers+telugu
Ruby,Advanced,Explain Ruby's memory model and garbage collection algorithm,Performance,Memory Management,Major GC, minor GC, generational GC," marking, sweeping,Ruby 2.1+ uses generational GC with major/minor collections. Objects start in young generation", promoted after surviving collections. Uses tri-color marking.,https://ruby-doc.org/core-3.1.2/GC.html,https://youtube.com/results?search_query=ruby+garbage+collection,https://youtube.com/results?search_query=ruby+garbage+collection+hindi,https://youtube.com/results?search_query=ruby+garbage+collection+kannada,https://youtube.com/results?search_query=ruby+garbage+collection+tamil,https://youtube.com/results?search_query=ruby+garbage+collection+telugu
Ruby,Advanced,What is Ruby's constant lookup algorithm?,Language Fundamentals,Constants,Constant lookup, lexical scope, inheritance, ancestors,Constants lookup: 1) Lexical scope 2) Inheritance chain 3) Object space. Use :: for absolute lookup. Modules included in ancestors also searched.,https://ruby-doc.org/core-3.1.2/doc/syntax/modules_and_classes_rdoc.html,https://youtube.com/results?search_query=ruby+constant+lookup,https://youtube.com/results?search_query=ruby+constant+lookup+hindi,https://youtube.com/results?search_query=ruby+constant+lookup+kannada,https://youtube.com/results?search_query=ruby+constant+lookup+tamil,https://youtube.com/results?search_query=ruby+constant+lookup+telugu
Ruby,Advanced,Explain Ruby's method binding and unbinding,Metaprogramming,Binding,Method objects, unbind, bind, Method#unbind,Method objects can be unbound from original receiver and bound to new objects. Useful for dynamic dispatch: method.unbind.bind(new_receiver).call.,https://ruby-doc.org/core-3.1.2/Method.html,https://youtube.com/results?search_query=ruby+method+binding,https://youtube.com/results?search_query=ruby+method+binding+hindi,https://youtube.com/results?search_query=ruby+method+binding+kannada,https://youtube.com/results?search_query=ruby+method+binding+tamil,https://youtube.com/results?search_query=ruby+method+binding+telugu
Ruby,Advanced,Explain Ruby's tracepoint API for debugging,Debugging,TracePoint,TracePoint, events, hooks," call tracing,TracePoint hooks into Ruby execution: call, return, line, class", etc. Use TracePoint.trace { |tp| ... }. Be careful of performance.,https://ruby-doc.org/core-3.1.2/TracePoint.html,https://youtube.com/results?search_query=ruby+tracepoint,https://youtube.com/results?search_query=ruby+tracepoint+hindi,https://youtube.com/results?search_query=ruby+tracepoint+kannada,https://youtube.com/results?search_query=ruby+tracepoint+tamil,https://youtube.com/results?search_query=ruby+tracepoint+telugu
Ruby,Advanced,What is Ruby's Ractor model and thread safety?,Concurrency,Ractors,Ractors, actor model, thread safety, shareable objects,Ractors are Ruby's actor implementation for true parallelism. Each ractor has isolated objects; share only immutable or specially marked objects.,https://ruby-doc.org/core-3.1.2/Ractor.html,https://youtube.com/results?search_query=ruby+ractors,https://youtube.com/results?search_query=ruby+ractors+hindi,https://youtube.com/results?search_query=ruby+ractors+kannada,https://youtube.com/results?search_query=ruby+ractors+tamil,https://youtube.com/results?search_query=ruby+ractors+telugu
Ruby,Advanced,Explain Ruby's parser and AST manipulation,Language Internals,Parsing,Ripper, AST, parse tree, abstract syntax tree,Ruby's Ripper module provides access to parser and AST. Use Ripper.sexp(raw_code) to get AST. Useful for code analysis and transformation.,https://ruby-doc.org/stdlib-3.1.2/libdoc/ripper/rdoc/Ripper.html,https://youtube.com/results?search_query=ruby+ast+ripper,https://youtube.com/results?search_query=ruby+ast+ripper+hindi,https://youtube.com/results?search_query=ruby+ast+ripper+kannada,https://youtube.com/results?search_query=ruby+ast+ripper+tamil,https://youtube.com/results?search_query=ruby+ast+ripper+telugu
Ruby,Advanced,What are Ruby's enumerators and lazy evaluation?,Collections,Enumerators,Enumerator, lazy, infinite sequences, external iteration,Enumerators decouple iteration from data. Lazy enumerators enable infinite sequences and chained operations without intermediate arrays.,https://ruby-doc.org/core-3.1.2/Enumerator/Lazy.html,https://youtube.com/results?search_query=ruby+lazy+enumerators,https://youtube.com/results?search_query=ruby+lazy+enumerators+hindi,https://youtube.com/results?search_query=ruby+lazy+enumerators+kannada,https://youtube.com/results?search_query=ruby+lazy+enumerators+tamil,https://youtube.com/results?search_query=ruby+lazy+enumerators+telugu
Ruby,Advanced,Explain Ruby's autoload and zeitwerk constant loading,Modules,Loading,Autoload, zeitwerk, require, load,Autoload defers loading until constant accessed. Zeitwerk (Rails 6+) is modern autoloader with explicit conventions and thread safety.,https://ruby-doc.org/core-3.1.2/Kernel.html#method-i-autoload,https://youtube.com/results?search_query=ruby+autoload+zeitwerk,https://youtube.com/results?search_query=ruby+autoload+zeitwerk+hindi,https://youtube.com/results?search_query=ruby+autoload+zeitwerk+kannada,https://youtube.com/results?search_query=ruby+autoload+zeitwerk+tamil,https://youtube.com/results?search_query=ruby+autoload+zeitwerk+telugu
Ruby,Advanced,What is Ruby's prepend and how differs from include?,Modules,Inclusion,Prepend, include, method lookup," ancestors,Prepend inserts module before class in ancestors chain. Include inserts after. Prepend overrides class methods", include doesn't.,https://ruby-doc.org/core-3.1.2/Module.html#method-i-prepend,https://youtube.com/results?search_query=ruby+prepend+vs+include,https://youtube.com/results?search_query=ruby+prepend+vs+include+hindi,https://youtube.com/results?search_query=ruby+prepend+vs+include+kannada,https://youtube.com/results?search_query=ruby+prepend+vs+include+tamil,https://youtube.com/results?search_query=ruby+prepend+vs+include+telugu
