skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
GLSL,Basic,What are shaders in graphics programming?,Shaders,GPU programs,Rendering pipeline,Graphics processing,A,"Shaders are programs that run on GPU to process vertices, fragments, or compute operations.",Shaders Overview,https://www.khronos.org/opengl/wiki/Shader,https://youtube.com/results?search_query=what+are+shaders,https://youtube.com/results?search_query=what+are+shaders+hindi,https://youtube.com/results?search_query=what+are+shaders+kannada,https://youtube.com/results?search_query=what+are+shaders+tamil,https://youtube.com/results?search_query=what+are+shaders+telugu
GLSL,Basic,What are the main types of shaders in OpenGL?,Shader types,Vertex fragment,Geometry compute,Shader pipeline,A,"Vertex shader, Fragment shader, Geometry shader, Compute shader, Tessellation shaders.",Shader Types,https://www.khronos.org/opengl/wiki/Shader,https://youtube.com/results?search_query=glsl+shader+types,https://youtube.com/results?search_query=glsl+shader+types+hindi,https://youtube.com/results?search_query=glsl+shader+types+kannada,https://youtube.com/results?search_query=glsl+shader+types+tamil,https://youtube.com/results?search_query=glsl+shader+types+telugu
GLSL,Basic,What does a vertex shader do?,Vertex processing,Vertex transformation,Position calculation,GPU vertex,A,"Processes each vertex, calculates position, normal, texture coordinates.",Vertex Shader,https://www.khronos.org/opengl/wiki/Vertex_Shader,https://youtube.com/results?search_query=vertex+shader+glsl,https://youtube.com/results?search_query=vertex+shader+glsl+hindi,https://youtube.com/results?search_query=vertex+shader+glsl+kannada,https://youtube.com/results?search_query=vertex+shader+glsl+tamil,https://youtube.com/results?search_query=vertex+shader+glsl+telugu
GLSL,Basic,What does a fragment shader do?,Fragment processing,Pixel coloring,Color calculation,GPU fragment,A,"Processes each fragment (pixel), calculates final color and depth.",Fragment Shader,https://www.khronos.org/opengl/wiki/Fragment_Shader,https://youtube.com/results?search_query=fragment+shader+glsl,https://youtube.com/results?search_query=fragment+shader+glsl+hindi,https://youtube.com/results?search_query=fragment+shader+glsl+kannada,https://youtube.com/results?search_query=fragment+shader+glsl+tamil,https://youtube.com/results?search_query=fragment+shader+glsl+telugu
GLSL,Basic,What is the basic structure of a GLSL shader?,Shader structure,Program layout,Code organization,GLSL syntax,A,"#version, input/output declarations, uniform variables, main() function.",Shader Structure,https://www.khronos.org/opengl/wiki/OpenGL_Shading_Language,https://youtube.com/results?search_query=glsl+shader+structure,https://youtube.com/results?search_query=glsl+shader+structure+hindi,https://youtube.com/results?search_query=glsl+shader+structure+kannada,https://youtube.com/results?search_query=glsl+shader+structure+tamil,https://youtube.com/results?search_query=glsl+shader+structure+telugu
GLSL,Basic,How do you specify GLSL version?,Version directive,Shader version,OpenGL version,#version,A,Use #version at top: #version 330 core or #version 450 core.,Version Specification,https://www.khronos.org/opengl/wiki/Core_Language_(GLSL),https://youtube.com/results?search_query=glsl+version+specification,https://youtube.com/results?search_query=glsl+version+specification+hindi,https://youtube.com/results?search_query=glsl+version+specification+kannada,https://youtube.com/results?search_query=glsl+version+specification+tamil,https://youtube.com/results?search_query=glsl+version+specification+telugu
GLSL,Basic,What are data types in GLSL?,Data types,Variable types,Type system,GLSL types,A,"float, int, bool, vec2, vec3, vec4, mat2, mat3, mat4, sampler2D, etc.",Data Types,https://www.khronos.org/opengl/wiki/Data_Type_(GLSL),https://youtube.com/results?search_query=glsl+data+types,https://youtube.com/results?search_query=glsl+data+types+hindi,https://youtube.com/results?search_query=glsl+data+types+kannada,https://youtube.com/results?search_query=glsl+data+types+tamil,https://youtube.com/results?search_query=glsl+data+types+telugu
GLSL,Basic,What is a vec2 in GLSL?,Vector types,2D vector,Float vector,GLSL vector,A,"2-component floating-point vector: vec2(x, y).",Vec2 Type,https://www.khronos.org/opengl/wiki/Data_Type_(GLSL),https://youtube.com/results?search_query=glsl+vec2,https://youtube.com/results?search_query=glsl+vec2+hindi,https://youtube.com/results?search_query=glsl+vec2+kannada,https://youtube.com/results?search_query=glsl+vec2+tamil,https://youtube.com/results?search_query=glsl+vec2+telugu
GLSL,Basic,What is a vec3 in GLSL?,3D vector,RGB vector,Position vector,GLSL vec3,A,"3-component floating-point vector: vec3(x, y, z) or vec3(r, g, b).",Vec3 Type,https://www.khronos.org/opengl/wiki/Data_Type_(GLSL),https://youtube.com/results?search_query=glsl+vec3,https://youtube.com/results?search_query=glsl+vec3+hindi,https://youtube.com/results?search_query=glsl+vec3+kannada,https://youtube.com/results?search_query=glsl+vec3+tamil,https://youtube.com/results?search_query=glsl+vec3+telugu
GLSL,Basic,What is a vec4 in GLSL?,4D vector,RGBA vector,Position with w,GLSL vec4,A,"4-component floating-point vector: vec4(x, y, z, w) or vec4(r, g, b, a).",Vec4 Type,https://www.khronos.org/opengl/wiki/Data_Type_(GLSL),https://youtube.com/results?search_query=glsl+vec4,https://youtube.com/results?search_query=glsl+vec4+hindi,https://youtube.com/results?search_query=glsl+vec4+kannada,https://youtube.com/results?search_query=glsl+vec4+tamil,https://youtube.com/results?search_query=glsl+vec4+telugu
