skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Angular,Advanced,What is Change Detection in Angular?,Updating DOM automatically,Reloading page,Refreshing browser,Manual rendering,A,Angular change detection syncs model and view automatically.,Change Detection,https://angular.io/guide/change-detection,https://youtube.com/results?search_query=angular+change+detection+advanced,https://youtube.com/results?search_query=angular+change+detection+hindi,https://youtube.com/results?search_query=angular+change+detection+kannada,https://youtube.com/results?search_query=angular+change+detection+tamil,https://youtube.com/results?search_query=angular+change+detection+telugu
Angular,Advanced,Which strategy improves performance?,OnPush,Default,Auto,Fast,A,OnPush reduces change detection cycles.,Change Detection,https://angular.io/api/core/ChangeDetectionStrategy,https://youtube.com/results?search_query=angular+onpush+strategy,https://youtube.com/results?search_query=angular+onpush+hindi,https://youtube.com/results?search_query=angular+onpush+kannada,https://youtube.com/results?search_query=angular+onpush+tamil,https://youtube.com/results?search_query=angular+onpush+telugu
Angular,Advanced,What is NgZone used for?,Async tracking,Styling,Routing,Forms,A,NgZone manages async tasks and triggers change detection.,Performance,https://angular.io/api/core/NgZone,https://youtube.com/results?search_query=angular+ngzone+advanced,https://youtube.com/results?search_query=angular+ngzone+hindi,https://youtube.com/results?search_query=angular+ngzone+kannada,https://youtube.com/results?search_query=angular+ngzone+tamil,https://youtube.com/results?search_query=angular+ngzone+telugu
Angular,Advanced,What is Ahead-of-Time compilation?,Compile at build time,Compile at runtime,Lazy compile,Manual compile,A,AOT compiles templates before browser loads.,Compilation,https://angular.io/guide/aot-compiler,https://youtube.com/results?search_query=angular+aot+compiler,https://youtube.com/results?search_query=angular+aot+hindi,https://youtube.com/results?search_query=angular+aot+kannada,https://youtube.com/results?search_query=angular+aot+tamil,https://youtube.com/results?search_query=angular+aot+telugu
Angular,Advanced,Which module enables lazy loading?,RouterModule,HttpModule,CommonModule,BrowserModule,A,RouterModule allows route-based lazy loading.,Routing,https://angular.io/guide/lazy-loading-ngmodules,https://youtube.com/results?search_query=angular+lazy+loading+advanced,https://youtube.com/results?search_query=angular+lazy+loading+hindi,https://youtube.com/results?search_query=angular+lazy+loading+kannada,https://youtube.com/results?search_query=angular+lazy+loading+tamil,https://youtube.com/results?search_query=angular+lazy+loading+telugu

Angular,Advanced,What is Dependency Injection?,Service injection pattern,Routing method,Styling method,Data binding,A,DI provides services to components.,Architecture,https://angular.io/guide/dependency-injection,https://youtube.com/results?search_query=angular+dependency+injection+advanced,https://youtube.com/results?search_query=angular+dependency+injection+hindi,https://youtube.com/results?search_query=angular+dependency+injection+kannada,https://youtube.com/results?search_query=angular+dependency+injection+tamil,https://youtube.com/results?search_query=angular+dependency+injection+telugu
Angular,Advanced,What are Angular Guards?,Route protection,Form validation,State store,Component styling,A,Guards control route access.,Routing,https://angular.io/guide/router#guards,https://youtube.com/results?search_query=angular+route+guards+advanced,https://youtube.com/results?search_query=angular+route+guards+hindi,https://youtube.com/results?search_query=angular+route+guards+kannada,https://youtube.com/results?search_query=angular+route+guards+tamil,https://youtube.com/results?search_query=angular+route+guards+telugu
Angular,Advanced,Which guard prevents leaving page?,CanDeactivate,CanActivate,Resolve,CanLoad,A,CanDeactivate stops navigation away.,Routing,https://angular.io/api/router/CanDeactivate,https://youtube.com/results?search_query=angular+candeactivate,https://youtube.com/results?search_query=angular+candeactivate+hindi,https://youtube.com/results?search_query=angular+candeactivate+kannada,https://youtube.com/results?search_query=angular+candeactivate+tamil,https://youtube.com/results?search_query=angular+candeactivate+telugu
Angular,Advanced,What is RxJS used for?,Reactive programming,Styling,Routing,Testing,A,RxJS handles streams and async data.,RxJS,https://rxjs.dev/guide/overview,https://youtube.com/results?search_query=rxjs+angular+advanced,https://youtube.com/results?search_query=rxjs+angular+hindi,https://youtube.com/results?search_query=rxjs+angular+kannada,https://youtube.com/results?search_query=rxjs+angular+tamil,https://youtube.com/results?search_query=rxjs+angular+telugu
Angular,Advanced,Which operator transforms stream?,map,filter,reduce,pipe,A,Map transforms observable values.,RxJS,https://rxjs.dev/api/operators/map,https://youtube.com/results?search_query=rxjs+map+operator+angular,https://youtube.com/results?search_query=rxjs+map+hindi,https://youtube.com/results?search_query=rxjs+map+kannada,https://youtube.com/results?search_query=rxjs+map+tamil,https://youtube.com/results?search_query=rxjs+map+telugu
